Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-12-04,45.78,46.2,45.6,45.6,1950.0,89449.0,22.8,0.0,0,0,0
2008-12-05,44.14,45.66,43.2,45.48,5850.0,259985.0,22.74,0.0,0,0,0
2008-12-08,52.24,54.28,49.72,51.1,5600.0,290784.0,25.55,0.0,0,0,0
2008-12-09,48.36,50.02,48.06,48.94,7400.0,361479.0,24.47,0.0,0,0,0
2008-12-10,52.1,53.04,51.4,52.84,10750.0,562945.0,26.42,0.0,0,0,0
2008-12-11,55.24,56.02,53.84,54.0,19250.0,1060678.0,27.0,0.0,0,0,0
2008-12-12,51.74,53.72,51.16,52.76,5600.0,295041.0,26.38,0.0,0,0,0
2008-12-15,53.66,57.76,53.52,57.12,14500.0,814308.0,28.56,0.0,0,0,0
2008-12-16,56.68,67.48,56.0,62.52,26450.0,1563512.0,31.26,0.0,0,0,0
2008-12-17,63.0,67.44,63.0,65.5,45750.0,2996130.0,32.75,0.0,0,0,0
2008-12-18,62.84,63.24,59.5,60.36,37600.0,2318220.0,30.18,0.0,0,0,0
2008-12-19,58.68,60.0,58.2,58.94,11600.0,684483.0,29.47,0.0,0,0,0
2008-12-22,59.52,59.6,57.9,58.2,6300.0,369207.0,29.1,0.0,0,0,0
2008-12-23,56.38,57.3,50.78,52.76,24550.0,1305647.0,26.38,0.0,0,0,0
2008-12-24,51.38,53.96,51.38,53.6,3100.0,164878.0,26.8,0.0,0,0,0
2008-12-26,53.72,57.44,53.08,57.44,3800.0,207445.0,28.72,0.0,0,0,0
2008-12-29,61.92,61.92,57.7,58.0,25500.0,1537012.0,29.0,0.0,0,0,0
2008-12-30,58.66,60.82,58.16,58.86,33950.0,2032029.0,29.43,0.0,0,0,0
2008-12-31,58.14,64.02,57.34,63.0,17250.0,1067902.0,31.5,0.0,0,0,0
2009-01-02,61.96,65.7,61.58,65.54,22400.0,1422489.0,32.77,0.0,0,0,0
2009-01-05,60.0,62.64,56.4,62.64,39550.0,2379770.0,31.32,0.0,0,0,0
2009-01-06,61.62,65.52,60.66,64.6,61700.0,3922120.0,32.3,0.0,0,0,0
2009-01-07,62.38,62.4,58.34,59.52,47950.0,2874487.0,29.76,0.0,0,0,0
2009-01-08,61.4,61.52,59.64,60.66,15550.0,944609.0,30.33,0.0,0,0,0
2009-01-09,59.72,65.4,59.32,61.5,116450.0,7236552.0,30.75,0.0,0,0,0
2009-01-12,58.34,60.06,52.78,55.34,31350.0,1798994.0,27.67,0.0,0,0,0
2009-01-13,53.7,56.78,53.7,56.32,19950.0,1104112.0,28.16,0.0,0,0,0
2009-01-14,53.88,54.56,52.0,53.7,12700.0,678809.0,26.85,0.0,0,0,0
2009-01-15,53.54,55.32,51.7,54.8,27900.0,1486372.0,27.4,0.0,0,0,0
2009-01-16,59.34,61.76,58.28,61.34,34750.0,2096064.0,30.67,0.0,0,0,0
2009-01-20,61.78,62.86,59.76,60.06,15350.0,942490.0,30.03,0.0,0,0,0
2009-01-21,63.0,63.0,59.0,61.92,27900.0,1710376.0,30.96,0.0,0,0,0
2009-01-22,62.94,63.98,61.92,63.4,19200.0,1214691.0,31.7,0.0,0,0,0
2009-01-23,64.8,70.4,61.4,68.98,46850.0,3130573.0,34.49,0.0,0,0,0
2009-01-26,70.44,72.8,70.02,70.22,45550.0,3244162.0,35.11,0.0,0,0,0
2009-01-27,69.88,71.82,68.94,69.1,18400.0,1287418.0,34.55,0.0,0,0,0
2009-01-28,69.72,71.08,68.02,69.18,24000.0,1665528.0,34.59,0.0,0,0,0
2009-01-29,68.04,74.0,67.26,74.0,76900.0,5443751.0,37.0,0.0,0,0,0
2009-01-30,75.2,77.22,72.94,77.16,37600.0,2838754.0,38.58,0.0,0,0,0
2009-02-02,74.24,76.02,73.64,73.78,32200.0,2397347.0,36.89,0.0,0,0,0
2009-02-03,72.42,74.4,71.04,74.4,55600.0,4041063.0,37.2,0.0,0,0,0
2009-02-04,74.72,76.06,74.36,75.26,23050.0,1736379.0,37.63,0.0,0,0,0
2009-02-05,79.3,80.28,77.18,79.64,53950.0,4255155.0,39.82,0.0,0,0,0
2009-02-06,80.56,83.1,80.08,82.3,61600.0,5038953.0,41.15,0.0,0,0,0
2009-02-09,81.4,81.42,78.74,79.34,27800.0,2226946.0,39.67,0.0,0,0,0
2009-02-10,81.8,83.88,81.8,82.54,46250.0,3829398.0,41.27,0.0,0,0,0
2009-02-11,84.94,92.88,84.22,87.0,51250.0,4512911.0,43.5,0.0,0,0,0
2009-02-12,86.92,88.2,85.62,87.58,33750.0,2936533.0,43.79,0.0,0,0,0
2009-02-13,85.52,89.7,84.5,89.64,30350.0,2641129.0,44.82,0.0,0,0,0
2009-02-17,94.02,96.16,93.1,94.72,93300.0,8811886.0,47.36,0.0,0,0,0
2009-02-18,95.66,98.78,94.64,97.96,85500.0,8273287.0,48.98,0.0,0,0,0
2009-02-19,95.06,95.94,91.8,93.8,76250.0,7124708.0,46.9,0.0,0,0,0
2009-02-20,99.92,101.4,98.24,99.12,82550.0,8239843.0,49.56,0.0,0,0,0
2009-02-23,96.34,101.7,94.46,99.94,64700.0,6399567.0,49.97,0.0,0,0,0
