Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-08-25,26.541473,26.821781,26.121016,26.243649,530044.75,13955344.0,14.98,0.0,0,0,0
2010-08-26,26.453878,26.453878,26.278687,26.401321,721561.75,19044494.0,15.07,0.0,0,0,0
2010-08-27,26.488916,26.488916,26.278687,26.453878,778451.56,20551332.0,15.1,0.0,0,0,0
2010-08-30,26.453878,26.453878,26.20861,26.20861,583605.06,15345576.0,14.96,0.0,0,0,0
2010-08-31,26.278687,26.331244,26.068634,26.191092,196798.64,5152061.0,14.95,0.0,0,0,0
2010-09-01,26.43636,26.453878,26.296207,26.401321,283632.9,7487140.0,15.07,0.0,0,0,0
2010-09-02,26.453878,26.558992,26.383802,26.558992,511612.3,13551338.0,15.16,0.0,0,0,0
2010-09-03,26.664108,26.664108,26.558992,26.61155,237797.27,6326737.0,15.19,0.0,0,0,0
2010-09-07,26.576513,26.576513,26.41884,26.506435,259602.02,6878304.0,15.13,0.0,0,0,0
2010-09-08,26.629068,26.629068,26.488916,26.488916,235571.12,6247865.0,15.12,0.0,0,0,0
2010-09-09,26.699146,26.699146,26.558992,26.576513,473482.56,12592307.0,15.17,0.0,0,0,0
2010-09-10,26.716665,26.734184,26.558992,26.594032,292366.22,7777244.0,15.18,0.0,0,0,0
2010-09-13,26.64659,26.716665,26.629068,26.716665,326329.1,8707505.0,15.25,0.0,0,0,0
2010-09-14,26.769222,26.786741,26.629068,26.681625,281806.3,7520235.0,15.23,0.0,0,0,0
2010-09-15,26.734184,26.734184,26.541473,26.61155,370737.7,9864021.0,15.19,0.0,0,0,0
2010-09-16,26.681625,26.681625,26.541473,26.61155,382496.28,10171514.0,15.19,0.0,0,0,0
2010-09-17,26.681625,26.681625,26.541473,26.629068,363602.62,9663290.0,15.2,0.0,0,0,0
2010-09-20,26.734184,26.786741,26.629068,26.734184,277582.38,7422153.0,15.26,0.0,0,0,0
2010-09-21,26.786741,26.821781,26.716665,26.786741,290767.94,7783581.0,15.29,0.0,0,0,0
2010-09-22,26.786741,26.891857,26.769222,26.856817,306807.56,8236166.0,15.33,0.0,0,0,0
2010-09-23,26.716665,26.839298,26.681625,26.734184,313942.62,8399380.0,15.26,0.0,0,0,0
2010-09-24,26.961933,26.979452,26.769222,26.769222,558018.75,14954738.0,15.28,0.0,0,0,0
2010-09-27,26.891857,26.891857,26.786741,26.839298,224497.52,6026142.0,15.32,0.0,0,0,0
2010-09-28,26.874338,26.944414,26.751705,26.891857,241964.14,6490036.0,15.35,0.0,0,0,0
2010-09-29,26.909374,27.01449,26.874338,26.996971,342482.88,9236040.0,15.41,0.0,0,0,0
2010-09-30,27.119604,27.119604,26.944414,27.067047,732913.3,19815972.0,15.45,0.0,0,0,0
2010-10-01,27.172163,27.22472,27.067047,27.207201,321762.66,8742197.0,15.53,0.0,0,0,0
2010-10-04,27.294796,27.294796,27.102087,27.22472,375646.62,10209039.0,15.54,0.0,0,0,0
2010-10-05,27.382393,27.382393,27.242239,27.294796,426790.72,11648792.0,15.58,0.0,0,0,0
2010-10-06,27.312315,27.382393,27.277277,27.364872,287400.2,7858879.0,15.62,0.0,0,0,0
2010-10-07,27.452469,27.575102,27.294796,27.522545,451506.56,12354629.0,15.71,0.0,0,0,0
2010-10-08,27.575102,27.59262,27.452469,27.540064,255720.53,7036512.0,15.72,0.0,0,0,0
2010-10-11,27.645178,27.680218,27.540064,27.645178,235742.38,6514290.0,15.78,0.0,0,0,0
2010-10-12,27.62766,27.680218,27.505026,27.662699,309718.66,8551593.0,15.79,0.0,0,0,0
2010-10-13,27.872927,27.872927,27.715256,27.767813,460068.66,12776228.0,15.85,0.0,0,0,0
2010-10-14,27.767813,27.785332,27.610142,27.680218,446711.8,12370792.0,15.8,0.0,0,0,0
2010-10-15,27.767813,27.767813,27.557583,27.662699,224954.16,6216336.0,15.79,0.0,0,0,0
2010-10-18,27.680218,27.680218,27.59262,27.662699,291338.75,8056306.0,15.79,0.0,0,0,0
2010-10-19,27.505026,27.645178,27.487507,27.540064,210170.31,5796609.0,15.72,0.0,0,0,0
2010-10-20,27.645178,27.697737,27.59262,27.680218,143500.31,3969807.0,15.8,0.0,0,0,0
2010-10-21,27.715256,27.82037,27.59262,27.662699,216335.02,5991194.0,15.79,0.0,0,0,0
2010-10-22,27.697737,27.732775,27.62766,27.662699,187680.61,5189121.0,15.79,0.0,0,0,0
2010-10-25,27.767813,27.83789,27.645178,27.680218,166789.16,4625584.0,15.8,0.0,0,0,0
2010-10-26,27.645178,27.767813,27.645178,27.750294,447282.62,12404074.0,15.84,0.0,0,0,0
2010-10-27,27.750294,27.83789,27.645178,27.767813,287514.38,7968534.0,15.85,0.0,0,0,0
2010-10-28,27.907967,27.907967,27.680218,27.767813,363260.16,10078730.0,15.85,0.0,0,0,0
2010-10-29,27.767813,27.925484,27.767813,27.925484,174780.42,4860955.0,15.94,0.0,0,0,0
2010-11-01,28.01308,28.01308,27.872927,27.960524,270276.06,7549910.0,15.96,0.0,0,0,0
2010-11-02,28.153233,28.153233,27.960524,28.100677,347220.53,9735537.0,16.04,0.0,0,0,0
2010-11-03,28.188272,28.22331,28.0306,28.100677,198525.9,5578642.0,16.04,0.0,0,0,0
2010-11-04,28.328424,28.573692,28.188272,28.22331,280150.97,7921315.0,16.11,0.0,0,0,0
2010-11-05,28.486649,28.593405,28.219751,28.468855,425953.22,12086686.0,16.0,0.0,0,0,0
2010-11-08,28.433268,28.451061,28.290924,28.379889,759566.9,21537640.0,15.95,0.0,0,0,0
2010-11-09,28.593405,28.611198,28.397682,28.593405,654188.56,18647396.0,16.07,0.0,0,0,0
2010-11-10,28.73575,28.73575,28.415476,28.55782,255043.62,7282537.0,16.05,0.0,0,0,0
2010-11-11,28.451061,28.522236,28.433268,28.504442,153430.83,4373214.0,16.02,0.0,0,0,0
2010-11-12,28.55782,28.55782,28.326511,28.397682,215252.78,6117467.0,15.96,0.0,0,0,0
2010-11-15,28.682373,28.682373,28.433268,28.504442,284099.94,8103165.0,16.02,0.0,0,0,0
2010-11-16,28.54003,28.54003,27.935064,28.095201,364524.7,10246453.0,15.79,0.0,0,0,0
2010-11-17,28.077408,28.184166,28.024029,28.112995,210363.22,5915062.0,15.8,0.0,0,0,0
2010-11-18,28.326511,28.326511,28.166372,28.20196,204237.23,5759890.0,15.85,0.0,0,0,0
2010-11-19,28.255339,28.290924,28.112995,28.273132,298600.0,8428065.0,15.89,0.0,0,0,0
2010-11-22,28.379889,28.379889,28.20196,28.308718,331927.66,9383925.0,15.91,0.0,0,0,0
2010-11-23,28.308718,28.308718,28.112995,28.290924,349012.97,9840241.0,15.9,0.0,0,0,0
2010-11-24,28.486649,28.486649,28.255339,28.273132,202045.36,5720040.0,15.89,0.0,0,0,0
2010-11-26,28.20196,28.290924,28.20196,28.20196,79188.29,2237858.0,15.85,0.0,0,0,0
2010-11-29,28.344305,28.344305,28.112995,28.219751,337885.03,9522887.0,15.86,0.0,0,0,0
2010-11-30,28.112995,28.237545,28.095201,28.219751,513684.16,14460942.0,15.86,0.0,0,0,0
2010-12-01,28.486649,28.486649,28.166372,28.20196,543414.9,15334937.0,15.85,0.0,0,0,0
2010-12-02,28.273132,28.290924,28.112995,28.219751,697407.75,19660200.0,15.86,0.0,0,0,0
2010-12-03,28.237545,28.237545,28.184166,28.219751,274377.03,7741582.0,15.86,0.0,0,0,0
2010-12-06,28.20196,28.273132,28.20196,28.219751,316584.56,8940810.0,15.86,0.0,0,0,0
2010-12-07,28.415476,28.415476,28.20196,28.237545,380092.56,10752764.0,15.87,0.0,0,0,0
2010-12-08,28.290924,28.308718,28.112995,28.14858,452649.03,12750287.0,15.82,0.0,0,0,0
2010-12-09,28.219751,28.237545,28.184166,28.20196,380935.6,10747535.0,15.85,0.0,0,0,0
2010-12-10,28.290924,28.326511,28.219751,28.308718,1138760.2,32206246.0,15.91,0.0,0,0,0
2010-12-13,28.451061,28.468855,28.362097,28.451061,582475.1,16555660.0,15.99,0.0,0,0,0
2010-12-14,28.504442,28.504442,28.326511,28.344305,548810.25,15586209.0,15.93,0.0,0,0,0
2010-12-15,28.362097,28.415476,28.006235,28.112995,720281.9,20250946.0,15.8,0.0,0,0,0
2010-12-16,28.184166,28.184166,27.899479,27.988441,432079.2,12078924.0,15.73,0.0,0,0,0
2010-12-17,28.006235,28.024029,27.863892,27.97065,327824.9,9162534.0,15.72,0.0,0,0,0
2010-12-20,27.988441,28.024029,27.810513,27.91727,301466.28,8406138.0,15.69,0.0,0,0,0
2010-12-21,27.988441,28.077408,27.91727,28.077408,303039.94,8488248.0,15.78,0.0,0,0,0
