Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-06-02,25.485,25.615,25.32,25.59,26800.0,683105.0,51.18,0.0,0,0,0
2010-06-03,25.715,25.915,25.42,25.83,66800.0,1715317.0,51.66,0.0,0,0,0
2010-06-04,25.245,25.245,24.67,24.7,12000.0,299280.0,49.4,0.0,0,0,0
2010-06-07,24.8,24.985,24.565,24.795,29000.0,718253.0,49.59,0.0,0,0,0
2010-06-08,24.695,24.85,24.595,24.69,65400.0,1613911.0,49.38,0.0,0,0,0
2010-06-09,25.38,25.515,25.29,25.33,17400.0,441471.0,50.66,0.0,0,0,0
2010-06-10,25.7,25.875,25.625,25.875,21600.0,554995.0,51.75,0.0,0,0,0
2010-06-11,25.535,25.565,25.31,25.56,54600.0,1389051.0,51.12,0.0,0,0,0
2010-06-14,25.985,25.99,25.64,25.64,21200.0,548771.0,51.28,0.0,0,0,0
2010-06-15,26.12,26.175,26.12,26.16,8000.0,209210.0,52.32,0.0,0,0,0
2010-06-16,26.275,26.685,26.275,26.64,5400.0,143992.0,53.28,0.0,0,0,0
2010-06-17,26.745,26.845,26.7,26.715,39400.0,1054623.0,53.43,0.0,0,0,0
2010-06-18,26.65,26.65,26.65,26.65,4000.0,106600.0,53.3,0.0,0,0,0
2010-06-21,26.98,26.98,26.48,26.64,38400.0,1026013.0,53.28,0.0,0,0,0
2010-06-22,26.7,26.86,26.45,26.45,33200.0,886624.0,52.9,0.0,0,0,0
2010-06-23,26.19,26.19,25.755,25.82,119800.0,3107432.0,51.64,0.0,0,0,0
2010-06-24,25.785,25.97,25.785,25.895,59800.0,1548413.0,51.79,0.0,0,0,0
2010-06-25,26.065,26.64,26.05,26.575,92200.0,2433960.0,53.15,0.0,0,0,0
2010-06-28,26.305,26.305,26.25,26.305,20800.0,546706.0,52.61,0.0,0,0,0
2010-06-29,25.615,25.615,25.425,25.425,12400.0,316446.0,50.85,0.0,0,0,0
2010-06-30,25.6,25.77,25.185,25.49,26400.0,671332.0,50.98,0.0,0,0,0
2010-07-01,24.97,24.97,24.31,24.54,6600.0,162920.0,49.08,0.0,0,0,0
2010-07-02,24.38,24.38,24.38,24.38,600.0,14627.999,48.76,0.0,0,0,0
2010-07-06,24.33,24.33,24.33,24.33,7800.0,189774.0,48.66,0.0,0,0,0
2010-07-07,24.715,24.975,24.715,24.975,7600.0,189081.0,49.95,0.0,0,0,0
2010-07-08,25.535,25.535,25.2,25.44,77000.0,1953744.0,50.88,0.0,0,0,0
2010-07-09,25.64,25.715,25.305,25.43,98200.0,2503196.0,50.86,0.0,0,0,0
2010-07-12,25.41,25.41,25.12,25.315,95600.0,2410620.0,50.63,0.0,0,0,0
2010-07-13,25.825,25.975,25.825,25.945,6800.0,176309.0,51.89,0.0,0,0,0
2010-07-14,25.93,26.145,25.875,25.91,24000.0,623539.0,51.82,0.0,0,0,0
2010-07-15,25.965,25.965,25.435,25.65,15800.0,403919.0,51.3,0.0,0,0,0
2010-07-16,25.445,25.54,25.31,25.31,40800.0,1037792.0,50.62,0.0,0,0,0
2010-07-19,25.975,25.975,25.615,25.615,5600.0,144452.0,51.23,0.0,0,0,0
2010-07-20,25.43,25.875,25.38,25.77,48600.0,1246658.0,51.54,0.0,0,0,0
2010-07-21,25.71,25.71,25.44,25.575,33000.0,841582.0,51.15,0.0,0,0,0
2010-07-22,25.985,26.33,25.965,26.305,142000.0,3713910.0,52.61,0.0,0,0,0
2010-07-23,26.055,26.29,26.05,26.28,25600.0,668933.0,52.56,0.0,0,0,0
2010-07-26,26.095,26.255,26.095,26.21,43000.0,1125013.0,52.42,0.0,0,0,0
2010-07-27,25.93,25.93,25.54,25.775,105600.0,2705403.0,51.55,0.0,0,0,0
