Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-12-01,13.53341,13.55821,13.351531,13.508608,62899.152,849836.0,16.34,0.0,0,0,0
2009-12-02,13.599547,14.880963,13.525143,13.541676,157852.69,2139965.0,16.38,0.0,0,0,0
2009-12-03,13.682219,13.682219,13.483806,13.516875,40400.61,548845.0,16.35,0.0,0,0,0
2009-12-04,13.806228,13.847563,13.55821,13.698753,47053.406,645743.0,16.57,0.0,0,0,0
2009-12-07,13.748356,15.277788,13.690486,13.707021,188092.66,2584145.0,16.58,0.0,0,0,0
2009-12-08,13.657417,13.723556,13.55821,13.657417,23345.264,319139.0,16.52,0.0,0,0,0
2009-12-09,13.55821,13.599547,13.508608,13.59128,38707.17,524441.0,16.44,0.0,0,0,0
2009-12-10,13.59128,13.59128,13.392867,13.459005,173940.36,2339208.0,16.28,0.0,0,0,0
2009-12-11,13.55821,13.55821,13.392867,13.434203,68826.19,925990.0,16.25,0.0,0,0,0
2009-12-14,13.6408825,13.657417,13.508608,13.632615,66044.11,899600.0,16.49,0.0,0,0,0
2009-12-15,13.731823,13.731823,13.6408825,13.698753,40642.53,555680.0,16.57,0.0,0,0,0
2009-12-16,13.6408825,13.6408825,13.566478,13.599547,302399.78,4119100.0,16.45,0.0,0,0,0
2009-12-17,13.417668,13.417668,13.169653,13.210988,31207.658,414603.0,15.98,0.0,0,0,0
2009-12-18,13.037377,13.037377,12.896835,13.012575,54190.04,702320.0,15.74,0.0,0,0,0
2009-12-21,13.103515,13.128317,13.037377,13.037377,42335.97,554631.0,15.77,0.0,0,0,0
2009-12-22,13.29366,13.29366,13.111782,13.144851,25159.662,331818.0,15.9,0.0,0,0,0
2009-12-23,13.310195,13.32673,13.210988,13.310195,83825.22,1112327.0,16.1,0.0,0,0,0
2009-12-24,13.3597975,13.50034,13.3597975,13.459005,15966.708,215016.0,16.28,0.0,0,0,0
2009-12-28,13.525143,13.607814,13.508608,13.516875,44271.33,599332.0,16.35,0.0,0,0,0
2009-12-29,13.673952,13.673952,13.516875,13.541676,122532.39,1661644.0,16.38,0.0,0,0,0
2009-12-30,13.566478,13.616081,13.549943,13.566478,67011.79,909695.0,16.41,0.0,0,0,0
2009-12-31,13.822761,13.822761,13.6408825,13.6408825,174787.08,2394928.0,16.5,0.0,0,0,0
2010-01-04,14.054243,14.136915,13.963304,14.070778,240347.34,3384814.0,17.02,0.0,0,0,0
2010-01-05,14.484138,14.484138,14.293993,14.418,133176.86,1912547.0,17.44,0.0,0,0,0
2010-01-06,14.3435955,14.36013,14.244389,14.3435955,373524.22,5341838.0,17.35,0.0,0,0,0
2010-01-07,14.070778,14.070778,13.9219675,14.037708,46569.566,652428.0,16.98,0.0,0,0,0
2010-01-08,14.145183,14.145183,13.971571,14.103846,48988.766,688552.0,17.06,0.0,0,0,0
2010-01-11,14.2030525,14.2030525,13.971571,14.054243,41731.168,586996.0,17.0,0.0,0,0,0
2010-01-12,14.169983,14.169983,13.773158,13.864098,110678.32,1536193.0,16.77,0.0,0,0,0
2010-01-13,13.847563,14.012908,13.822761,13.938502,161723.4,2242643.0,16.86,0.0,0,0,0
2010-01-14,14.037708,14.145183,14.012908,14.079045,37255.652,524850.0,17.03,0.0,0,0,0
2010-01-15,14.054243,14.054243,13.888898,13.888898,37134.69,517058.0,16.8,0.0,0,0,0
2010-01-19,14.112113,14.3022585,14.112113,14.285726,52859.48,754257.0,17.28,0.0,0,0,0
2010-01-20,14.15345,14.15345,13.897165,13.979838,69914.83,980756.0,16.91,0.0,0,0,0
2010-01-21,13.897165,13.897165,13.541676,13.55821,85155.78,1162944.0,16.4,0.0,0,0,0
2010-01-22,13.525143,13.657417,13.343264,13.3597975,77656.266,1047423.0,16.16,0.0,0,0,0
2010-01-25,13.442471,13.74009,13.401134,13.450738,22498.543,303631.0,16.27,0.0,0,0,0
2010-01-26,13.111782,13.144851,12.929904,13.037377,100517.69,1311085.0,15.77,0.0,0,0,0
2010-01-27,12.863767,12.863767,12.61575,12.814163,46085.727,587730.0,15.5,0.0,0,0,0
2010-01-28,12.822431,13.004308,12.690155,12.756292,39795.812,508459.0,15.43,0.0,0,0,0
2010-01-29,12.921637,12.93817,12.607483,12.632284,34352.613,438265.0,15.28,0.0,0,0,0
2010-02-01,12.830698,12.921637,12.756292,12.921637,18990.707,243552.0,15.63,0.0,0,0,0
2010-02-02,13.02911,13.29366,13.02911,13.252325,47537.246,625376.0,16.03,0.0,0,0,0
2010-02-03,13.32673,13.343264,13.210988,13.244058,20684.145,274827.0,16.02,0.0,0,0,0
2010-02-04,12.93817,12.93817,12.607483,12.607483,20442.225,260657.0,15.25,0.0,0,0,0
2010-02-05,12.40907,12.541346,12.210657,12.541346,167045.64,2067743.0,15.17,0.0,0,0,0
2010-02-08,12.483475,12.483475,12.293329,12.293329,10644.473,131992.0,14.87,0.0,0,0,0
2010-02-09,12.433871,12.491741,12.293329,12.450406,47295.324,586883.0,15.06,0.0,0,0,0
2010-02-10,12.574414,12.607483,12.425604,12.590948,11249.271,141098.0,15.23,0.0,0,0,0
2010-02-11,12.690155,12.872033,12.61575,12.822431,68826.19,873870.0,15.51,0.0,0,0,0
2010-02-12,12.830698,12.855499,12.681888,12.822431,12458.871,159051.0,15.51,0.0,0,0,0
2010-02-16,13.004308,13.144851,12.971239,13.103515,23587.184,307413.0,15.85,0.0,0,0,0
2010-02-17,13.252325,13.252325,13.136584,13.194454,58665.56,774283.0,15.96,0.0,0,0,0
2010-02-18,13.227523,13.310195,13.186187,13.29366,41852.13,554468.0,16.08,0.0,0,0,0
2010-02-19,13.070446,13.144851,13.004308,13.062179,38949.09,509358.0,15.8,0.0,0,0,0
2010-02-22,13.103515,13.144851,13.053911,13.078713,46327.645,606185.0,15.82,0.0,0,0,0
2010-02-23,13.136584,13.186187,12.929904,12.962973,40037.73,520758.0,15.68,0.0,0,0,0
2010-02-24,13.219255,13.3846,13.219255,13.376332,228735.19,3053189.0,16.18,0.0,0,0,0
2010-02-25,13.136584,13.318462,13.037377,13.285393,51770.844,678474.0,16.07,0.0,0,0,0
2010-02-26,13.301928,13.459005,13.260592,13.442471,61689.555,826271.0,16.26,0.0,0,0,0
2010-03-01,13.450738,13.541676,13.417668,13.483806,84430.016,1138354.0,16.31,0.0,0,0,0
2010-03-02,13.59128,13.616081,13.508608,13.508608,34473.574,467702.0,16.34,0.0,0,0,0
2010-03-03,13.574745,13.574745,13.434203,13.434203,33747.816,455143.0,16.25,0.0,0,0,0
2010-03-04,13.401134,13.442471,13.29366,13.401134,43061.73,576905.0,16.21,0.0,0,0,0
2010-03-05,13.624348,13.74009,13.566478,13.698753,26611.18,364427.0,16.57,0.0,0,0,0
2010-03-08,13.85583,13.872365,13.806228,13.85583,38707.17,536630.0,16.76,0.0,0,0,0
2010-03-09,13.963304,14.012908,13.888898,13.897165,156643.1,2183486.0,16.81,0.0,0,0,0
2010-03-10,13.979838,14.128648,13.979838,14.087313,39191.01,550780.0,17.04,0.0,0,0,0
2010-03-11,14.054243,14.095578,13.955036,14.095578,26974.06,378114.0,17.05,0.0,0,0,0
2010-03-12,14.029441,14.0625105,13.971571,13.996373,27095.02,378976.0,16.93,0.0,0,0,0
2010-03-15,13.938502,13.963304,13.831028,13.963304,91445.695,1272741.0,16.89,0.0,0,0,0
2010-03-16,13.9137,13.971571,13.847563,13.971571,19232.627,267597.0,16.9,0.0,0,0,0
2010-03-17,14.070778,14.219587,14.070778,14.12038,59391.316,840474.0,17.08,0.0,0,0,0
2010-03-18,14.128648,14.244389,14.12038,14.186518,30844.777,438051.0,17.16,0.0,0,0,0
2010-03-19,14.269191,14.277458,14.103846,14.136915,19111.666,271075.0,17.1,0.0,0,0,0
2010-03-22,14.15345,14.368396,14.128648,14.335328,25038.701,357685.0,17.34,0.0,0,0,0
2010-03-23,14.21132,14.277458,14.112113,14.260923,61084.754,866872.0,17.25,0.0,0,0,0
2010-03-24,14.079045,14.079045,13.905433,13.996373,82373.7,1151312.0,16.93,0.0,0,0,0
2010-03-25,14.079045,14.186518,13.988106,13.988106,28667.5,404900.0,16.92,0.0,0,0,0
2010-03-26,14.112113,14.236121,14.054243,14.186518,99429.05,1408365.0,17.16,0.0,0,0,0
2010-03-29,14.277458,14.351863,14.186518,14.351863,38465.254,550076.0,17.36,0.0,0,0,0
2010-03-30,14.4428005,14.47587,14.3435955,14.47587,55883.48,806638.0,17.51,0.0,0,0,0
2010-03-31,14.368396,14.376663,14.269191,14.310526,26853.1,384270.0,17.31,0.0,0,0,0
2010-04-01,14.508939,14.608146,14.492405,14.591611,23829.104,347263.0,17.65,0.0,0,0,0
2010-04-05,14.68255,14.806559,14.674283,14.790024,94348.734,1392034.0,17.89,0.0,0,0,0
2010-04-06,14.74042,14.790024,14.699085,14.732153,142732.7,2107373.0,17.82,0.0,0,0,0
2010-04-07,14.880963,14.880963,14.666016,14.699085,60600.914,894400.0,17.78,0.0,0,0,0
2010-04-08,14.748688,14.930566,14.632948,14.880963,183859.06,2725512.0,18.0,0.0,0,0,0
2010-04-09,14.856161,14.930566,14.77349,14.922298,92776.25,1379894.0,18.05,0.0,0,0,0
2010-04-12,14.781756,14.781756,14.68255,14.723886,198253.3,2919763.0,17.81,0.0,0,0,0
2010-04-13,14.608146,14.608146,14.47587,14.575076,56488.277,821177.0,17.63,0.0,0,0,0
2010-04-14,14.550276,14.74042,14.550276,14.74042,36287.973,532062.0,17.83,0.0,0,0,0
2010-04-15,14.74042,14.781756,14.68255,14.756955,97735.61,1439694.0,17.85,0.0,0,0,0
2010-04-16,14.657748,14.657748,14.285726,14.368396,144426.14,2090192.0,17.38,0.0,0,0,0
2010-04-19,14.335328,14.376663,14.169983,14.3435955,35320.293,503247.0,17.35,0.0,0,0,0
2010-04-20,14.575076,14.632948,14.525474,14.608146,22014.703,320920.0,17.67,0.0,0,0,0
2010-04-21,14.690818,14.715618,14.508939,14.5833435,20684.145,301864.0,17.64,0.0,0,0,0
2010-04-22,14.508939,14.608146,14.3435955,14.599878,78623.945,1138156.0,17.66,0.0,0,0,0
2010-04-23,14.599878,14.632948,14.525474,14.632948,23224.303,339064.0,17.7,0.0,0,0,0
2010-04-26,14.674283,14.790024,14.674283,14.715618,15724.788,231808.0,17.8,0.0,0,0,0
2010-04-27,14.566811,14.566811,14.194785,14.194785,45359.97,650812.0,17.17,0.0,0,0,0
2010-04-28,14.426268,14.451068,14.260923,14.418,86486.336,1242956.0,17.44,0.0,0,0,0
2010-04-29,14.426268,14.517206,14.368396,14.500672,62778.195,908115.0,17.54,0.0,0,0,0
2010-04-30,14.500672,14.517206,14.269191,14.293993,106565.68,1538692.0,17.29,0.0,0,0,0
2010-05-03,14.335328,14.467603,14.335328,14.459335,16934.387,244533.0,17.49,0.0,0,0,0
2010-05-04,14.310526,14.310526,13.971571,14.079045,58060.758,816777.0,17.03,0.0,0,0,0
2010-05-05,13.888898,14.0211735,13.723556,13.864098,73785.55,1022421.0,16.77,0.0,0,0,0
2010-05-06,13.310195,13.450738,12.40907,13.004308,143942.3,1883900.0,15.73,0.0,0,0,0
2010-05-07,13.210988,13.210988,12.723224,12.9795065,63262.035,822872.0,15.7,0.0,0,0,0
2010-05-10,13.624348,13.748356,13.53341,13.748356,125677.35,1710381.0,16.63,0.0,0,0,0
2010-05-11,13.334996,13.665685,13.334996,13.516875,79954.5,1084542.0,16.35,0.0,0,0,0
2010-05-12,13.409401,13.657417,13.409401,13.616081,258128.45,3507847.0,16.47,0.0,0,0,0
2010-05-13,13.748356,13.748356,13.541676,13.541676,151925.66,2073379.0,16.38,0.0,0,0,0
2010-05-14,13.425936,13.434203,13.219255,13.318462,52738.523,702845.0,16.11,0.0,0,0,0
2010-05-17,13.161386,13.219255,12.921637,13.144851,30965.738,405094.0,15.9,0.0,0,0,0
2010-05-18,13.227523,13.244058,12.905102,12.954705,21893.744,286050.0,15.67,0.0,0,0,0
2010-05-19,12.714956,12.781094,12.508276,12.6984215,112008.875,1417511.0,15.36,0.0,0,0,0
2010-05-20,12.119718,12.210657,11.962641,12.012244,143821.33,1735131.0,14.53,0.0,0,0,0
2010-05-21,11.780763,12.342933,11.731159,12.342933,104146.484,1262863.0,14.93,0.0,0,0,0
2010-05-24,12.483475,12.624018,12.433871,12.450406,75116.1,941839.0,15.06,0.0,0,0,0
2010-05-25,11.913037,12.235458,11.830366,12.235458,118177.836,1422629.0,14.8,0.0,0,0,0
2010-05-26,12.549613,12.690155,12.433871,12.433871,56730.2,714887.0,15.04,0.0,0,0,0
2010-05-27,12.838964,13.128317,12.814163,13.128317,44876.13,584918.0,15.88,0.0,0,0,0
2010-05-28,13.120049,13.120049,12.855499,12.905102,90478.016,1173410.0,15.61,0.0,0,0,0
