Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-01-05,21.664644,21.664644,21.628656,21.628656,222.29768,4812.0,24.04,0.0,0,0,0
2007-01-08,21.808594,21.907562,21.700632,21.862576,9336.503,204120.0,24.3,0.0,0,0,0
2007-01-09,21.817593,22.060509,21.817593,22.033518,1111.4884,24328.0,24.49,0.0,0,0,0
2007-01-10,21.862576,21.997532,21.817593,21.961542,6780.079,148483.0,24.41,0.0,0,0,0
2007-01-11,21.862576,22.051512,21.862576,21.907562,8336.163,182691.0,24.35,0.0,0,0,0
2007-01-12,22.042515,22.555342,22.042515,22.492363,22340.916,497302.0,25.0,0.0,0,0,0
2007-01-16,22.555342,22.555342,22.276436,22.29443,6891.228,154391.0,24.78,0.0,0,0,0
2007-01-17,22.393396,22.636314,22.393396,22.609322,4668.2515,105333.0,25.13,0.0,0,0,0
2007-01-18,22.609322,22.609322,22.41139,22.41139,1222.6372,27502.0,24.91,0.0,0,0,0
2007-01-19,22.699291,22.753275,22.699291,22.744278,1556.0837,35385.0,25.28,0.0,0,0,0
2007-01-22,22.79826,22.915218,22.618319,22.618319,6113.186,139294.0,25.14,0.0,0,0,0
2007-01-23,23.095158,23.230112,23.050175,23.230112,24675.043,572193.0,25.82,0.0,0,0,0
2007-01-24,23.050175,23.239109,22.897226,23.185127,3890.2095,89765.0,25.77,0.0,0,0,0
2007-01-25,23.401054,23.419048,23.158136,23.17613,8780.759,203789.0,25.76,0.0,0,0,0
2007-01-26,23.14914,23.17613,23.140142,23.14914,2556.4233,59184.0,25.73,0.0,0,0,0
2007-01-29,23.122149,23.158136,22.978199,22.987194,8113.865,187068.0,25.55,0.0,0,0,0
2007-01-30,23.068167,23.221115,23.068167,23.221115,27231.465,629941.0,25.81,0.0,0,0,0
2007-01-31,23.185127,23.491024,23.185127,23.43704,9781.098,228969.0,26.05,0.0,0,0,0
2007-02-01,23.706951,23.715948,23.554003,23.598986,13226.712,312634.0,26.23,0.0,0,0,0
2007-02-02,23.410051,23.410051,23.05917,23.221115,11003.735,255252.0,25.81,0.0,0,0,0
2007-02-05,23.329079,23.365067,23.302088,23.311085,2778.721,64831.0,25.91,0.0,0,0,0
2007-02-06,23.598986,23.598986,23.44604,23.482027,10225.693,240715.0,26.1,0.0,0,0,0
2007-02-07,23.509016,23.616982,23.410051,23.410051,6668.93,157021.0,26.02,0.0,0,0,0
2007-02-08,23.536009,23.751934,23.52701,23.73394,55796.72,1320094.0,26.38,0.0,0,0,0
2007-02-09,23.931873,24.012846,23.769928,23.940872,11559.4795,276341.0,26.61,0.0,0,0,0
2007-02-12,23.82391,23.868896,23.634975,23.769928,35011.883,832705.0,26.42,0.0,0,0,0
2007-02-13,23.967861,23.967861,23.787924,23.895885,24119.299,577024.0,26.56,0.0,0,0,0
2007-02-14,24.003849,24.1478,23.94987,24.021843,23452.404,563302.0,26.7,0.0,0,0,0
2007-02-15,23.985855,24.066828,23.841904,24.066828,9669.949,231721.0,26.75,0.0,0,0,0
2007-02-16,23.8599,24.03084,23.805916,24.03084,5668.591,135748.0,26.71,0.0,0,0,0
2007-02-20,23.814913,23.8509,23.392057,23.607983,36234.523,856868.0,26.24,0.0,0,0,0
2007-02-21,23.688955,24.49868,23.688955,24.35473,21562.875,523320.0,27.07,0.0,0,0,0
2007-02-22,24.390718,24.462694,24.291752,24.336735,26342.275,642078.0,27.05,0.0,0,0,0
2007-02-23,24.62464,24.76859,24.53467,24.62464,43125.75,1062526.0,27.37,0.0,0,0,0
2007-02-26,24.741598,24.813574,24.606646,24.759594,30343.633,750662.0,27.52,0.0,0,0,0
2007-02-27,24.426706,24.82257,23.616982,23.79692,24230.447,589537.0,26.45,0.0,0,0,0
2007-02-28,24.048834,24.138803,23.724945,24.102816,18450.707,443215.0,26.79,0.0,0,0,0
2007-03-01,24.05783,24.066828,23.607983,23.742937,18006.111,428499.0,26.39,0.0,0,0,0
2007-03-02,23.077164,23.338076,22.717287,22.88823,37457.16,860964.0,25.44,0.0,0,0,0
2007-03-05,22.438381,22.834246,21.592669,22.564339,15783.135,355667.0,25.08,0.0,0,0,0
2007-03-06,22.870234,22.996191,22.78926,22.996191,14671.646,335186.0,25.56,0.0,0,0,0
2007-03-07,22.915218,23.158136,22.915218,23.050175,9558.8,220813.0,25.62,0.0,0,0,0
2007-03-08,23.194124,23.239109,23.077164,23.077164,18339.559,425429.0,25.65,0.0,0,0,0
2007-03-09,23.068167,23.095158,22.987194,22.987194,1889.5303,43542.0,25.55,0.0,0,0,0
2007-03-12,22.960203,23.212118,22.951206,23.122149,6446.633,148706.0,25.7,0.0,0,0,0
2007-03-13,23.140142,23.140142,22.771267,22.79826,7669.27,175693.0,25.34,0.0,0,0,0
2007-03-14,22.870234,22.870234,22.645311,22.780264,2556.4233,58266.0,25.32,0.0,0,0,0
2007-03-15,22.94221,23.050175,22.924215,22.969202,7446.972,171034.0,25.53,0.0,0,0,0
2007-03-16,23.221115,23.248106,23.113152,23.212118,7113.526,165104.0,25.8,0.0,0,0,0
2007-03-19,23.230112,23.275097,23.212118,23.212118,1889.5303,43947.0,25.8,0.0,0,0,0
2007-03-20,23.482027,23.52701,23.410051,23.44604,4668.2515,109667.0,26.06,0.0,0,0,0
2007-03-21,23.545006,23.571997,23.374063,23.545006,5446.293,127800.0,26.17,0.0,0,0,0
2007-03-22,23.643972,23.742937,23.589989,23.607983,12782.116,302276.0,26.24,0.0,0,0,0
2007-03-23,23.598986,23.616982,23.311085,23.347073,21674.023,506512.0,25.95,0.0,0,0,0
2007-03-26,23.580992,23.616982,23.545006,23.616982,8669.609,204553.0,26.25,0.0,0,0,0
2007-03-27,23.607983,23.643972,23.52701,23.554003,12782.116,301478.0,26.18,0.0,0,0,0
2007-03-28,23.724945,23.751934,23.589989,23.688955,17672.666,418421.0,26.33,0.0,0,0,0
2007-03-29,23.47303,23.52701,23.329079,23.509016,11448.33,268203.0,26.13,0.0,0,0,0
