Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-06-16,10.129515,10.143653,10.101236,10.137593,10396.846,105337.0,50.19,0.0,0,0,0
2006-06-19,10.159812,10.159812,10.044681,10.044681,16337.901,165020.0,49.73,0.0,0,0,0
2006-06-20,10.064879,10.064879,10.0285225,10.0285225,1980.3517,19878.0,49.65,0.0,0,0,0
2006-06-21,10.042661,10.147693,10.042661,10.137593,20793.691,210007.0,50.19,0.0,0,0,0
2006-06-22,10.079019,10.079019,10.072958,10.072958,3960.7034,39917.0,49.87,0.0,0,0,0
2006-06-23,10.05276,10.113356,10.05276,10.101236,12872.285,129831.0,50.01,0.0,0,0,0
2006-06-26,10.119414,10.137593,10.119414,10.121435,77728.805,787626.0,50.11,0.0,0,0,0
2006-06-27,10.121435,10.121435,10.079019,10.079019,6931.231,69973.0,49.9,0.0,0,0,0
2006-06-28,10.076998,10.076998,10.068918,10.068918,1485.2637,14958.0,49.85,0.0,0,0,0
2006-06-29,10.194149,10.283022,10.157792,10.283022,10396.846,106347.0,50.91,0.0,0,0,0
2006-06-30,10.321399,10.365836,10.31938,10.353717,30200.363,312049.0,51.26,0.0,0,0,0
2006-07-03,10.365836,10.418352,10.365836,10.418352,9406.67,97615.0,51.58,0.0,0,0,0
2006-07-05,10.369876,10.381995,10.369876,10.375935,32180.715,333895.0,51.37,0.0,0,0,0
2006-07-06,10.301201,10.381995,10.301201,10.357757,19803.516,205030.0,51.28,0.0,0,0,0
2006-07-07,10.3597765,10.4122925,10.335538,10.335538,18318.252,190291.0,51.17,0.0,0,0,0
2006-07-10,10.361796,10.424412,10.361796,10.373916,19308.428,200764.0,51.36,0.0,0,0,0
2006-07-11,10.386034,10.4122925,10.3254385,10.410273,20793.691,215520.0,51.54,0.0,0,0,0
2006-07-12,10.400173,10.408253,10.31938,10.3254385,21783.867,225599.0,51.12,0.0,0,0,0
2006-07-13,10.285042,10.285042,10.188089,10.188089,21288.78,218325.0,50.44,0.0,0,0,0
2006-07-14,10.137593,10.159812,10.083057,10.109316,70797.57,714532.0,50.05,0.0,0,0,0
2006-07-17,10.123454,10.123454,10.105276,10.109316,12872.285,130281.0,50.05,0.0,0,0,0
2006-07-18,10.137593,10.137593,10.046701,10.046701,309925.03,3114318.0,49.74,0.0,0,0,0
2006-07-19,10.214348,10.337558,10.214348,10.337558,516376.7,5316129.0,51.18,0.0,0,0,0
2006-07-20,10.361796,10.361796,10.240605,10.240605,124762.16,1283521.0,50.7,0.0,0,0,0
2006-07-21,10.222427,10.222427,10.121435,10.127494,8416.494,85592.0,50.14,0.0,0,0,0
2006-07-24,10.1678915,10.234546,10.1678915,10.234546,7921.4067,80993.0,50.67,0.0,0,0,0
2006-07-25,10.351697,10.351697,10.345637,10.345637,3960.7034,40982.0,51.22,0.0,0,0,0
2006-07-26,10.3113,10.345637,10.281003,10.333518,122286.71,1259682.0,51.16,0.0,0,0,0
2006-07-27,10.353717,10.361796,10.258784,10.258784,42082.473,434282.0,50.79,0.0,0,0,0
2006-07-28,10.365836,10.404213,10.345637,10.398153,45053.0,467445.0,51.48,0.0,0,0,0
2006-07-31,10.361796,10.373916,10.351697,10.369876,22278.955,230826.0,51.34,0.0,0,0,0
2006-08-01,10.3113,10.365836,10.3113,10.365836,8911.582,92100.0,51.32,0.0,0,0,0
2006-08-02,10.392094,10.416332,10.365836,10.379974,16337.901,169814.0,51.39,0.0,0,0,0
2006-08-03,10.379974,10.456729,10.379974,10.452689,6436.1426,67107.0,51.75,0.0,0,0,0
2006-08-04,10.5334835,10.5759,10.4991455,10.4991455,16832.988,177091.0,51.98,0.0,0,0,0
2006-08-07,10.470868,10.470868,10.424412,10.44663,18813.34,196798.0,51.72,0.0,0,0,0
2006-08-08,10.464808,10.464808,10.464808,10.464808,6436.1426,67353.0,51.81,0.0,0,0,0
2006-08-09,10.454709,10.454709,10.377955,10.379974,43567.734,453389.0,51.39,0.0,0,0,0
2006-08-10,10.299181,10.351697,10.299181,10.351697,64856.516,668889.0,51.25,0.0,0,0,0
2006-08-11,10.341598,10.341598,10.256764,10.281003,17823.164,183564.0,50.9,0.0,0,0,0
2006-08-14,10.361796,10.410273,10.31534,10.31534,22774.043,235725.0,51.07,0.0,0,0,0
2006-08-15,10.422391,10.44461,10.4122925,10.44461,29705.275,309625.0,51.71,0.0,0,0,0
2006-08-16,10.485006,10.523383,10.482987,10.517324,34656.152,363864.0,52.07,0.0,0,0,0
2006-08-17,10.523383,10.557721,10.521364,10.5334835,27229.836,287212.0,52.15,0.0,0,0,0
2006-08-18,10.5516615,10.5516615,10.511265,10.537522,2475.4395,26090.0,52.17,0.0,0,0,0
2006-08-21,10.535502,10.535502,10.505205,10.521364,33665.977,354226.0,52.09,0.0,0,0,0
2006-08-22,10.513285,10.555701,10.513285,10.555701,10891.934,114700.0,52.26,0.0,0,0,0
2006-08-23,10.563781,10.565801,10.454709,10.462789,35646.33,374494.0,51.8,0.0,0,0,0
2006-08-24,10.489046,10.489046,10.458749,10.472887,11882.109,124518.0,51.85,0.0,0,0,0
2006-08-25,10.474908,10.474908,10.43653,10.454709,16337.901,170678.0,51.76,0.0,0,0,0
2006-08-28,10.466828,10.547622,10.466828,10.537522,29705.275,312495.0,52.17,0.0,0,0,0
2006-08-29,10.537522,10.5759,10.503185,10.567821,13367.373,140767.0,52.32,0.0,0,0,0
2006-08-30,10.567821,10.590038,10.563781,10.585999,78223.89,827551.0,52.41,0.0,0,0,0
2006-08-31,10.612257,10.6385145,10.612257,10.628415,18813.34,199922.0,52.62,0.0,0,0,0
2006-09-01,10.630436,10.6566925,10.630436,10.636495,27229.836,289942.0,52.66,0.0,0,0,0
2006-09-05,10.654674,10.674871,10.648614,10.670833,74263.19,791839.0,52.83,0.0,0,0,0
2006-09-06,10.614277,10.616297,10.567821,10.577919,90601.086,960285.0,52.37,0.0,0,0,0
2006-09-07,10.553681,10.555701,10.503185,10.517324,27724.924,292098.0,52.07,0.0,0,0,0
2006-09-08,10.537522,10.573879,10.509245,10.573879,59905.637,631858.0,52.35,0.0,0,0,0
2006-09-11,10.561761,10.602158,10.511265,10.57994,39111.945,413328.0,52.38,0.0,0,0,0
2006-09-12,10.58398,10.69709,10.58398,10.69709,52479.316,558137.0,52.96,0.0,0,0,0
2006-09-13,10.686991,10.751626,10.686991,10.749606,16337.901,174989.0,53.22,0.0,0,0,0
2006-09-14,10.741527,10.741527,10.713249,10.721329,29210.188,313344.0,53.08,0.0,0,0,0
2006-09-15,10.765764,10.7778845,10.751626,10.773845,25249.482,271923.0,53.34,0.0,0,0,0
2006-09-18,10.733447,10.753646,10.70517,10.717289,44557.91,478295.0,53.06,0.0,0,0,0
2006-09-19,10.717289,10.737487,10.666793,10.737487,38121.77,407788.0,53.16,0.0,0,0,0
2006-09-20,10.751626,10.814241,10.751626,10.783943,21783.867,235012.0,53.39,0.0,0,0,0
