Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-11-17,19.755655,19.759563,19.755655,19.759563,511.65097,10109.0,50.55,0.0,0,0,0
2006-11-21,19.779108,19.779108,19.779108,19.779108,255.82549,5060.0,50.6,0.0,0,0,0
2006-11-22,19.837742,19.837742,19.837742,19.837742,255.82549,5075.0,50.75,0.0,0,0,0
2006-11-27,19.59148,19.59148,19.509394,19.51721,3325.7314,65043.0,49.93,0.0,0,0,0
2006-11-28,19.51721,19.51721,19.51721,19.51721,1279.1274,24965.0,49.93,0.0,0,0,0
2006-11-29,19.642296,19.716564,19.642296,19.70093,7674.7646,151059.0,50.4,0.0,0,0,0
2006-11-30,19.646204,19.779108,19.646204,19.779108,2046.6039,40332.0,50.6,0.0,0,0,0
2006-12-01,19.720474,19.720474,19.622751,19.634478,2046.6039,40194.0,50.23,0.0,0,0,0
2006-12-05,19.935465,19.951101,19.935465,19.951101,4093.2078,81624.0,51.04,0.0,0,0,0
2006-12-06,19.974554,19.974554,19.95501,19.95501,7418.9395,148100.0,51.05,0.0,0,0,0
2006-12-07,20.013643,20.013643,19.900284,19.900284,5883.9863,117262.0,50.91,0.0,0,0,0
2006-12-08,19.923738,19.935465,19.923738,19.935465,4604.859,91778.0,51.0,0.0,0,0,0
2006-12-11,19.994099,19.994099,19.962828,19.962828,4093.2078,81816.0,51.07,0.0,0,0,0
2006-12-14,20.076185,20.134819,20.076185,20.123093,11000.496,221330.0,51.48,0.0,0,0,0
2006-12-15,20.181726,20.181726,20.181726,20.181726,767.47644,15489.0,51.63,0.0,0,0,0
2006-12-18,20.13091,20.13091,20.13091,20.13091,3069.9058,61800.0,51.5,0.0,0,0,0
2006-12-19,20.107456,20.107456,20.064459,20.064459,1023.30194,20556.0,51.33,0.0,0,0,0
2006-12-20,20.105587,20.105587,20.066416,20.066416,1276.5109,25646.0,51.23,0.0,0,0,0
2006-12-21,20.074251,20.074251,20.074251,20.074251,1531.8131,30750.0,51.25,0.0,0,0,0
2006-12-22,19.956743,19.956743,19.917574,19.917574,3574.2305,71201.0,50.85,0.0,0,0,0
2006-12-27,20.058582,20.058582,20.046833,20.046833,2808.324,56315.0,51.18,0.0,0,0,0
2006-12-28,20.066416,20.066416,20.046833,20.0625,3829.5327,76816.0,51.22,0.0,0,0,0
2006-12-29,20.10167,20.10167,20.035082,20.035082,26040.822,523205.0,51.15,0.0,0,0,0
2007-01-03,20.093836,20.093836,19.991995,19.995913,1021.20874,20443.0,51.05,0.0,0,0,0
2007-01-04,20.003746,20.121254,20.003746,20.121254,12509.807,250827.0,51.37,0.0,0,0,0
2007-01-05,19.94891,19.956743,19.94891,19.956743,510.60437,10188.0,50.95,0.0,0,0,0
2007-01-08,19.988077,20.015497,19.980244,20.015497,56932.387,1139507.0,51.1,0.0,0,0,0
2007-01-09,19.952826,19.988077,19.952826,19.988077,1021.20874,20403.0,51.03,0.0,0,0,0
2007-01-10,19.952826,20.074251,19.952826,20.074251,6127.2524,122749.0,51.25,0.0,0,0,0
2007-01-11,20.16434,20.230928,20.16434,20.230928,765.90656,15461.0,51.65,0.0,0,0,0
2007-01-12,20.230928,20.313183,20.230928,20.297516,27827.938,565248.0,51.82,0.0,0,0,0
2007-01-16,20.328852,20.328852,20.281847,20.328852,10977.994,222700.0,51.9,0.0,0,0,0
2007-01-17,20.30535,20.348436,20.254429,20.254429,80675.49,1640292.0,51.71,0.0,0,0,0
2007-01-18,20.270098,20.285765,20.234844,20.234844,3063.6262,62084.0,51.66,0.0,0,0,0
2007-01-19,20.20351,20.254429,20.20351,20.254429,765.90656,15500.0,51.71,0.0,0,0,0
2007-01-22,20.262262,20.262262,20.129087,20.16434,37274.117,753773.0,51.48,0.0,0,0,0
