Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-06-16,15.442594,15.460996,15.405789,15.460996,14672.082,226621.0,50.41,0.0,0,0,0
2006-06-19,15.418057,15.4364605,15.289241,15.289241,23801.377,366390.0,49.85,0.0,0,0,0
2006-06-20,15.344448,15.396588,15.344448,15.36285,11411.619,175241.0,50.09,0.0,0,0,0
2006-06-21,15.335247,15.460996,15.335247,15.4272585,18910.684,291208.0,50.3,0.0,0,0,0
2006-06-22,15.356716,15.390454,15.335247,15.335247,8477.203,130111.0,50.0,0.0,0,0,0
2006-06-23,15.350582,15.4211235,15.319912,15.350582,93575.28,1439408.0,50.05,0.0,0,0,0
2006-06-26,15.381253,15.445661,15.365917,15.445661,37821.367,581741.0,50.36,0.0,0,0,0
2006-06-27,15.464063,15.476331,15.365917,15.365917,14346.036,221124.0,50.1,0.0,0,0,0
2006-06-28,15.381253,15.414989,15.347515,15.414989,8803.249,135380.0,50.26,0.0,0,0,0
2006-06-29,15.494734,15.556075,15.494734,15.528471,2608.37,40477.0,50.63,0.0,0,0,0
2006-06-30,15.773835,15.773835,15.724762,15.764634,16302.313,256929.0,51.4,0.0,0,0,0
2006-07-03,15.776901,15.8413105,15.764634,15.8413105,17280.451,273005.0,51.65,0.0,0,0,0
2006-07-05,15.727829,15.770767,15.721695,15.733963,400384.8,6297306.0,51.3,0.0,0,0,0
2006-07-06,15.779969,15.856646,15.779969,15.819841,10759.526,170262.0,51.58,0.0,0,0,0
2006-07-07,15.819841,15.825974,15.7585,15.7585,6520.9253,103043.0,51.38,0.0,0,0,0
2006-07-10,15.779969,15.853578,15.779969,15.819841,53471.586,846848.0,51.58,0.0,0,0,0
2006-07-11,15.779969,15.819841,15.718628,15.819841,11411.619,179772.0,51.58,0.0,0,0,0
2006-07-12,15.835176,15.835176,15.715562,15.721695,11411.619,179988.0,51.26,0.0,0,0,0
2006-07-13,15.648087,15.648087,15.485533,15.519269,17280.451,268859.0,50.6,0.0,0,0,0
2006-07-14,15.464063,15.464063,15.359784,15.424191,7173.018,110474.0,50.29,0.0,0,0,0
2006-07-17,15.445661,15.445661,15.384319,15.418057,5542.7866,85550.0,50.27,0.0,0,0,0
2006-07-18,15.4364605,15.479399,15.344448,15.4364605,15976.267,246768.0,50.33,0.0,0,0,0
2006-07-19,15.556075,15.770767,15.556075,15.770767,29018.117,454644.0,51.42,0.0,0,0,0
2006-07-20,15.776901,15.783036,15.681824,15.681824,10107.435,159241.0,51.13,0.0,0,0,0
2006-07-21,15.669556,15.669556,15.595945,15.595945,5542.7866,86576.0,50.85,0.0,0,0,0
2006-07-24,15.641952,15.779969,15.641952,15.764634,49885.08,784449.0,51.4,0.0,0,0,0
2006-07-25,15.8413105,15.927188,15.8413105,15.927188,3586.509,56955.0,51.93,0.0,0,0,0
2006-07-26,15.887316,15.97626,15.881182,15.948657,37495.32,596731.0,52.0,0.0,0,0,0
2006-07-27,15.988529,15.997729,15.902651,15.902651,22823.238,363752.0,51.85,0.0,0,0,0
2006-07-28,15.957857,16.102009,15.94559,16.102009,10433.48,166819.0,52.5,0.0,0,0,0
2006-07-31,16.037601,16.074406,16.037601,16.068272,2282.324,36663.0,52.39,0.0,0,0,0
2006-08-01,15.954791,15.988529,15.954791,15.988529,6520.9253,104141.0,52.13,0.0,0,0,0
2006-08-02,16.003864,16.129612,16.003864,16.077473,49232.984,792828.0,52.42,0.0,0,0,0
2006-08-03,16.009998,16.169485,16.009998,16.154148,11737.666,189384.0,52.67,0.0,0,0,0
2006-08-04,16.218557,16.249228,16.141882,16.166416,19888.822,322625.0,52.71,0.0,0,0,0
2006-08-07,16.126547,16.148016,16.086674,16.105076,24453.47,394227.0,52.51,0.0,0,0,0
2006-08-08,16.123478,16.194021,16.04987,16.071339,62274.836,1003993.0,52.4,0.0,0,0,0
2006-08-09,16.129612,16.129612,15.963992,15.963992,5542.7866,88996.0,52.05,0.0,0,0,0
2006-08-10,15.954791,16.003864,15.921053,16.003864,41407.875,660654.0,52.18,0.0,0,0,0
2006-08-11,15.979327,15.979327,15.933322,15.963992,32930.67,525343.0,52.05,0.0,0,0,0
2006-08-14,16.031467,16.108143,15.963992,15.979327,36843.227,591593.0,52.1,0.0,0,0,0
2006-08-15,16.105076,16.178686,16.102009,16.178686,51841.355,836400.0,52.75,0.0,0,0,0
2006-08-16,16.21549,16.258429,16.200155,16.243093,63905.066,1037639.0,52.96,0.0,0,0,0
2006-08-17,16.227758,16.289099,16.227758,16.264563,37169.273,604405.0,53.03,0.0,0,0,0
2006-08-18,16.295233,16.328972,16.249228,16.328972,32278.58,526127.0,53.24,0.0,0,0,0
2006-08-21,16.292166,16.313635,16.282965,16.2983,62600.883,1020374.0,53.14,0.0,0,0,0
2006-08-22,16.255362,16.332039,16.255362,16.319769,14998.128,244229.0,53.21,0.0,0,0,0
2006-08-23,16.316704,16.344307,16.218557,16.218557,43364.152,706808.0,52.88,0.0,0,0,0
2006-08-24,16.286032,16.301369,16.249228,16.292166,29670.21,482943.0,53.12,0.0,0,0,0
2006-08-25,16.233892,16.289099,16.224691,16.270697,31626.488,513908.0,53.05,0.0,0,0,0
2006-08-28,16.187887,16.378044,16.187887,16.368843,86076.21,1406013.0,53.37,0.0,0,0,0
2006-08-29,16.344307,16.396446,16.295233,16.390312,15650.221,255410.0,53.44,0.0,0,0,0
2006-08-30,16.384178,16.40258,16.384178,16.40258,5542.7866,90868.0,53.48,0.0,0,0,0
2006-08-31,16.408714,16.411781,16.387245,16.399513,11085.573,181716.0,53.47,0.0,0,0,0
2006-09-01,16.384178,16.470055,16.384178,16.46392,38473.46,632404.0,53.68,0.0,0,0,0
2006-09-05,16.470055,16.49459,16.45472,16.48539,25757.654,424485.0,53.75,0.0,0,0,0
2006-09-06,16.411781,16.417915,16.384178,16.384178,16302.313,267429.0,53.42,0.0,0,0,0
2006-09-07,16.48539,16.48539,16.27683,16.310568,84772.03,1392580.0,53.18,0.0,0,0,0
2006-09-08,16.332039,16.341238,16.286032,16.341238,2282.324,37254.0,53.28,0.0,0,0,0
2006-09-11,16.316704,16.344307,16.286032,16.344307,24453.47,399345.0,53.29,0.0,0,0,0
2006-09-12,16.39338,16.49459,16.387245,16.491524,40103.69,658311.0,53.77,0.0,0,0,0
2006-09-13,16.470055,16.565134,16.470055,16.543663,41407.875,683627.0,53.94,0.0,0,0,0
2006-09-14,16.552866,16.552866,16.49766,16.537529,23149.285,382760.0,53.92,0.0,0,0,0
2006-09-15,16.577402,16.62034,16.552866,16.58047,14672.082,243309.0,54.06,0.0,0,0,0
2006-09-18,16.546732,16.586603,16.534464,16.546732,23801.377,394147.0,53.95,0.0,0,0,0
2006-09-19,16.562067,16.577402,16.48539,16.562067,17606.498,291018.0,54.0,0.0,0,0,0
2006-09-20,16.608072,16.629541,16.586603,16.623407,36517.184,606366.0,54.2,0.0,0,0,0
2006-09-21,16.654078,16.654078,16.512995,16.546732,45320.43,752015.0,53.95,0.0,0,0,0
2006-09-22,16.552866,16.552866,16.479256,16.540598,25105.562,414239.0,53.93,0.0,0,0,0
2006-09-25,16.540598,16.68475,16.512995,16.660212,34886.95,577972.0,54.32,0.0,0,0,0
2006-09-26,16.669413,16.74609,16.635675,16.736889,91945.05,1535233.0,54.57,0.0,0,0,0
2006-09-27,16.761425,16.804363,16.752224,16.77676,51189.266,859047.0,54.7,0.0,0,0,0
2006-09-28,16.80743,16.816633,16.739956,16.782894,18258.592,306253.0,54.72,0.0,0,0,0
2006-09-29,16.792095,16.792095,16.74609,16.74609,20540.914,344562.0,54.6,0.0,0,0,0
2006-10-02,16.74609,16.77676,16.687815,16.718485,33256.72,556904.0,54.51,0.0,0,0,0
2006-10-03,16.700085,16.804363,16.700085,16.74609,19888.822,333660.0,54.6,0.0,0,0,0
2006-10-04,16.79966,16.938246,16.778103,16.938246,253597.69,4261143.0,55.0,0.0,0,0,0
2006-10-05,16.938246,16.965963,16.90437,16.962885,27275.55,461868.0,55.08,0.0,0,0,0
2006-10-06,16.888971,16.929007,16.839697,16.90437,12663.648,213801.0,54.89,0.0,0,0,0
2006-10-09,16.90745,16.932087,16.861254,16.925926,15586.029,263511.0,54.96,0.0,0,0,0
2006-10-10,16.935167,16.962885,16.89205,16.962885,15910.738,269451.0,55.08,0.0,0,0,0
2006-10-11,16.922848,16.969042,16.89821,16.941326,13962.484,236331.0,55.01,0.0,0,0,0
2006-10-12,16.984442,17.070673,16.978283,17.067593,17858.992,304203.0,55.42,0.0,0,0,0
2006-10-13,17.061434,17.110708,17.027557,17.110708,33769.73,576516.0,55.56,0.0,0,0,0
2006-10-16,17.107628,17.126106,17.055275,17.123026,28899.096,493907.0,55.6,0.0,0,0,0
2006-10-17,17.09223,17.09223,17.005999,17.07991,44160.418,753406.0,55.46,0.0,0,0,0
2006-10-18,17.169222,17.18462,17.09223,17.126106,31496.768,539814.0,55.61,0.0,0,0,0
2006-10-19,17.123026,17.129187,17.09223,17.126106,34743.855,594648.0,55.61,0.0,0,0,0
2006-10-20,17.230816,17.230816,17.067593,17.150743,51628.723,883771.0,55.69,0.0,0,0,0
2006-10-23,17.153824,17.258533,17.153824,17.246214,21106.082,363468.0,56.0,0.0,0,0,0
2006-10-24,17.1723,17.249292,17.1723,17.249292,57473.484,989093.0,56.01,0.0,0,0,0
2006-10-25,17.270853,17.332445,17.246214,17.332445,45134.543,780386.0,56.28,0.0,0,0,0
2006-10-26,17.37248,17.39712,17.295488,17.39712,27600.26,478572.0,56.49,0.0,0,0,0
2006-10-27,17.30165,17.357082,17.255453,17.255453,64617.08,1119273.0,56.03,0.0,0,0,0
2006-10-30,17.261612,17.28009,17.233894,17.246214,16560.156,285792.0,56.0,0.0,0,0,0
2006-10-31,17.29241,17.29241,17.19078,17.230816,25652.006,442129.0,55.95,0.0,0,0,0
2006-11-01,17.307808,17.307808,17.141504,17.147665,27924.969,480340.0,55.68,0.0,0,0,0
2006-11-02,17.09223,17.129187,17.067593,17.129187,24353.17,416535.0,55.62,0.0,0,0,0
2006-11-03,17.153824,17.169222,17.064512,17.101469,43511.0,743992.0,55.53,0.0,0,0,0
2006-11-06,17.153824,17.270853,17.150743,17.261612,50005.176,861080.0,56.05,0.0,0,0,0
2006-11-07,17.27701,17.344765,17.27701,17.29241,64941.79,1124924.0,56.15,0.0,0,0,0
2006-11-08,17.246214,17.360163,17.230816,17.341684,42536.87,736615.0,56.31,0.0,0,0,0
2006-11-09,17.307808,17.329365,17.221577,17.240055,17534.283,302946.0,55.98,0.0,0,0,0
2006-11-10,17.243135,17.243135,17.1877,17.230816,12338.939,212445.0,55.95,0.0,0,0,0
2006-11-13,17.246214,17.329365,17.246214,17.29241,23703.754,409791.0,56.15,0.0,0,0,0
2006-11-14,17.261612,17.378641,17.236975,17.378641,8767.142,151437.0,56.43,0.0,0,0,0
2006-11-15,17.400198,17.434074,17.39404,17.434074,35068.566,610633.0,56.61,0.0,0,0,0
2006-11-16,17.47719,17.483349,17.452553,17.471031,18183.701,317702.0,56.73,0.0,0,0,0
2006-11-17,17.427916,17.48951,17.427916,17.48951,11689.522,204070.0,56.79,0.0,0,0,0
2006-11-20,17.507986,17.554182,17.50183,17.532625,28249.678,494930.0,56.93,0.0,0,0,0
2006-11-21,17.538784,17.544943,17.504908,17.544943,32795.6,574603.0,56.97,0.0,0,0,0
2006-11-22,17.538784,17.55726,17.504908,17.538784,50654.594,888054.0,56.95,0.0,0,0,0
2006-11-24,17.492588,17.520306,17.48951,17.507986,6818.8877,119375.0,56.85,0.0,0,0,0
2006-11-27,17.483349,17.483349,17.28009,17.30165,22080.209,382500.0,56.18,0.0,0,0,0
2006-11-28,17.307808,17.341684,17.30165,17.335526,4545.9253,78740.0,56.29,0.0,0,0,0
2006-11-29,17.415596,17.511066,17.415596,17.511066,37341.527,652335.0,56.86,0.0,0,0,0
2006-11-30,17.523386,17.541862,17.461792,17.492588,23703.754,415029.0,56.8,0.0,0,0,0
2006-12-01,17.56034,17.56034,17.400198,17.498749,26301.424,459437.0,56.82,0.0,0,0,0
2006-12-04,17.492588,17.621935,17.492588,17.612696,20131.955,353872.0,57.19,0.0,0,0,0
2006-12-05,17.646572,17.680449,17.591139,17.67429,57798.19,1018049.0,57.39,0.0,0,0,0
2006-12-06,17.67737,17.695847,17.646572,17.66197,20456.664,361451.0,57.35,0.0,0,0,0
2006-12-07,17.692768,17.708166,17.591139,17.597298,24677.879,435371.0,57.14,0.0,0,0,0
2006-12-08,17.615776,17.649652,17.554182,17.603456,54551.1,960709.0,57.16,0.0,0,0,0
2006-12-11,17.625015,17.689688,17.625015,17.67737,22729.627,401690.0,57.4,0.0,0,0,0
2006-12-12,17.67737,17.692768,17.603456,17.683529,44485.125,785145.0,57.42,0.0,0,0,0
2006-12-13,17.708166,17.751282,17.68661,17.751282,23379.045,414169.0,57.64,0.0,0,0,0
2006-12-14,17.751282,17.855991,17.751282,17.855991,35717.984,637124.0,57.98,0.0,0,0,0
2006-12-15,17.899107,17.920664,17.87447,17.892946,26950.842,482534.0,58.1,0.0,0,0,0
2006-12-18,17.923744,17.948381,17.837513,17.865229,55849.938,999378.0,58.01,0.0,0,0,0
2006-12-19,17.76976,17.911425,17.76976,17.892946,56174.65,1002382.0,58.1,0.0,0,0,0
2006-12-20,17.917585,17.929903,17.86215,17.883709,54551.1,976533.0,58.07,0.0,0,0,0
2006-12-21,17.901617,17.923317,17.796223,17.83032,50647.66,905353.0,57.52,0.0,0,0,0
2006-12-22,17.83962,17.84892,17.731127,17.759024,23549.549,419306.0,57.29,0.0,0,0,0
2006-12-26,17.762123,17.83962,17.762123,17.83962,23226.951,413421.0,57.55,0.0,0,0,0
2006-12-27,17.917116,17.997713,17.917116,17.997713,20968.775,376649.0,58.06,0.0,0,0,0
2006-12-28,17.979113,17.979113,17.914017,17.960514,55809.203,1001640.0,57.94,0.0,0,0,0
2006-12-29,17.929516,17.948116,17.84582,17.85822,54841.414,982290.0,57.61,0.0,0,0,0
2007-01-03,17.948116,18.03181,17.799322,17.86752,122586.69,2200492.0,57.64,0.0,0,0,0
2007-01-04,17.824121,17.910917,17.783823,17.873718,117102.55,2090005.0,57.66,0.0,0,0,0
2007-01-05,17.81792,17.81792,17.697027,17.740425,123554.48,2190549.0,57.23,0.0,0,0,0
2007-01-08,17.715628,17.765224,17.63813,17.765224,46131.31,816143.0,57.31,0.0,0,0,0
2007-01-09,17.793123,17.793123,17.669128,17.771423,130974.2,2323619.0,57.33,0.0,0,0,0
2007-01-10,17.63813,17.790022,17.63813,17.790022,17420.213,308677.0,57.39,0.0,0,0,0
2007-01-11,17.824121,17.917116,17.824121,17.886118,25485.127,455769.0,57.7,0.0,0,0,0
2007-01-12,17.935717,17.963614,17.883018,17.963614,24839.934,445204.0,57.95,0.0,0,0,0
2007-01-16,17.994612,18.01011,17.932615,17.979113,88391.45,1588180.0,58.0,0.0,0,0,0
2007-01-17,17.684628,18.01011,17.684628,17.960514,53228.43,954798.0,57.94,0.0,0,0,0
2007-01-18,18.01011,18.01011,17.917116,17.957415,35163.023,632065.0,57.93,0.0,0,0,0
2007-01-19,17.963614,17.997713,17.957415,17.997713,158717.5,2852561.0,58.06,0.0,0,0,0
2007-01-22,18.025612,18.025612,17.898518,17.941916,126457.85,2269338.0,57.88,0.0,0,0,0
2007-01-23,17.907818,18.02251,17.907818,18.01011,100327.53,1803181.0,58.1,0.0,0,0,0
2007-01-24,17.979113,18.115507,17.979113,18.115507,214204.11,3866598.0,58.44,0.0,0,0,0
2007-01-25,18.149605,18.149605,17.945015,17.969814,78713.56,1417281.0,57.97,0.0,0,0,0
2007-01-26,18.02251,18.02251,17.886118,17.969814,9677.896,173385.0,57.97,0.0,0,0,0
2007-01-29,17.948116,18.000813,17.935717,17.938814,20323.582,365129.0,57.87,0.0,0,0,0
2007-01-30,17.948116,18.01011,17.948116,17.997713,15162.038,272694.0,58.06,0.0,0,0,0
2007-01-31,18.078308,18.177504,18.007011,18.177504,29033.69,525466.0,58.64,0.0,0,0,0
2007-02-01,18.211601,18.2736,18.193003,18.270498,366792.28,6683502.0,58.94,0.0,0,0,0
2007-02-02,18.298397,18.298397,18.2643,18.289099,30001.479,548580.0,59.0,0.0,0,0,0
2007-02-05,18.2736,18.307697,18.255,18.286,52583.24,961287.0,58.99,0.0,0,0,0
2007-02-06,18.304598,18.332497,18.289099,18.326296,14194.248,259925.0,59.12,0.0,0,0,0
2007-02-07,18.351095,18.366594,18.329397,18.335596,10323.09,189413.0,59.15,0.0,0,0,0
2007-02-08,18.304598,18.304598,18.2519,18.304598,11613.476,212326.0,59.05,0.0,0,0,0
2007-02-09,18.351095,18.351095,18.134106,18.174404,98391.945,1790505.0,58.63,0.0,0,0,0
2007-02-12,18.211601,18.211601,18.127907,18.146505,31614.463,574427.0,58.54,0.0,0,0,0
2007-02-13,18.233301,18.304598,18.2147,18.295298,100004.93,1827276.0,59.02,0.0,0,0,0
2007-02-14,18.344896,18.459589,18.323196,18.425491,31614.463,581858.0,59.44,0.0,0,0,0
2007-02-15,18.413092,18.44719,18.413092,18.44719,93875.59,1730984.0,59.51,0.0,0,0,0
2007-02-16,18.413092,18.41929,18.375893,18.41929,28711.094,528544.0,59.42,0.0,0,0,0
2007-02-20,18.44409,18.487488,18.363495,18.487488,31291.865,576866.0,59.64,0.0,0,0,0
2007-02-21,18.484388,18.484388,18.397593,18.42859,50647.66,933426.0,59.45,0.0,0,0,0
2007-02-22,18.46889,18.46889,18.366594,18.416191,64841.906,1195614.0,59.41,0.0,0,0,0
2007-02-23,18.413092,18.413092,18.313898,18.344896,132264.6,2425748.0,59.18,0.0,0,0,0
2007-02-26,18.44409,18.44409,18.301498,18.335596,50002.465,918505.0,59.15,0.0,0,0,0
2007-02-27,18.208502,18.208502,17.619532,17.780724,250334.92,4502794.0,57.36,0.0,0,0,0
2007-02-28,17.85512,17.951214,17.771423,17.85202,67422.68,1204851.0,57.59,0.0,0,0,0
2007-03-01,17.63813,17.889217,17.526537,17.802422,146136.23,2600333.0,57.43,0.0,0,0,0
2007-03-02,17.777622,17.777622,17.622631,17.622631,43550.535,770755.0,56.85,0.0,0,0,0
2007-03-05,17.498638,17.619532,17.402542,17.402542,55809.203,976659.0,56.14,0.0,0,0,0
2007-03-06,17.591633,17.706327,17.523436,17.666029,87746.266,1542639.0,56.99,0.0,0,0,0
2007-03-07,17.690828,17.700127,17.610231,17.616432,52583.24,929013.0,56.83,0.0,0,0,0
2007-03-08,17.762123,17.808622,17.737326,17.743526,140006.9,2489575.0,57.24,0.0,0,0,0
2007-03-09,17.870619,17.886118,17.740425,17.783823,54518.816,971839.0,57.37,0.0,0,0,0
2007-03-12,17.731127,17.85512,17.731127,17.824121,235172.89,4181850.0,57.5,0.0,0,0,0
2007-03-13,17.746624,17.755924,17.467638,17.489338,66777.484,1175776.0,56.42,0.0,0,0,0
2007-03-14,17.529634,17.554434,17.281649,17.511038,71616.44,1247699.0,56.49,0.0,0,0,0
2007-03-15,17.622631,17.672228,17.607132,17.666029,349694.66,6160914.0,56.99,0.0,0,0,0
2007-03-16,17.65363,17.703228,17.560635,17.585432,20646.18,363450.0,56.73,0.0,0,0,0
2007-03-19,17.64743,17.774523,17.64743,17.752825,54841.414,972510.0,57.27,0.0,0,0,0
2007-03-20,17.746624,17.87992,17.731127,17.86752,40647.164,724110.0,57.64,0.0,0,0,0
2007-03-21,17.886118,18.193003,17.86442,18.177504,49357.273,889125.0,58.64,0.0,0,0,0
2007-03-22,18.2271,18.2271,18.131006,18.180603,45163.516,822019.0,58.65,0.0,0,0,0
2007-03-23,18.140306,18.2147,18.140306,18.189903,13871.651,252483.0,58.68,0.0,0,0,0
2007-03-26,18.197191,18.197191,18.041393,18.194075,23748.72,430759.0,58.39,0.0,0,0,0
2007-03-27,18.12864,18.134872,18.053856,18.09125,101413.45,1835789.0,58.06,0.0,0,0,0
2007-03-28,18.072554,18.072554,17.904291,17.960379,30809.15,552851.0,57.64,0.0,0,0,0
2007-03-29,18.06632,18.06632,17.98219,18.06009,6739.5015,121384.0,57.96,0.0,0,0,0
2007-03-30,18.056973,18.103712,17.926102,18.010233,32734.723,590538.0,57.8,0.0,0,0,0
2007-04-02,18.041393,18.078785,18.010233,18.072554,58409.016,1052753.0,58.0,0.0,0,0,0
2007-04-03,18.119293,18.24393,18.119293,18.219004,37227.723,677962.0,58.47,0.0,0,0,0
2007-04-04,18.197191,18.237698,18.197191,18.219004,234277.92,4269952.0,58.47,0.0,0,0,0
2007-04-05,18.234583,18.29067,18.228352,18.262627,33697.508,614824.0,58.61,0.0,0,0,0
2007-04-09,18.321829,18.321829,18.275091,18.287554,29204.508,534295.0,58.69,0.0,0,0,0
2007-04-10,18.275091,18.349873,18.275091,18.349873,72208.945,1322050.0,58.89,0.0,0,0,0
2007-04-11,18.365452,18.365452,18.20654,18.228352,30809.15,563188.0,58.5,0.0,0,0,0
2007-04-12,18.228352,18.28132,18.150452,18.28132,17972.004,327250.0,58.67,0.0,0,0,0
2007-04-13,18.30625,18.365452,18.265741,18.362337,122915.67,2252457.0,58.93,0.0,0,0,0
2007-04-16,18.493206,18.558643,18.493206,18.543062,25995.22,481514.0,59.51,0.0,0,0,0
2007-04-17,18.59915,18.62096,18.571106,18.589802,93069.31,1729449.0,59.66,0.0,0,0,0
2007-04-18,18.586687,18.664585,18.586687,18.664585,9627.859,179394.0,59.9,0.0,0,0,0
2007-04-19,18.508787,18.642773,18.508787,18.617846,16046.433,298383.0,59.75,0.0,0,0,0
