Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-08-30,28.938742,29.05614,28.938742,29.05614,511.07956,14817.0,49.5,0.0,0,0,0
2007-09-05,29.660742,29.660742,29.619654,29.619654,681.43945,20191.0,50.46,0.0,0,0,0
2007-09-10,28.645245,28.645245,28.645245,28.645245,340.71973,9760.0,48.8,0.0,0,0,0
2007-09-14,29.90728,29.90728,29.90728,29.90728,1192.519,35665.0,50.95,0.0,0,0,0
2007-09-17,29.408335,29.408335,29.408335,29.408335,170.35986,5010.0,50.1,0.0,0,0,0
2007-09-19,31.069527,31.110615,31.069527,31.110615,340.71973,10593.0,53.0,0.0,0,0,0
2007-09-20,30.805378,30.805378,30.75842,30.75842,1703.5986,52431.0,52.4,0.0,0,0,0
2007-09-21,30.75842,30.77603,30.75842,30.77603,851.7993,26203.0,52.43,0.0,0,0,0
2007-09-24,30.770159,30.770159,30.770159,30.770159,511.07956,15725.999,52.42,0.0,0,0,0
2007-09-25,30.834728,30.834728,30.834728,30.834728,170.35986,5253.0,52.53,0.0,0,0,0
2007-09-26,31.110615,31.110615,31.110615,31.110615,170.35986,5300.0,53.0,0.0,0,0,0
2007-09-27,31.49216,31.49216,31.480421,31.480421,5621.8755,177043.0,53.63,0.0,0,0,0
2007-09-28,31.521511,31.521511,31.404112,31.404112,340.71973,10719.0,53.5,0.0,0,0,0
2007-10-02,31.991104,32.871593,31.991104,32.871593,2214.6782,71235.0,56.0,0.0,0,0,0
2007-10-03,32.020454,32.020454,31.950014,31.950014,2896.1177,92623.0,54.43,0.0,0,0,0
2007-10-04,31.785658,31.785658,31.785658,31.785658,681.43945,21660.0,54.15,0.0,0,0,0
2007-10-05,32.167202,32.255253,32.167202,32.255253,681.43945,21935.0,54.95,0.0,0,0,0
2007-10-08,32.0498,32.079155,32.0498,32.0498,2725.7578,87370.0,54.6,0.0,0,0,0
2007-10-09,32.225903,32.255253,32.225903,32.255253,2725.7578,87909.0,54.95,0.0,0,0,0
2007-10-10,32.402,32.519398,32.402,32.519398,1192.519,38734.0,55.4,0.0,0,0,0
2007-10-11,32.43135,32.43135,32.43135,32.43135,1533.2388,49725.0,55.25,0.0,0,0,0
2007-10-12,32.402,32.402,32.402,32.402,170.35986,5520.0,55.2,0.0,0,0,0
2007-10-15,31.826748,31.873705,31.697609,31.826748,8517.993,270843.0,54.22,0.0,0,0,0
2007-10-16,31.316061,31.43346,31.081266,31.081266,2385.038,74610.0,52.95,0.0,0,0,0
2007-10-17,31.480421,31.480421,31.169313,31.169313,4770.076,149763.0,53.1,0.0,0,0,0
2007-10-18,31.110615,31.286713,31.110615,31.257364,2385.038,74382.0,53.25,0.0,0,0,0
2007-10-19,30.69972,30.69972,29.695963,30.200777,5451.5156,165522.0,51.45,0.0,0,0,0
2007-10-22,30.171429,31.110615,30.142076,31.110615,851.7993,25919.0,53.0,0.0,0,0,0
2007-10-23,30.875816,30.934519,30.81712,30.81712,681.43945,21030.0,52.5,0.0,0,0,0
2007-10-24,30.905169,30.905169,30.55297,30.564713,681.43945,20900.0,52.07,0.0,0,0,0
2007-10-25,31.228014,31.345413,30.963867,31.345413,1533.2388,47893.0,53.4,0.0,0,0,0
2007-10-26,31.726957,31.726957,31.674128,31.674128,1192.519,37800.0,53.96,0.0,0,0,0
2007-10-29,31.697609,31.756306,31.668259,31.756306,511.07956,16205.0,54.1,0.0,0,0,0
2007-10-30,31.779787,31.779787,31.779787,31.779787,1192.519,37898.0,54.14,0.0,0,0,0
2007-10-31,32.020454,32.173073,32.020454,32.173073,340.71973,10936.0,54.81,0.0,0,0,0
2007-11-01,31.726957,31.785658,31.63891,31.63891,1022.1591,32404.0,53.9,0.0,0,0,0
2007-11-02,31.286713,31.286713,31.139965,31.139965,340.71973,10635.0,53.05,0.0,0,0,0
2007-11-05,30.417963,30.417963,30.300564,30.300564,681.43945,20698.0,51.62,0.0,0,0,0
2007-11-06,30.558844,30.611671,30.558844,30.611671,851.7993,26066.0,52.15,0.0,0,0,0
2007-11-07,30.81712,30.81712,30.75842,30.75842,1022.1591,31440.0,52.4,0.0,0,0,0
2007-11-09,29.607914,29.930761,29.607914,29.930761,1362.8789,40572.0,50.99,0.0,0,0,0
2007-11-12,29.525734,29.672483,29.525734,29.660742,1362.8789,40368.0,50.53,0.0,0,0,0
2007-11-13,30.611671,30.611671,30.611671,30.611671,170.35986,5215.0,52.15,0.0,0,0,0
2007-11-14,30.59406,30.59406,30.59406,30.59406,340.71973,10424.0,52.12,0.0,0,0,0
2007-11-15,30.112726,30.112726,29.97185,29.97185,1022.1591,30737.0,51.06,0.0,0,0,0
2007-11-16,29.525734,29.525734,29.525734,29.525734,340.71973,10060.0,50.3,0.0,0,0,0
2007-11-19,29.202888,29.202888,28.891783,28.891783,681.43945,19761.0,49.22,0.0,0,0,0
2007-11-20,28.504368,28.504368,28.504368,28.504368,340.71973,9712.0,48.56,0.0,0,0,0
2007-11-21,28.36349,28.36936,28.30479,28.36936,681.43945,19318.0,48.33,0.0,0,0,0
2007-11-26,28.768513,28.768513,28.527845,28.527845,851.7993,24434.0,48.6,0.0,0,0,0
2007-11-27,28.469149,28.469149,28.469149,28.469149,170.35986,4850.0,48.5,0.0,0,0,0
2007-11-30,30.05403,30.05403,30.05403,30.05403,511.07956,15360.0,51.2,0.0,0,0,0
2007-12-03,29.877932,29.96011,29.877932,29.96011,851.7993,25506.0,51.04,0.0,0,0,0
2007-12-04,29.672483,30.576452,29.525734,29.619654,13628.789,406300.0,50.46,0.0,0,0,0
2007-12-05,29.643133,29.643133,29.613785,29.613785,681.43945,20190.0,50.45,0.0,0,0,0
2007-12-06,30.083378,30.288824,30.05403,30.288824,1873.9585,56430.0,51.6,0.0,0,0,0
2007-12-10,30.641022,30.641022,30.641022,30.641022,170.35986,5220.0,52.2,0.0,0,0,0
2007-12-11,30.05403,30.05403,30.05403,30.05403,170.35986,5120.0,51.2,0.0,0,0,0
2007-12-12,30.230125,30.230125,29.93663,29.93663,2725.7578,81805.0,51.0,0.0,0,0,0
2007-12-13,29.038532,29.038532,28.750904,28.791994,2044.3182,58911.0,49.05,0.0,0,0,0
2007-12-14,28.527845,28.527845,28.527845,28.527845,170.35986,4860.0,48.6,0.0,0,0,0
2007-12-17,27.40669,27.44191,26.473372,26.62012,10221.592,277044.0,45.35,0.0,0,0,0
2007-12-18,27.265814,27.324512,26.532072,26.913616,8006.9136,215935.0,45.85,0.0,0,0,0
2007-12-19,27.236464,27.50648,26.121178,27.001667,15843.467,429477.0,46.0,0.0,0,0,0
2007-12-20,27.58866,27.629747,27.207113,27.58866,3407.1973,93434.0,47.0,0.0,0,0,0
2007-12-21,28.318733,28.677197,28.318733,28.378477,2845.4663,81006.0,47.5,0.0,0,0,0
2007-12-24,28.28886,28.677197,28.28886,28.677197,502.1411,14270.0,48.0,0.0,0,0,0
2007-12-26,28.557709,28.557709,28.557709,28.557709,836.90186,23900.0,47.8,0.0,0,0,0
2007-12-27,28.28886,28.28886,28.169373,28.169373,1339.043,37804.0,47.15,0.0,0,0,0
2007-12-28,28.229116,28.497965,28.169373,28.187296,8201.639,232548.0,47.18,0.0,0,0,0
2007-12-31,28.229116,28.402374,27.482315,28.020012,8034.258,224167.0,46.9,0.0,0,0,0
2008-01-02,28.28886,28.28886,27.942345,28.109627,4686.6504,131587.0,47.05,0.0,0,0,0
2008-01-03,28.049885,28.169373,27.512186,27.542057,5690.9326,158277.0,46.1,0.0,0,0,0
2008-01-04,27.542057,27.542057,26.866951,26.866951,3180.227,86490.0,44.97,0.0,0,0,0
2008-01-07,26.944616,26.944616,26.287432,26.377048,15901.136,424813.0,44.15,0.0,0,0,0
2008-01-08,26.896822,27.183594,26.55628,26.616024,11214.485,300890.0,44.55,0.0,0,0,0
2008-01-09,26.347174,26.347174,25.86922,26.227688,10377.583,271018.0,43.9,0.0,0,0,0
2008-01-10,26.108198,26.52641,25.71986,26.496534,13390.43,350657.0,44.35,0.0,0,0,0
2008-01-11,26.167942,26.167942,25.570501,25.68999,4854.031,125757.0,43.0,0.0,0,0,0
2008-01-14,26.40692,26.40692,26.263533,26.263533,1004.2822,26440.0,43.96,0.0,0,0,0
2008-01-15,25.928967,25.928967,25.331526,25.349447,3347.6074,85429.0,42.43,0.0,0,0,0
2008-01-16,25.510757,25.510757,24.190413,25.00293,27617.762,688114.0,41.85,0.0,0,0,0
2008-01-17,25.624271,25.928967,24.973059,25.15229,9708.062,247339.0,42.1,0.0,0,0,0
2008-01-18,25.86922,25.95884,24.973059,25.200087,7532.1167,191631.0,42.18,0.0,0,0,0
2008-01-22,24.495106,25.27178,24.375618,24.973059,13223.05,328511.0,41.8,0.0,0,0,0
2008-01-23,25.032804,26.257559,24.763956,26.257559,9875.442,251032.0,43.95,0.0,0,0,0
2008-01-24,26.735512,26.944616,25.451012,26.108198,16403.277,431211.0,43.7,0.0,0,0,0
2008-01-25,27.243336,27.243336,26.496534,26.496534,4017.129,108275.0,44.35,0.0,0,0,0
2008-01-28,26.55628,26.914743,26.430819,26.855001,6360.454,169022.0,44.95,0.0,0,0,0
2008-01-29,27.093977,27.482315,26.944616,27.482315,3849.7485,104307.0,46.0,0.0,0,0,0
2008-01-30,26.97449,29.214895,26.078327,27.542057,26278.719,728136.0,46.1,0.0,0,0,0
2008-01-31,26.765385,27.303082,26.586151,27.303082,11381.865,305704.0,45.7,0.0,0,0,0
2008-02-01,27.482315,27.482315,26.884872,27.482315,4351.8896,118847.0,46.0,0.0,0,0,0
2008-02-04,28.593555,28.593555,27.303082,27.482315,16235.896,450662.0,46.0,0.0,0,0,0
2008-02-05,27.249311,27.249311,26.627972,26.884872,25274.436,680721.0,45.0,0.0,0,0,0
2008-02-06,26.645895,26.645895,26.496534,26.496534,669.5215,17815.0,44.35,0.0,0,0,0
2008-02-07,26.227688,26.287432,25.779606,25.86922,6527.8345,169910.0,43.3,0.0,0,0,0
2008-02-08,26.138071,26.167942,25.68999,25.875196,21592.068,559581.0,43.31,0.0,0,0,0
2008-02-11,25.68999,25.68999,25.672068,25.672068,1339.043,34397.0,42.97,0.0,0,0,0
2008-02-13,26.317303,26.347174,26.287432,26.287432,1339.043,35256.0,44.0,0.0,0,0,0
2008-02-14,26.55628,26.586151,26.55628,26.586151,2008.5645,53364.0,44.5,0.0,0,0,0
2008-02-15,25.468937,26.43679,25.468937,26.347174,14729.473,388012.0,44.1,0.0,0,0,0
2008-02-19,26.77136,27.15372,26.52641,27.034233,13725.19,368058.0,45.25,0.0,0,0,0
2008-02-20,26.233662,26.233662,25.779606,26.108198,4351.8896,112925.0,43.7,0.0,0,0,0
2008-02-21,26.616024,26.616024,25.928967,25.98871,3012.8467,78847.0,43.5,0.0,0,0,0
2008-02-22,25.809479,25.98871,25.516731,25.98871,10712.344,276448.0,43.5,0.0,0,0,0
2008-02-25,26.138071,26.496534,25.964811,26.496534,6025.6934,157695.0,44.35,0.0,0,0,0
2008-02-26,26.735512,27.034233,26.55628,26.884872,3682.3682,98801.0,45.0,0.0,0,0,0
2008-02-27,27.303082,27.350876,27.004362,27.213465,6695.215,182336.0,45.55,0.0,0,0,0
2008-02-28,27.183594,27.183594,26.287432,26.43679,15064.233,401334.0,44.25,0.0,0,0,0
2008-02-29,26.765385,26.765385,26.227688,26.317303,6360.454,168273.0,44.05,0.0,0,0,0
2008-03-03,26.167942,26.167942,25.660118,25.83935,5356.172,138862.0,43.25,0.0,0,0,0
2008-03-04,25.899094,25.899094,24.495106,24.584723,7364.7363,188432.0,41.15,0.0,0,0,0
2008-03-05,25.684015,26.018581,25.092548,25.630245,9708.062,249673.0,42.9,0.0,0,0,0
2008-03-06,25.952864,25.952864,25.451012,25.666092,14896.854,383815.0,42.96,0.0,0,0,0
2008-03-07,25.092548,26.639921,24.495106,24.85357,20587.785,521829.0,41.6,0.0,0,0,0
2008-03-10,25.092548,25.092548,24.495106,24.495106,7364.7363,183293.0,41.0,0.0,0,0,0
2008-03-11,25.241909,25.427116,25.092548,25.092548,7029.9756,177901.0,42.0,0.0,0,0,0
2008-03-12,25.90507,25.97676,25.79753,25.86922,2343.3252,60624.0,43.3,0.0,0,0,0
2008-03-13,25.361397,25.78558,24.985008,25.78558,6695.215,169878.0,43.16,0.0,0,0,0
2008-03-14,25.630245,25.630245,24.985008,25.25983,8034.258,203065.0,42.28,0.0,0,0,0
2008-03-17,24.674337,25.15229,23.897665,24.787853,8201.639,203076.0,41.49,0.0,0,0,0
2008-03-18,25.672068,25.737785,25.672068,25.737785,334.76074,8605.0,43.08,0.0,0,0,0
2008-03-19,25.98871,26.126122,25.21801,25.21801,10377.583,267804.0,42.21,0.0,0,0,0
2008-03-20,26.215738,26.215738,25.188139,25.349447,4519.27,114842.0,42.43,0.0,0,0,0
2008-03-24,26.287432,26.747461,26.287432,26.747461,502.1411,13347.0,44.77,0.0,0,0,0
2008-03-25,26.44874,26.592125,26.239635,26.592125,2845.4663,75193.0,44.51,0.0,0,0,0
2008-03-26,26.71759,26.71759,25.994684,26.305353,4351.8896,114479.0,44.03,0.0,0,0,0
2008-03-27,26.681742,26.807205,26.657845,26.747461,1673.8037,44752.0,44.77,0.0,0,0,0
2008-03-28,26.55628,27.183594,26.341202,26.5981,21759.45,588312.0,44.52,0.0,0,0,0
2008-03-31,26.50251,26.681742,26.46069,26.61005,4351.8896,115520.0,44.54,0.0,0,0,0
2008-04-01,26.932669,27.064104,26.932669,27.058132,1339.043,36160.0,45.29,0.0,0,0,0
2008-04-02,27.781034,27.912474,27.673496,27.912474,1171.6626,32588.0,46.72,0.0,0,0,0
2008-04-03,27.966242,28.04391,27.303082,27.972216,5356.172,148635.0,46.82,0.0,0,0,0
2008-04-04,28.014036,28.199245,27.822855,27.870651,7532.1167,210790.0,46.65,0.0,0,0,0
2008-04-07,28.229116,28.28886,28.073782,28.169373,1339.043,37757.0,47.15,0.0,0,0,0
2008-04-08,27.846754,27.906498,27.661547,27.781034,2343.3252,65093.0,46.5,0.0,0,0,0
2008-04-09,27.392696,27.392696,26.950592,27.064104,2510.7056,68134.0,45.3,0.0,0,0,0
2008-04-10,27.004362,27.864677,26.884872,27.237364,12888.289,351522.0,45.59,0.0,0,0,0
2008-04-11,27.040207,27.117874,26.872923,26.992413,5523.5522,149003.0,45.18,0.0,0,0,0
2008-04-14,26.586151,26.938643,26.478613,26.56823,4351.8896,116052.0,44.47,0.0,0,0,0
2008-04-15,26.825129,26.872923,26.765385,26.872923,2175.9448,58418.0,44.98,0.0,0,0,0
2008-04-16,27.882599,27.972216,27.422571,27.972216,8369.019,231926.0,46.82,0.0,0,0,0
2008-04-17,27.661547,27.864677,27.470366,27.864677,3849.7485,106371.0,46.64,0.0,0,0,0
2008-04-18,27.810907,28.19327,27.810907,28.175346,1841.1841,51638.0,47.16,0.0,0,0,0
2008-04-21,27.966242,28.04391,27.966242,27.996115,836.90186,23433.0,46.86,0.0,0,0,0
2008-04-22,27.798958,27.882599,27.583878,27.583878,2175.9448,60341.0,46.17,0.0,0,0,0
2008-04-24,27.804934,28.205217,27.804934,28.151447,1673.8037,46900.0,47.12,0.0,0,0,0
2008-04-25,29.45387,29.501667,28.28886,28.557709,2008.5645,57673.0,47.8,0.0,0,0,0
2008-04-28,28.509914,28.509914,28.163397,28.223143,2175.9448,61638.0,47.24,0.0,0,0,0
2008-04-29,28.372503,28.43822,27.960266,28.43822,4519.27,127334.0,47.6,0.0,0,0,0
2008-04-30,28.43822,28.74889,28.43822,28.74889,4017.129,114804.0,48.12,0.0,0,0,0
2008-05-01,28.348604,28.69512,28.348604,28.69512,2845.4663,81147.0,48.03,0.0,0,0,0
2008-05-02,29.029688,29.35828,28.223143,28.69512,7029.9756,202894.0,48.03,0.0,0,0,0
2008-05-05,29.00579,29.20892,28.987867,29.035662,5690.9326,165504.0,48.6,0.0,0,0,0
2008-05-06,28.874353,29.149178,28.874353,29.149178,1673.8037,48556.0,48.79,0.0,0,0,0
2008-05-07,28.539785,28.64135,28.109627,28.109627,7197.356,204365.0,47.05,0.0,0,0,0
2008-05-08,29.322435,29.322435,28.163397,28.187296,7866.8774,223418.0,47.18,0.0,0,0,0
2008-05-09,27.900524,28.169373,27.870651,27.924421,4519.27,126354.0,46.74,0.0,0,0,0
2008-05-12,27.894548,28.223143,27.894548,28.223143,5188.7915,145815.0,47.24,0.0,0,0,0
2008-05-13,28.067806,28.067806,27.984165,28.03196,2008.5645,56321.0,46.92,0.0,0,0,0
2008-05-14,28.336657,28.742916,28.336657,28.617455,2343.3252,66920.0,47.9,0.0,0,0,0
2008-05-15,28.318733,28.70707,28.318733,28.70707,1004.2822,28628.0,48.05,0.0,0,0,0
2008-05-16,28.593555,28.593555,28.312757,28.462118,2845.4663,81053.0,47.64,0.0,0,0,0
2008-05-19,28.426273,28.916176,28.258987,28.258987,5021.411,143411.0,47.3,0.0,0,0,0
2008-05-20,28.199245,28.199245,27.12385,27.601803,6193.0737,172073.0,46.2,0.0,0,0,0
2008-05-21,28.109627,28.229116,27.422571,27.422571,5188.7915,144596.0,45.9,0.0,0,0,0
2008-05-22,27.482315,27.542057,27.362825,27.512186,836.90186,22995.0,46.05,0.0,0,0,0
2008-05-23,27.17762,27.428545,27.17762,27.428545,502.1411,13689.0,45.91,0.0,0,0,0
2008-05-27,27.243336,27.332954,27.243336,27.332954,502.1411,13695.0,45.75,0.0,0,0,0
2008-05-28,27.213465,27.32698,27.20749,27.32698,836.90186,22802.0,45.74,0.0,0,0,0
2008-05-29,27.332954,28.079756,27.32698,27.595827,8536.399,236640.0,46.19,0.0,0,0,0
2008-05-30,27.482315,27.542057,27.482315,27.542057,502.1411,13809.0,46.1,0.0,0,0,0
2008-06-02,27.422571,27.422571,27.171644,27.17762,1339.043,36440.0,45.49,0.0,0,0,0
2008-06-03,27.482315,27.482315,27.482315,27.482315,167.38037,4600.0,46.0,0.0,0,0,0
2008-06-04,27.398672,27.398672,27.171644,27.171644,5858.313,159345.0,45.48,0.0,0,0,0
2008-06-05,27.542057,27.571932,27.452442,27.518162,2343.3252,64505.0,46.06,0.0,0,0,0
2008-06-06,27.482315,27.482315,26.855001,26.855001,3682.3682,99698.0,44.95,0.0,0,0,0
2008-06-09,26.97449,27.512186,26.532381,26.532381,38832.246,1057140.0,44.41,0.0,0,0,0
2008-06-10,26.078327,26.078327,26.03053,26.03053,502.1411,13079.0,43.57,0.0,0,0,0
2008-06-11,25.90507,25.90507,25.672068,25.672068,1004.2822,25935.0,42.97,0.0,0,0,0
2008-06-12,25.749733,25.749733,25.492832,25.492832,1171.6626,30002.0,42.67,0.0,0,0,0
2008-06-13,25.606348,25.666092,25.606348,25.648169,836.90186,21447.0,42.93,0.0,0,0,0
2008-06-16,26.04248,26.078327,26.018581,26.078327,836.90186,21803.0,43.65,0.0,0,0,0
2008-06-17,26.347174,26.347174,25.928967,25.928967,2678.086,69790.0,43.4,0.0,0,0,0
2008-06-18,25.809479,25.875196,25.570501,25.875196,1673.8037,43058.0,43.31,0.0,0,0,0
2008-06-19,25.552578,25.68999,25.36737,25.618298,3682.3682,94405.0,42.88,0.0,0,0,0
2008-06-20,25.654142,25.654142,25.241909,25.42114,2678.086,68276.0,42.55,0.0,0,0,0
2008-06-23,25.37052,25.37052,25.020998,25.020998,2655.05,66835.0,41.52,0.0,0,0,0
2008-06-24,24.828157,25.008945,24.544924,24.804052,4148.5156,102786.0,41.16,0.0,0,0,0
2008-06-25,25.008945,25.087288,24.605188,25.03305,2157.228,53744.0,41.54,0.0,0,0,0
2008-06-26,24.91855,24.91855,23.7133,23.7133,6305.7437,153134.0,39.35,0.0,0,0,0
2008-06-27,24.388243,24.569029,24.014612,24.105007,7135.447,173671.0,40.0,0.0,0,0,0
2008-06-30,25.12947,25.12947,24.105007,24.105007,1659.4062,40518.0,40.0,0.0,0,0,0
