Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-02-01,5024.31,5024.31,4939.509,4960.528,34.4923,171138.0,68.44,0.0,0,0,0
2007-02-02,5011.989,5011.989,5011.989,5011.989,5.518768,27660.0,69.15,0.0,0,0,0
2007-02-05,4867.754,4946.0317,4867.754,4946.0317,113.134735,551143.0,68.24,0.0,0,0,0
2007-02-07,4992.419,5055.4766,4992.419,5055.4766,42.77045,213615.0,69.75,0.0,0,0,0
2007-02-08,5061.9995,5065.6235,4971.3994,4971.3994,60.706444,306360.0,68.59,0.0,0,0,0
2007-02-09,4947.4814,4989.5195,4940.958,4978.648,285.59622,1414631.0,68.69,0.0,0,0,0
2007-02-12,5039.531,5127.2314,5021.4106,5122.1577,659.49274,3363499.0,70.67,0.0,0,0,0
2007-02-13,5021.4106,5021.4106,4960.528,4960.528,125.55196,627389.0,68.44,0.0,0,0,0
2007-02-14,4858.331,4950.381,4858.331,4935.8843,78.64244,386868.0,68.1,0.0,0,0,0
2007-02-15,5001.1167,5083.0186,4982.9966,5031.558,56.567368,285437.0,69.42,0.0,0,0,0
2007-02-16,5053.3022,5053.3022,5009.0894,5045.3296,48.289215,243282.0,69.61,0.0,0,0,0
2007-02-20,5138.8286,5147.526,5103.3135,5111.2856,53.807983,275706.0,70.52,0.0,0,0,0
2007-02-21,5139.5537,5139.5537,5024.31,5025.7593,20.69538,104431.0,69.34,0.0,0,0,0
2007-02-22,5005.4653,5008.3643,4938.7837,4939.509,38.631374,192484.0,68.15,0.0,0,0,0
2007-02-23,4905.443,4930.811,4874.277,4930.811,131.07072,643250.0,68.03,0.0,0,0,0
2007-02-26,4834.4126,4877.176,4788.0254,4877.176,45.52983,220332.0,67.29,0.0,0,0,0
2007-02-27,5022.861,5268.568,4914.1406,5221.4556,84.16121,426345.0,72.04,0.0,0,0,0
2007-02-28,5216.3823,5216.3823,5102.5884,5137.3784,91.05966,468681.0,70.88,0.0,0,0,0
2007-03-01,5417.8765,5428.7485,5193.1885,5259.145,80.02213,423667.0,72.56,0.0,0,0,0
2007-03-02,5264.2188,5475.8604,5264.2188,5415.702,259.38208,1400058.0,74.72,0.0,0,0,0
2007-03-05,5537.4683,5565.0103,5405.5547,5509.926,89.67998,493645.0,76.02,0.0,0,0,0
2007-03-06,5399.7563,5417.8765,5320.0283,5320.0283,131.07072,705568.0,73.4,0.0,0,0,0
2007-03-07,5314.955,5325.827,5022.1357,5117.0845,311.81036,1612792.0,70.6,0.0,0,0,0
2007-03-08,5109.1113,5195.363,5094.6157,5130.131,318.70883,1627928.0,70.78,0.0,0,0,0
2007-03-09,5172.894,5201.8857,5099.6895,5148.251,52.42829,271001.0,71.03,0.0,0,0,0
2007-03-12,5220.7305,5244.6494,5163.4717,5195.363,104.85658,547182.0,71.68,0.0,0,0,0
2007-03-13,5117.0845,5335.974,5091.7163,5335.974,173.84119,910755.0,73.62,0.0,0,0,0
2007-03-14,5247.5483,5341.772,5207.684,5207.684,93.819046,493654.0,71.85,0.0,0,0,0
2007-03-15,5233.0522,5233.0522,5159.8477,5215.657,67.604904,351526.0,71.96,0.0,0,0,0
