Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-02-23,13.379578,13.400912,13.320908,13.382245,366725.03,4899672.0,50.18,0.0,0,0,0
2007-02-26,13.398247,13.400912,13.2675705,13.331575,57746.066,770980.0,49.99,0.0,0,0,0
2007-02-27,13.0622225,13.112892,12.856875,12.856875,31122.88,407203.0,48.21,0.0,0,0,0
2007-02-28,12.854209,12.875544,12.76887,12.843541,34872.625,448511.0,48.16,0.0,0,0,0
2007-03-01,12.744868,12.830207,12.744868,12.830207,1124.9233,14400.0,48.11,0.0,0,0,0
2007-03-02,12.728867,12.728867,12.600859,12.600859,13874.055,175436.0,47.25,0.0,0,0,0
2007-03-05,12.414179,12.590191,12.3181715,12.328839,66370.48,828761.0,46.23,0.0,0,0,0
2007-03-06,12.462182,12.475516,12.462182,12.462182,1499.8978,18697.0,46.73,0.0,0,0,0
2007-03-07,12.576857,12.576857,12.526187,12.526187,13874.055,174288.0,46.97,0.0,0,0,0
2007-03-09,12.667529,12.678197,12.622193,12.62486,7874.464,99687.0,47.34,0.0,0,0,0
2007-03-12,12.696865,12.696865,12.6755295,12.6755295,8249.438,104635.0,47.53,0.0,0,0,0
2007-03-13,12.611526,12.614192,12.347507,12.347507,35247.598,443433.0,46.3,0.0,0,0,0
2007-03-14,12.411512,12.414179,12.288837,12.414179,9374.361,116120.0,46.55,0.0,0,0,0
2007-03-16,12.542188,12.608858,12.520853,12.520853,8624.412,108352.0,46.95,0.0,0,0,0
2007-03-19,12.683531,12.704865,12.643528,12.643528,4124.719,52316.0,47.41,0.0,0,0,0
2007-03-20,12.638194,12.7342005,12.638194,12.710199,5624.6167,71451.0,47.66,0.0,0,0,0
2007-03-21,12.974217,12.974217,12.974217,12.974217,374.97446,4865.0,48.65,0.0,0,0,0
2007-03-22,12.974217,12.974217,12.955549,12.955549,1499.8978,19446.0,48.58,0.0,0,0,0
2007-03-23,12.992886,13.016887,12.992886,13.016887,1124.9233,14625.0,48.81,0.0,0,0,0
2007-03-26,13.030314,13.030314,12.92889,13.014299,6743.9663,87477.0,48.76,0.0,0,0,0
2007-03-27,12.899531,12.899531,12.883516,12.883516,1873.324,24159.0,48.27,0.0,0,0,0
2007-03-28,12.830135,12.830135,12.782092,12.782092,8242.625,105592.0,47.89,0.0,0,0,0
2007-03-29,12.870172,12.870172,12.752732,12.752732,7867.9604,100902.0,47.78,0.0,0,0,0
2007-03-30,12.864833,12.864833,12.7927685,12.795437,5619.9717,72004.0,47.94,0.0,0,0,0
2007-04-02,12.864833,12.864833,12.816791,12.84348,10490.614,134757.0,48.12,0.0,0,0,0
2007-04-03,12.856825,13.022307,12.856825,13.022307,23229.217,301044.0,48.79,0.0,0,0,0
2007-04-04,12.979603,12.979603,12.912876,12.942236,47582.43,616093.0,48.49,0.0,0,0,0
2007-04-05,12.944904,12.990278,12.944904,12.976933,23603.883,306389.0,48.62,0.0,0,0,0
2007-04-09,12.974264,12.974264,12.936897,12.944904,11614.608,150460.0,48.5,0.0,0,0,0
2007-04-10,13.024976,13.024976,12.984941,12.992948,4495.9775,58419.0,48.68,0.0,0,0,0
2007-04-11,12.982271,12.982271,12.859495,12.859495,15361.257,198619.0,48.18,0.0,0,0,0
2007-04-12,12.904868,12.995616,12.904868,12.995616,8242.625,106899.0,48.69,0.0,0,0,0
2007-04-13,13.011631,13.057004,13.003624,13.057004,17609.246,229196.0,48.92,0.0,0,0,0
2007-04-16,13.209141,13.302558,13.190457,13.302558,6743.9663,89121.0,49.84,0.0,0,0,0
2007-04-17,13.265191,13.2838745,13.227824,13.243838,67065.0,888831.0,49.62,0.0,0,0,0
2007-04-18,13.179782,13.227824,13.169105,13.227824,15361.257,202610.0,49.56,0.0,0,0,0
2007-04-19,13.121062,13.18512,13.118393,13.118393,12363.938,162689.0,49.15,0.0,0,0,0
2007-04-20,13.233163,13.246508,13.233163,13.246508,749.3296,9921.0,49.63,0.0,0,0,0
2007-04-23,13.299889,13.307896,13.24117,13.251846,11614.608,154155.0,49.65,0.0,0,0,0
2007-04-24,13.174443,13.225155,13.113055,13.2144785,23229.217,306129.0,49.51,0.0,0,0,0
2007-04-25,13.294551,13.331918,13.24117,13.331918,12738.603,169387.0,49.95,0.0,0,0,0
2007-04-26,13.35327,13.35327,13.35327,13.35327,4495.9775,60036.0,50.03,0.0,0,0,0
2007-04-27,13.294551,13.294551,13.219816,13.267859,7118.631,94433.0,49.71,0.0,0,0,0
2007-04-30,13.254515,13.262522,13.014299,13.014299,39339.805,518106.0,48.76,0.0,0,0,0
2007-05-01,12.976933,13.070351,12.976933,13.070351,1873.324,24384.0,48.97,0.0,0,0,0
2007-05-02,13.086364,13.265191,13.086364,13.259852,13862.598,182752.0,49.68,0.0,0,0,0
2007-05-03,13.267859,13.286543,13.246508,13.286543,33345.168,442370.0,49.78,0.0,0,0,0
2007-05-04,13.305226,13.305226,13.262522,13.305226,31097.178,412692.0,49.85,0.0,0,0,0
2007-05-07,13.339924,13.339924,13.299889,13.326579,9366.62,124810.0,49.93,0.0,0,0,0
2007-05-08,13.18245,13.278536,13.166436,13.278536,2997.3184,39523.0,49.75,0.0,0,0,0
2007-05-09,13.305226,13.393306,13.305226,13.393306,12363.938,165070.0,50.18,0.0,0,0,0
2007-05-10,13.2838745,13.2838745,13.123731,13.123731,4121.3125,54579.0,49.17,0.0,0,0,0
