Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-10-25,54.88305,54.88305,54.773598,54.773598,32104.992,1761256.0,70.06,0.0,0,0,0
2007-10-26,54.140335,54.140335,54.140335,54.140335,11383.842,616325.0,69.25,0.0,0,0,0
2007-10-30,53.82761,53.82761,53.741608,53.76506,511.63336,27510.0,68.77,0.0,0,0,0
2007-10-31,53.5227,53.5227,52.834713,53.05362,99384.78,5282659.0,67.86,0.0,0,0,0
2007-11-01,53.92925,54.45306,53.92925,54.45306,33128.258,1793025.0,69.65,0.0,0,0,0
2007-11-02,54.27324,54.52342,54.19506,54.19506,6011.692,326587.0,69.32,0.0,0,0,0
2007-11-05,55.078503,55.078503,54.82051,55.039417,20337.426,1118086.0,70.4,0.0,0,0,0
2007-11-06,54.210693,54.241966,54.19506,54.19506,1023.2667,55478.0,69.32,0.0,0,0,0
2007-11-07,54.492146,55.06287,54.492146,55.06287,28523.559,1561289.0,70.43,0.0,0,0,0
2007-11-08,54.742325,55.367775,54.6876,54.6876,11128.025,614539.0,69.95,0.0,0,0,0
2007-11-09,55.977585,55.977585,55.43814,55.743046,1534.9,85494.0,71.3,0.0,0,0,0
2007-11-12,56.485764,56.931393,56.18868,56.931393,23407.227,1316836.0,72.82,0.0,0,0,0
2007-11-13,55.977585,55.977585,55.821224,55.93068,3837.25,214439.0,71.54,0.0,0,0,0
2007-11-14,55.031597,55.657047,55.031597,55.657047,28907.285,1592640.0,71.19,0.0,0,0,0
2007-11-15,56.149586,56.360672,55.954132,56.28249,5116.3335,287619.0,71.99,0.0,0,0,0
2007-11-16,56.493584,56.493584,56.345036,56.477943,2046.5334,115448.0,72.24,0.0,0,0,0
2007-11-19,57.033028,57.94775,57.025215,57.705383,72396.12,4177940.0,73.81,0.0,0,0,0
2007-11-20,56.743763,56.91576,56.345036,56.91576,4732.6084,267925.0,72.8,0.0,0,0,0
2007-11-21,57.51775,57.908657,57.463024,57.705383,37732.96,2177232.0,73.81,0.0,0,0,0
2007-11-23,56.69685,56.69685,56.38413,56.431038,37477.145,2117619.0,72.18,0.0,0,0,0
2007-11-26,56.360672,57.2363,56.360672,57.2363,1534.9,87158.0,73.21,0.0,0,0,0
2007-11-27,56.728123,57.025215,56.517036,56.517036,5244.2417,297953.0,72.29,0.0,0,0,0
2007-11-28,56.102676,56.20431,54.91432,54.953415,3325.6167,184486.0,70.29,0.0,0,0,0
2007-11-29,55.453773,55.453773,55.15669,55.211414,639.5417,35358.0,70.62,0.0,0,0,0
2007-11-30,54.492146,55.219227,54.492146,55.219227,2558.1667,139709.0,70.63,0.0,0,0,0
2007-12-03,55.383408,55.383408,55.344322,55.344322,255.81668,14163.0,70.79,0.0,0,0,0
2007-12-04,55.727406,55.829044,55.727406,55.829044,767.45,42820.0,71.41,0.0,0,0,0
2007-12-05,55.1645,55.18014,54.90651,54.96905,6651.2334,366011.0,70.31,0.0,0,0,0
2007-12-06,55.109776,55.109776,54.515606,54.515606,65105.344,3582968.0,69.73,0.0,0,0,0
2007-12-07,54.679783,54.679783,54.64069,54.64069,1023.2667,55919.0,69.89,0.0,0,0,0
2007-12-10,54.52342,54.52342,54.19506,54.28888,4220.975,229209.0,69.44,0.0,0,0,0
