Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-12-19,46.492893,46.57572,46.492893,46.57572,104097.98,4848438.0,101.22,0.0,0,0,0
2007-12-20,46.61713,46.61713,46.594128,46.594128,3259.853,151890.0,101.26,0.0,0,0,0
2007-12-21,46.70456,46.722965,46.488293,46.54351,51071.03,2377025.0,101.15,0.0,0,0,0
2007-12-24,46.626335,46.626335,46.626335,46.626335,217.32353,10133.0,101.33,0.0,0,0,0
2007-12-26,46.60793,46.663147,46.60793,46.663147,869.2941,40564.0,101.41,0.0,0,0,0
2007-12-27,46.66361,46.66361,46.59448,46.62674,2820.7205,131521.0,101.17,0.0,0,0,0
2007-12-28,46.640564,46.645172,46.62674,46.645172,6292.3765,293509.0,101.21,0.0,0,0,0
2007-12-31,46.718914,46.732742,46.709698,46.709698,3471.656,162160.0,101.35,0.0,0,0,0
2008-01-02,46.617523,46.792652,46.617523,46.77422,16490.365,771324.0,101.49,0.0,0,0,0
2008-01-03,46.903263,46.903263,46.857178,46.857178,4990.5054,233841.0,101.67,0.0,0,0,0
2008-01-04,46.88944,46.88944,46.85257,46.880222,3905.613,183096.0,101.72,0.0,0,0,0
2008-01-07,46.944744,46.98622,46.866394,46.98622,23867.635,1121450.0,101.95,0.0,0,0,0
2008-01-08,47.11527,47.11527,46.659,47.10144,99159.17,4670540.0,102.2,0.0,0,0,0
2008-01-09,47.11066,47.11066,47.06457,47.06457,3037.699,142968.0,102.12,0.0,0,0,0
2008-01-10,47.050743,47.10605,47.050743,47.10605,650.9355,30663.0,102.21,0.0,0,0,0
2008-01-11,47.018482,47.041527,46.935524,46.935524,3905.613,183312.0,101.84,0.0,0,0,0
2008-01-14,47.05535,47.096832,47.05535,47.096832,28424.184,1338689.0,102.19,0.0,0,0,0
2008-01-15,47.129093,47.175182,47.129093,47.175182,225874.62,10655676.0,102.36,0.0,0,0,0
2008-01-16,47.165962,47.239704,47.059963,47.239704,6726.3335,317750.0,102.5,0.0,0,0,0
2008-01-17,47.230488,47.230488,47.14753,47.198227,99159.17,4680137.0,102.41,0.0,0,0,0
2008-01-18,47.03692,47.230488,47.03231,47.225876,9330.075,440621.0,102.47,0.0,0,0,0
2008-01-22,47.009266,47.013874,46.801872,47.00005,13018.71,611880.0,101.98,0.0,0,0,0
2008-01-23,47.027702,47.124485,46.96318,47.009266,26037.42,1224000.0,102.0,0.0,0,0,0
2008-01-24,47.1337,47.1337,46.898655,47.018482,58367.215,2744338.0,102.02,0.0,0,0,0
2008-01-25,47.03692,47.124485,47.03692,47.092224,3037.699,143052.0,102.18,0.0,0,0,0
2008-01-28,47.059963,47.073788,47.059963,47.073788,4339.57,204280.0,102.14,0.0,0,0,0
2008-01-29,47.11066,47.11066,46.99544,46.99544,2603.742,122364.0,101.97,0.0,0,0,0
2008-01-30,46.95857,47.13831,46.95857,47.13831,5207.484,245472.0,102.28,0.0,0,0,0
2008-01-31,47.14753,47.161354,47.078396,47.152134,1301.871,61386.0,102.31,0.0,0,0,0
2008-02-01,47.358646,47.358646,47.025265,47.15491,15765.738,743432.0,101.84,0.0,0,0,0
2008-02-04,47.17343,47.17343,47.17343,47.17343,2375.6592,112068.0,101.88,0.0,0,0,0
2008-02-05,47.201218,47.201218,46.997482,47.066936,25052.406,1179140.0,101.65,0.0,0,0,0
2008-02-06,47.066936,47.08546,47.066936,47.08546,4103.411,193211.0,101.69,0.0,0,0,0
2008-02-07,47.002113,47.002113,46.779858,46.91877,24188.53,1134896.0,101.33,0.0,0,0,0
2008-02-08,46.68262,46.738186,46.627056,46.738186,15765.738,736862.0,100.94,0.0,0,0,0
2008-02-11,46.7706,46.7706,46.64558,46.715034,9286.668,433827.0,100.89,0.0,0,0,0
2008-02-12,46.691883,46.728924,46.60854,46.728924,7126.9775,333036.0,100.92,0.0,0,0,0
2008-02-13,46.710403,46.816902,46.710403,46.816902,6911.0083,323552.0,101.11,0.0,0,0,0
2008-02-14,46.83079,46.83079,46.775227,46.81227,7558.9155,353850.0,101.1,0.0,0,0,0
2008-02-15,46.78449,46.900246,46.78449,46.900246,1943.7212,91161.0,101.29,0.0,0,0,0
2008-02-19,46.68262,46.68262,46.548344,46.548344,4751.3184,221166.0,100.53,0.0,0,0,0
2008-02-21,46.594646,46.594646,46.44185,46.49741,3455.5042,160672.0,100.42,0.0,0,0,0
