Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-09-29,21.80072,21.985695,21.80072,21.968079,29176.79,639942.0,24.94,0.0,0,0,0
2010-09-30,22.540623,22.540623,21.941652,21.994503,10331.081,227774.0,24.97,0.0,0,0,0
2010-10-01,22.205904,22.205904,22.06497,22.170671,45411.348,1004500.0,25.17,0.0,0,0,0
2010-10-04,22.575855,22.575855,22.329222,22.434921,138277.55,3098701.0,25.47,0.0,0,0,0
2010-10-05,23.025082,23.025082,22.496582,22.813683,61759.43,1401985.0,25.9,0.0,0,0,0
2010-10-06,22.699173,22.796064,22.593472,22.796064,47114.27,1070392.0,25.88,0.0,0,0,0
2010-10-07,23.08674,23.121975,22.707983,22.82249,76518.12,1746603.0,25.91,0.0,0,0,0
2010-10-08,22.813683,22.848915,22.637516,22.82249,19980.992,454787.0,25.91,0.0,0,0,0
2010-10-11,22.734406,22.734406,22.461348,22.505388,33036.754,744782.0,25.55,0.0,0,0,0
2010-10-12,22.161861,22.241138,22.01212,22.22352,76745.17,1696807.0,25.23,0.0,0,0,0
2010-10-13,22.241138,22.505388,22.241138,22.487772,75836.945,1699445.0,25.53,0.0,0,0,0
2010-10-14,22.699173,22.699173,22.478964,22.593472,41324.324,932251.0,25.65,0.0,0,0,0
2010-10-15,22.752024,22.752024,22.34684,22.505388,86962.73,1952442.0,25.55,0.0,0,0,0
2010-10-18,22.382072,22.637516,22.382072,22.628706,58807.69,1324748.0,25.69,0.0,0,0,0
2010-10-19,22.126629,22.205904,21.976887,22.047354,42119.023,931447.0,25.03,0.0,0,0,0
2010-10-20,22.038546,22.417307,22.038546,22.311605,69592.89,1545238.0,25.33,0.0,0,0,0
2010-10-21,22.672749,22.725597,22.417307,22.558239,29857.959,674313.0,25.61,0.0,0,0,0
2010-10-22,22.848915,22.848915,22.681557,22.734406,23273.314,529080.0,25.81,0.0,0,0,0
2010-10-25,23.0427,23.0427,22.901766,22.963425,59375.336,1364507.0,26.07,0.0,0,0,0
2010-10-26,22.76964,22.840107,22.637516,22.787258,40756.684,927372.0,25.87,0.0,0,0,0
2010-10-27,22.558239,22.76964,22.558239,22.76964,29517.375,668709.0,25.85,0.0,0,0,0
2010-10-28,22.972233,22.972233,22.690365,22.752024,17596.896,400360.0,25.83,0.0,0,0,0
2010-10-29,22.857725,22.98985,22.857725,22.981041,11806.95,270912.0,26.09,0.0,0,0,0
2010-11-01,23.148401,23.20125,22.813683,22.901766,68911.72,1586740.0,26.0,0.0,0,0,0
2010-11-02,23.615244,23.615244,23.465502,23.544777,34399.094,809840.0,26.73,0.0,0,0,0
2010-11-03,23.835453,23.870687,23.659286,23.817837,41664.91,990066.0,27.04,0.0,0,0,0
2010-11-04,24.196596,24.240639,24.090897,24.22302,36329.08,878390.0,27.5,0.0,0,0,0
2010-11-05,23.544777,23.63286,23.47431,23.615244,48476.613,1141324.0,26.81,0.0,0,0,0
2010-11-08,22.963425,22.963425,22.813683,22.901766,66414.09,1519455.0,26.0,0.0,0,0,0
2010-11-09,22.901766,22.901766,22.505388,22.593472,65846.45,1494451.0,25.65,0.0,0,0,0
2010-11-10,22.426113,22.426113,22.029737,22.34684,28041.506,625174.0,25.37,0.0,0,0,0
2010-11-11,21.598127,21.606936,21.448385,21.58932,52790.688,1137552.0,24.51,0.0,0,0,0
2010-11-12,21.351492,21.351492,20.98154,21.052008,69365.83,1466485.0,23.9,0.0,0,0,0
2010-11-15,21.36911,21.659786,21.36911,21.483618,28041.506,603714.0,24.39,0.0,0,0,0
2010-11-16,21.457193,21.457193,21.03439,21.078434,35647.906,757559.0,23.93,0.0,0,0,0
2010-11-17,21.060816,21.14009,21.0432,21.078434,8174.042,172440.0,23.93,0.0,0,0,0
2010-11-18,21.448385,21.545277,21.421959,21.501234,139980.47,3009518.0,24.41,0.0,0,0,0
2010-11-19,21.659786,21.659786,21.47481,21.659786,20889.219,450358.0,24.59,0.0,0,0,0
2010-11-22,21.307451,21.377918,21.219366,21.325066,24068.014,512766.0,24.21,0.0,0,0,0
2010-11-23,21.131283,21.131283,20.911074,20.972733,29857.959,626318.0,23.81,0.0,0,0,0
2010-11-24,20.946308,21.263409,20.946308,21.245792,30652.658,649015.0,24.12,0.0,0,0,0
2010-11-26,20.593971,20.593971,20.250446,20.523504,17483.367,358025.0,23.3,0.0,0,0,0
2010-11-29,20.514698,20.61159,20.38257,20.60278,45524.875,931498.0,23.39,0.0,0,0,0
2010-11-30,20.17998,20.28568,19.995005,20.188787,50860.707,1026704.0,22.92,0.0,0,0,0
2010-12-01,20.664438,20.919882,20.664438,20.849415,42346.08,881768.0,23.67,0.0,0,0,0
2010-12-02,21.307451,21.52766,21.210558,21.52766,91049.75,1948330.0,24.44,0.0,0,0,0
2010-12-03,21.386726,21.536469,21.377918,21.536469,70501.12,1510967.0,24.45,0.0,0,0,0
2010-12-06,21.765486,21.818336,21.703827,21.79191,81513.37,1773366.0,24.74,0.0,0,0,0
2010-12-07,21.924036,21.924036,21.765486,21.774294,104219.04,2277649.0,24.72,0.0,0,0,0
2010-12-08,21.827145,21.915228,21.79191,21.888803,29290.318,640268.0,24.85,0.0,0,0,0
2010-12-09,21.90642,21.95927,21.74787,21.915228,28949.732,632609.0,24.88,0.0,0,0,0
2010-12-10,21.510042,21.598127,21.41315,21.58051,23727.428,510237.0,24.5,0.0,0,0,0
2010-12-13,21.245792,21.466002,21.245792,21.404343,56650.652,1213428.0,24.3,0.0,0,0,0
2010-12-14,21.58932,21.63336,21.47481,21.571701,24068.014,518691.0,24.49,0.0,0,0,0
2010-12-15,21.228176,21.228176,21.03439,21.052008,69592.89,1469385.0,23.9,0.0,0,0,0
2010-12-16,20.734907,20.778948,20.61159,20.778948,65959.98,1364304.0,23.59,0.0,0,0,0
2010-12-17,20.761332,20.761332,20.655632,20.761332,75723.42,1569064.0,23.57,0.0,0,0,0
2010-12-20,20.831799,20.831799,20.70848,20.796566,12034.007,249985.0,23.61,0.0,0,0,0
2010-12-21,20.871485,20.941996,20.836227,20.933182,13501.292,282290.0,23.75,0.0,0,0,0
2010-12-22,21.065392,21.144716,21.056578,21.100647,21556.686,454823.0,23.94,0.0,0,0,0
2010-12-23,21.409138,21.409138,21.320997,21.356253,9870.692,210967.0,24.23,0.0,0,0,0
2010-12-27,21.497276,21.497276,21.347437,21.453207,9303.411,199057.0,24.34,0.0,0,0,0
2010-12-28,21.50609,21.50609,21.435577,21.46202,23031.615,494256.0,24.35,0.0,0,0,0
2010-12-29,21.823393,21.823393,21.68237,21.70881,13160.923,286056.0,24.63,0.0,0,0,0
2010-12-30,21.920347,21.920347,21.77051,21.858648,49013.094,1070085.0,24.8,0.0,0,0,0
2010-12-31,21.849836,21.990858,21.832207,21.97323,21329.771,467461.0,24.93,0.0,0,0,0
2011-01-03,22.078997,22.202394,22.070185,22.14951,43907.562,972542.0,25.13,0.0,0,0,0
2011-01-04,22.19358,22.19358,21.990858,22.114254,33356.133,736593.0,25.09,0.0,0,0,0
2011-01-05,21.964417,22.123068,21.937975,22.123068,48899.637,1077288.0,25.1,0.0,0,0,0
2011-01-06,21.999672,22.008486,21.876276,21.999672,37213.645,816985.0,24.96,0.0,0,0,0
2011-01-07,21.805765,21.858648,21.664742,21.735252,30633.184,667386.0,24.66,0.0,0,0,0
2011-01-10,21.065392,21.109463,20.977251,21.100647,40503.875,852762.0,23.94,0.0,0,0,0
2011-01-11,20.897924,20.90674,20.783344,20.818602,46403.6,966663.0,23.62,0.0,0,0,0
2011-01-12,21.091833,21.17116,21.065392,21.17116,23031.615,486619.0,24.02,0.0,0,0,0
2011-01-13,21.100647,21.100647,20.977251,20.994879,37440.56,787700.0,23.82,0.0,0,0,0
2011-01-14,21.100647,21.382694,21.047762,21.312183,49466.918,1049757.0,24.18,0.0,0,0,0
2011-01-18,20.783344,20.845041,20.748089,20.783344,40617.332,844278.0,23.58,0.0,0,0,0
2011-01-19,20.721647,20.730461,20.51011,20.518927,8736.13,180313.0,23.28,0.0,0,0,0
2011-01-20,20.289762,20.369087,20.236877,20.369087,24166.178,490809.0,23.11,0.0,0,0,0
2011-01-21,20.228065,20.228065,20.007715,20.025343,40957.7,823123.0,22.72,0.0,0,0,0
2011-01-24,19.849064,19.849064,19.646343,19.787367,56501.207,1116057.0,22.45,0.0,0,0,0
2011-01-25,19.946016,20.016527,19.875505,19.981274,12934.011,257845.0,22.67,0.0,0,0,0
2011-01-26,20.104668,20.148739,19.998901,20.122297,39028.945,783869.0,22.83,0.0,0,0,0
2011-01-27,20.360273,20.430786,20.342646,20.360273,33696.5,687014.0,23.1,0.0,0,0,0
2011-01-28,20.298576,20.298576,19.866692,19.91076,73406.19,1464225.0,22.59,0.0,0,0,0
2011-01-31,19.769737,19.831436,19.567017,19.681599,52530.24,1035189.0,22.33,0.0,0,0,0
2011-02-01,19.487692,19.681599,19.452435,19.672783,30179.36,591224.0,22.32,0.0,0,0,0
2011-02-02,19.831436,19.946016,19.831436,19.901947,55820.47,1109430.0,22.58,0.0,0,0,0
2011-02-03,19.893133,20.016527,19.893133,20.007715,49126.55,977696.0,22.7,0.0,0,0,0
2011-02-04,19.981274,20.025343,19.893133,20.007715,22691.246,452732.0,22.7,0.0,0,0,0
2011-02-07,20.122297,20.245691,20.122297,20.210436,48559.27,981583.0,22.93,0.0,0,0,0
2011-02-08,20.157553,20.280949,20.122297,20.280949,10778.343,217852.0,23.01,0.0,0,0,0
2011-02-09,19.937204,19.95483,19.831436,19.946016,107216.14,2132194.0,22.63,0.0,0,0,0
2011-02-10,19.214457,19.214457,19.029364,19.214457,124121.125,2373728.0,21.8,0.0,0,0,0
2011-02-11,19.205645,19.276155,19.06462,19.267342,33809.957,649392.0,21.86,0.0,0,0,0
2011-02-14,19.452435,19.470062,19.329039,19.390738,35171.434,682675.0,22.0,0.0,0,0,0
2011-02-15,19.390738,19.390738,19.302597,19.346668,11685.992,226004.0,21.95,0.0,0,0,0
2011-02-16,19.461248,19.681599,19.461248,19.575829,14182.029,277557.0,22.21,0.0,0,0,0
2011-02-17,19.901947,20.034157,19.893133,20.034157,10437.974,208422.0,22.73,0.0,0,0,0
2011-02-18,19.963644,20.04297,19.893133,20.016527,45269.04,904413.0,22.71,0.0,0,0,0
2011-02-22,19.461248,19.584644,19.2409,19.267342,35852.17,694966.0,21.86,0.0,0,0,0
2011-02-23,19.267342,19.31141,19.10869,19.188015,66598.81,1280569.0,21.77,0.0,0,0,0
2011-02-24,18.967667,19.002922,18.826643,18.967667,33242.676,629865.0,21.52,0.0,0,0,0
2011-02-25,19.082247,19.232084,19.055807,19.170387,22350.879,428079.0,21.75,0.0,0,0,0
2011-02-28,19.478876,19.531761,19.399551,19.505318,23371.984,455130.0,22.13,0.0,0,0,0
2011-03-01,19.41718,19.41718,19.06462,19.099876,79305.91,1528209.0,21.67,0.0,0,0,0
2011-03-02,19.170387,19.302597,19.170387,19.258528,19627.93,377999.0,21.85,0.0,0,0,0
2011-03-03,19.531761,19.787367,19.514132,19.787367,37894.383,745561.0,22.45,0.0,0,0,0
2011-03-04,19.831436,19.866692,19.663969,19.778551,22350.879,441453.0,22.44,0.0,0,0,0
2011-03-07,19.88432,20.131111,19.690413,19.778551,31767.746,629000.0,22.44,0.0,0,0,0
2011-03-08,19.769737,19.972458,19.743296,19.91076,17926.086,355868.0,22.59,0.0,0,0,0
2011-03-09,19.998901,20.078228,19.972458,20.078228,19741.385,395500.0,22.78,0.0,0,0,0
2011-03-10,20.113482,20.113482,19.95483,19.95483,24506.547,490752.0,22.64,0.0,0,0,0
2011-03-11,19.972458,20.157553,19.95483,20.148739,33809.957,676337.0,22.86,0.0,0,0,0
2011-03-14,20.095854,20.236877,20.060598,20.201622,142501.03,2873414.0,22.92,0.0,0,0,0
2011-03-15,19.743296,20.139925,19.743296,20.078228,91218.81,1826937.0,22.78,0.0,0,0,0
2011-03-16,19.82262,19.919575,19.487692,19.602272,73406.19,1444860.0,22.24,0.0,0,0,0
2011-03-17,19.602272,19.611086,19.478876,19.611086,79532.82,1556626.0,22.25,0.0,0,0,0
2011-03-18,19.63753,19.663969,19.470062,19.522945,24733.459,484631.0,22.15,0.0,0,0,0
2011-03-21,19.716854,19.84025,19.663969,19.681599,138643.52,2741068.0,22.33,0.0,0,0,0
2011-03-22,19.91076,19.91076,19.769737,19.769737,16224.241,322110.0,22.43,0.0,0,0,0
2011-03-23,19.778551,19.875505,19.716854,19.875505,26094.934,516474.0,22.55,0.0,0,0,0
2011-03-24,19.849064,20.034157,19.82262,20.025343,113910.06,2270465.0,22.72,0.0,0,0,0
2011-03-25,20.069412,20.148739,20.051785,20.069412,8168.849,164193.0,22.77,0.0,0,0,0
2011-03-28,20.228065,20.254505,20.131111,20.131111,3970.9683,80164.0,22.84,0.0,0,0,0
2011-03-29,20.166365,20.263319,20.113482,20.254505,17926.086,361747.0,22.98,0.0,0,0,0
2011-03-30,20.765717,20.86267,20.668764,20.765717,310529.72,6464958.0,23.56,0.0,0,0,0
2011-03-31,20.959625,21.03895,20.924368,20.924368,41978.81,880263.0,23.74,0.0,0,0,0
2011-04-01,21.470835,21.638298,21.453207,21.603045,80667.38,1740236.0,24.51,0.0,0,0,0
2011-04-04,21.744068,21.982044,21.744068,21.937975,34490.695,755360.0,24.89,0.0,0,0,0
2011-04-05,21.594229,21.717625,21.541346,21.603045,50941.85,1102299.0,24.51,0.0,0,0,0
2011-04-06,21.858648,22.026114,21.849836,21.911533,152825.55,3350258.0,24.86,0.0,0,0,0
2011-04-07,21.946789,22.070185,21.920347,21.982044,34717.61,763286.0,24.94,0.0,0,0,0
2011-04-08,22.008486,22.167137,21.937975,22.0173,60699.086,1337500.0,24.98,0.0,0,0,0
2011-04-11,21.832207,21.92916,21.761696,21.867462,47197.793,1032204.0,24.81,0.0,0,0,0
2011-04-12,21.68237,21.788136,21.611858,21.638298,46630.51,1010381.0,24.55,0.0,0,0,0
2011-04-13,21.735252,21.805765,21.576601,21.664742,74086.92,1607196.0,24.58,0.0,0,0,0
2011-04-14,21.796951,21.97323,21.699999,21.911533,42432.633,927534.0,24.86,0.0,0,0,0
2011-04-15,21.84102,22.078997,21.814579,21.982044,75448.4,1651660.0,24.94,0.0,0,0,0
2011-04-18,21.726439,21.726439,21.453207,21.567787,78625.17,1695805.0,24.47,0.0,0,0,0
2011-04-19,21.594229,21.77051,21.585415,21.77051,39936.594,866254.0,24.7,0.0,0,0,0
2011-04-20,21.90272,22.026114,21.867462,21.955603,75902.22,1665776.0,24.91,0.0,0,0,0
2011-04-21,21.964417,22.123068,21.964417,22.06137,31200.465,686796.0,25.03,0.0,0,0,0
