Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-02-23,11.977176,11.984378,11.943566,11.955569,279499.84,3343861.0,49.8,0.0,0,0,0
2007-02-26,11.991581,11.991581,11.945967,11.945967,6664.6763,79696.0,49.76,0.0,0,0,0
2007-02-27,11.804324,11.833134,11.557051,11.557051,14995.521,176676.0,48.14,0.0,0,0,0
2007-02-28,11.641076,11.641076,11.600264,11.602665,17494.775,203078.0,48.33,0.0,0,0,0
2007-03-01,11.561852,11.609867,11.561852,11.609867,1249.6267,14487.0,48.36,0.0,0,0,0
2007-03-02,11.523441,11.535444,11.45142,11.475427,30824.127,354096.0,47.8,0.0,0,0,0
2007-03-05,11.345787,11.456221,11.345787,11.384199,73311.44,837589.0,47.42,0.0,0,0,0
2007-03-06,11.437015,11.437015,11.437015,11.437015,4998.507,57168.0,47.64,0.0,0,0,0
2007-03-07,11.48743,11.549849,11.48743,11.549849,10413.557,119857.0,48.11,0.0,0,0,0
2007-03-08,11.600264,11.600264,11.600264,11.600264,416.54227,4832.0,48.32,0.0,0,0,0
2007-03-09,11.595462,11.595462,11.573855,11.573855,2915.7957,33792.0,48.21,0.0,0,0,0
2007-03-12,11.552249,11.552249,11.552249,11.552249,4165.4224,48120.0,48.12,0.0,0,0,0
2007-03-13,11.410606,11.410606,11.381799,11.381799,5415.0493,61656.0,47.41,0.0,0,0,0
2007-03-14,11.302575,11.302575,11.302575,11.302575,416.54227,4708.0,47.08,0.0,0,0,0
2007-03-15,11.4490185,11.465823,11.432214,11.465823,37488.8,429489.0,47.76,0.0,0,0,0
2007-03-16,11.434614,11.489831,11.434614,11.444217,27075.246,310007.0,47.67,0.0,0,0,0
2007-03-20,11.571455,11.617068,11.571455,11.617068,10413.557,120595.0,48.39,0.0,0,0,0
2007-03-21,11.833134,11.847537,11.830732,11.830732,3748.8804,44364.0,49.28,0.0,0,0,0
2007-03-22,11.847537,11.871545,11.847537,11.861942,5415.0493,64239.0,49.41,0.0,0,0,0
2007-03-23,11.89075,11.89075,11.89075,11.89075,416.54227,4953.0,49.53,0.0,0,0,0
2007-03-26,11.87151,11.87151,11.87151,11.87151,415.78537,4936.0,49.36,0.0,0,0,0
2007-03-27,11.830623,11.833029,11.811382,11.833029,8315.707,98268.0,49.2,0.0,0,0,0
2007-03-29,11.746446,11.746446,11.73923,11.73923,831.57074,9765.0,48.81,0.0,0,0,0
2007-03-30,11.768091,11.768091,11.768091,11.768091,2494.7122,29358.0,48.93,0.0,0,0,0
2007-04-02,11.727204,11.727204,11.727204,11.727204,415.78537,4876.0,48.76,0.0,0,0,0
2007-04-04,11.88113,11.888346,11.88113,11.88113,4989.4243,59295.0,49.4,0.0,0,0,0
2007-04-05,11.905181,11.946067,11.905181,11.936447,22036.625,262873.0,49.63,0.0,0,0,0
2007-04-09,11.965308,11.967712,11.938852,11.948473,17462.986,208883.0,49.68,0.0,0,0,0
2007-04-10,11.974929,11.986954,11.958093,11.986954,3326.283,39807.0,49.84,0.0,0,0,0
2007-04-11,11.9845495,11.9845495,11.922016,11.924422,14552.488,173819.0,49.58,0.0,0,0,0
2007-04-12,11.888346,11.972523,11.888346,11.972523,13305.132,158702.0,49.78,0.0,0,0,0
2007-04-13,11.991764,12.00379,11.991764,11.99898,10394.634,124700.0,49.89,0.0,0,0,0
2007-04-16,12.068727,12.14569,12.068727,12.14569,24531.336,297377.0,50.5,0.0,0,0,0
2007-04-17,12.155311,12.1817665,12.148094,12.16012,7899.922,96109.0,50.56,0.0,0,0,0
2007-04-18,12.148094,12.196197,12.14569,12.191386,5820.995,70915.0,50.69,0.0,0,0,0
2007-04-19,12.099994,12.184171,12.099994,12.1673355,9147.278,111172.0,50.59,0.0,0,0,0
2007-04-20,12.244298,12.258729,12.244298,12.258729,6652.566,81461.0,50.97,0.0,0,0,0
2007-04-23,12.297211,12.299615,12.253919,12.261134,23283.98,285740.0,50.98,0.0,0,0,0
2007-04-24,12.213032,12.261134,12.196197,12.261134,276913.06,3383613.0,50.98,0.0,0,0,0
2007-04-25,12.30683,12.374173,12.265944,12.374173,16215.629,199760.0,51.45,0.0,0,0,0
2007-04-26,12.362148,12.362148,12.347717,12.347717,8731.493,107933.0,51.34,0.0,0,0,0
2007-04-27,12.318856,12.3645525,12.318856,12.340502,245313.36,3030670.0,51.31,0.0,0,0,0
2007-04-30,12.335691,12.371767,12.253919,12.253919,99372.7,1227829.0,50.95,0.0,0,0,0
2007-05-01,12.261134,12.277969,12.225058,12.277969,89393.85,1095317.0,51.05,0.0,0,0,0
2007-05-02,12.30683,12.374173,12.30683,12.3501215,21205.053,261841.0,51.35,0.0,0,0,0
2007-05-03,12.371767,12.417464,12.366958,12.407845,50725.816,628267.0,51.59,0.0,0,0,0
2007-05-04,12.460756,12.460756,12.4343,12.441515,9563.063,119136.0,51.73,0.0,0,0,0
2007-05-07,12.467971,12.482402,12.465567,12.475186,29520.762,368098.0,51.87,0.0,0,0,0
2007-05-08,12.441515,12.467971,12.417464,12.467971,13305.132,165517.0,51.84,0.0,0,0,0
2007-05-09,12.472781,12.489617,12.4343,12.4343,17462.986,217732.0,51.7,0.0,0,0,0
2007-05-10,12.458351,12.4775915,12.342907,12.342907,19126.127,237505.0,51.32,0.0,0,0,0
2007-05-11,12.427084,12.467971,12.427084,12.467971,7484.1367,93128.0,51.84,0.0,0,0,0
2007-05-14,12.504048,12.504048,12.427084,12.453541,19126.127,238688.0,51.78,0.0,0,0,0
2007-05-15,12.472781,12.540124,12.458351,12.458351,17462.986,218145.0,51.8,0.0,0,0,0
2007-05-16,12.496832,12.518478,12.453541,12.508858,12889.347,161040.0,52.01,0.0,0,0,0
2007-05-17,12.535314,12.588225,12.520884,12.556959,27441.834,344145.0,52.21,0.0,0,0,0
2007-05-18,12.600251,12.633922,12.593036,12.629111,26610.264,335489.0,52.51,0.0,0,0,0
2007-05-21,12.655568,12.698859,12.655568,12.698859,24531.336,310571.0,52.8,0.0,0,0,0
2007-05-22,12.669999,12.682024,12.657973,12.665189,11226.205,142278.0,52.66,0.0,0,0,0
2007-05-23,12.70848,12.715695,12.641138,12.641138,4157.8535,52708.0,52.56,0.0,0,0,0
2007-05-24,12.650758,12.696455,12.518478,12.518478,52804.742,665090.0,52.05,0.0,0,0,0
2007-05-25,12.5473385,12.595441,12.5473385,12.595441,36589.113,459496.0,52.37,0.0,0,0,0
2007-05-29,12.585821,12.585821,12.585821,12.585821,831.57074,10466.0,52.33,0.0,0,0,0
2007-05-30,12.542529,12.696455,12.542529,12.696455,47815.316,602327.0,52.79,0.0,0,0,0
2007-05-31,12.737341,12.737341,12.70367,12.70367,31183.902,397044.0,52.82,0.0,0,0,0
2007-06-01,12.758986,12.768607,12.746962,12.746962,10810.42,137988.0,53.0,0.0,0,0,0
2007-06-04,12.734936,12.799873,12.734936,12.799873,16631.414,212252.0,53.22,0.0,0,0,0
2007-06-05,12.746962,12.746962,12.70367,12.718101,34510.184,439650.0,52.88,0.0,0,0,0
2007-06-06,12.655568,12.655568,12.585821,12.585821,10394.634,131139.0,52.33,0.0,0,0,0
2007-06-07,12.593036,12.593036,12.42468,12.42468,26610.264,331662.0,51.66,0.0,0,0,0
2007-06-08,12.366958,12.530503,12.366958,12.530503,26610.264,331078.0,52.1,0.0,0,0,0
2007-06-11,12.511263,12.602656,12.501642,12.549745,9978.849,125418.0,52.18,0.0,0,0,0
2007-06-12,12.528098,12.528098,12.42468,12.42468,4989.4243,62225.0,51.66,0.0,0,0,0
2007-06-13,12.496832,12.593036,12.470376,12.593036,29520.762,369291.0,52.36,0.0,0,0,0
2007-06-14,12.667593,12.696455,12.665189,12.665189,28689.19,363507.0,52.66,0.0,0,0,0
2007-06-15,12.7878475,12.797468,12.773417,12.797468,12889.347,164796.0,53.21,0.0,0,0,0
2007-06-18,12.780632,12.780632,12.734936,12.739746,151345.88,1930120.0,52.97,0.0,0,0,0
2007-06-19,12.725315,12.754176,12.70367,12.749366,51141.6,651888.0,53.01,0.0,0,0,0
2007-06-20,12.763797,12.763797,12.694049,12.694049,5820.995,74181.0,52.78,0.0,0,0,0
2007-06-21,12.605062,12.643542,12.605062,12.643542,39499.61,498949.0,52.57,0.0,0,0,0
2007-06-22,12.605062,12.605062,12.475186,12.496832,95630.63,1197437.0,51.96,0.0,0,0,0
2007-06-25,12.451699,12.562789,12.403399,12.434794,145756.17,1823609.0,51.49,0.0,0,0,0
2007-06-26,12.420304,12.466188,12.376834,12.376834,31470.084,391348.0,51.25,0.0,0,0,0
2007-06-27,12.311629,12.483093,12.309215,12.483093,63354.246,786101.0,51.69,0.0,0,0,0
2007-06-28,12.497583,12.541054,12.497583,12.5120735,46376.965,580933.0,51.81,0.0,0,0,0
2007-06-29,12.570033,12.584523,12.408229,12.463774,171015.06,2128614.0,51.61,0.0,0,0,0
2007-07-02,12.543468,12.584523,12.543468,12.565203,33540.484,421531.0,52.03,0.0,0,0,0
2007-07-03,12.635238,12.659388,12.635238,12.659388,8281.601,104759.0,52.42,0.0,0,0,0
2007-07-05,12.654558,12.669048,12.625578,12.669048,16563.201,209306.0,52.46,0.0,0,0,0
2007-07-06,12.681123,12.681123,12.664218,12.664218,2070.4001,26227.0,52.44,0.0,0,0,0
2007-07-09,12.755988,12.763232,12.714933,12.748743,44306.566,564474.0,52.79,0.0,0,0,0
2007-07-10,12.673878,12.673878,12.579694,12.579694,3726.7205,47016.0,52.09,0.0,0,0,0
2007-07-11,12.654558,12.654558,12.618333,12.618333,8695.681,109739.0,52.25,0.0,0,0,0
2007-07-12,12.734253,12.857418,12.734253,12.857418,22360.322,285596.0,53.24,0.0,0,0,0
2007-07-13,12.855002,12.946773,12.855002,12.934697,13664.642,176556.0,53.56,0.0,0,0,0
2007-07-16,12.910547,12.934697,12.871907,12.891228,13250.562,170896.0,53.38,0.0,0,0,0
2007-07-17,12.917792,12.925037,12.879153,12.883982,36853.125,475858.0,53.35,0.0,0,0,0
2007-07-18,12.818778,12.857418,12.799458,12.816362,60455.688,774475.0,53.07,0.0,0,0,0
2007-07-19,12.937112,12.937112,12.881567,12.881567,25258.883,326326.0,53.34,0.0,0,0,0
2007-07-20,12.811532,12.811532,12.734253,12.741497,41408.004,528961.0,52.76,0.0,0,0,0
2007-07-23,12.797043,12.838098,12.7922125,12.7922125,15735.042,201811.0,52.97,0.0,0,0,0
2007-07-24,12.685953,12.705273,12.531393,12.548298,45548.805,574534.0,51.96,0.0,0,0,0
2007-07-25,12.603843,12.603843,12.478263,12.574863,67495.05,846990.0,52.07,0.0,0,0,0
2007-07-26,12.454114,12.454114,12.13292,12.282649,246791.7,3020432.0,50.86,0.0,0,0,0
2007-07-27,12.2102,12.241594,12.12809,12.130505,62112.008,758515.0,50.23,0.0,0,0,0
2007-07-30,12.0653,12.20054,12.0653,12.20054,4554.8804,55123.0,50.52,0.0,0,0,0
2007-07-31,12.289894,12.294724,12.03632,12.03632,72878.086,886142.0,49.84,0.0,0,0,0
2007-08-01,12.07979,12.10394,11.898665,11.9059105,120911.375,1453838.0,49.3,0.0,0,0,0
2007-08-02,12.17156,12.173975,12.09428,12.173975,44306.566,537933.0,50.41,0.0,0,0,0
2007-08-03,12.159484,12.159484,11.881761,11.881761,25672.963,309691.0,49.2,0.0,0,0,0
2007-08-06,11.81414,12.111185,11.809311,12.111185,43478.406,517288.0,50.15,0.0,0,0,0
2007-08-07,12.048395,12.236764,12.043565,12.21503,539132.25,6531990.0,50.58,0.0,0,0,0
2007-08-08,12.326119,12.386495,12.236764,12.359929,234369.31,2888201.0,51.18,0.0,0,0,0
2007-08-09,12.207785,12.248839,12.029076,12.058055,94824.33,1155588.0,49.93,0.0,0,0,0
2007-08-10,11.852781,12.0145855,11.847951,12.0145855,8281.601,98593.0,49.75,0.0,0,0,0
2007-08-13,12.130505,12.130505,11.990436,11.990436,45962.887,555734.0,49.65,0.0,0,0,0
2007-08-14,11.990436,11.990436,11.794821,11.794821,104348.17,1244239.0,48.84,0.0,0,0,0
2007-08-15,11.811726,11.90108,11.601622,11.601622,39337.605,465409.0,48.04,0.0,0,0,0
2007-08-16,11.5484915,11.753766,11.362537,11.753766,41822.086,482459.0,48.67,0.0,0,0,0
2007-08-17,12.00251,12.02666,11.864856,11.997681,42650.246,507458.0,49.68,0.0,0,0,0
2007-08-20,11.997681,11.997681,11.886591,11.983191,79089.29,946332.0,49.62,0.0,0,0,0
2007-08-21,11.990436,12.02666,11.980776,12.009755,36024.965,432747.0,49.73,0.0,0,0,0
2007-08-22,12.106355,12.130505,12.043565,12.1160145,27743.363,335450.0,50.17,0.0,0,0,0
2007-08-23,12.195709,12.195709,12.091865,12.125674,24430.723,296040.0,50.21,0.0,0,0,0
2007-08-24,12.140165,12.280234,12.140165,12.280234,18219.521,222596.0,50.85,0.0,0,0,0
2007-08-27,12.207785,12.217444,12.183635,12.19088,400001.3,4881333.0,50.48,0.0,0,0,0
2007-08-28,12.07496,12.07496,11.886591,11.891421,13664.642,163856.0,49.24,0.0,0,0,0
2007-08-29,12.017,12.130505,11.961455,12.130505,8281.601,99453.0,50.23,0.0,0,0,0
2007-08-30,12.08945,12.142579,12.062885,12.07496,17805.441,215224.0,50.0,0.0,0,0,0
2007-08-31,12.17156,12.2633295,12.17156,12.2633295,2070.4001,25297.0,50.78,0.0,0,0,0
2007-09-04,12.2633295,12.379249,12.2633295,12.364759,5797.1206,71443.0,51.2,0.0,0,0,0
2007-09-05,12.20537,12.20537,12.17639,12.198124,12422.401,151569.0,50.51,0.0,0,0,0
2007-09-06,12.248839,12.265744,12.248839,12.248839,13664.642,167550.0,50.72,0.0,0,0,0
2007-09-07,12.120845,12.120845,12.038734,12.07013,10352.001,125276.0,49.98,0.0,0,0,0
2007-09-10,12.11843,12.11843,11.980776,12.09911,38509.445,465439.0,50.1,0.0,0,0,0
2007-09-11,12.111185,12.120845,12.111185,12.120845,1656.3202,20068.0,50.19,0.0,0,0,0
2007-09-12,12.236764,12.2633295,12.202954,12.227105,24844.803,303942.0,50.63,0.0,0,0,0
2007-09-13,12.338194,12.345439,12.3333645,12.335779,10766.081,132834.0,51.08,0.0,0,0,0
2007-09-14,12.323704,12.347855,12.323704,12.340609,12836.481,158338.0,51.1,0.0,0,0,0
2007-09-17,12.280234,12.287479,12.256084,12.272989,62526.086,767163.0,50.82,0.0,0,0,0
2007-09-18,12.314045,12.630408,12.314045,12.627994,24430.723,306562.0,52.29,0.0,0,0,0
2007-09-19,12.741497,12.804288,12.678708,12.678708,53002.246,677594.0,52.5,0.0,0,0,0
2007-09-20,12.702858,12.702858,12.625578,12.654558,48447.367,613314.0,52.4,0.0,0,0,0
2007-09-21,12.702858,12.731838,12.695613,12.707687,56728.965,721089.0,52.62,0.0,0,0,0
2007-09-24,12.690238,12.690238,12.63207,12.634494,17329.227,219539.0,52.13,0.0,0,0,0
2007-09-25,12.52543,12.588444,12.52543,12.581174,97373.75,1223166.0,51.91,0.0,0,0,0
2007-09-26,12.644188,12.644188,12.5957155,12.619952,8252.013,104084.0,52.07,0.0,0,0,0
2007-09-27,12.709626,12.709626,12.666001,12.695086,32182.848,408338.0,52.38,0.0,0,0,0
2007-09-28,12.709626,12.709626,12.641765,12.641765,50749.875,644192.0,52.16,0.0,0,0,0
2007-10-01,12.736287,12.850199,12.736287,12.850199,37134.055,474971.0,53.02,0.0,0,0,0
2007-10-02,12.874435,12.874435,12.808996,12.808996,16916.625,217183.0,52.85,0.0,0,0,0
2007-10-03,12.760524,12.794455,12.760524,12.770218,36721.457,468860.0,52.69,0.0,0,0,0
2007-10-04,12.794455,12.799302,12.77749,12.799302,3300.805,42209.0,52.81,0.0,0,0,0
