Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-11-25,24.75,24.75,24.75,24.75,100.0,2475.0,24.75,0.0,0,0,0
2008-11-26,25.0,25.24,25.0,25.03,3502.0,87832.0,25.03,0.0,0,0,0
2008-11-28,25.79,25.79,25.79,25.79,100.0,2579.0,25.79,0.0,0,0,0
2008-12-01,26.27,26.27,26.0,26.03,14724.0,384171.0,26.03,0.0,0,0,0
2008-12-02,25.92,25.92,25.63,25.63,3600.0,92556.0,25.63,0.0,0,0,0
2008-12-03,26.26,26.27,25.88,25.88,9740.0,252922.0,25.88,0.0,0,0,0
2008-12-04,26.12,26.12,25.28,25.42,7724.0,198753.0,25.42,0.0,0,0,0
2008-12-05,26.01,26.03,25.6,25.71,12243.0,316242.0,25.71,0.0,0,0,0
2008-12-08,25.25,25.25,24.74,24.93,32400.0,812015.0,24.93,0.0,0,0,0
2008-12-09,25.42,31.2,24.67,25.03,70700.0,1776888.0,25.03,0.0,0,0,0
2008-12-10,25.02,25.02,24.5,24.63,44049.0,1086843.0,24.63,0.0,0,0,0
2008-12-11,23.95,23.95,23.11,23.37,61327.0,1450003.0,23.37,0.0,0,0,0
2008-12-12,23.43,23.43,23.05,23.16,13407.0,311338.0,23.16,0.0,0,0,0
2008-12-15,22.68,22.68,22.06,22.14,28000.0,628770.0,22.14,0.0,0,0,0
2008-12-16,21.99,21.99,20.63,20.75,139500.0,3013227.0,20.75,0.0,0,0,0
2008-12-17,20.74,20.74,19.81,20.05,68200.0,1377101.0,20.05,0.0,0,0,0
2008-12-18,19.74,20.55,19.66,20.44,80800.0,1637395.0,20.44,0.0,0,0,0
2008-12-19,21.37,21.67,21.1,21.42,97500.0,2086909.0,21.42,0.0,0,0,0
2008-12-22,21.32,21.39,21.03,21.25,58700.0,1249799.0,21.25,0.0,0,0,0
2008-12-23,21.17,21.27,21.07,21.24,12600.0,266597.0,21.24,0.0,0,0,0
2008-12-24,21.1,21.18,21.0,21.18,3500.0,73794.0,21.18,0.0,0,0,0
2008-12-26,20.73,20.92,20.49,20.81,13300.0,275266.0,20.81,0.0,0,0,0
2008-12-29,20.31,21.0,19.93,20.96,66200.0,1337743.0,20.96,0.0,0,0,0
2008-12-30,20.62,20.63,20.39,20.63,18000.0,369135.0,20.63,0.0,0,0,0
2008-12-31,21.19,21.46,20.78,21.26,25500.0,541194.0,21.26,0.0,0,0,0
2009-01-02,21.29,21.5,21.0,21.47,40400.0,858714.0,21.47,0.0,0,0,0
2009-01-05,22.17,22.3,21.97,22.28,85900.0,1905571.0,22.28,0.0,0,0,0
2009-01-06,22.74,22.79,22.18,22.23,121700.0,2744383.0,22.23,0.0,0,0,0
2009-01-07,21.62,22.08,21.62,21.89,50100.0,1094078.0,21.89,0.0,0,0,0
2009-01-08,21.41,21.8,21.37,21.64,45800.0,988276.0,21.64,0.0,0,0,0
2009-01-09,22.23,22.63,22.23,22.62,26100.0,584337.0,22.62,0.0,0,0,0
2009-01-12,22.78,23.05,22.63,22.82,24000.0,548095.0,22.82,0.0,0,0,0
2009-01-13,23.5,23.58,23.24,23.53,60300.0,1415343.0,23.53,0.0,0,0,0
2009-01-14,23.81,23.81,23.45,23.61,16900.0,398760.0,23.61,0.0,0,0,0
2009-01-15,23.41,24.03,23.36,23.61,132900.0,3156042.0,23.61,0.0,0,0,0
2009-01-16,22.99,23.32,22.81,22.98,36400.0,838495.0,22.98,0.0,0,0,0
2009-01-20,24.56,24.56,24.11,24.45,124600.0,3027331.0,24.45,0.0,0,0,0
2009-01-21,24.37,24.69,23.79,23.86,270000.0,6615837.0,23.86,0.0,0,0,0
2009-01-22,24.12,24.26,23.89,23.95,19900.0,479257.0,23.95,0.0,0,0,0
2009-01-23,24.51,24.73,23.87,24.08,37000.0,898981.0,24.08,0.0,0,0,0
2009-01-26,23.3,23.58,23.17,23.3,30000.0,702078.0,23.3,0.0,0,0,0
2009-01-27,23.3,23.56,23.21,23.32,126100.0,2943842.0,23.32,0.0,0,0,0
2009-01-28,22.84,23.6,22.84,23.34,45900.0,1066660.0,23.34,0.0,0,0,0
2009-01-29,23.38,24.19,23.35,24.19,54500.0,1306403.0,24.19,0.0,0,0,0
2009-01-30,24.46,25.04,24.24,25.02,76600.0,1901572.0,25.02,0.0,0,0,0
2009-02-02,24.92,24.96,24.44,24.8684,63062.0,1561919.0,24.8684,0.0,0,0,0
2009-02-03,24.47,24.53,23.74,23.82,41500.0,999220.0,23.82,0.0,0,0,0
2009-02-04,24.23,24.53,24.21,24.39,45100.0,1101599.0,24.39,0.0,0,0,0
2009-02-05,24.71,24.79,24.39,24.73,21000.0,517217.0,24.73,0.0,0,0,0
2009-02-06,24.49,24.52,23.88,24.1,57600.0,1392750.0,24.1,0.0,0,0,0
2009-02-09,23.74,23.89,23.5,23.89,110000.0,2603370.0,23.89,0.0,0,0,0
2009-02-10,24.02,24.47,23.7,24.39,37000.0,889228.0,24.39,0.0,0,0,0
2009-02-11,24.16,24.42,24.0,24.28,82300.0,1991610.0,24.28,0.0,0,0,0
2009-02-12,24.77,24.91,24.38,24.46,74800.0,1839653.0,24.46,0.0,0,0,0
2009-02-13,24.51,24.51,24.18,24.34,15100.0,366357.0,24.34,0.0,0,0,0
2009-02-17,25.4,25.63,25.13,25.46,215100.0,5482899.0,25.46,0.0,0,0,0
2009-02-18,25.37,25.8,25.37,25.66,215900.0,5535330.0,25.66,0.0,0,0,0
2009-02-19,24.81,25.15,24.74,25.15,97200.0,2424906.0,25.15,0.0,0,0,0
2009-02-20,25.56,25.56,24.2,24.43,111800.0,2773411.0,24.43,0.0,0,0,0
2009-02-23,24.65,24.91,24.5,24.88,311100.0,7689023.0,24.88,0.0,0,0,0
2009-02-24,24.84,24.88,24.19,24.4,64100.0,1577520.0,24.4,0.0,0,0,0
2009-02-25,24.6,24.92,24.47,24.88,46700.0,1156544.0,24.88,0.0,0,0,0
2009-02-26,24.66,24.86,24.61,24.76,133400.0,3296887.0,24.76,0.0,0,0,0
2009-02-27,25.03,25.18,24.68,24.91,116500.0,2906278.0,24.91,0.0,0,0,0
2009-03-02,25.27,25.44,25.15,25.39,237800.0,6023949.0,25.39,0.0,0,0,0
2009-03-03,25.19,25.62,25.02,25.39,89700.0,2278711.0,25.39,0.0,0,0,0
2009-03-04,25.42,25.45,24.97,25.03,105200.0,2653890.0,25.03,0.0,0,0,0
2009-03-05,25.69,25.69,25.35,25.48,113900.0,2906158.0,25.48,0.0,0,0,0
2009-03-06,24.77,25.22,24.6,25.12,142700.0,3557068.0,25.12,0.0,0,0,0
2009-03-09,25.4,25.4,25.0,25.26,125800.0,3170663.0,25.26,0.0,0,0,0
2009-03-10,24.54,25.15,24.38,24.89,81800.0,2012018.0,24.89,0.0,0,0,0
2009-03-11,24.55,24.64,24.09,24.16,125700.0,3064264.0,24.16,0.0,0,0,0
2009-03-12,24.47,24.64,23.9,23.97,283700.0,6878959.0,23.97,0.0,0,0,0
2009-03-13,24.05,24.16,23.83,24.02,367600.0,8815893.0,24.02,0.0,0,0,0
2009-03-16,23.57,23.84,23.48,23.81,95900.0,2265234.0,23.81,0.0,0,0,0
2009-03-17,23.93,24.01,23.64,23.7,65200.0,1555482.0,23.7,0.0,0,0,0
2009-03-18,23.15,23.35,20.69,21.75,587554.0,13271375.0,21.75,0.0,0,0,0
2009-03-19,21.18,21.38,21.02,21.28,225100.0,4786864.0,21.28,0.0,0,0,0
2009-03-20,21.46,21.78,21.34,21.7,117000.0,2526275.0,21.7,0.0,0,0,0
2009-03-23,21.65,21.91,21.34,21.3999,199202.0,4299038.0,21.3999,0.0,0,0,0
2009-03-24,21.87,22.11,21.65,22.06,504000.0,11034374.0,22.06,0.0,0,0,0
2009-03-25,21.98,22.07,21.38,21.59,126600.0,2739142.0,21.59,0.0,0,0,0
2009-03-26,21.61,21.88,21.49,21.76,142700.0,3103097.0,21.76,0.0,0,0,0
2009-03-27,22.37,22.57,22.37,22.45,140400.0,3153047.0,22.45,0.0,0,0,0
2009-03-30,22.99,23.1,22.75,22.87,102300.0,2348194.0,22.87,0.0,0,0,0
2009-03-31,22.49,22.65,22.43,22.54,163100.0,3667629.0,22.54,0.0,0,0,0
2009-04-01,22.54,22.76,22.5,22.6,53700.0,1215676.0,22.6,0.0,0,0,0
2009-04-02,23.34,23.34,21.14,21.91,126200.0,2754781.0,21.91,0.0,0,0,0
2009-04-03,21.98,22.07,21.6,21.6,127500.0,2784638.0,21.6,0.0,0,0,0
2009-04-06,21.77,22.14,21.76,21.93,68200.0,1493095.0,21.93,0.0,0,0,0
2009-04-07,22.47,22.55,22.38,22.43,181400.0,4074062.0,22.43,0.0,0,0,0
2009-04-08,22.53,22.65,22.37,22.54,45200.0,1018170.0,22.54,0.0,0,0,0
2009-04-09,22.54,22.91,22.43,22.8,46400.0,1055734.0,22.8,0.0,0,0,0
2009-04-13,22.44,22.5,22.09,22.11,282000.0,6283101.0,22.11,0.0,0,0,0
2009-04-14,22.48,22.53,22.37,22.43,26200.0,588370.0,22.43,0.0,0,0,0
2009-04-15,22.81,22.87,22.59,22.59,35000.0,796061.0,22.59,0.0,0,0,0
2009-04-16,22.6,22.97,22.6,22.84,86200.0,1958119.0,22.84,0.0,0,0,0
2009-04-17,23.14,23.36,23.14,23.27,70700.0,1644665.0,23.27,0.0,0,0,0
2009-04-20,23.45,23.79,23.45,23.6,67700.0,1600339.0,23.6,0.0,0,0,0
2009-04-21,23.63,23.67,23.34,23.61,92400.0,2166179.0,23.61,0.0,0,0,0
2009-04-22,23.46,23.46,23.17,23.41,114300.0,2661864.0,23.41,0.0,0,0,0
2009-04-23,23.34,23.34,22.75,22.81,484000.0,11141680.0,22.81,0.0,0,0,0
2009-04-24,22.4,22.51,22.26,22.44,152300.0,3406326.0,22.44,0.0,0,0,0
2009-04-27,22.93,23.32,22.82,23.19,72700.0,1678003.0,23.19,0.0,0,0,0
2009-04-28,23.17,23.17,22.76,22.83,76600.0,1760283.0,22.83,0.0,0,0,0
2009-04-29,22.52,22.52,22.1,22.39,81700.0,1819949.0,22.39,0.0,0,0,0
2009-04-30,22.5,22.64,22.36,22.46,261900.0,5882535.0,22.46,0.0,0,0,0
2009-05-01,22.43,22.43,22.33,22.34,35000.0,782610.0,22.34,0.0,0,0,0
2009-05-04,22.37,22.37,21.85,21.93,46500.0,1024567.0,21.93,0.0,0,0,0
2009-05-05,21.85,22.24,21.85,22.14,34700.0,764822.0,22.14,0.0,0,0,0
2009-05-06,22.09,22.35,22.09,22.12,18900.0,419956.0,22.12,0.0,0,0,0
2009-05-07,21.83,22.06,21.674,21.93,40403.0,883415.0,21.93,0.0,0,0,0
2009-05-08,21.59,21.73,21.14,21.15,399300.0,8493829.0,21.15,0.0,0,0,0
