Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
1996-03-18,4.8174148,4.860815,4.8174148,4.860815,115495.03,561400.0,14.0,0.0,0,0,0
1996-03-19,4.860815,4.860815,4.860815,4.860815,28801.754,140000.0,14.0,0.0,0,0,0
1996-03-22,4.860815,4.860815,4.860815,4.860815,864.0526,4200.0,14.0,0.0,0,0,0
1996-03-25,4.9042153,4.9042153,4.860815,4.860815,78628.79,382200.0,14.0,0.0,0,0,0
1996-03-26,4.9042153,4.9042153,4.9042153,4.9042153,2304.1404,11300.0,14.125,0.0,0,0,0
1996-03-27,4.9042153,4.9042153,4.9042153,4.9042153,4032.2456,19775.0,14.125,0.0,0,0,0
1996-03-29,4.774015,4.8174148,4.774015,4.8174148,1440.0876,6937.5,13.875,0.0,0,0,0
1996-04-08,4.6004143,4.6004143,4.6004143,4.6004143,5760.3506,26500.0,13.25,0.0,0,0,0
1996-04-10,4.6872144,4.6872144,4.6872144,4.6872144,1152.0702,5400.0,13.5,0.0,0,0,0
1996-04-11,4.7306147,4.7306147,4.6872144,4.6872144,15264.93,71550.0,13.5,0.0,0,0,0
1996-04-15,4.7306147,4.7306147,4.7306147,4.7306147,576.0351,2725.0,13.625,0.0,0,0,0
1996-04-16,4.6872144,4.6872144,4.6872144,4.6872144,3456.2104,16200.0,13.5,0.0,0,0,0
1996-04-17,4.6438146,4.6438146,4.6438146,4.6438146,576.0351,2675.0,13.375,0.0,0,0,0
1996-04-18,4.6872144,4.6872144,4.6872144,4.6872144,4608.281,21600.0,13.5,0.0,0,0,0
1996-04-19,4.8174148,4.8174148,4.8174148,4.8174148,4896.2983,23587.5,13.875,0.0,0,0,0
1996-04-22,4.860815,4.860815,4.860815,4.860815,4608.281,22400.0,14.0,0.0,0,0,0
1996-04-23,4.860815,4.860815,4.860815,4.860815,178282.86,866600.0,14.0,0.0,0,0,0
1996-04-24,4.860815,4.860815,4.860815,4.860815,576.0351,2800.0,14.0,0.0,0,0,0
1996-04-25,4.774015,4.860815,4.774015,4.8174148,64515.93,310800.0,13.875,0.0,0,0,0
1996-04-29,4.860815,4.860815,4.860815,4.860815,576.0351,2800.0,14.0,0.0,0,0,0
1996-05-02,4.8174148,4.860815,4.8174148,4.8174148,12096.736,58275.0,13.875,0.0,0,0,0
1996-05-03,4.8174148,4.860815,4.8174148,4.860815,11232.684,54356.0,14.0,0.0,0,0,0
1996-05-06,4.860815,4.860815,4.860815,4.860815,4320.263,21000.0,14.0,0.0,0,0,0
1996-05-07,4.860815,4.860815,4.860815,4.860815,31393.912,152600.0,14.0,0.0,0,0,0
1996-05-08,4.860815,4.860815,4.860815,4.860815,6912.421,33600.0,14.0,0.0,0,0,0
1996-05-09,4.8174148,4.8174148,4.8174148,4.8174148,2304.1404,11100.0,13.875,0.0,0,0,0
1996-05-13,4.8174148,4.8174148,4.774015,4.774015,57603.508,276250.0,13.75,0.0,0,0,0
1996-05-14,4.860815,4.947615,4.860815,4.947615,38882.367,191531.0,14.25,0.0,0,0,0
1996-05-15,4.860815,4.860815,4.860815,4.860815,14400.877,70000.0,14.0,0.0,0,0,0
1996-05-16,4.9042153,4.9042153,4.9042153,4.9042153,864.0526,4237.5,14.125,0.0,0,0,0
