Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
1996-03-18,43.223152,43.223152,43.223152,43.223152,22626.764,978000.0,15.0,0.0,0,0,0
1996-03-19,43.223152,43.223152,43.223152,43.223152,3470.3625,150000.0,15.0,0.0,0,0,0
1996-03-20,43.223152,43.223152,43.223152,43.223152,6038.4307,261000.0,15.0,0.0,0,0,0
1996-03-21,43.583344,44.30373,43.583344,44.30373,25403.053,1125450.0,15.375,0.0,0,0,0
1996-03-22,43.94354,44.30373,43.94354,43.94354,27519.975,1209325.0,15.25,0.0,0,0,0
1996-03-25,44.66392,44.66392,43.94354,44.66392,90611.164,4047050.0,15.5,0.0,0,0,0
1996-03-26,44.66392,44.66392,44.30373,44.66392,130589.74,5832650.0,15.5,0.0,0,0,0
1996-03-27,44.66392,45.024117,44.66392,44.66392,33315.48,1488000.0,15.5,0.0,0,0,0
1996-03-28,44.66392,45.024117,44.66392,44.66392,142388.97,6359650.0,15.5,0.0,0,0,0
1996-03-29,45.024117,45.384308,45.024117,45.384308,353317.6,16035075.0,15.75,0.0,0,0,0
1996-04-01,45.384308,45.384308,45.384308,45.384308,112266.23,5095125.0,15.75,0.0,0,0,0
1996-04-02,45.384308,45.384308,45.384308,45.384308,8467.685,384300.0,15.75,0.0,0,0,0
1996-04-03,45.384308,45.384308,45.024117,45.384308,35779.438,1617381.0,15.75,0.0,0,0,0
1996-04-04,45.384308,45.384308,45.384308,45.384308,35328.29,1603350.0,15.75,0.0,0,0,0
1996-04-08,45.024117,45.024117,44.66392,44.66392,21550.951,962550.0,15.5,0.0,0,0,0
1996-04-09,45.384308,45.384308,45.024117,45.384308,383960.9,17425800.0,15.75,0.0,0,0,0
1996-04-10,45.384308,45.384308,45.024117,45.024117,99044.14,4459375.0,15.625,0.0,0,0,0
1996-04-11,45.024117,45.384308,45.024117,45.024117,1804.5885,81250.0,15.625,0.0,0,0,0
1996-04-12,45.024117,45.384308,45.024117,45.384308,624.6652,28238.0,15.75,0.0,0,0,0
1996-04-15,45.384308,45.384308,45.384308,45.384308,182194.03,8268750.0,15.75,0.0,0,0,0
1996-04-16,45.384308,45.384308,45.384308,45.384308,84538.03,3836700.0,15.75,0.0,0,0,0
1996-04-17,45.384308,45.384308,45.024117,45.384308,25403.053,1148325.0,15.75,0.0,0,0,0
1996-04-18,45.384308,45.384308,45.384308,45.384308,29636.895,1345050.0,15.75,0.0,0,0,0
1996-04-19,45.744503,46.104694,45.744503,46.104694,13534.413,621562.0,16.0,0.0,0,0,0
1996-04-22,46.464886,47.545467,46.464886,47.545467,49279.15,2334125.0,16.5,0.0,0,0,0
1996-04-23,46.82508,46.82508,46.82508,46.82508,16623.035,778375.0,16.25,0.0,0,0,0
1996-04-24,46.82508,47.545467,46.82508,47.545467,361750.6,17199600.0,16.5,0.0,0,0,0
1996-04-25,47.185272,47.545467,47.185272,47.545467,9092.35,430662.0,16.5,0.0,0,0,0
1996-04-26,47.545467,47.545467,47.185272,47.545467,10549.901,501600.0,16.5,0.0,0,0,0
1996-04-29,47.545467,47.545467,47.185272,47.185272,14853.151,700850.0,16.375,0.0,0,0,0
1996-04-30,47.545467,47.545467,47.185272,47.545467,14471.411,685444.0,16.5,0.0,0,0,0
1996-05-01,46.82508,47.545467,46.82508,47.545467,9959.94,471756.0,16.5,0.0,0,0,0
1996-05-02,46.464886,46.82508,46.464886,46.82508,21238.62,994500.0,16.25,0.0,0,0,0
1996-05-03,46.82508,46.82508,46.82508,46.82508,18705.254,875875.0,16.25,0.0,0,0,0
1996-05-06,46.82508,46.82508,46.464886,46.82508,61807.156,2882994.0,16.25,0.0,0,0,0
1996-05-07,46.464886,46.82508,46.104694,46.82508,70899.51,3307106.0,16.25,0.0,0,0,0
1996-05-08,46.82508,46.82508,46.104694,46.82508,7079.5396,331500.0,16.25,0.0,0,0,0
1996-05-09,46.464886,46.82508,46.464886,46.82508,26756.494,1248056.0,16.25,0.0,0,0,0
1996-05-10,46.464886,46.464886,46.104694,46.104694,5552.58,257000.0,16.0,0.0,0,0,0
1996-05-13,45.744503,45.744503,45.384308,45.384308,7079.5396,322575.0,15.75,0.0,0,0,0
1996-05-14,46.104694,46.104694,45.744503,46.104694,18601.143,854250.0,16.0,0.0,0,0,0
1996-05-15,46.464886,46.464886,46.104694,46.104694,187087.23,8659294.0,16.0,0.0,0,0,0
1996-05-16,46.464886,46.464886,46.104694,46.464886,3262.1406,151575.0,16.125,0.0,0,0,0
1996-05-17,46.104694,46.104694,46.104694,46.104694,7808.3154,360000.0,16.0,0.0,0,0,0
1996-05-20,46.104694,46.104694,46.104694,46.104694,2533.3645,116800.0,16.0,0.0,0,0,0
1996-05-21,45.744503,45.744503,45.744503,45.744503,13812.043,631825.0,15.875,0.0,0,0,0
1996-05-22,45.744503,45.744503,45.384308,45.384308,902.29425,41112.0,15.75,0.0,0,0,0
1996-05-23,45.384308,45.384308,45.024117,45.384308,10168.162,459644.0,15.75,0.0,0,0,0
1996-05-24,45.024117,45.024117,45.024117,45.024117,5621.9873,253125.0,15.625,0.0,0,0,0
1996-05-28,44.66392,45.024117,44.66392,45.024117,16623.035,748437.0,15.625,0.0,0,0,0
1996-05-29,44.66392,45.024117,44.66392,45.024117,38694.543,1742187.0,15.625,0.0,0,0,0
1996-05-30,45.384308,45.384308,44.66392,45.384308,6732.503,304338.0,15.75,0.0,0,0,0
1996-05-31,44.66392,45.384308,44.66392,45.384308,2602.7717,117656.0,15.75,0.0,0,0,0
1996-06-03,44.66392,44.66392,44.66392,44.66392,3609.177,161200.0,15.5,0.0,0,0,0
1996-06-04,44.66392,44.66392,44.66392,44.66392,1422.8486,63550.0,15.5,0.0,0,0,0
1996-06-05,44.66392,44.66392,44.66392,44.66392,12215.676,545600.0,15.5,0.0,0,0,0
1996-06-06,44.66392,44.66392,44.66392,44.66392,2984.5117,133300.0,15.5,0.0,0,0,0
1996-06-07,43.94354,44.30373,43.94354,44.30373,13707.932,607312.0,15.375,0.0,0,0,0
1996-06-10,44.30373,44.30373,43.94354,44.30373,20405.73,904050.0,15.375,0.0,0,0,0
1996-06-11,44.66392,44.66392,44.66392,44.66392,312.3326,13950.0,15.5,0.0,0,0,0
1996-06-12,44.66392,45.024117,44.66392,45.024117,28491.676,1282812.0,15.625,0.0,0,0,0
1996-06-13,45.024117,45.384308,44.66392,45.384308,37063.473,1675425.0,15.75,0.0,0,0,0
1996-06-14,45.384308,45.384308,45.384308,45.384308,109975.79,4991175.0,15.75,0.0,0,0,0
1996-06-17,45.384308,45.384308,45.024117,45.384308,20162.807,911444.0,15.75,0.0,0,0,0
1996-06-18,45.384308,45.744503,45.384308,45.744503,41123.797,1881187.0,15.875,0.0,0,0,0
1996-06-19,45.744503,46.104694,45.384308,46.104694,11799.232,541875.0,16.0,0.0,0,0,0
1996-06-20,46.104694,46.104694,45.744503,46.104694,3470.3625,160000.0,16.0,0.0,0,0,0
1996-06-21,45.744503,46.464886,45.744503,46.464886,50285.55,2336512.0,16.125,0.0,0,0,0
1996-06-24,46.82508,46.82508,45.744503,45.744503,182332.84,8340725.0,15.875,0.0,0,0,0
1996-06-25,46.104694,46.104694,45.384308,45.384308,28040.53,1277650.0,15.75,0.0,0,0,0
1996-06-26,46.104694,46.104694,45.744503,45.744503,7010.1323,320675.0,15.875,0.0,0,0,0
1996-06-27,45.744503,45.744503,45.744503,45.744503,3262.1406,149225.0,15.875,0.0,0,0,0
1996-06-28,45.744503,45.744503,45.744503,45.744503,1006.4051,46037.5,15.875,0.0,0,0,0
1996-07-01,45.384308,45.384308,45.384308,45.384308,3123.3262,141750.0,15.75,0.0,0,0,0
1996-07-02,45.024117,45.384308,44.66392,45.024117,6558.985,295312.0,15.625,0.0,0,0,0
1996-07-03,45.024117,45.024117,45.024117,45.024117,312.3326,14062.5,15.625,0.0,0,0,0
1996-07-05,44.66392,44.66392,43.94354,43.94354,1284.034,56656.0,15.25,0.0,0,0,0
1996-07-08,43.94354,43.94354,43.583344,43.94354,7565.39,331088.0,15.25,0.0,0,0,0
