Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
1996-03-18,5.382146,5.382146,5.382146,5.382146,2740.5425,14750.0,14.75,0.0,0,0,0
1996-03-19,5.382146,5.382146,5.382146,5.382146,1370.2712,7375.0,14.75,0.0,0,0,0
1996-03-26,5.382146,5.382146,5.382146,5.382146,274.05426,1475.0,14.75,0.0,0,0,0
1996-03-27,5.290923,5.290923,5.290923,5.290923,548.1085,2900.0,14.5,0.0,0,0,0
1996-03-29,5.382146,5.382146,5.382146,5.382146,274.05426,1475.0,14.75,0.0,0,0,0
1996-04-16,5.5189805,5.5189805,5.5189805,5.5189805,274.05426,1512.5,15.125,0.0,0,0,0
1996-04-18,5.473369,5.473369,5.473369,5.473369,41656.246,228000.0,15.0,0.0,0,0,0
1996-04-19,5.5189805,5.5189805,5.5189805,5.5189805,1644.3254,9075.0,15.125,0.0,0,0,0
1996-04-22,5.5189805,5.5189805,5.5189805,5.5189805,3562.7053,19662.5,15.125,0.0,0,0,0
1996-04-23,5.473369,5.473369,5.473369,5.473369,274.05426,1500.0,15.0,0.0,0,0,0
1996-04-24,5.473369,5.473369,5.473369,5.473369,274.05426,1500.0,15.0,0.0,0,0,0
1996-05-03,5.473369,5.473369,5.473369,5.473369,7399.465,40500.0,15.0,0.0,0,0,0
1996-05-06,5.473369,5.473369,5.473369,5.473369,2466.4883,13500.0,15.0,0.0,0,0,0
1996-05-07,5.382146,5.4277577,5.382146,5.4277577,12880.55,69912.0,14.875,0.0,0,0,0
1996-05-09,5.4277577,5.4277577,5.4277577,5.4277577,274.05426,1487.5,14.875,0.0,0,0,0
1996-05-10,5.473369,5.473369,5.473369,5.473369,3014.5967,16500.0,15.0,0.0,0,0,0
1996-05-13,5.5189805,5.5189805,5.5189805,5.5189805,5481.085,30250.0,15.125,0.0,0,0,0
1996-05-14,5.5189805,5.5189805,5.5189805,5.5189805,822.1627,4537.5,15.125,0.0,0,0,0
1996-05-17,5.473369,5.473369,5.473369,5.473369,5481.085,30000.0,15.0,0.0,0,0,0
1996-05-21,5.564592,5.564592,5.564592,5.564592,18361.635,102175.0,15.25,0.0,0,0,0
1996-05-22,5.564592,5.564592,5.564592,5.564592,33160.562,184525.0,15.25,0.0,0,0,0
1996-05-23,5.564592,5.564592,5.564592,5.564592,1918.3798,10675.0,15.25,0.0,0,0,0
1996-05-24,5.564592,5.564592,5.564592,5.564592,274.05426,1525.0,15.25,0.0,0,0,0
1996-05-28,5.564592,5.564592,5.564592,5.564592,1370.2712,7625.0,15.25,0.0,0,0,0
1996-05-29,5.564592,5.564592,5.564592,5.564592,51248.145,285175.0,15.25,0.0,0,0,0
1996-06-04,5.6558146,5.6558146,5.6558146,5.6558146,13976.767,79050.0,15.5,0.0,0,0,0
1996-06-07,5.564592,5.564592,5.564592,5.564592,3562.7053,19825.0,15.25,0.0,0,0,0
1996-06-11,5.6558146,5.6558146,5.6558146,5.6558146,274.05426,1550.0,15.5,0.0,0,0,0
1996-06-12,5.6102033,5.6102033,5.6102033,5.6102033,548.1085,3075.0,15.375,0.0,0,0,0
1996-06-14,5.6558146,5.6558146,5.6558146,5.6558146,109621.695,620000.0,15.5,0.0,0,0,0
1996-06-18,5.7470374,5.7470374,5.7470374,5.7470374,9043.79,51975.0,15.75,0.0,0,0,0
1996-06-20,5.6102033,5.6102033,5.6102033,5.6102033,6303.2476,35362.5,15.375,0.0,0,0,0
1996-06-26,5.6558146,5.6558146,5.6558146,5.6558146,274.05426,1550.0,15.5,0.0,0,0,0
1996-07-10,5.564592,5.6558146,5.564592,5.6558146,16991.363,95712.0,15.5,0.0,0,0,0
1996-07-11,5.564592,5.6102033,5.564592,5.6102033,822.1627,4612.0,15.375,0.0,0,0,0
1996-07-12,5.564592,5.564592,5.564592,5.564592,274.05426,1525.0,15.25,0.0,0,0,0
1996-07-16,5.564592,5.564592,5.564592,5.564592,274.05426,1525.0,15.25,0.0,0,0,0
1996-07-18,5.6558146,5.6558146,5.6558146,5.6558146,7673.519,43400.0,15.5,0.0,0,0,0
1996-07-26,5.6558146,5.6558146,5.6558146,5.6558146,274.05426,1550.0,15.5,0.0,0,0,0
1996-07-31,5.6558146,5.6558146,5.6558146,5.6558146,4658.9224,26350.0,15.5,0.0,0,0,0
1996-08-05,5.8838716,5.8838716,5.8838716,5.8838716,9317.845,54825.0,16.125,0.0,0,0,0
1996-08-13,5.83826,5.83826,5.83826,5.83826,4932.9766,28800.0,16.0,0.0,0,0,0
1996-08-14,5.7470374,5.7470374,5.7470374,5.7470374,3288.651,18900.0,15.75,0.0,0,0,0
1996-08-20,5.83826,5.83826,5.83826,5.83826,274.05426,1600.0,16.0,0.0,0,0,0
1996-08-22,5.83826,5.83826,5.7470374,5.7470374,7125.4106,41112.0,15.75,0.0,0,0,0
1996-08-26,5.7710376,5.7710376,5.679434,5.679434,63316.17,359600.0,15.5,0.0,0,0,0
1996-08-27,5.58783,5.58783,5.58783,5.58783,5458.2905,30500.0,15.25,0.0,0,0,0
1996-08-28,5.4962263,5.4962263,5.4962263,5.4962263,1637.4872,9000.0,15.0,0.0,0,0,0
1996-09-03,5.4962263,5.4962263,5.4046226,5.4046226,11462.41,62212.0,14.75,0.0,0,0,0
1996-09-09,5.4962263,5.58783,5.4962263,5.58783,9552.009,53375.0,15.25,0.0,0,0,0
1996-09-10,5.58783,5.58783,5.58783,5.58783,4093.718,22875.0,15.25,0.0,0,0,0
1996-09-18,5.58783,5.58783,5.58783,5.58783,1364.5726,7625.0,15.25,0.0,0,0,0
1996-09-23,5.450424,5.450424,5.450424,5.450424,1091.6581,5950.0,14.875,0.0,0,0,0
1996-09-25,5.4962263,5.4962263,5.4962263,5.4962263,272.91452,1500.0,15.0,0.0,0,0,0
1996-09-30,5.542028,5.542028,5.542028,5.542028,818.7436,4537.5,15.125,0.0,0,0,0
1996-10-01,5.542028,5.542028,5.542028,5.542028,19922.76,110412.5,15.125,0.0,0,0,0
1996-10-03,5.6336317,5.6336317,5.6336317,5.6336317,272.91452,1537.5,15.375,0.0,0,0,0
1996-10-04,5.58783,5.58783,5.58783,5.58783,272.91452,1525.0,15.25,0.0,0,0,0
1996-10-08,5.542028,5.542028,5.542028,5.542028,4093.718,22687.5,15.125,0.0,0,0,0
1996-10-11,5.4962263,5.4962263,5.4962263,5.4962263,27291.453,150000.0,15.0,0.0,0,0,0
1996-10-15,5.542028,5.542028,5.4962263,5.4962263,4639.547,25500.0,15.0,0.0,0,0,0
1996-10-17,5.4962263,5.4962263,5.4962263,5.4962263,68228.63,375000.0,15.0,0.0,0,0,0
1996-10-18,5.58783,5.58783,5.58783,5.58783,1091.6581,6100.0,15.25,0.0,0,0,0
1996-10-21,5.58783,5.58783,5.58783,5.58783,10916.581,61000.0,15.25,0.0,0,0,0
1996-10-22,5.6336317,5.6336317,5.6336317,5.6336317,60859.94,342862.5,15.375,0.0,0,0,0
1996-10-23,5.679434,5.679434,5.6336317,5.6336317,18285.273,103012.5,15.375,0.0,0,0,0
1996-10-29,5.58783,5.58783,5.58783,5.58783,33841.402,189100.0,15.25,0.0,0,0,0
1996-10-30,5.58783,5.58783,5.58783,5.58783,9279.094,51850.0,15.25,0.0,0,0,0
1996-11-01,5.4962263,5.4962263,5.4962263,5.4962263,1910.4017,10500.0,15.0,0.0,0,0,0
1996-11-05,5.6336317,5.6336317,5.6336317,5.6336317,2456.2307,13837.5,15.375,0.0,0,0,0
1996-11-07,5.679434,5.679434,5.679434,5.679434,272.91452,1550.0,15.5,0.0,0,0,0
1996-11-11,5.7252355,5.7252355,5.7252355,5.7252355,545.82904,3125.0,15.625,0.0,0,0,0
