Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-11-08,240.51826,246.15823,240.51826,243.27269,11100.778,2713576.0,74.19,0.0,0,0,0
2007-11-09,253.79843,255.47075,251.43752,251.43752,5672.3755,1444208.0,76.68,0.0,0,0,0
2007-11-12,252.65077,252.97867,247.96173,252.4868,2653.208,666908.0,77.0,0.0,0,0,0
2007-11-13,248.87985,248.87985,242.68245,242.68245,9331.973,2314489.0,74.01,0.0,0,0,0
2007-11-14,238.71481,242.64966,238.71481,242.64966,945.39594,227501.0,74.0,0.0,0,0,0
2007-11-15,244.94498,246.5845,243.23988,246.5845,1555.3289,380716.0,75.2,0.0,0,0,0
2007-11-16,246.74847,250.35542,246.74847,249.20775,701.4228,174691.0,76.0,0.0,0,0,0
2007-11-19,253.47054,258.97934,253.47054,256.65118,7380.1875,1896839.0,78.27,0.0,0,0,0
2007-11-20,244.12521,249.24055,242.05943,242.94476,6099.3286,1501516.0,74.09,0.0,0,0,0
2007-11-21,255.76585,257.47095,251.89658,252.65077,1829.7986,468181.0,77.05,0.0,0,0,0
2007-11-23,244.28918,244.74825,242.28896,242.28896,4483.0063,1090306.0,73.89,0.0,0,0,0
2007-11-26,239.30504,243.79732,237.76389,243.50221,3720.5906,890424.0,74.26,0.0,0,0,0
2007-11-27,238.97711,238.97711,233.89459,234.15694,1524.8322,359452.0,71.41,0.0,0,0,0
2007-11-28,235.9932,236.41946,229.13997,229.13997,3446.1206,807161.0,69.88,0.0,0,0,0
2007-11-29,228.25462,228.25462,225.40186,227.72997,2409.2349,547154.0,69.45,0.0,0,0,0
2007-11-30,222.41792,227.9923,222.41792,227.9923,1585.8254,355465.0,69.53,0.0,0,0,0
2007-12-03,227.23813,228.94322,227.23813,228.94322,304.96643,69464.0,69.82,0.0,0,0,0
2007-12-04,232.25508,233.5339,232.09111,232.09111,1128.3759,262398.0,70.78,0.0,0,0,0
2007-12-05,223.17209,224.12302,222.877,223.50002,1128.3759,252048.0,68.16,0.0,0,0,0
2007-12-06,223.30325,224.25418,218.22075,218.31912,3598.604,801936.0,66.58,0.0,0,0,0
2007-12-07,221.4998,222.48349,221.4998,221.53256,1982.2819,439398.0,67.56,0.0,0,0,0
2007-12-10,221.53256,221.53256,220.51607,220.84398,1036.8859,228920.0,67.35,0.0,0,0,0
2007-12-11,220.4505,232.05832,220.4505,231.73041,5397.906,1223160.0,70.67,0.0,0,0,0
2007-12-12,221.30304,229.95973,221.23747,228.353,5184.429,1165100.0,69.64,0.0,0,0,0
2007-12-13,238.05898,241.0757,237.37038,238.15735,13113.557,3137851.0,72.63,0.0,0,0,0
2007-12-14,244.71545,250.0931,244.05965,248.7815,7532.671,1862214.0,75.87,0.0,0,0,0
2007-12-17,257.40536,263.4388,255.83142,262.68466,5672.3755,1470893.0,80.11,0.0,0,0,0
2007-12-18,257.04468,262.2584,254.06076,255.73306,8234.094,2117796.0,77.99,0.0,0,0,0
2007-12-19,257.3726,260.0614,255.76585,260.0614,2836.1877,729516.0,79.31,0.0,0,0,0
2007-12-20,257.09494,259.86365,255.05135,257.09494,1941.6952,498955.0,78.0,0.0,0,0,0
2007-12-21,253.53516,254.45805,248.52512,248.52512,10254.578,2580819.0,75.4,0.0,0,0,0
2007-12-24,255.5128,255.5128,240.61449,250.86533,2002.3732,505909.0,76.11,0.0,0,0,0
2007-12-26,246.31674,247.20667,245.95416,247.20667,364.06784,89889.0,75.0,0.0,0,0,0
2007-12-27,250.40388,253.3374,248.88768,253.3374,1790.0002,450092.0,76.86,0.0,0,0,0
2007-12-28,250.33795,251.42566,250.27203,251.42566,3792.3733,950992.0,76.28,0.0,0,0,0
2007-12-31,250.8983,253.53516,250.8983,251.32678,6280.1704,1579534.0,76.25,0.0,0,0,0
2008-01-02,247.7011,252.67819,247.7011,252.31561,3731.6953,932846.0,76.55,0.0,0,0,0
2008-01-03,250.0413,251.75526,249.31616,250.14018,3276.6106,820331.0,75.89,0.0,0,0,0
2008-01-04,255.61171,265.33514,255.61171,264.18152,9799.493,2551289.0,80.15,0.0,0,0,0
2008-01-07,263.98376,267.3128,263.9508,265.17035,6644.2383,1762525.0,80.45,0.0,0,0,0
2008-01-08,259.7318,267.27985,258.57816,267.11505,5309.3228,1385676.0,81.04,0.0,0,0,0
2008-01-09,259.56702,263.15973,255.28207,255.28207,6280.1704,1630162.0,77.45,0.0,0,0,0
2008-01-10,263.88486,265.40106,257.7871,260.06143,6704.916,1757433.0,78.9,0.0,0,0,0
2008-01-11,267.3128,270.8726,266.95023,269.48825,8494.916,2280686.0,81.76,0.0,0,0,0
2008-01-14,263.6871,265.86255,262.46756,262.46756,3488.9836,918962.0,79.63,0.0,0,0,0
2008-01-15,273.7402,282.47482,273.048,279.73907,10072.544,2812591.0,84.87,0.0,0,0,0
2008-01-16,286.66086,292.82452,283.46365,288.77036,13106.442,3778025.0,87.61,0.0,0,0,0
2008-01-17,283.62845,297.0106,281.3212,296.05472,7736.442,2239942.0,89.82,0.0,0,0,0
2008-01-18,281.7497,290.78098,278.5525,280.20053,12317.629,3501258.0,85.01,0.0,0,0,0
2008-01-22,315.9301,315.9301,295.03293,300.50443,12165.934,3700063.0,91.17,0.0,0,0,0
2008-01-23,317.1497,323.14856,296.71393,296.71393,32220.004,10132849.0,90.02,0.0,0,0,0
2008-01-24,293.35193,295.42844,287.74857,289.5614,6431.865,1876727.0,87.85,0.0,0,0,0
2008-01-25,271.82846,284.94687,269.4223,280.53012,16383.053,4513638.0,85.11,0.0,0,0,0
2008-01-28,287.35303,291.63797,280.33237,283.4966,11043.392,3160389.0,86.01,0.0,0,0,0
2008-01-29,275.8167,278.15695,274.2346,274.9268,6886.95,1902110.0,83.41,0.0,0,0,0
2008-01-30,280.662,282.7385,268.6642,275.78375,11346.781,3126875.0,83.67,0.0,0,0,0
2008-01-31,278.3547,278.81616,265.49997,266.98322,14168.307,3880527.0,81.0,0.0,0,0,0
2008-02-01,265.10443,267.148,263.58823,264.1156,2609.1528,692662.0,80.13,0.0,0,0,0
2008-02-04,264.04968,267.148,263.6871,267.148,2427.119,643207.0,81.05,0.0,0,0,0
2008-02-05,275.1575,284.78207,275.12454,283.99103,16929.154,4764192.0,86.16,0.0,0,0,0
2008-02-06,285.3424,291.3413,285.30945,290.71503,9132.035,2624780.0,88.2,0.0,0,0,0
2008-02-07,291.76978,293.0223,285.40833,290.28656,2063.051,597146.0,88.07,0.0,0,0,0
2008-02-08,295.69214,304.72342,294.67035,302.3173,6613.8994,1982795.0,91.72,0.0,0,0,0
2008-02-11,308.51392,308.51392,294.3737,296.41727,21904.748,6534049.0,89.93,0.0,0,0,0
2008-02-12,287.84744,291.37427,285.54016,288.44073,11741.188,3376660.0,87.51,0.0,0,0,0
2008-02-13,291.20944,295.82397,290.4843,290.97873,5491.3564,1605019.0,88.28,0.0,0,0,0
2008-02-14,283.19995,287.2871,277.99213,287.2871,12438.984,3518513.0,87.16,0.0,0,0,0
2008-02-15,282.27707,286.69382,281.22232,281.7497,4095.7632,1161221.0,85.48,0.0,0,0,0
2008-02-19,280.82678,280.82678,267.84018,275.02567,23816.105,6433436.0,83.44,0.0,0,0,0
2008-02-20,283.69437,291.0776,282.90332,285.47427,11225.425,3235361.0,86.61,0.0,0,0,0
2008-02-21,277.39886,282.93625,274.89383,281.7497,7493.73,2092146.0,85.48,0.0,0,0,0
2008-02-22,284.55136,287.15527,276.41003,278.1899,18415.766,5206396.0,84.4,0.0,0,0,0
2008-02-25,270.44412,273.60834,265.53293,266.75247,12165.934,3293096.0,80.93,0.0,0,0,0
2008-02-26,266.98322,268.07092,258.74298,259.79773,8221.865,2160493.0,78.82,0.0,0,0,0
2008-02-27,259.43515,265.0385,258.47928,262.8631,3003.5598,785832.0,79.75,0.0,0,0,0
2008-02-28,265.69772,268.30164,264.67596,268.30164,4156.4414,1108366.0,81.4,0.0,0,0,0
2008-02-29,276.0804,276.0804,271.46588,275.68488,7372.374,2019577.0,83.64,0.0,0,0,0
2008-03-03,277.13516,280.16757,275.55304,276.70667,7281.357,2022372.0,83.95,0.0,0,0,0
2008-03-04,286.13348,293.74747,284.4854,287.08936,15412.205,4476856.0,87.1,0.0,0,0,0
2008-03-05,283.4966,287.1223,279.14578,286.10052,15715.596,4433779.0,86.8,0.0,0,0,0
2008-03-06,282.60666,290.58322,282.04633,290.4843,28184.92,8074514.0,88.13,0.0,0,0,0
2008-03-07,294.60443,298.72452,292.1653,297.47202,19416.951,5737740.0,90.25,0.0,0,0,0
2008-03-10,299.91113,301.59213,293.58264,301.59213,11255.765,3354600.0,91.5,0.0,0,0,0
2008-03-11,291.90164,293.35193,283.4966,283.4966,13773.9,3988580.0,86.01,0.0,0,0,0
2008-03-12,280.26645,284.38654,278.75024,284.38654,7675.7637,2157750.0,86.28,0.0,0,0,0
2008-03-13,292.62677,297.96643,280.16757,281.8156,52789.836,15220824.0,85.5,0.0,0,0,0
2008-03-14,276.21225,302.0536,276.21225,299.54855,42580.77,12726404.0,90.88,0.0,0,0,0
2008-03-17,306.5363,310.6234,296.35138,302.87762,55368.652,16831100.0,91.89,0.0,0,0,0
2008-03-18,294.11002,294.11002,286.00162,286.06757,18112.375,5254620.0,86.79,0.0,0,0,0
2008-03-19,287.18823,302.25134,287.02344,301.92175,9617.459,2858560.0,91.6,0.0,0,0,0
2008-03-20,307.49213,307.49213,288.63852,289.46252,7948.8145,2370979.0,87.82,0.0,0,0,0
2008-03-24,281.09045,281.09045,273.6413,274.16867,5885.7637,1623392.0,83.18,0.0,0,0,0
2008-03-25,274.66837,274.66837,266.39523,269.2081,17738.117,4768230.0,81.35,0.0,0,0,0
2008-03-26,267.71893,274.0727,267.28873,271.9217,10395.081,2816389.0,82.17,0.0,0,0,0
2008-03-27,268.57935,273.2454,268.48004,273.2454,5046.449,1365042.0,82.57,0.0,0,0,0
2008-03-28,273.2454,273.2454,266.39523,271.98788,3293.7903,886701.0,82.19,0.0,0,0,0
2008-03-31,275.9921,276.42227,273.17923,274.73456,2115.278,580803.0,83.02,0.0,0,0,0
2008-04-01,275.72733,275.72733,260.80258,261.1666,8098.493,2142697.0,78.92,0.0,0,0,0
2008-04-02,255.64014,263.08597,255.64014,261.72916,8340.239,2176781.0,79.09,0.0,0,0,0
2008-04-03,259.9422,260.50476,255.77252,258.38684,6919.9814,1781253.0,78.08,0.0,0,0,0
2008-04-04,257.9566,259.61124,255.34232,256.63293,6466.7075,1664314.0,77.55,0.0,0,0,0
2008-04-07,253.6877,255.97107,251.50357,255.97107,6617.799,1674421.0,77.35,0.0,0,0,0
