Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2000-07-14,8.146973,8.201286,8.146973,8.201286,57536.707,470000.0,18.875,0.0,0,0,0
2000-07-17,8.662948,8.6901045,8.662948,8.6901045,23014.684,199688.0,20.0,0.0,0,0,0
2000-07-18,8.662948,8.662948,8.662948,8.662948,23014.684,199375.0,19.9375,0.0,0,0,0
2000-07-19,8.445695,8.445695,8.445695,8.445695,23014.684,194375.0,19.4375,0.0,0,0,0
2000-07-20,8.635792,8.635792,8.635792,8.635792,11507.342,99375.0,19.875,0.0,0,0,0
2000-07-21,8.6901045,8.6901045,8.6901045,8.6901045,460.29367,4000.0,20.0,0.0,0,0,0
2000-07-27,8.581478,8.581478,8.581478,8.581478,230.14684,1975.0,19.75,0.0,0,0,0
2000-07-28,8.6901045,8.6901045,8.418539,8.418539,49021.273,417088.0,19.375,0.0,0,0,0
2000-07-31,8.391382,8.418539,8.391382,8.418539,460.29367,3868.0,19.375,0.0,0,0,0
2000-08-01,8.255599,8.364225,8.255599,8.364225,17030.865,141075.0,19.25,0.0,0,0,0
2000-08-02,8.255599,8.255599,8.255599,8.255599,230.14684,1900.0,19.0,0.0,0,0,0
2000-08-03,8.201286,8.201286,8.201286,8.201286,23014.684,188750.0,18.875,0.0,0,0,0
2000-08-04,8.418539,8.527165,8.418539,8.527165,1611.0278,13612.0,19.625,0.0,0,0,0
2000-08-07,8.500009,8.527165,8.445695,8.527165,2531.6152,21543.0,19.625,0.0,0,0,0
2000-08-10,8.255599,8.255599,8.255599,8.255599,460.29367,3800.0,19.0,0.0,0,0,0
2000-08-11,8.445695,8.445695,8.445695,8.445695,1380.881,11662.5,19.4375,0.0,0,0,0
2000-08-15,8.798731,8.798731,8.6901045,8.6901045,12427.929,108099.0,20.0,0.0,0,0,0
2000-08-17,8.825888,8.825888,8.825888,8.825888,690.4405,6093.75,20.3125,0.0,0,0,0
2000-08-18,8.581478,8.581478,8.581478,8.581478,460.29367,3950.0,19.75,0.0,0,0,0
2000-08-21,8.581478,8.581478,8.581478,8.581478,690.4405,5925.0,19.75,0.0,0,0,0
2000-08-24,8.511617,8.511617,8.511617,8.511617,33924.227,288750.0,19.25,0.0,0,0,0
2000-08-25,8.622157,8.677427,8.622157,8.677427,4975.553,43050.0,19.625,0.0,0,0,0
2000-08-28,8.7326975,8.7326975,8.705062,8.705062,1130.8075,9868.0,19.6875,0.0,0,0,0
2000-08-29,8.401076,8.566887,8.401076,8.483981,61742.094,524938.0,19.1875,0.0,0,0,0
2000-08-31,8.760332,8.787968,8.7326975,8.7326975,5880.199,51543.0,19.75,0.0,0,0,0
2000-09-01,8.7326975,8.7326975,8.7326975,8.7326975,11081.914,96775.0,19.75,0.0,0,0,0
