Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-06-18,22.735006,23.013424,22.676392,22.97679,626022.44,14342383.0,31.36,0.0,0,0,0
2008-06-19,23.079365,23.079365,22.676392,22.786293,428312.16,9797555.0,31.1,0.0,0,0,0
2008-06-20,22.903522,22.932829,22.463915,22.507875,242577.16,5483676.0,30.72,0.0,0,0,0
2008-06-23,22.654411,22.669065,22.420027,22.54451,260773.4,5880880.0,30.77,0.0,0,0,0
2008-06-24,22.346685,22.529856,22.163517,22.178171,163258.56,3641123.0,30.27,0.0,0,0,0
2008-06-25,22.375994,22.417755,22.080578,22.163517,131729.05,2928525.0,30.25,0.0,0,0,0
2008-06-26,22.251438,22.251438,21.321009,21.577375,138362.23,3013939.0,29.45,0.0,0,0,0
2008-06-27,21.577375,21.577375,21.042519,21.24767,76568.4,1633570.0,29.0,0.0,0,0,0
2008-06-30,21.31361,21.31361,21.027866,21.1744,90899.38,1926638.0,28.9,0.0,0,0,0
2008-07-01,21.064499,21.08648,20.51499,20.961926,125157.26,2609470.0,28.61,0.0,0,0,0
2008-07-02,21.093807,21.284302,20.786081,20.786081,56641.508,1192967.0,28.37,0.0,0,0,0
2008-07-03,20.808062,20.808062,20.075384,20.485683,29890.338,610042.0,27.96,0.0,0,0,0
2008-07-07,20.932617,20.961926,20.463703,20.63222,105912.8,2189872.0,28.16,0.0,0,0,0
2008-07-08,20.808062,20.866676,20.302513,20.822716,130070.74,2682971.0,28.42,0.0,0,0,0
2008-07-09,20.588259,20.808062,20.148651,20.148651,162554.3,3343208.0,27.5,0.0,0,0,0
2008-07-10,20.36113,20.544298,20.148651,20.51499,106731.71,2176133.0,28.0,0.0,0,0,0
2008-07-11,20.368454,20.441723,20.075384,20.331821,68379.266,1385074.0,27.75,0.0,0,0,0
2008-07-14,20.507664,20.507664,19.965483,19.965483,66468.47,1341334.0,27.25,0.0,0,0,0
2008-07-15,19.818945,19.928848,19.415974,19.8336,110826.27,2178522.0,27.07,0.0,0,0,0
2008-07-16,19.679737,20.185286,19.657757,20.148651,199951.34,3986631.0,27.5,0.0,0,0,0
2008-07-17,20.412416,20.602913,20.163305,20.544298,232161.94,4732233.0,28.04,0.0,0,0,0
2008-07-18,20.258553,20.786081,20.03875,20.112019,635886.25,12939487.0,27.45,0.0,0,0,0
2008-07-21,20.36113,20.764101,20.295187,20.756775,248540.2,5104062.0,28.33,0.0,0,0,0
2008-07-22,20.749447,21.225687,20.478357,20.954597,248130.75,5137540.0,28.6,0.0,0,0,0
2008-07-23,20.800735,20.844696,20.69816,20.778755,363734.03,7563243.0,28.36,0.0,0,0,0
2008-07-24,20.441723,20.441723,19.87756,19.950829,227794.4,4589950.0,27.23,0.0,0,0,0
2008-07-25,20.002115,20.119343,19.892214,20.031424,112327.62,2247637.0,27.34,0.0,0,0,0
2008-07-28,20.133997,20.214592,19.928848,19.9435,300404.72,6029705.0,27.22,0.0,0,0,0
2008-07-29,20.22192,20.427069,19.855581,20.383108,146312.52,2948235.0,27.82,0.0,0,0,0
2008-07-30,20.397762,20.456377,20.148651,20.456377,138123.39,2810931.0,27.92,0.0,0,0,0
2008-07-31,20.51499,20.51499,20.148651,20.273207,100999.31,2051095.0,27.67,0.0,0,0,0
2008-08-01,20.236574,20.236574,19.855581,19.950829,101135.805,2020143.0,27.23,0.0,0,0,0
