Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-06-23,19.477371,19.477371,19.409235,19.409235,205.46921,3995.0,19.94,0.0,0,0,0
2006-06-26,19.60391,19.60391,19.52604,19.52604,719.1422,14081.0,20.06,0.0,0,0,0
2006-06-27,19.44817,19.44817,19.44817,19.44817,308.2038,5994.0,19.98,0.0,0,0,0
2006-06-28,19.039349,19.039349,19.039349,19.039349,205.46921,3912.0,19.56,0.0,0,0,0
2006-06-29,19.798588,19.798588,19.798588,19.798588,102.734604,2034.0,20.34,0.0,0,0,0
2006-06-30,20.256077,20.343681,20.256077,20.26581,49723.547,1007325.0,20.82,0.0,0,0,0
2006-07-03,20.343681,20.343681,20.295013,20.295013,1438.2844,29210.0,20.85,0.0,0,0,0
2006-07-05,20.256077,20.256077,20.256077,20.256077,616.4076,12486.0,20.81,0.0,0,0,0
2006-07-06,20.207409,20.207409,20.207409,20.207409,205.46921,4152.0,20.76,0.0,0,0,0
2006-07-07,20.246342,20.246342,20.246342,20.246342,1027.3461,20800.0,20.8,0.0,0,0,0
2006-07-10,19.93486,19.93486,19.93486,19.93486,205.46921,4096.0,20.48,0.0,0,0,0
2006-07-14,19.311897,19.311897,19.282694,19.282694,39141.883,755660.0,19.81,0.0,0,0,0
2006-07-20,19.409235,19.409235,19.311897,19.311897,1335.5498,25887.0,19.84,0.0,0,0,0
2006-07-21,19.16589,19.16589,19.16589,19.16589,205.46921,3938.0,19.69,0.0,0,0,0
2006-07-25,19.613644,19.886192,19.613644,19.886192,1027.3461,20372.0,20.43,0.0,0,0,0
2006-07-26,20.18794,20.18794,20.080868,20.080868,719.1422,14473.0,20.63,0.0,0,0,0
2006-07-27,19.866724,19.886192,19.720716,19.720716,2568.365,50967.0,20.26,0.0,0,0,0
2006-07-28,19.93486,19.93486,19.93486,19.93486,30820.38,614400.0,20.48,0.0,0,0,0
2006-07-31,19.837523,19.837523,19.691515,19.759651,534836.3,10577706.0,20.3,0.0,0,0,0
2006-08-01,19.389767,19.428701,19.389767,19.409235,77050.95,1495500.0,19.94,0.0,0,0,0
2006-08-07,19.32163,19.331366,19.32163,19.331366,1232.8152,23829.0,19.86,0.0,0,0,0
2006-08-08,19.428701,19.438435,19.282694,19.282694,3390.242,65642.0,19.81,0.0,0,0,0
2006-08-09,19.360565,19.506575,19.234026,19.234026,72427.9,1407151.0,19.76,0.0,0,0,0
2006-08-10,18.94201,19.029615,18.94201,19.029615,1232.8152,23451.0,19.55,0.0,0,0,0
2006-08-11,18.903076,18.903076,18.903076,18.903076,31436.79,594252.0,19.42,0.0,0,0,0
2006-08-14,19.107485,19.107485,19.058817,19.058817,205.46921,3921.0,19.58,0.0,0,0,0
2006-08-15,19.292429,19.292429,19.243761,19.243761,1643.7537,31661.0,19.77,0.0,0,0,0
2006-08-16,19.467638,19.564976,19.467638,19.564976,62154.434,1216001.0,20.1,0.0,0,0,0
2006-08-17,19.808321,20.061401,19.808321,20.061401,513.67303,10242.0,20.61,0.0,0,0,0
2006-08-18,20.002996,20.080868,20.002996,20.061401,821.87683,16486.0,20.61,0.0,0,0,0
2006-08-21,19.93486,20.0322,19.895926,19.964062,1541.019,30736.0,20.51,0.0,0,0,0
2006-08-22,20.012732,20.012732,19.82779,19.866724,719.1422,14307.0,20.41,0.0,0,0,0
2006-08-23,19.701248,19.837523,19.701248,19.818056,2876.5688,57003.0,20.36,0.0,0,0,0
2006-08-24,19.98353,19.98353,19.759651,19.85699,3698.4458,73488.0,20.4,0.0,0,0,0
