Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2002-10-21,12.520406,12.849349,12.520406,12.849349,89693.26,1140509.0,25.0,0.0,0,0,0
2002-10-22,12.638619,12.638619,12.592361,12.592361,4085.81,51459.0,24.5,0.0,0,0,0
2002-10-23,12.247999,12.273698,11.991013,12.273698,169658.4,2056908.0,23.88,0.0,0,0,0
2002-10-24,12.448449,12.448449,12.201741,12.222301,120434.12,1489177.0,23.78,0.0,0,0,0
2002-10-25,12.3610735,12.3610735,12.3610735,12.3610735,972.81195,12025.0,24.05,0.0,0,0,0
2002-10-28,12.710576,12.746553,12.551244,12.551244,45722.16,581061.0,24.42,0.0,0,0,0
2002-10-29,12.098948,12.263419,12.02699,12.232579,136388.23,1651815.0,23.8,0.0,0,0,0
2002-10-30,12.463868,12.566664,12.463868,12.561523,15954.116,199496.0,24.44,0.0,0,0,0
2002-10-31,12.787671,12.859629,12.6232,12.669457,94362.76,1196131.0,24.65,0.0,0,0,0
2002-11-01,12.571802,12.864768,12.571802,12.849349,377840.16,4807207.0,25.0,0.0,0,0,0
2002-11-04,13.270807,13.281087,13.060078,13.060078,15954.116,211076.0,25.41,0.0,0,0,0
2002-11-05,13.476397,13.476397,13.404441,13.4609785,50586.223,679770.0,26.19,0.0,0,0,0
2002-11-06,13.311925,13.394161,13.142314,13.394161,123157.99,1633241.0,26.06,0.0,0,0,0
2002-11-07,12.941864,12.982982,12.797951,12.833929,179581.08,2310979.0,24.97,0.0,0,0,0
2002-11-08,12.864768,12.936725,12.725995,12.725995,89498.695,1143987.0,24.76,0.0,0,0,0
2002-11-11,12.582082,12.64376,12.520406,12.582082,216937.06,2726096.0,24.48,0.0,0,0,0
2002-11-12,12.607781,12.720856,12.607781,12.695157,62259.965,786249.0,24.7,0.0,0,0,0
2002-11-13,12.41761,12.6232,12.41761,12.6232,38912.477,486520.0,24.56,0.0,0,0,0
2002-11-14,12.998402,13.147453,12.998402,13.132034,15175.866,198254.0,25.55,0.0,0,0,0
2002-11-15,13.085776,13.270807,13.02924,13.270807,82689.016,1091281.0,25.82,0.0,0,0,0
2002-11-18,13.414721,13.414721,13.198852,13.198852,116737.43,1550028.0,25.68,0.0,0,0,0
2002-11-19,13.198852,13.301645,13.116615,13.121756,75879.33,1001040.0,25.53,0.0,0,0,0
2002-11-20,12.900746,13.265667,12.900746,13.265667,52726.406,698619.0,25.81,0.0,0,0,0
2002-11-21,13.455838,13.640869,13.455838,13.61003,663457.75,8997660.0,26.48,0.0,0,0,0
2002-11-22,13.5997505,13.651148,13.5997505,13.6305895,49029.723,668530.0,26.52,0.0,0,0,0
2002-11-25,13.450698,13.517514,13.450698,13.517514,57785.03,778606.0,26.3,0.0,0,0,0
2002-11-26,13.126895,13.126895,12.921305,12.921305,319860.56,4146135.0,25.14,0.0,0,0,0
2002-11-27,13.435279,13.579192,13.435279,13.558633,94362.76,1277751.0,26.38,0.0,0,0,0
2002-12-02,13.676847,13.702545,13.543214,13.589472,128605.74,1755741.0,26.44,0.0,0,0,0
2002-12-03,13.296507,13.301645,13.209131,13.281087,54672.03,725654.0,25.84,0.0,0,0,0
2002-12-04,13.21941,13.430139,13.21941,13.430139,98059.445,1307663.0,26.13,0.0,0,0,0
2002-12-05,13.209131,13.209131,12.952144,13.003541,13619.367,177300.0,25.3,0.0,0,0,0
2002-12-06,12.82365,13.168013,12.82365,13.168013,190865.7,2501657.0,25.62,0.0,0,0,0
2002-12-09,13.003541,13.003541,12.6232,12.6232,188920.08,2400399.0,24.56,0.0,0,0,0
2002-12-10,12.731135,12.967563,12.731135,12.936725,51948.156,671606.0,25.17,0.0,0,0,0
2002-12-11,12.957283,13.00868,12.957283,13.00868,5836.8716,75819.0,25.31,0.0,0,0,0
2002-12-12,12.849349,12.895606,12.849349,12.895606,5836.8716,75093.0,25.09,0.0,0,0,0
2002-12-13,12.792811,12.792811,12.736275,12.741415,15564.991,198469.0,24.79,0.0,0,0,0
2002-12-16,13.198852,13.327345,13.188572,13.327345,88331.33,1170620.0,25.93,0.0,0,0,0
2002-12-17,13.394161,13.394161,13.142314,13.142314,13813.93,183909.0,25.57,0.0,0,0,0
2002-12-18,12.972702,12.972702,12.818511,12.818511,57201.344,735044.0,24.94,0.0,0,0,0
2002-12-19,12.674598,12.690017,12.582082,12.582082,27238.734,343200.0,24.48,0.0,0,0,0
2002-12-20,12.797951,13.039519,12.797951,13.039519,202344.89,2622526.0,25.37,0.0,0,0,0
2002-12-23,12.900746,12.921305,12.900746,12.921305,2334.7488,30156.0,25.14,0.0,0,0,0
2002-12-24,12.967563,12.967563,12.926445,12.926445,9728.119,125982.0,25.15,0.0,0,0,0
2002-12-26,13.044659,13.178292,13.044659,13.121756,18094.303,237640.0,25.53,0.0,0,0,0
2002-12-27,12.684877,12.690017,12.566664,12.612921,159346.6,2011095.0,24.54,0.0,0,0,0
2002-12-30,12.787671,12.972702,12.772253,12.880187,200399.27,2581025.0,25.06,0.0,0,0,0
2002-12-31,12.895606,12.895606,12.82879,12.880187,11868.306,152815.0,25.06,0.0,0,0,0
2003-01-02,13.203991,13.450698,13.203991,13.41986,72377.21,965310.0,26.11,0.0,0,0,0
2003-01-03,13.404441,13.404441,13.358183,13.404441,109149.5,1460406.0,26.08,0.0,0,0,0
2003-01-06,13.61517,13.733383,13.61517,13.733383,136193.67,1863001.0,26.72,0.0,0,0,0
2003-01-08,13.162873,13.22969,13.106336,13.22969,77824.95,1022400.0,25.74,0.0,0,0,0
2003-01-09,13.322205,13.322205,13.322205,13.322205,1945.6239,25920.0,25.92,0.0,0,0,0
2003-01-10,13.435279,13.435279,13.435279,13.435279,1945.6239,26140.0,26.14,0.0,0,0,0
2003-01-13,13.532934,13.61003,13.532934,13.61003,17510.615,237259.0,26.48,0.0,0,0,0
2003-01-14,13.635729,13.687126,13.635729,13.687126,11673.743,159630.0,26.63,0.0,0,0,0
2003-01-15,13.640869,13.640869,13.5689125,13.5689125,30351.732,413883.0,26.4,0.0,0,0,0
2003-01-16,13.486676,13.486676,13.404441,13.445559,40858.1,548270.0,26.16,0.0,0,0,0
2003-01-17,13.096056,13.096056,13.003541,13.049798,518508.78,6762650.0,25.39,0.0,0,0,0
2003-01-21,12.880187,12.880187,12.720856,12.731135,84050.95,1072595.0,24.77,0.0,0,0,0
2003-01-22,12.489567,12.535825,12.489567,12.535825,7587.933,94869.0,24.39,0.0,0,0,0
2003-01-23,12.664318,12.664318,12.540964,12.654039,92222.57,1161048.0,24.62,0.0,0,0,0
2003-01-24,12.587222,12.587222,12.366213,12.366213,42803.727,532230.0,24.06,0.0,0,0,0
2003-01-27,12.201741,12.201741,11.908776,12.001292,111095.125,1336996.0,23.35,0.0,0,0,0
2003-01-28,12.057829,12.160624,11.960174,12.145204,89498.695,1081197.0,23.63,0.0,0,0,0
2003-01-29,12.047549,12.448449,12.047549,12.41761,377840.16,4641729.0,24.16,0.0,0,0,0
2003-01-30,12.304537,12.325095,12.186322,12.186322,45138.473,553220.0,23.71,0.0,0,0,0
2003-01-31,12.463868,12.510126,12.43817,12.499846,13813.93,172294.0,24.32,0.0,0,0,0
2003-02-03,12.566664,12.592361,12.566664,12.592361,11673.743,146830.0,24.5,0.0,0,0,0
2003-02-04,12.222301,12.304537,12.217161,12.294257,556643.0,6806462.0,23.92,0.0,0,0,0
2003-02-05,12.294257,12.458729,12.23772,12.2839775,542829.06,6696195.0,23.9,0.0,0,0,0
2003-02-06,12.078388,12.098948,11.985872,12.057829,276862.28,3343978.0,23.46,0.0,0,0,0
2003-02-07,11.985872,11.985872,11.780283,11.867659,172382.28,2048316.0,23.09,0.0,0,0,0
2003-02-10,11.867659,11.867659,11.785423,11.857379,298069.6,3522282.0,23.07,0.0,0,0,0
2003-02-11,11.970454,12.078388,11.934475,11.934475,49224.285,589793.0,23.22,0.0,0,0,0
2003-02-12,11.826541,11.826541,11.718606,11.718606,197480.83,2331201.0,22.8,0.0,0,0,0
2003-02-13,11.857379,11.980733,11.800841,11.924196,160124.84,1895245.0,23.2,0.0,0,0,0
2003-02-14,11.980733,12.335375,11.965314,12.263419,49418.848,604146.0,23.86,0.0,0,0,0
2003-02-18,12.515265,12.592361,12.469008,12.515265,299042.4,3757488.0,24.35,0.0,0,0,0
2003-02-19,12.42789,12.43303,12.319955,12.319955,136777.36,1693751.0,23.97,0.0,0,0,0
2003-02-20,12.129786,12.140065,12.073248,12.114366,3112.9983,37745.0,23.57,0.0,0,0,0
2003-02-21,12.098948,12.350795,12.098948,12.350795,332118.0,4064793.0,24.03,0.0,0,0,0
2003-02-24,12.021851,12.04241,11.985872,12.001292,46889.535,563392.0,23.35,0.0,0,0,0
2003-02-25,11.656929,11.759724,11.477038,11.759724,1019117.8,11808756.0,22.88,0.0,0,0,0
2003-02-26,11.45648,11.564414,11.420501,11.425641,176662.66,2022933.0,22.23,0.0,0,0,0
2003-02-27,11.528436,11.646649,11.420501,11.564414,30546.295,352739.0,22.5,0.0,0,0,0
2003-02-28,11.852239,11.929335,11.826541,11.867659,789534.2,9384936.0,23.09,0.0,0,0,0
2003-03-03,12.093807,12.104086,11.934475,11.949894,426869.88,5123011.0,23.25,0.0,0,0,0
2003-03-04,11.723745,11.816261,11.723745,11.816261,42609.164,501969.0,22.99,0.0,0,0,0
2003-03-05,11.703187,11.836821,11.703187,11.826541,26071.36,308256.0,23.01,0.0,0,0,0
2003-03-06,11.569553,11.65179,11.45134,11.487318,1061727.0,12243216.0,22.35,0.0,0,0,0
2003-03-07,11.348545,11.43078,11.286867,11.384522,71793.52,814888.0,22.15,0.0,0,0,0
2003-03-10,11.163514,11.173794,10.901387,10.901387,271219.97,2974531.0,21.21,0.0,0,0,0
2003-03-11,10.9990425,11.06586,10.911667,10.988763,87747.64,960774.0,21.38,0.0,0,0,0
2003-03-12,10.66496,10.66496,10.407972,10.557025,605672.7,6363470.0,20.54,0.0,0,0,0
2003-03-13,10.885968,11.256029,10.819151,11.158374,1484705.6,16209846.0,21.71,0.0,0,0,0
2003-03-14,11.358825,11.533576,11.220052,11.312567,1554164.4,17602436.0,22.01,0.0,0,0,0
2003-03-17,11.245749,11.975593,11.245749,11.939614,701592.0,8237870.0,23.23,0.0,0,0,0
2003-03-18,11.919056,11.919056,11.605532,11.872799,343986.3,4043009.0,23.1,0.0,0,0,0
2003-03-19,11.949894,12.02699,11.836821,11.960174,324724.62,3864586.0,23.27,0.0,0,0,0
2003-03-20,11.816261,11.862518,11.682628,11.83168,252347.42,2976589.0,23.02,0.0,0,0,0
2003-03-21,12.146634,12.414272,12.131193,12.414272,917837.8,11206745.0,24.12,0.0,0,0,0
2003-03-24,11.863556,11.94076,11.590772,11.616506,261129.12,3046686.0,22.57,0.0,0,0,0
2003-03-25,11.734883,12.059137,11.734883,11.971641,75191.195,897692.0,23.26,0.0,0,0,0
2003-03-26,12.028256,12.069431,11.889291,11.992228,253551.72,3046731.0,23.3,0.0,0,0,0
2003-03-27,11.637094,11.884144,11.637094,11.827528,190406.66,2248561.0,22.98,0.0,0,0,0
2003-03-28,11.6628275,11.863556,11.6576805,11.776058,74802.62,877338.0,22.88,0.0,0,0,0
2003-03-31,11.482687,11.6268,11.379749,11.379749,106860.875,1226890.0,22.11,0.0,0,0,0
2003-04-01,11.534156,11.667974,11.47754,11.616506,181080.61,2095862.0,22.57,0.0,0,0,0
2003-04-02,11.9562,12.095165,11.951053,12.05399,816611.4,9804968.0,23.42,0.0,0,0,0
2003-04-03,12.095165,12.131193,11.961347,11.987082,291050.16,3501185.0,23.29,0.0,0,0,0
2003-04-04,12.234132,12.326776,12.223838,12.295894,279198.3,3426526.0,23.89,0.0,0,0,0
2003-04-07,12.717937,12.748819,12.481181,12.527503,276866.8,3505428.0,24.34,0.0,0,0,0
2003-04-08,12.594413,12.635588,12.501769,12.527503,232956.72,2923713.0,24.34,0.0,0,0,0
2003-04-09,12.6922035,12.774553,12.537798,12.537798,338263.25,4279552.0,24.36,0.0,0,0,0
2003-04-10,12.517209,12.542945,12.393684,12.445153,149410.94,1854835.0,24.18,0.0,0,0,0
2003-04-11,12.620148,12.620148,12.429712,12.486328,123958.62,1553530.0,24.26,0.0,0,0,0
2003-04-14,12.58412,12.7797,12.558385,12.774553,106860.875,1354963.0,24.82,0.0,0,0,0
2003-04-15,12.795141,12.970136,12.789994,12.970136,194681.1,2497885.0,25.2,0.0,0,0,0
2003-04-16,12.970136,12.970136,12.800288,12.800288,62173.6,797398.0,24.87,0.0,0,0,0
