Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-05-11,27.030924,27.03996,27.030924,27.03996,1217.1615,32912.0,29.92,0.0,0,0,0
2007-05-23,27.473757,27.473757,27.473757,27.473757,1438.4636,39520.0,30.4,0.0,0,0,0
2007-05-24,27.42857,27.42857,27.202635,27.202635,2434.323,66220.0,30.1,0.0,0,0,0
2007-06-05,27.67258,27.67258,27.67258,27.67258,221.3021,6124.0,30.62,0.0,0,0,0
2007-06-06,27.383383,27.419533,27.383383,27.419533,1438.4636,39442.0,30.34,0.0,0,0,0
2007-06-07,27.157448,27.157448,26.93151,26.93151,1217.1615,32780.0,29.8,0.0,0,0,0
2007-06-08,27.085148,27.157448,27.085148,27.121298,5311.2505,144048.0,30.01,0.0,0,0,0
2007-06-11,27.157448,27.157448,27.157448,27.157448,110.65105,3005.0,30.05,0.0,0,0,0
2007-06-12,26.913437,26.913437,26.913437,26.913437,110.65105,2978.0,29.78,0.0,0,0,0
2007-06-18,27.717768,27.717768,27.609318,27.645468,7524.271,208012.0,30.59,0.0,0,0,0
2007-06-19,27.509907,27.52798,27.509907,27.52798,1438.4636,39598.0,30.46,0.0,0,0,0
2007-06-20,27.546057,27.546057,27.265896,27.265896,553.25525,15085.0,30.17,0.0,0,0,0
2007-06-21,27.419533,27.419533,27.410496,27.410496,1438.4636,39429.0,30.33,0.0,0,0,0
2007-06-22,27.22071,27.229746,27.22071,27.229746,2213.021,60260.0,30.13,0.0,0,0,0
2007-06-25,27.311083,27.311083,27.311083,27.311083,1106.5105,30220.0,30.22,0.0,0,0,0
2007-06-26,26.93151,26.93151,26.877287,26.877287,1659.7657,44610.0,29.74,0.0,0,0,0
2007-06-29,27.293009,27.293009,27.130335,27.130335,663.9063,18012.0,30.02,0.0,0,0,0
2007-07-02,27.329159,27.329159,27.302046,27.302046,221.3021,6042.0,30.21,0.0,0,0,0
2007-07-03,27.437609,27.437609,27.437609,27.437609,553.25525,15180.0,30.36,0.0,0,0,0
2007-07-05,27.63643,27.63643,27.63643,27.63643,110.65105,3058.0,30.58,0.0,0,0,0
2007-07-06,27.74488,27.925629,27.74488,27.853329,20470.443,570170.0,30.82,0.0,0,0,0
2007-07-09,27.826218,27.826218,27.826218,27.826218,4536.693,126239.0,30.79,0.0,0,0,0
2007-07-10,27.591244,27.591244,27.46472,27.46472,331.95316,9117.0,30.39,0.0,0,0,0
2007-07-11,27.473757,27.582207,27.473757,27.52798,2655.6252,73104.0,30.46,0.0,0,0,0
2007-07-12,27.880442,28.06119,27.880442,28.06119,2434.323,68310.0,31.05,0.0,0,0,0
2007-07-13,28.106377,28.106377,28.106377,28.106377,3540.8335,99520.0,31.1,0.0,0,0,0
2007-07-16,28.151564,28.205788,28.115416,28.115416,6860.3647,192882.0,31.11,0.0,0,0,0
2007-07-17,28.19675,28.19675,28.052153,28.052153,663.9063,18624.0,31.04,0.0,0,0,0
2007-07-18,28.016003,28.016003,27.970816,27.970816,1881.0677,52615.0,30.95,0.0,0,0,0
2007-07-19,28.26905,28.26905,28.250975,28.250975,3872.7866,109410.0,31.26,0.0,0,0,0
2007-07-20,28.052153,28.052153,27.81718,27.898518,7856.224,219177.0,30.87,0.0,0,0,0
2007-07-24,27.690655,27.690655,27.383383,27.383383,1881.0677,51510.0,30.3,0.0,0,0,0
2007-07-25,27.419533,27.446646,27.302046,27.446646,1217.1615,33407.0,30.37,0.0,0,0,0
2007-07-26,27.11226,27.14841,26.687502,26.786913,10954.454,293436.0,29.64,0.0,0,0,0
2007-07-27,26.687502,26.913437,26.479641,26.479641,16044.401,424850.0,29.3,0.0,0,0,0
2007-07-30,26.479641,26.705576,26.479641,26.705576,442.6042,11820.0,29.55,0.0,0,0,0
2007-07-31,26.823063,26.823063,26.823063,26.823063,331.95316,8904.0,29.68,0.0,0,0,0
2007-08-01,26.461567,26.497715,26.091032,26.091032,27773.412,724637.0,28.87,0.0,0,0,0
2007-08-02,26.705576,26.705576,26.705576,26.705576,553.25525,14775.0,29.55,0.0,0,0,0
2007-08-03,26.58809,26.58809,26.217556,26.217556,1549.1146,40614.0,29.01,0.0,0,0,0
2007-08-06,25.810871,25.973545,25.810871,25.973545,11286.407,293148.0,28.74,0.0,0,0,0
2007-08-07,26.45253,26.542904,26.353117,26.542904,17704.168,469920.0,29.37,0.0,0,0,0
2007-08-08,26.750765,26.750765,26.750765,26.750765,110.65105,2960.0,29.6,0.0,0,0,0
2007-08-09,26.19948,26.298893,26.02777,26.02777,4979.297,129600.0,28.8,0.0,0,0,0
2007-08-10,25.5759,25.78376,25.5759,25.78376,2323.6719,59913.0,28.53,0.0,0,0,0
2007-08-13,26.316969,26.316969,26.289856,26.289856,885.2084,23272.0,29.09,0.0,0,0,0
2007-08-14,26.163332,26.163332,25.729534,25.74761,3540.8335,91168.0,28.49,0.0,0,0,0
2007-08-15,25.603012,25.603012,25.5036,25.53975,3872.7866,98910.0,28.26,0.0,0,0,0
2007-08-16,24.852905,24.852905,24.355848,24.83483,4426.042,109920.0,27.48,0.0,0,0,0
2007-08-17,25.205364,25.67531,25.169216,25.67531,12835.521,329556.0,28.41,0.0,0,0,0
2007-08-20,25.630125,25.630125,25.485525,25.485525,331.95316,8460.0,28.2,0.0,0,0,0
2007-08-21,25.666273,25.937397,25.657236,25.874134,2766.2761,71575.0,28.63,0.0,0,0,0
2007-08-22,26.109106,26.109106,26.109106,26.109106,11065.1045,288900.0,28.89,0.0,0,0,0
2007-08-23,26.262743,26.262743,26.154295,26.208519,1770.4167,46400.0,29.0,0.0,0,0,0
2007-08-24,26.326004,26.389267,26.30793,26.389267,1438.4636,37960.0,29.2,0.0,0,0,0
2007-08-27,26.533867,26.533867,26.371193,26.461567,5975.1567,158112.0,29.28,0.0,0,0,0
2007-08-28,25.74761,25.74761,25.74761,25.74761,1438.4636,37037.0,28.49,0.0,0,0,0
2007-08-29,25.874134,25.874134,25.874134,25.874134,1217.1615,31493.0,28.63,0.0,0,0,0
2007-08-30,26.326004,26.34408,26.298893,26.298893,3872.7866,101850.0,29.1,0.0,0,0,0
2007-08-31,26.579052,26.678465,26.570015,26.570015,1659.7657,44100.0,29.4,0.0,0,0,0
2007-09-04,26.877287,26.985737,26.832102,26.958624,6639.063,178980.0,29.83,0.0,0,0,0
2007-09-05,26.687502,26.687502,26.597128,26.606165,1327.8126,35328.0,29.44,0.0,0,0,0
2007-09-07,26.461567,26.488678,26.398304,26.398304,3208.8804,84709.0,29.21,0.0,0,0,0
2007-09-10,26.136219,26.226593,26.136219,26.226593,1217.1615,31922.0,29.02,0.0,0,0,0
2007-09-11,26.570015,26.678465,26.551939,26.678465,1217.1615,32472.0,29.52,0.0,0,0,0
2007-09-12,26.814026,26.814026,26.814026,26.814026,110.65105,2967.0,29.67,0.0,0,0,0
2007-09-13,26.832102,26.832102,26.804989,26.804989,331.95316,8898.0,29.66,0.0,0,0,0
2007-09-17,26.786913,26.786913,26.714613,26.714613,1438.4636,38428.0,29.56,0.0,0,0,0
2007-09-18,26.777876,27.645468,26.777876,27.329159,1881.0677,51408.0,30.24,0.0,0,0,0
2007-09-19,27.771992,27.835253,27.699692,27.699692,1991.7189,55170.0,30.65,0.0,0,0,0
2007-09-20,27.70873,27.717768,27.57317,27.63643,19917.188,550440.0,30.58,0.0,0,0,0
2007-09-21,27.771992,27.771992,27.726805,27.726805,1106.5105,30680.0,30.68,0.0,0,0,0
2007-09-24,27.546057,27.546057,27.509907,27.509907,2102.3699,57836.0,30.44,0.0,0,0,0
2007-09-25,27.329159,27.50087,27.329159,27.50087,1549.1146,42602.0,30.43,0.0,0,0,0
2007-09-26,27.74488,27.74488,27.600283,27.627394,4094.0886,113109.0,30.57,0.0,0,0,0
2007-09-27,27.853329,27.925629,27.853329,27.925629,2987.5784,83430.0,30.9,0.0,0,0,0
2007-09-28,27.925629,27.925629,27.844292,27.844292,331.95316,9243.0,30.81,0.0,0,0,0
2007-10-01,27.91659,27.91659,27.91659,27.91659,11065.1045,308900.0,30.89,0.0,0,0,0
2007-10-02,28.241938,28.241938,28.124453,28.223864,4868.646,137412.0,31.23,0.0,0,0,0
2007-10-03,28.1606,28.1606,28.02504,28.06119,2434.323,68310.0,31.05,0.0,0,0,0
2007-10-04,28.088303,28.088303,27.997927,28.088303,663.9063,18648.0,31.08,0.0,0,0,0
2007-10-05,28.34135,28.34135,28.323275,28.34135,885.2084,25088.0,31.36,0.0,0,0,0
2007-10-08,28.476912,28.476912,28.44076,28.44076,885.2084,25176.0,31.47,0.0,0,0,0
2007-10-09,28.558249,28.58536,28.522097,28.58536,2102.3699,60097.0,31.63,0.0,0,0,0
2007-10-10,28.68477,28.75707,28.630547,28.75707,553.25525,15910.0,31.82,0.0,0,0,0
2007-10-11,28.892632,28.92878,28.892632,28.919744,553.25525,16000.0,32.0,0.0,0,0,0
2007-10-12,28.72996,28.75707,28.666697,28.720922,2102.3699,60382.0,31.78,0.0,0,0,0
2007-10-15,28.657658,28.784184,28.476912,28.567286,20249.14,578463.0,31.61,0.0,0,0,0
2007-10-16,28.494986,28.494986,28.494986,28.494986,110.65105,3153.0,31.53,0.0,0,0,0
2007-10-17,28.413649,28.413649,28.386536,28.386536,1327.8126,37692.0,31.41,0.0,0,0,0
2007-10-18,28.467873,28.62151,28.44076,28.62151,1991.7189,57006.0,31.67,0.0,0,0,0
2007-10-19,28.115416,28.214825,28.052153,28.052153,5975.1567,167616.0,31.04,0.0,0,0,0
2007-10-22,27.753916,27.753916,27.70873,27.726805,1438.4636,39884.0,30.68,0.0,0,0,0
2007-10-23,28.1606,28.178677,27.979853,28.178677,4868.646,137192.0,31.18,0.0,0,0,0
2007-10-24,28.106377,28.106377,27.835253,28.016003,1881.0677,52700.0,31.0,0.0,0,0,0
2007-10-25,28.16964,28.205788,28.151564,28.205788,1991.7189,56178.0,31.21,0.0,0,0,0
2007-10-26,28.431723,28.431723,28.26905,28.359425,2987.5784,84726.0,31.38,0.0,0,0,0
2007-10-29,28.54921,28.612473,28.494986,28.522097,2544.974,72588.0,31.56,0.0,0,0,0
2007-10-30,28.494986,28.531136,28.413649,28.485949,6196.4585,176512.0,31.52,0.0,0,0,0
2007-10-31,28.458836,28.72996,28.458836,28.702847,4204.7397,120688.0,31.76,0.0,0,0,0
2007-11-01,28.449799,28.504025,28.106377,28.106377,11286.407,317220.0,31.1,0.0,0,0,0
2007-11-02,28.178677,28.223864,27.961779,28.223864,9184.037,259209.0,31.23,0.0,0,0,0
2007-11-05,27.925629,28.287125,27.925629,28.287125,9626.641,272310.0,31.3,0.0,0,0,0
2007-11-06,28.332312,28.332312,28.187714,28.214825,4204.7397,118636.0,31.22,0.0,0,0,0
2007-11-07,28.413649,28.413649,28.016003,28.043116,12282.267,344433.0,31.03,0.0,0,0,0
2007-11-08,27.997927,27.997927,27.808142,27.862366,2766.2761,77075.0,30.83,0.0,0,0,0
2007-11-09,27.482794,27.70873,27.356272,27.356272,11175.756,305727.0,30.27,0.0,0,0,0
2007-11-12,27.202635,27.238783,26.832102,26.832102,1991.7189,53442.0,29.69,0.0,0,0,0
2007-11-13,27.067074,27.401457,27.048998,27.401457,15269.845,418416.0,30.32,0.0,0,0,0
