Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-05-10,19.146034,19.146034,19.09843,19.09843,2100.696,40170.0,20.06,0.0,0,0,0
2007-05-29,19.146034,19.146034,19.146034,19.146034,945.31323,18099.0,20.11,0.0,0,0,0
2007-06-05,19.774397,19.774397,19.774397,19.774397,210.06961,4154.0,20.77,0.0,0,0,0
2007-06-18,19.888645,19.888645,19.888645,19.888645,3571.1833,71026.0,20.89,0.0,0,0,0
2007-06-20,19.707754,19.707754,19.650629,19.650629,840.27844,16536.0,20.64,0.0,0,0,0
2007-06-21,19.898165,19.898165,19.898165,19.898165,2625.87,52250.0,20.9,0.0,0,0,0
2007-06-22,19.66967,19.679192,19.66967,19.679192,210.06961,4133.0,20.67,0.0,0,0,0
2007-06-25,19.726793,19.726793,19.66967,19.66967,1575.5221,31050.0,20.66,0.0,0,0,0
2007-06-26,19.460217,19.460217,19.326925,19.326925,420.13922,8134.0,20.3,0.0,0,0,0
2007-06-27,19.622066,19.622066,19.622066,19.622066,210.06961,4122.0,20.61,0.0,0,0,0
2007-06-29,19.707754,19.707754,19.707754,19.707754,420.13922,8280.0,20.7,0.0,0,0,0
2007-07-05,19.831522,19.831522,19.831522,19.831522,525.174,10415.0,20.83,0.0,0,0,0
2007-07-06,20.0981,20.0981,20.0981,20.0981,105.034805,2111.0,21.11,0.0,0,0,0
2007-07-09,20.221869,20.221869,20.126661,20.174265,945.31323,19051.0,21.19,0.0,0,0,0
2007-07-10,20.050495,20.050495,20.050495,20.050495,420.13922,8424.0,21.06,0.0,0,0,0
2007-07-11,19.97433,20.012415,19.955288,20.012415,3781.253,75561.0,21.02,0.0,0,0,0
2007-07-12,20.145702,20.231388,20.145702,20.231388,4936.6357,99532.0,21.25,0.0,0,0,0
2007-07-13,20.431322,20.431322,20.374199,20.431322,735.24365,15004.0,21.46,0.0,0,0,0
2007-07-16,20.431322,20.574133,20.431322,20.488447,3151.0442,64637.0,21.52,0.0,0,0,0
2007-07-17,20.478926,20.478926,20.478926,20.478926,315.10443,6453.0,21.51,0.0,0,0,0
2007-07-18,20.278992,20.39324,20.278992,20.39324,2520.8354,51282.0,21.42,0.0,0,0,0
2007-07-19,20.678858,20.68838,20.678858,20.68838,420.13922,8691.0,21.73,0.0,0,0,0
2007-07-20,20.650297,20.650297,20.650297,20.650297,105.034805,2169.0,21.69,0.0,0,0,0
2007-07-23,20.735985,20.82167,20.68838,20.68838,2730.905,56637.0,21.73,0.0,0,0,0
2007-07-24,20.421803,20.564611,20.317074,20.317074,1785.5917,36587.0,21.34,0.0,0,0,0
2007-07-25,20.317074,20.317074,20.25995,20.25995,210.06961,4256.0,21.28,0.0,0,0,0
2007-07-26,19.860085,19.860085,19.755356,19.822,420.13922,8329.0,20.82,0.0,0,0,0
2007-07-27,19.783918,19.888645,19.650629,19.650629,2415.8005,47739.0,20.64,0.0,0,0,0
2007-07-30,19.660149,19.764877,19.660149,19.764877,945.31323,18648.0,20.76,0.0,0,0,0
2007-07-31,20.021935,20.050495,19.460217,19.460217,3571.1833,70721.0,20.44,0.0,0,0,0
2007-08-01,19.555424,19.660149,19.488777,19.603025,6092.0186,119125.0,20.59,0.0,0,0,0
2007-08-02,19.764877,19.907686,19.764877,19.879124,5461.81,108409.0,20.88,0.0,0,0,0
2007-08-03,19.726793,19.736315,19.326925,19.326925,3361.1138,66207.0,20.3,0.0,0,0,0
2007-08-06,19.2222,19.2222,19.022264,19.022264,2730.905,52326.0,19.98,0.0,0,0,0
2007-08-07,19.050827,19.136515,18.91754,19.136515,4411.462,84321.0,20.1,0.0,0,0,0
2007-08-08,19.469738,19.631588,19.260283,19.260283,6722.2275,130668.0,20.23,0.0,0,0,0
2007-08-09,19.298365,19.298365,19.050827,19.050827,1890.6265,36190.0,20.01,0.0,0,0,0
2007-08-10,18.698563,19.136515,18.698563,19.136515,1890.6265,36009.0,20.1,0.0,0,0,0
2007-08-13,19.622066,19.622066,19.603025,19.603025,11658.863,228754.0,20.59,0.0,0,0,0
2007-08-14,19.441174,19.441174,19.126993,19.126993,2205.731,42638.0,20.09,0.0,0,0,0
2007-08-15,19.09843,19.09843,18.898497,18.898497,2100.696,39784.0,19.85,0.0,0,0,0
2007-08-16,18.327257,18.451025,17.889309,18.451025,5776.9146,105630.0,19.38,0.0,0,0,0
2007-08-17,18.803291,18.860415,18.755688,18.860415,1995.6614,37463.0,19.81,0.0,0,0,0
2007-08-21,18.984184,19.126993,18.984184,19.117472,6302.0884,120475.0,20.08,0.0,0,0,0
2007-08-22,19.479256,19.479256,19.479256,19.479256,735.24365,14321.999,20.46,0.0,0,0,0
2007-08-23,19.488777,19.488777,19.298365,19.38405,1260.4177,24480.0,20.36,0.0,0,0,0
2007-08-24,19.431654,19.431654,19.431654,19.431654,2100.696,40820.0,20.41,0.0,0,0,0
2007-08-27,19.555424,19.555424,19.488777,19.488777,1680.5569,32813.0,20.47,0.0,0,0,0
2007-08-28,19.279324,19.279324,19.165075,19.165075,420.13922,8073.0,20.13,0.0,0,0,0
2007-08-29,19.260283,19.336447,19.2222,19.326925,2415.8005,46609.0,20.3,0.0,0,0,0
2007-08-30,19.622066,19.66967,19.526861,19.526861,6827.262,134013.0,20.51,0.0,0,0,0
2007-08-31,19.764877,19.822,19.764877,19.812479,2835.9397,56128.0,20.81,0.0,0,0,0
2007-09-04,20.145702,20.145702,20.145702,20.145702,315.10443,6348.0,21.16,0.0,0,0,0
2007-09-05,20.060017,20.069538,19.936249,20.050495,3256.079,65153.0,21.06,0.0,0,0,0
2007-09-06,20.10762,20.221869,20.10762,20.221869,1470.4873,29642.0,21.24,0.0,0,0,0
2007-09-07,19.926727,19.926727,19.783918,19.80296,5671.8794,112505.0,20.8,0.0,0,0,0
2007-09-10,19.660149,19.736315,19.660149,19.736315,4096.3574,80559.0,20.73,0.0,0,0,0
2007-09-11,20.040976,20.145702,20.040976,20.145702,945.31323,18966.0,21.16,0.0,0,0,0
2007-09-12,20.145702,20.145702,19.97433,19.97433,945.31323,19008.0,20.98,0.0,0,0,0
2007-09-13,19.96481,19.96481,19.94577,19.94577,315.10443,6288.0,20.95,0.0,0,0,0
2007-09-14,19.841042,19.841042,19.841042,19.841042,945.31323,18756.0,20.84,0.0,0,0,0
2007-09-17,19.812479,19.812479,19.707754,19.745834,2100.696,41431.0,20.74,0.0,0,0,0
2007-09-18,19.80296,20.25995,19.80296,20.25995,1260.4177,25178.0,21.28,0.0,0,0,0
2007-09-19,20.469404,20.469404,20.336117,20.383718,1050.348,21394.0,21.41,0.0,0,0,0
2007-09-20,20.421803,20.469404,20.364677,20.402761,2835.9397,57907.0,21.43,0.0,0,0,0
2007-09-21,20.431322,20.497967,20.431322,20.497967,630.20886,12889.0,21.53,0.0,0,0,0
2007-09-24,20.593172,20.593172,20.317074,20.355156,1575.5221,32109.0,21.38,0.0,0,0,0
2007-09-25,20.25995,20.555092,20.25995,20.555092,840.27844,17190.0,21.59,0.0,0,0,0
2007-09-26,20.81215,20.81215,20.640778,20.640778,1260.4177,26170.0,21.68,0.0,0,0,0
2007-09-27,20.850231,20.850231,20.84071,20.84071,4306.4272,89785.0,21.89,0.0,0,0,0
2007-10-01,20.85975,21.021603,20.85975,21.021603,3256.079,68107.0,22.08,0.0,0,0,0
2007-10-03,20.916876,20.916876,20.878794,20.878794,1260.4177,26343.0,21.93,0.0,0,0,0
2007-10-04,20.869272,20.897835,20.869272,20.878794,2520.8354,52612.0,21.93,0.0,0,0,0
2007-10-05,21.11681,21.11681,21.11681,21.11681,945.31323,19962.0,22.18,0.0,0,0,0
2007-10-08,21.373867,21.373867,21.297703,21.354826,1680.5569,35824.0,22.43,0.0,0,0,0
2007-10-09,21.459555,21.459555,21.459555,21.459555,105.034805,2254.0,22.54,0.0,0,0,0
2007-10-10,21.554758,21.56428,21.554758,21.56428,1890.6265,40761.0,22.65,0.0,0,0,0
2007-10-11,21.611885,21.69757,21.212017,21.212017,10608.516,227128.0,22.28,0.0,0,0,0
2007-10-12,21.335785,21.459555,21.335785,21.459555,1155.3829,24703.0,22.54,0.0,0,0,0
2007-10-15,21.41195,21.41195,21.326263,21.326263,840.27844,17928.0,22.4,0.0,0,0,0
2007-10-16,21.307222,21.335785,21.2501,21.335785,1260.4177,26826.0,22.41,0.0,0,0,0
2007-10-17,21.450033,21.450033,21.42147,21.42147,525.174,11253.0,22.5,0.0,0,0,0
2007-10-19,21.373867,21.373867,21.069206,21.069206,1785.5917,37990.0,22.13,0.0,0,0,0
2007-10-22,21.002562,21.002562,21.002562,21.002562,315.10443,6618.0,22.06,0.0,0,0,0
2007-10-23,21.402428,21.526197,21.316742,21.526197,1575.5221,33766.0,22.61,0.0,0,0,0
2007-10-24,20.945438,20.99304,20.945438,20.99304,3361.1138,70449.0,22.05,0.0,0,0,0
2007-10-25,21.221537,21.221537,20.745504,20.916876,3886.2878,81540.0,21.97,0.0,0,0,0
2007-10-26,21.11681,21.126331,21.11681,21.126331,1365.4525,28845.0,22.19,0.0,0,0,0
2007-10-29,21.335785,21.469072,21.335785,21.469072,1680.5569,35924.0,22.55,0.0,0,0,0
2007-10-31,21.469072,21.469072,21.392908,21.402428,11028.654,236149.0,22.48,0.0,0,0,0
2007-11-01,21.469072,21.469072,21.307222,21.316742,1680.5569,35967.0,22.39,0.0,0,0,0
2007-11-02,21.316742,21.354826,21.154892,21.354826,8507.819,180954.0,22.43,0.0,0,0,0
2007-11-05,21.231056,21.231056,21.221537,21.221537,1155.3829,24520.0,22.29,0.0,0,0,0
2007-11-06,21.392908,21.392908,21.392908,21.392908,1050.348,22470.0,22.47,0.0,0,0,0
2007-11-07,20.716942,21.402428,20.716942,21.069206,7562.506,161644.0,22.13,0.0,0,0,0
2007-11-08,21.002562,21.002562,20.517008,20.536049,4831.601,100623.0,21.57,0.0,0,0,0
2007-11-09,20.231388,20.278992,20.079058,20.079058,5776.9146,116661.0,21.09,0.0,0,0,0
2007-11-12,20.050495,20.050495,19.507818,19.507818,5881.949,117031.0,20.49,0.0,0,0,0
2007-11-13,19.869604,20.040976,19.869604,20.040976,2100.696,41776.0,21.05,0.0,0,0,0
2007-11-14,20.031456,20.031456,19.97433,19.97433,315.10443,6300.0,20.98,0.0,0,0,0
2007-11-15,19.831522,19.831522,19.612547,19.612547,3676.2183,72633.0,20.6,0.0,0,0,0
2007-11-16,20.221869,20.221869,19.583984,19.80296,2835.9397,55942.0,20.8,0.0,0,0,0
2007-11-19,19.53638,19.53638,19.53638,19.53638,1470.4873,28728.0,20.52,0.0,0,0,0
2007-11-20,19.526861,19.526861,19.07939,19.07939,1575.5221,30205.0,20.04,0.0,0,0,0
2007-11-21,20.745504,20.745504,18.984184,19.08891,1050.348,19998.0,20.05,0.0,0,0,0
2007-11-26,19.336447,19.336447,18.9461,18.9461,1575.5221,29923.0,19.9,0.0,0,0,0
2007-11-27,19.126993,19.174595,19.022264,19.174595,840.27844,16056.0,20.14,0.0,0,0,0
2007-11-28,19.993372,19.993372,19.993372,19.993372,315.10443,6300.0,21.0,0.0,0,0,0
2007-11-29,20.050495,20.079058,19.898165,20.079058,525.174,10504.0,21.09,0.0,0,0,0
2007-11-30,20.536049,20.536049,19.94577,19.97433,2100.696,42112.0,20.98,0.0,0,0,0
2007-12-03,19.679192,19.707754,19.564941,19.564941,1575.5221,30984.0,20.55,0.0,0,0,0
2007-12-04,19.555424,19.555424,19.555424,19.555424,525.174,10270.0,20.54,0.0,0,0,0
2007-12-05,19.993372,20.079058,19.993372,20.079058,2940.9746,58845.0,21.09,0.0,0,0,0
2007-12-06,20.13618,20.145702,20.10762,20.10762,6092.0186,122606.0,21.12,0.0,0,0,0
2007-12-10,20.52653,20.52653,20.52653,20.52653,630.20886,12936.0,21.56,0.0,0,0,0
2007-12-11,20.421803,20.421803,20.24091,20.24091,11133.689,226505.0,21.26,0.0,0,0,0
2007-12-12,20.374199,20.374199,19.96481,19.96481,2520.8354,50950.0,20.97,0.0,0,0,0
2007-12-14,19.926727,19.926727,19.812479,19.812479,2730.905,54369.0,20.81,0.0,0,0,0
2007-12-17,19.53638,19.583984,19.422132,19.422132,2205.731,43046.0,20.4,0.0,0,0,0
2007-12-18,19.479256,19.479256,19.36501,19.37453,1365.4525,26473.0,20.35,0.0,0,0,0
2007-12-19,19.498299,19.498299,19.498299,19.498299,315.10443,6144.0,20.48,0.0,0,0,0
2007-12-20,19.631588,19.764877,19.631588,19.764877,1155.3829,22738.0,20.76,0.0,0,0,0
2007-12-24,20.126661,20.126661,20.126661,20.126661,210.06961,4228.0,21.14,0.0,0,0,0
2007-12-26,20.079058,20.193306,20.079058,20.193306,1365.4525,27504.0,21.21,0.0,0,0,0
2007-12-27,20.10762,20.10762,19.841042,19.841042,1680.5569,33535.0,20.84,0.0,0,0,0
2007-12-28,19.841042,19.841042,19.79344,19.831522,1260.4177,24995.0,20.83,0.0,0,0,0
2008-01-02,19.650629,19.650629,19.403091,19.403091,2310.7659,45096.0,20.38,0.0,0,0,0
2008-01-07,18.155886,18.155886,17.81314,17.832184,4306.4272,77782.0,18.73,0.0,0,0,0
2008-01-08,17.974993,18.003555,17.422794,17.422794,2520.8354,44945.0,18.3,0.0,0,0,0
2008-01-09,17.48944,17.62273,17.251425,17.251425,7142.3667,124718.0,18.12,0.0,0,0,0
2008-01-10,17.508482,17.508482,17.508482,17.508482,2835.9397,49653.0,18.39,0.0,0,0,0
