Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-01-11,63.450726,63.450726,63.362232,63.362232,95237.3,6041960.0,100.24,0.0,0,0,0
2007-01-12,63.21053,63.21053,63.17892,63.17892,63755.203,4029971.0,99.95,0.0,0,0,0
2007-01-16,63.166283,63.166283,63.166283,63.166283,22148.209,1399020.0,99.93,0.0,0,0,0
2007-01-18,63.10939,63.20421,63.10939,63.20421,17402.164,1099661.0,99.99,0.0,0,0,0
2007-01-19,63.20421,63.20421,63.14732,63.185246,2847.627,179914.0,99.96,0.0,0,0,0
2007-01-22,63.20421,63.223167,63.191566,63.223167,2056.6194,130008.0,100.02,0.0,0,0,0
2007-01-23,63.14732,63.14732,63.09675,63.09675,316.40298,19972.0,99.82,0.0,0,0,0
2007-01-24,63.122036,63.122036,63.122036,63.122036,14554.537,918712.0,99.86,0.0,0,0,0
2007-01-25,63.07779,63.07779,62.945045,62.945045,5695.254,358616.0,99.58,0.0,0,0,0
2007-01-26,62.91976,62.926083,62.91344,62.91344,6644.463,418091.0,99.53,0.0,0,0,0
2007-01-29,62.91976,62.91976,62.91976,62.91976,2689.4253,169218.0,99.54,0.0,0,0,0
2007-01-30,62.91976,63.020897,62.91976,63.020897,791.00745,49824.0,99.7,0.0,0,0,0
2007-02-01,63.346832,63.47358,63.150383,63.150383,3944.9485,249750.0,99.65,0.0,0,0,0
2007-02-05,63.220093,63.220093,63.220093,63.220093,3155.9587,199520.0,99.76,0.0,0,0,0
2007-02-06,63.277122,63.422882,63.277122,63.422882,11203.654,709532.0,100.08,0.0,0,0,0
2007-02-07,63.454563,63.454563,63.454563,63.454563,4102.7466,260338.0,100.13,0.0,0,0,0
2007-02-09,63.416542,63.416542,63.416542,63.416542,946.78766,60042.0,100.07,0.0,0,0,0
2007-02-12,63.530613,63.530613,63.372185,63.372185,15148.603,960931.0,100.0,0.0,0,0,0
2007-02-13,63.435555,63.44823,63.372185,63.372185,2682.565,170090.0,100.0,0.0,0,0,0
2007-02-14,63.47358,63.524273,63.47358,63.524273,7100.907,450903.0,100.24,0.0,0,0,0
2007-02-15,63.758755,63.758755,63.689045,63.752415,1893.5753,120683.0,100.6,0.0,0,0,0
2007-02-21,63.739742,63.758755,63.720734,63.758755,1420.1815,90519.0,100.61,0.0,0,0,0
2007-02-22,63.708054,63.708054,63.638344,63.644684,3313.7568,210968.0,100.43,0.0,0,0,0
2007-02-23,63.76509,63.822124,63.76509,63.822124,6154.1196,392602.0,100.71,0.0,0,0,0
2007-02-26,63.923523,63.955204,63.898174,63.955204,5365.13,342907.0,100.92,0.0,0,0,0
2007-02-27,64.132645,64.132645,64.075615,64.132645,2051.3733,131521.0,101.2,0.0,0,0,0
2007-02-28,64.29108,64.29108,63.815784,64.17068,44499.02,2858055.0,101.26,0.0,0,0,0
2007-03-01,64.31699,64.31699,64.202484,64.202484,3458.1838,222355.0,100.92,0.0,0,0,0
2007-03-02,64.20885,64.31699,64.20885,64.31699,7230.748,464354.0,101.1,0.0,0,0,0
2007-03-05,64.31699,64.31699,64.31063,64.31063,1729.0919,111203.0,101.09,0.0,0,0,0
2007-03-06,64.29155,64.29155,64.29155,64.29155,314.38037,20212.0,101.06,0.0,0,0,0
2007-03-07,64.31063,64.31699,64.31063,64.31699,1257.5215,80874.0,101.1,0.0,0,0,0
2007-03-08,64.29791,64.29791,64.27246,64.27246,2043.4723,131382.0,101.03,0.0,0,0,0
2007-03-09,64.02435,64.13887,64.02435,64.04344,16976.54,1087833.0,100.67,0.0,0,0,0
2007-03-12,64.18976,64.24702,64.164314,64.17068,16662.158,1069921.0,100.87,0.0,0,0,0
2007-03-13,64.3488,64.35517,64.2661,64.35517,13203.976,849046.0,101.16,0.0,0,0,0
2007-03-14,64.28519,64.476036,64.15159,64.29155,24836.049,1597440.0,101.06,0.0,0,0,0
2007-03-15,64.28519,64.336075,64.278824,64.29791,8488.27,545801.0,101.07,0.0,0,0,0
2007-03-16,64.24702,64.27246,64.24702,64.27246,3458.1838,222183.0,101.03,0.0,0,0,0
2007-03-19,64.21521,64.21521,64.21521,64.21521,157.19019,10094.0,100.94,0.0,0,0,0
2007-03-20,64.25974,64.34244,64.23429,64.25974,21535.055,1384006.0,101.01,0.0,0,0,0
2007-03-21,64.25338,64.43787,64.183395,64.43787,19491.582,1252868.0,101.29,0.0,0,0,0
2007-03-22,64.29155,64.29791,64.20885,64.20885,4086.9446,262665.0,100.93,0.0,0,0,0
2007-03-23,64.19612,64.20885,64.164314,64.17703,7702.319,494380.0,100.88,0.0,0,0,0
2007-03-26,64.24702,64.24702,64.23251,64.23251,1257.5215,80777.0,100.9672,0.0,0,0,0
2007-03-27,64.18976,64.19612,64.18976,64.19612,3615.374,232081.0,100.91,0.0,0,0,0
2007-03-28,64.15159,64.15159,64.11342,64.11978,12418.024,796405.0,100.79,0.0,0,0,0
2007-03-29,64.164314,64.164314,64.11978,64.11978,3300.994,211749.0,100.79,0.0,0,0,0
2007-03-30,64.087975,64.240654,64.06252,64.15795,26722.33,1713678.0,100.85,0.0,0,0,0
2007-04-02,64.214806,64.214806,64.13176,64.13815,10644.522,683102.0,100.4,0.0,0,0,0
2007-04-03,64.035934,64.035934,63.99122,63.99122,2348.0564,150337.0,100.17,0.0,0,0,0
2007-04-04,64.189255,64.20842,64.189255,64.202034,1408.8339,90450.0,100.5,0.0,0,0,0
2007-04-05,64.19564,64.19564,64.13815,64.13815,939.2226,60266.0,100.4,0.0,0,0,0
2007-04-09,63.889008,63.984833,63.84429,63.933727,7826.855,499888.0,100.08,0.0,0,0,0
2007-04-10,64.01677,64.01677,63.959282,63.959282,1721.9081,110195.0,100.12,0.0,0,0,0
2007-04-11,64.06788,64.06788,63.959282,63.959282,6418.021,410958.0,100.12,0.0,0,0,0
2007-04-12,63.863457,63.863457,63.863457,63.863457,6261.484,399880.0,99.97,0.0,0,0,0
2007-04-13,64.20842,64.20842,63.901783,63.99122,24263.25,1552780.0,100.17,0.0,0,0,0
2007-04-16,63.933727,63.965664,63.933727,63.965664,4226.502,270245.0,100.13,0.0,0,0,0
2007-04-17,64.08704,64.099815,64.08704,64.099815,2034.9823,130440.0,100.34,0.0,0,0,0
2007-04-18,64.23398,64.24036,64.214806,64.24036,2817.6677,180973.0,100.56,0.0,0,0,0
2007-04-19,64.28508,64.304245,64.23398,64.304245,6104.947,392316.0,100.66,0.0,0,0,0
2007-04-20,64.150925,64.25952,64.11899,64.25952,469.6113,30137.0,100.59,0.0,0,0,0
2007-04-23,64.265915,64.29786,64.265915,64.29786,313.0742,20125.0,100.65,0.0,0,0,0
2007-04-24,64.41285,64.41285,64.342575,64.36174,6574.558,423108.0,100.75,0.0,0,0,0
2007-04-25,64.393684,64.40007,64.342575,64.342575,939.2226,60466.0,100.72,0.0,0,0,0
2007-04-26,64.2212,64.23398,64.214806,64.214806,3443.8162,221195.0,100.52,0.0,0,0,0
2007-04-27,64.24675,64.24675,64.20842,64.20842,313.0742,20108.0,100.51,0.0,0,0,0
2007-04-30,64.33618,64.37451,64.31063,64.37451,7983.392,513746.0,100.77,0.0,0,0,0
2007-05-01,64.46496,64.50986,64.349495,64.41364,11692.399,753274.0,100.42,0.0,0,0,0
2007-05-02,64.46496,64.46496,64.3944,64.40081,4521.061,291262.0,100.4,0.0,0,0,0
2007-05-03,64.40081,64.40081,64.29818,64.31742,4676.9595,300853.0,100.27,0.0,0,0,0
