Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-01-24,21.748407,21.926966,21.748407,21.926966,12320.902,269145.0,30.7,0.0,0,0,0
2008-01-25,22.134092,22.2198,22.041243,22.205517,29542.164,652857.0,31.09,0.0,0,0,0
2008-01-28,22.105524,22.405502,22.06981,22.405502,13861.016,308558.0,31.37,0.0,0,0,0
2008-01-29,22.455498,22.534063,22.405502,22.426928,21981.61,493937.0,31.4,0.0,0,0,0
2008-01-30,22.512636,22.784044,22.419786,22.662626,74345.445,1671699.0,31.73,0.0,0,0,0
2008-01-31,22.541206,22.67691,22.355505,22.6412,16241.189,365753.0,31.7,0.0,0,0,0
2008-02-01,22.812614,23.119734,22.498352,22.655483,311662.8,7062986.0,31.72,0.0,0,0,0
2008-02-04,22.834042,22.834042,22.498352,22.755476,90026.59,2042862.0,31.86,0.0,0,0,0
2008-02-05,22.748335,22.748335,22.55549,22.634056,18481.354,418554.0,31.69,0.0,0,0,0
2008-02-06,22.91261,22.955462,22.762619,22.784044,38922.85,889747.0,31.9,0.0,0,0,0
2008-02-07,22.776903,22.955462,22.712622,22.926891,49983.66,1140893.0,32.1,0.0,0,0,0
2008-02-08,23.055452,24.291077,23.034027,24.291077,74905.484,1760620.0,34.01,0.0,0,0,0
2008-02-11,23.71255,23.71255,23.284008,23.583986,91566.7,2149312.0,33.02,0.0,0,0,0
2008-02-12,23.50542,23.50542,23.084023,23.084023,30242.215,704136.0,32.32,0.0,0,0,0
2008-02-13,23.034027,23.25544,23.034027,23.212585,20021.467,463368.0,32.5,0.0,0,0,0
2008-02-14,23.462566,23.648268,23.119734,23.648268,27722.031,652675.0,33.11,0.0,0,0,0
2008-02-15,23.883965,23.898249,23.433998,23.655409,39202.87,927614.0,33.12,0.0,0,0,0
2008-02-19,24.069666,24.133947,23.848253,24.119661,39482.89,949688.0,33.77,0.0,0,0,0
2008-02-20,24.112518,24.1768,23.912535,24.162518,34302.51,824834.0,33.83,0.0,0,0,0
2008-02-21,24.391071,24.398212,24.248224,24.32679,46203.383,1123739.0,34.06,0.0,0,0,0
2008-02-22,24.712475,24.712475,24.283936,24.57677,66924.9,1637365.0,34.41,0.0,0,0,0
2008-02-25,24.7839,24.962458,24.526775,24.719618,75745.55,1867353.0,34.61,0.0,0,0,0
