Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-11-11,77.07805,80.042595,74.261734,75.41791,457406.47,34538676.0,25.44,0.0,0,0,0
2009-11-12,75.744,75.862595,73.28344,73.63918,1238775.5,92576430.0,24.84,0.0,0,0,0
2009-11-13,74.11351,75.59578,73.07592,75.38827,616486.75,46127530.0,25.43,0.0,0,0,0
2009-11-16,77.07805,79.47933,77.07805,78.560326,1120409.8,87849360.0,26.5,0.0,0,0,0
2009-11-17,78.174934,79.835075,77.22628,79.835075,1004135.4,78714330.0,26.93,0.0,0,0,0
2009-11-18,80.84302,81.99919,79.30146,80.19082,1234963.8,99786580.0,27.05,0.0,0,0,0
2009-11-19,79.53862,80.10188,76.39621,79.80543,1172424.5,91747704.0,26.92,0.0,0,0,0
2009-11-20,78.50103,79.50897,77.522736,79.3311,756002.5,59483464.0,26.76,0.0,0,0,0
2009-11-23,82.71068,83.95579,81.10983,81.82132,1045524.6,86570900.0,27.6,0.0,0,0,0
2009-11-24,82.17706,82.94784,79.74614,80.694786,926990.2,74821970.0,27.22,0.0,0,0,0
2009-11-25,82.68103,84.1633,81.96954,83.89649,904862.0,75211660.0,28.3,0.0,0,0,0
2009-11-27,78.4121,82.02884,76.722305,80.3094,1016515.06,81164700.0,27.09,0.0,0,0,0
2009-11-30,80.01295,81.43593,79.30146,80.694786,832439.3,66876144.0,27.22,0.0,0,0,0
2009-12-01,83.422165,85.704865,83.00713,84.84515,1022485.6,86588350.0,28.62,0.0,0,0,0
2009-12-02,86.38671,88.01721,86.00132,86.949974,910225.4,79074990.0,29.33,0.0,0,0,0
2009-12-03,86.26813,86.446,84.04472,84.51905,1034224.4,88215256.0,28.51,0.0,0,0,0
2009-12-04,82.65138,82.94784,78.32316,80.45763,1546681.5,124158960.0,27.14,0.0,0,0,0
2009-12-07,77.81919,80.81338,77.1077,79.005005,899532.3,70815016.0,26.65,0.0,0,0,0
2009-12-08,77.522736,77.90813,75.12146,75.53649,1053923.9,80766050.0,25.48,0.0,0,0,0
2009-12-09,76.24798,78.53068,75.32897,77.315216,1048661.6,80479680.0,26.08,0.0,0,0,0
2009-12-10,78.204575,78.560326,76.66302,77.49309,504766.25,39163630.0,26.14,0.0,0,0,0
2009-12-11,77.84883,78.14529,75.09181,75.68472,532055.5,40482980.0,25.53,0.0,0,0,0
2009-12-14,76.36656,77.997055,75.41791,77.967415,487293.06,37384948.0,26.3,0.0,0,0,0
2009-12-15,77.374504,78.0267,76.39621,76.75195,722911.4,55844256.0,25.89,0.0,0,0,0
2009-12-16,77.759895,78.7382,77.374504,77.997055,521328.7,40759010.0,26.31,0.0,0,0,0
2009-12-17,75.92188,76.277626,73.55025,73.60954,693058.5,51547036.0,24.83,0.0,0,0,0
2009-12-18,74.20245,75.00287,72.9277,74.32103,511748.78,38005480.0,25.07,0.0,0,0,0
2009-12-21,75.210396,75.269684,72.57195,73.10557,534720.3,39264612.0,24.66,0.0,0,0,0
2009-12-22,73.63918,73.96529,72.21621,73.579895,450761.25,33020908.0,24.82,0.0,0,0,0
2009-12-23,74.38032,77.28557,74.11351,76.900185,617937.25,47066270.0,25.94,0.0,0,0,0
2009-12-24,78.352806,78.352806,77.07805,77.46344,217841.52,16941980.0,26.13,0.0,0,0,0
2009-12-28,78.797485,78.797485,76.900185,77.374504,215210.42,16665134.0,26.1,0.0,0,0,0
2009-12-29,77.87848,78.174934,76.87054,76.929825,220405.16,17025840.0,25.95,0.0,0,0,0
2009-12-30,76.04046,76.307274,75.1511,75.71436,204888.42,15506375.0,25.54,0.0,0,0,0
2009-12-31,76.455505,77.1077,76.07011,76.307274,206946.06,15835968.0,25.74,0.0,0,0,0
2010-01-04,79.18288,79.835075,78.70855,79.390396,497244.0,39507650.0,26.78,0.0,0,0,0
2010-01-05,80.042595,80.99124,79.242165,80.25011,677103.25,54288230.0,27.07,0.0,0,0,0
2010-01-06,81.55451,83.09607,81.080185,82.50316,512592.1,42228620.0,27.83,0.0,0,0,0
2010-01-07,82.32529,82.85891,81.05054,82.29565,478725.12,39235204.0,27.76,0.0,0,0,0
2010-01-08,82.9182,83.74827,81.43593,83.629684,305747.22,25270160.0,28.21,0.0,0,0,0
2010-01-11,86.62387,86.71281,84.25224,84.430115,688707.06,58768700.0,28.48,0.0,0,0,0
2010-01-12,83.48146,83.837204,80.57621,80.60586,653322.2,53641810.0,27.19,0.0,0,0,0
2010-01-13,81.762024,82.354935,79.92401,82.05848,565686.3,46095532.0,27.68,0.0,0,0,0
2010-01-14,82.266,82.41422,80.9616,81.88061,370917.53,30343792.0,27.62,0.0,0,0,0
2010-01-15,81.34699,81.34699,79.71649,80.81338,366296.22,29395856.0,27.26,0.0,0,0,0
2010-01-19,80.665146,81.13947,80.07224,80.635506,473597.84,38132500.0,27.2,0.0,0,0,0
2010-01-20,78.174934,78.61961,76.01082,76.39621,714748.2,54900064.0,25.77,0.0,0,0,0
2010-01-21,76.07011,76.07011,71.97904,71.97904,976441.4,71688690.0,24.28,0.0,0,0,0
2010-01-22,71.50472,72.9277,69.75564,71.44543,1045052.4,74565070.0,24.1,0.0,0,0,0
2010-01-25,71.919754,72.63124,71.00075,71.00075,455450.0,32647564.0,23.95,0.0,0,0,0
2010-01-26,69.75564,72.18656,68.86627,70.645,604882.94,42798664.0,23.83,0.0,0,0,0
2010-01-27,70.61536,70.94145,68.154785,68.92557,770743.4,53443584.0,23.25,0.0,0,0,0
2010-01-28,69.93351,70.28925,66.731804,67.97691,742273.56,50663430.0,22.93,0.0,0,0,0
2010-01-29,67.88798,68.51053,65.36812,65.72386,640706.4,42839256.0,22.17,0.0,0,0,0
2010-02-01,66.55394,70.55606,66.34641,70.55606,825389.3,56669710.0,23.8,0.0,0,0,0
2010-02-02,71.59365,71.77152,70.37819,70.882164,668973.8,47638450.0,23.91,0.0,0,0,0
2010-02-03,71.03039,71.89011,70.022446,70.052086,510601.9,36119456.0,23.63,0.0,0,0,0
2010-02-04,68.33266,68.65876,64.86414,65.04202,1054666.0,69515260.0,21.94,0.0,0,0,0
2010-02-05,64.98273,67.97691,62.788967,67.97691,1225620.0,79708440.0,22.93,0.0,0,0,0
2010-02-08,67.917625,69.07379,65.872086,65.872086,681994.4,46142732.0,22.22,0.0,0,0,0
2010-02-09,67.82868,70.022446,67.79904,69.399895,779446.25,53691190.0,23.41,0.0,0,0,0
2010-02-10,69.31095,69.75564,67.59152,69.192375,606502.06,41721870.0,23.34,0.0,0,0,0
2010-02-11,69.96316,72.89805,69.13308,72.89805,789329.75,56327544.0,24.59,0.0,0,0,0
2010-02-12,71.41578,72.334785,70.11138,72.06798,660945.6,47083600.0,24.31,0.0,0,0,0
2010-02-16,74.11351,75.299324,73.8467,74.825005,881215.8,65823860.0,25.24,0.0,0,0,0
2010-02-17,75.299324,75.50684,73.66883,74.29138,752561.8,56244180.0,25.06,0.0,0,0,0
2010-02-18,74.20245,74.97323,73.60954,74.20245,524499.5,39011508.0,25.03,0.0,0,0,0
2010-02-19,72.98699,74.29138,72.24586,73.28344,614833.9,45112550.0,24.72,0.0,0,0,0
2010-02-22,73.99493,74.05422,72.39408,72.39408,304701.53,22211334.0,24.42,0.0,0,0,0
2010-02-23,71.86046,72.15691,68.984856,69.10344,525241.6,36794740.0,23.31,0.0,0,0,0
2010-02-24,69.13308,70.34854,68.747696,69.13308,444487.1,30856448.0,23.32,0.0,0,0,0
2010-02-25,68.00656,70.674644,66.880035,70.674644,755294.1,52260590.0,23.84,0.0,0,0,0
2010-02-26,71.060036,71.68259,70.022446,71.68259,475048.34,33766530.0,24.18,0.0,0,0,0
2010-03-01,72.00869,73.1945,71.20827,73.1945,365554.12,26388096.0,24.69,0.0,0,0,0
2010-03-02,73.817055,75.8033,73.817055,74.64713,701086.75,52562736.0,25.18,0.0,0,0,0
2010-03-03,75.892235,76.900185,75.41791,75.98117,805959.6,61454708.0,25.63,0.0,0,0,0
2010-03-04,75.892235,76.307274,74.172806,75.210396,399319.9,29968488.0,25.37,0.0,0,0,0
2010-03-05,76.1294,77.01876,75.892235,76.60373,354186.44,27132944.0,25.84,0.0,0,0,0
2010-03-08,76.929825,77.344864,75.50684,76.307274,353984.03,26960764.0,25.74,0.0,0,0,0
2010-03-09,75.18075,76.54443,75.00287,75.59578,365452.94,27688670.0,25.5,0.0,0,0,0
2010-03-10,76.455505,76.98911,74.52855,75.269684,482098.3,36466040.0,25.39,0.0,0,0,0
2010-03-11,74.94359,76.485146,74.261734,76.42586,304937.66,23071074.0,25.78,0.0,0,0,0
2010-03-12,76.87054,77.315216,75.62543,76.39621,366431.16,28017632.0,25.77,0.0,0,0,0
2010-03-15,76.485146,76.514786,75.299324,76.18869,267731.22,20329912.0,25.7,0.0,0,0,0
2010-03-16,77.344864,79.21252,77.25592,79.18288,840906.06,65891584.0,26.71,0.0,0,0,0
2010-03-17,79.53862,80.01295,79.005005,79.242165,490430.12,38983276.0,26.73,0.0,0,0,0
2010-03-18,79.30146,79.80543,77.61167,78.560326,437605.75,34394276.0,26.5,0.0,0,0,0
2010-03-19,78.4121,78.560326,76.1294,77.344864,520957.62,40118416.0,26.09,0.0,0,0,0
2010-03-22,75.50684,77.04841,75.210396,76.87054,397667.03,30265310.0,25.93,0.0,0,0,0
2010-03-23,76.7816,78.47138,76.15905,78.382454,495962.2,38549060.0,26.44,0.0,0,0,0
2010-03-24,76.60373,76.60373,74.11351,74.64713,755260.4,57055316.0,25.18,0.0,0,0,0
2010-03-25,75.38827,76.099754,73.34273,73.87635,714849.4,53455972.0,24.92,0.0,0,0,0
2010-03-26,74.29138,75.655075,73.72813,75.59578,535867.2,40111036.0,25.5,0.0,0,0,0
2010-03-29,76.692665,77.344864,76.07011,76.7816,314416.34,24118926.0,25.9,0.0,0,0,0
2010-03-30,77.137344,77.16699,75.56614,75.892235,183738.42,13974496.0,25.6,0.0,0,0,0
2010-03-31,76.66302,77.01876,75.95153,76.24798,257847.72,19724654.0,25.72,0.0,0,0,0
2010-04-01,77.81919,78.82713,77.40415,78.797485,543423.2,42569868.0,26.58,0.0,0,0,0
2010-04-05,79.71649,81.02089,79.449684,80.9616,505373.44,40675980.0,27.31,0.0,0,0,0
2010-04-06,81.10983,81.79167,80.75408,81.16911,535833.44,43573824.0,27.38,0.0,0,0,0
2010-04-07,81.37664,83.15536,81.37664,82.41422,1073927.0,88483940.0,27.8,0.0,0,0,0
2010-04-08,82.41422,82.799614,81.6138,82.68103,458958.16,37794336.0,27.89,0.0,0,0,0
2010-04-09,83.33324,84.4894,82.977486,83.89649,740586.94,62101692.0,28.3,0.0,0,0,0
2010-04-12,83.837204,84.5487,82.5921,82.85891,623772.9,52278364.0,27.95,0.0,0,0,0
2010-04-13,82.71068,82.71068,80.75408,82.17706,443306.47,36166256.0,27.72,0.0,0,0,0
2010-04-14,83.392525,84.13366,82.68103,83.777916,420672.28,35154376.0,28.26,0.0,0,0,0
2010-04-15,83.600044,84.25224,82.94784,83.24429,291208.72,24344800.0,28.08,0.0,0,0,0
2010-04-16,82.05848,82.50316,79.15324,80.75408,923886.9,74506024.0,27.24,0.0,0,0,0
2010-04-19,79.95365,80.42798,79.005005,80.279755,537756.2,42863096.0,27.08,0.0,0,0,0
2010-04-20,81.67309,82.38458,81.22841,81.40628,349801.25,28621200.0,27.46,0.0,0,0,0
2010-04-21,81.96954,82.354935,81.10983,82.147415,460374.9,37682810.0,27.71,0.0,0,0,0
2010-04-22,80.9616,82.38458,80.42798,82.38458,336848.16,27482570.0,27.79,0.0,0,0,0
2010-04-23,82.147415,84.60799,81.2877,84.60799,583395.6,48720360.0,28.54,0.0,0,0,0
2010-04-26,84.37082,84.93408,83.600044,83.74827,468875.38,39556896.0,28.25,0.0,0,0,0
2010-04-27,82.740326,84.69692,81.96954,83.27394,809771.4,67536320.0,28.09,0.0,0,0,0
2010-04-28,83.837204,85.55664,82.82926,85.1416,1086239.1,91740600.0,28.72,0.0,0,0,0
2010-04-29,85.31948,86.56458,84.874794,85.97167,597327.0,51306804.0,29.0,0.0,0,0,0
2010-04-30,86.65352,87.83933,86.41635,86.505295,979814.56,85366810.0,29.18,0.0,0,0,0
2010-05-03,87.30572,87.89862,85.23054,85.76416,607210.44,52414590.0,28.93,0.0,0,0,0
2010-05-04,85.20089,85.467705,79.9833,81.762024,1443529.0,118421260.0,27.58,0.0,0,0,0
2010-05-05,79.89437,83.12572,77.81919,81.85097,724496.75,58526904.0,27.61,0.0,0,0,0
2010-05-06,81.73238,83.86685,77.374504,82.117775,1388646.9,114051940.0,27.7,0.0,0,0,0
2010-05-07,82.32529,82.88855,79.77579,80.54656,948140.2,77251180.0,27.17,0.0,0,0,0
2010-05-10,82.354935,84.13366,81.82132,83.80756,515931.56,42819116.0,28.27,0.0,0,0,0
2010-05-11,85.28983,89.76629,84.904434,89.647705,1335282.9,117402776.0,30.24,0.0,0,0,0
2010-05-12,91.48572,92.73083,90.477776,90.71494,1312547.4,120223704.0,30.6,0.0,0,0,0
2010-05-13,90.74458,91.129974,87.7504,88.58047,654840.1,58635800.0,29.88,0.0,0,0,0
2010-05-14,89.73664,89.91451,84.5487,87.66146,1111841.8,96904350.0,29.57,0.0,0,0,0
2010-05-17,87.69111,87.987564,83.600044,85.1416,778602.94,66444304.0,28.72,0.0,0,0,0
2010-05-18,84.07437,85.58629,82.9182,83.392525,606873.1,51069612.0,28.13,0.0,0,0,0
2010-05-19,82.05848,82.354935,76.63337,79.18288,1485424.1,116950810.0,26.71,0.0,0,0,0
2010-05-20,76.722305,77.344864,74.11351,74.11351,1295377.9,97738850.0,25.0,0.0,0,0,0
