Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-06-23,13.241362,13.241362,13.153496,13.153496,1820.9608,24035.0,14.97,0.0,0,0,0
2005-06-24,13.0919895,13.0919895,13.083203,13.0919895,1251.9105,16387.0,14.9,0.0,0,0,0
2005-06-27,13.004125,13.004125,13.004125,13.004125,1251.9105,16280.0,14.8,0.0,0,0,0
2005-06-28,13.109563,13.109563,13.109563,13.109563,341.43015,4476.0,14.92,0.0,0,0,0
2005-06-29,13.109563,13.127136,13.109563,13.127136,1138.1005,14930.0,14.94,0.0,0,0,0
2005-06-30,13.14471,13.14471,13.074417,13.074417,6487.173,85104.0,14.88,0.0,0,0,0
2005-07-05,13.021697,13.100777,13.021697,13.0919895,24241.541,316848.0,14.9,0.0,0,0,0
2005-07-06,13.06563,13.06563,13.06563,13.06563,341.43015,4461.0,14.87,0.0,0,0,0
2005-07-07,12.872325,12.872325,12.872325,12.872325,227.6201,2930.0,14.65,0.0,0,0,0
2005-07-08,12.916259,13.074417,12.898685,13.074417,24355.35,315264.0,14.88,0.0,0,0,0
2005-07-11,13.0919895,13.127136,13.0919895,13.127136,910.4804,11936.0,14.94,0.0,0,0,0
2005-07-13,13.056844,13.083203,13.056844,13.083203,455.2402,5947.0,14.89,0.0,0,0,0
2005-07-14,13.109563,13.109563,13.109563,13.109563,1365.7206,17904.0,14.92,0.0,0,0,0
2005-07-15,13.083203,13.083203,13.056844,13.056844,1024.2904,13392.0,14.86,0.0,0,0,0
2005-07-18,13.100777,13.100777,13.048058,13.048058,1024.2904,13394.0,14.85,0.0,0,0,0
2005-07-19,13.048058,13.100777,13.048058,13.0919895,3641.9216,47656.0,14.9,0.0,0,0,0
2005-07-20,13.048058,13.162282,13.021697,13.162282,10129.095,132868.0,14.98,0.0,0,0,0
2005-07-21,13.14471,13.14471,13.004125,13.012911,6259.5527,81932.0,14.81,0.0,0,0,0
2005-07-22,13.109563,13.171069,13.083203,13.171069,2617.631,34309.0,14.99,0.0,0,0,0
