Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-08-25,69.192986,69.2637,68.59193,69.22835,9522.392,655660.0,19.58,0.0,0,0,0
2010-08-26,69.12227,69.2637,68.37978,68.662636,4198.643,288995.0,19.42,0.0,0,0,0
2010-08-27,68.415146,68.87478,67.884796,68.73335,757.9901,51942.0,19.44,0.0,0,0,0
2010-08-30,68.09693,68.09693,67.53123,67.53123,845.1024,57354.0,19.1,0.0,0,0,0
2010-08-31,67.21301,67.81408,67.07159,67.81408,3274.6304,220748.0,19.18,0.0,0,0,0
2010-09-01,69.61727,70.00619,69.12227,69.97084,4016.2163,279899.0,19.79,0.0,0,0,0
2010-09-02,69.723335,70.43047,69.68798,70.39511,2177.8074,153096.0,19.91,0.0,0,0,0
2010-09-03,71.42046,71.6326,71.10225,71.56188,5175.828,369890.0,20.24,0.0,0,0,0
2010-09-07,72.12759,72.1983,71.703316,71.950806,4270.765,307442.0,20.35,0.0,0,0,0
2010-09-08,72.76401,73.29436,72.72865,73.08222,11369.852,829832.0,20.67,0.0,0,0,0
2010-09-09,73.895424,73.895424,73.08222,73.11758,16149.715,1185652.0,20.68,0.0,0,0,0
2010-09-10,73.61257,73.93078,73.57721,73.78936,4440.4644,327663.0,20.87,0.0,0,0,0
2010-09-13,73.895424,74.74398,73.895424,74.708626,19260.867,1434546.0,21.13,0.0,0,0,0
2010-09-14,73.68328,74.001495,73.15294,73.71864,12897.145,948138.0,20.85,0.0,0,0,0
2010-09-15,73.64793,73.96614,73.32972,73.93078,4666.73,343497.0,20.91,0.0,0,0,0
2010-09-16,73.04687,73.29436,72.657936,73.29436,6901.104,504389.0,20.73,0.0,0,0,0
2010-09-17,74.42577,74.46113,73.86006,74.3197,11341.568,842505.0,21.02,0.0,0,0,0
2010-09-20,76.26432,76.58253,75.3804,76.299675,37022.727,2814009.0,21.58,0.0,0,0,0
2010-09-21,75.132904,75.45112,74.63792,74.85005,26416.521,1978669.0,21.17,0.0,0,0,0
2010-09-22,75.20362,75.20362,74.42577,74.63792,10464.789,781695.0,21.11,0.0,0,0,0
2010-09-23,74.39042,74.77934,73.78936,74.10756,6363.7227,473402.0,20.96,0.0,0,0,0
2010-09-24,76.58253,77.04217,76.15826,76.72396,9927.407,760395.0,21.7,0.0,0,0,0
2010-09-27,76.61789,76.830025,76.228966,76.37039,8513.247,650689.0,21.6,0.0,0,0,0
2010-09-28,76.79467,76.79467,76.122894,76.72396,14056.757,1075070.0,21.7,0.0,0,0,0
2010-09-29,76.61789,76.653244,76.122894,76.58253,8654.663,661572.0,21.66,0.0,0,0,0
2010-09-30,76.40575,76.58253,75.698616,76.122894,7975.866,607413.0,21.53,0.0,0,0,0
2010-10-01,77.820015,79.02214,77.820015,78.880714,11511.268,907296.0,22.31,0.0,0,0,0
2010-10-04,78.880714,79.340355,78.06751,78.59786,13491.093,1061177.0,22.23,0.0,0,0,0
2010-10-05,79.55249,81.14354,79.48177,81.00211,15668.899,1263441.0,22.91,0.0,0,0,0
2010-10-06,80.78998,81.00211,80.40105,80.89604,55633.08,4500968.0,22.88,0.0,0,0,0
2010-10-07,80.71926,80.89604,79.90606,80.224266,10408.223,837030.0,22.69,0.0,0,0,0
2010-10-08,79.941414,80.9314,79.941414,80.78998,290298.9,23434456.0,22.85,0.0,0,0,0
2010-10-11,81.24961,81.4264,80.96676,81.178894,17083.06,1387756.0,22.96,0.0,0,0,0
2010-10-12,80.6839,80.89604,79.90606,80.89604,9644.575,774240.0,22.88,0.0,0,0,0
2010-10-13,81.95674,82.45174,81.67389,82.23959,113557.1,9330297.0,23.26,0.0,0,0,0
2010-10-14,82.06281,82.06281,81.03747,82.06281,90789.11,7419401.0,23.21,0.0,0,0,0
2010-10-15,81.638535,81.67389,80.754616,81.14354,17337.61,1407233.0,22.95,0.0,0,0,0
2010-10-18,80.71926,80.96676,80.294975,80.754616,24719.527,1992352.0,22.84,0.0,0,0,0
2010-10-19,80.25963,80.25963,78.986786,79.30499,11002.17,877109.0,22.43,0.0,0,0,0
2010-10-20,79.19892,80.577835,79.19892,80.33034,8088.999,648856.0,22.72,0.0,0,0,0
2010-10-21,81.178894,81.39104,80.648544,80.86069,11171.869,905446.0,22.87,0.0,0,0,0
