Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-04-11,36.186333,36.200203,36.186333,36.186333,5479.0024,198268.0,104.35,0.0,0,0,0
2007-04-12,36.210606,36.210606,36.186333,36.210606,17590.482,636765.0,104.42,0.0,0,0,0
2007-04-13,36.200203,36.23488,36.14472,36.14472,9804.53,354632.0,104.23,0.0,0,0,0
2007-04-16,36.15859,36.15859,36.116978,36.130848,21916.01,791945.0,104.19,0.0,0,0,0
2007-04-17,36.116978,36.20367,36.113506,36.113506,81031.56,2927376.0,104.14,0.0,0,0,0
2007-04-18,36.130848,36.15859,36.116978,36.12391,18167.219,656308.0,104.17,0.0,0,0,0
2007-04-19,36.134315,36.262623,36.085766,36.248753,136975.06,4955423.0,104.53,0.0,0,0,0
2007-04-20,36.25222,36.25222,36.22101,36.227947,14130.059,511952.0,104.47,0.0,0,0,0
2007-04-23,36.269558,36.293835,36.22101,36.248753,4902.265,177701.0,104.53,0.0,0,0,0
2007-04-24,36.269558,36.519238,36.210606,36.498432,1149148.6,41888650.0,105.25,0.0,0,0,0
2007-04-25,36.508835,36.553917,36.508835,36.553917,47004.074,1717480.0,105.41,0.0,0,0,0
2007-04-26,36.560852,36.619804,36.512302,36.619804,138993.64,5086145.0,105.6,0.0,0,0,0
2007-04-27,36.588596,36.619804,36.588596,36.619804,23934.59,876380.0,105.6,0.0,0,0,0
2007-04-30,36.605934,36.630207,36.526176,36.623272,44697.125,1636770.0,105.61,0.0,0,0,0
2007-05-01,36.607,36.66264,36.607,36.627865,24730.844,905802.0,105.33,0.0,0,0,0
2007-05-02,36.63482,36.648727,36.582657,36.613956,13515.693,494899.0,105.29,0.0,0,0,0
2007-05-03,36.641777,36.680027,36.582657,36.617435,49461.688,1812420.0,105.3,0.0,0,0,0
2007-05-04,36.63482,36.66612,36.586136,36.66264,13228.126,484911.0,105.43,0.0,0,0,0
2007-05-07,36.624386,36.65916,36.617435,36.65916,12077.854,442622.0,105.42,0.0,0,0,0
2007-05-08,36.70089,36.70437,36.669594,36.68698,46298.44,1698651.0,105.5,0.0,0,0,0
2007-05-09,36.718277,36.721756,36.56875,36.589615,27031.387,990505.0,105.22,0.0,0,0,0
2007-05-10,36.75653,36.79478,36.69046,36.721756,50036.824,1839849.0,105.6,0.0,0,0,0
2007-05-11,36.735664,36.784348,36.707844,36.742622,35083.29,1288884.0,105.66,0.0,0,0,0
2007-05-14,36.75305,36.75653,36.70437,36.739143,33357.883,1225200.0,105.65,0.0,0,0,0
2007-05-15,36.75653,36.83651,36.711323,36.711323,113301.77,4165494.0,105.57,0.0,0,0,0
2007-05-16,36.80174,36.81217,36.79826,36.808693,224590.56,8265713.0,105.85,0.0,0,0,0
2007-05-17,36.8226,36.83651,36.75305,36.79826,41697.35,1534842.0,105.82,0.0,0,0,0
2007-05-18,36.843464,36.843464,36.808693,36.808693,14953.533,550786.0,105.85,0.0,0,0,0
2007-05-21,36.83999,36.846943,36.808693,36.843464,41984.92,1546893.0,105.95,0.0,0,0,0
2007-05-22,36.88867,36.892147,36.766964,36.846943,29331.932,1081405.0,105.96,0.0,0,0,0
2007-05-23,36.833035,36.899105,36.75653,36.819122,64702.79,2381926.0,105.88,0.0,0,0,0
2007-05-24,36.874763,36.874763,36.808693,36.82956,49174.12,1810886.0,105.91,0.0,0,0,0
2007-05-25,36.85042,37.024292,36.791306,36.881718,21280.027,784445.0,106.06,0.0,0,0,0
2007-05-29,36.75653,36.763485,36.7148,36.735664,14090.829,517673.0,105.64,0.0,0,0,0
2007-05-30,36.815647,36.83999,36.77392,36.819122,12365.422,455287.0,105.88,0.0,0,0,0
2007-05-31,36.8226,36.8226,36.739143,36.760006,17829.213,655764.0,105.71,0.0,0,0,0
