Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-01-28,8.5460005,8.5460005,8.492,8.538,2888500.0,24605456.0,42.69,0.0,0,0,0
2005-01-31,8.446,8.462001,8.398001,8.454,759500.0,6402645.0,42.27,0.0,0,0,0
2005-02-01,8.422,8.428,8.394,8.424,347500.0,2923642.0,42.12,0.0,0,0,0
2005-02-02,8.446,8.446,8.408,8.446,1496500.0,12612053.0,42.23,0.0,0,0,0
2005-02-03,8.316001,8.348001,8.302,8.346,533500.0,4441835.0,41.73,0.0,0,0,0
2005-02-04,8.32,8.332,8.283999,8.3,433500.0,3598292.0,41.5,0.0,0,0,0
2005-02-07,8.314,8.314,8.25,8.2699995,938000.0,7769378.0,41.35,0.0,0,0,0
2005-02-08,8.256,8.282001,8.218,8.258,880500.0,7258384.0,41.29,0.0,0,0,0
2005-02-09,8.218,8.272,8.208,8.268001,404500.0,3335515.0,41.34,0.0,0,0,0
2005-02-10,8.302,8.37,8.2960005,8.362,1060000.0,8827934.0,41.81,0.0,0,0,0
2005-02-11,8.38,8.436,8.376,8.424,271000.0,2278676.0,42.12,0.0,0,0,0
2005-02-14,8.488,8.530001,8.47,8.524,361500.0,3071651.0,42.62,0.0,0,0,0
2005-02-15,8.488,8.526,8.4800005,8.518001,179500.0,1527250.0,42.59,0.0,0,0,0
2005-02-16,8.47,8.530001,8.45,8.512,207500.0,1760317.0,42.56,0.0,0,0,0
2005-02-17,8.512,8.57,8.512,8.548,536500.0,4582267.0,42.74,0.0,0,0,0
2005-02-18,8.5460005,8.574,8.528,8.568,248000.0,2122567.0,42.84,0.0,0,0,0
2005-02-22,8.686,8.726001,8.648001,8.72,324500.0,2818081.0,43.6,0.0,0,0,0
2005-02-23,8.66,8.716001,8.642,8.696,572000.0,4963106.0,43.48,0.0,0,0,0
2005-02-24,8.702,8.702,8.650001,8.686,453000.0,3932139.0,43.43,0.0,0,0,0
2005-02-25,8.704,8.716001,8.658,8.708,324500.0,2819320.0,43.54,0.0,0,0,0
2005-02-28,8.736,8.756,8.71,8.722,696000.0,6071778.0,43.61,0.0,0,0,0
2005-03-01,8.674,8.674,8.622001,8.656,746500.0,6460912.0,43.28,0.0,0,0,0
2005-03-02,8.650001,8.676001,8.63,8.6640005,224500.0,1943788.0,43.32,0.0,0,0,0
2005-03-03,8.622001,8.632,8.588,8.612,284500.0,2450387.0,43.06,0.0,0,0,0
2005-03-04,8.686,8.71,8.672,8.686,221000.0,1920436.0,43.43,0.0,0,0,0
2005-03-07,8.67,8.704,8.658,8.696,260500.0,2262213.0,43.48,0.0,0,0,0
2005-03-08,8.736,8.816001,8.736,8.81,622000.0,5458883.0,44.05,0.0,0,0,0
2005-03-09,8.794001,8.848001,8.794001,8.816001,441500.0,3896672.0,44.08,0.0,0,0,0
2005-03-10,8.838,8.854,8.812,8.846,251500.0,2223129.0,44.23,0.0,0,0,0
2005-03-11,8.874,8.938,8.874,8.900001,640500.0,5703729.0,44.5,0.0,0,0,0
2005-03-14,8.86,8.86,8.798,8.812,716000.0,6319430.0,44.06,0.0,0,0,0
2005-03-15,8.856,8.856,8.794001,8.816001,310000.0,2731565.0,44.08,0.0,0,0,0
2005-03-16,8.864,8.878,8.846,8.874,393500.0,3486953.0,44.37,0.0,0,0,0
2005-03-17,8.788,8.79,8.75,8.774,382500.0,3355603.0,43.87,0.0,0,0,0
2005-03-18,8.740001,8.794001,8.726001,8.79,146000.0,1280676.0,43.95,0.0,0,0,0
2005-03-21,8.650001,8.654,8.580001,8.62,532000.0,4590521.0,43.1,0.0,0,0,0
2005-03-22,8.648001,8.656,8.528,8.54,262000.0,2257051.0,42.7,0.0,0,0,0
2005-03-23,8.533999,8.538,8.482,8.494,582500.0,4958449.0,42.47,0.0,0,0,0
2005-03-24,8.506,8.516001,8.484,8.494,565000.0,4808715.0,42.47,0.0,0,0,0
2005-03-28,8.504001,8.5199995,8.492,8.516001,135500.0,1153088.0,42.58,0.0,0,0,0
2005-03-29,8.528,8.530001,8.514,8.522,135000.0,1150775.0,42.61,0.0,0,0,0
2005-03-30,8.536,8.56,8.5199995,8.528,132000.0,1126569.0,42.64,0.0,0,0,0
2005-03-31,8.580001,8.580001,8.55,8.576,80500.0,689535.0,42.88,0.0,0,0,0
2005-04-01,8.524,8.528,8.5,8.526,347000.0,2953795.0,42.63,0.0,0,0,0
2005-04-04,8.486,8.488,8.454,8.484,89000.0,754497.0,42.42,0.0,0,0,0
2005-04-05,8.5,8.506,8.482,8.496,93000.0,790139.0,42.48,0.0,0,0,0
2005-04-06,8.508,8.548,8.508,8.536,341500.0,2911157.0,42.68,0.0,0,0,0
2005-04-07,8.562,8.568,8.51,8.518001,200000.0,1707944.0,42.59,0.0,0,0,0
2005-04-08,8.502,8.54,8.494,8.536,214000.0,1823352.0,42.68,0.0,0,0,0
2005-04-11,8.576,8.588,8.552,8.56,210000.0,1800212.0,42.8,0.0,0,0,0
2005-04-12,8.55,8.566001,8.530001,8.56,80000.0,683755.0,42.8,0.0,0,0,0
2005-04-13,8.55,8.586,8.55,8.584,75500.0,647282.0,42.92,0.0,0,0,0
2005-04-14,8.498,8.498,8.428,8.476001,82000.0,694175.0,42.38,0.0,0,0,0
2005-04-15,8.484,8.5199995,8.4800005,8.494,81000.0,688138.0,42.47,0.0,0,0,0
2005-04-18,8.516001,8.56,8.516001,8.5460005,91500.0,781111.0,42.73,0.0,0,0,0
2005-04-19,8.56,8.672,8.5460005,8.666,432000.0,3713065.0,43.33,0.0,0,0,0
2005-04-20,8.650001,8.714,8.650001,8.7,83500.0,725922.0,43.5,0.0,0,0,0
2005-04-21,8.692,8.692,8.636001,8.636001,177000.0,1531021.0,43.18,0.0,0,0,0
2005-04-22,8.702,8.706,8.678,8.694,79500.0,691125.0,43.47,0.0,0,0,0
2005-04-25,8.682,8.698001,8.648001,8.686,307000.0,2664741.0,43.43,0.0,0,0,0
2005-04-26,8.740001,8.746,8.704,8.742,352000.0,3073136.0,43.71,0.0,0,0,0
2005-04-27,8.714,8.714,8.638,8.646,423500.0,3663800.0,43.23,0.0,0,0,0
2005-04-28,8.634,8.656,8.612,8.612,172000.0,1482736.0,43.06,0.0,0,0,0
2005-04-29,8.656,8.728,8.656,8.686,341500.0,2970476.0,43.43,0.0,0,0,0
2005-05-02,8.636001,8.64,8.578,8.594001,103500.0,889642.0,42.97,0.0,0,0,0
2005-05-03,8.5720005,8.5720005,8.530001,8.56,111000.0,950379.0,42.8,0.0,0,0,0
2005-05-04,8.586,8.59,8.568,8.588,186000.0,1596017.0,42.94,0.0,0,0,0
2005-05-05,8.602,8.604,8.552,8.6,167500.0,1437974.0,43.0,0.0,0,0,0
2005-05-06,8.5,8.524,8.476001,8.518001,244000.0,2072623.0,42.59,0.0,0,0,0
2005-05-09,8.518001,8.533999,8.508,8.524,87500.0,745543.0,42.62,0.0,0,0,0
2005-05-10,8.55,8.56,8.526,8.526,102500.0,875760.0,42.63,0.0,0,0,0
2005-05-11,8.514,8.564,8.514,8.548,53500.0,456853.0,42.74,0.0,0,0,0
2005-05-12,8.5,8.5,8.404,8.438,187500.0,1585631.0,42.19,0.0,0,0,0
2005-05-13,8.42,8.428,8.376,8.388,214000.0,1797381.0,41.94,0.0,0,0,0
2005-05-16,8.37,8.388,8.366,8.376,92000.0,770614.0,41.88,0.0,0,0,0
2005-05-17,8.392,8.416,8.372001,8.378,159000.0,1333711.0,41.89,0.0,0,0,0
2005-05-18,8.400001,8.426001,8.384,8.42,118500.0,996397.0,42.1,0.0,0,0,0
2005-05-19,8.412001,8.412001,8.382,8.406,108000.0,907411.0,42.03,0.0,0,0,0
2005-05-20,8.372001,8.372001,8.330001,8.34,111000.0,925819.0,41.7,0.0,0,0,0
2005-05-23,8.352,8.358001,8.314,8.332,187000.0,1558854.0,41.66,0.0,0,0,0
2005-05-24,8.362,8.362,8.334,8.346,51500.0,430099.0,41.73,0.0,0,0,0
2005-05-25,8.368,8.382,8.35,8.378,563000.0,4714877.0,41.89,0.0,0,0,0
2005-05-26,8.356,8.368,8.338,8.338,48000.0,400799.0,41.69,0.0,0,0,0
2005-05-27,8.376,8.400001,8.354,8.394,55000.0,460913.0,41.97,0.0,0,0,0
2005-05-31,8.286,8.344001,8.276,8.338,82500.0,685560.0,41.69,0.0,0,0,0
2005-06-01,8.278,8.338,8.278,8.312,158500.0,1316808.0,41.56,0.0,0,0,0
2005-06-02,8.406,8.45,8.398001,8.428,126000.0,1061928.0,42.14,0.0,0,0,0
2005-06-03,8.484,8.484,8.444,8.45,108000.0,914079.0,42.25,0.0,0,0,0
2005-06-06,8.522,8.533999,8.498,8.51,113500.0,966956.0,42.55,0.0,0,0,0
2005-06-07,8.484,8.502,8.476001,8.488,170000.0,1442946.0,42.44,0.0,0,0,0
2005-06-08,8.492,8.514,8.462001,8.472,44000.0,373501.0,42.36,0.0,0,0,0
2005-06-09,8.466001,8.488,8.434,8.464,75500.0,638754.0,42.32,0.0,0,0,0
2005-06-10,8.454,8.5460005,8.438,8.54,63500.0,539280.0,42.7,0.0,0,0,0
2005-06-13,8.57,8.594001,8.556,8.568,86500.0,741540.0,42.84,0.0,0,0,0
2005-06-14,8.54,8.544001,8.522,8.526,228500.0,1948629.0,42.63,0.0,0,0,0
2005-06-15,8.544001,8.586,8.544001,8.558001,286000.0,2447473.0,42.79,0.0,0,0,0
2005-06-16,8.676001,8.712001,8.642,8.688,220500.0,1912916.0,43.44,0.0,0,0,0
2005-06-17,8.776,8.776,8.736,8.742,278500.0,2436785.0,43.71,0.0,0,0,0
2005-06-20,8.782001,8.792,8.742,8.744,292000.0,2557341.0,43.72,0.0,0,0,0
2005-06-21,8.726001,8.772,8.690001,8.76,198000.0,1725027.0,43.8,0.0,0,0,0
2005-06-22,8.744,8.758,8.726001,8.756,78500.0,686127.0,43.78,0.0,0,0,0
2005-06-23,8.7699995,8.832,8.7699995,8.816001,542000.0,4781469.0,44.08,0.0,0,0,0
2005-06-24,8.8,8.818,8.758,8.782001,593000.0,5210928.0,43.91,0.0,0,0,0
2005-06-27,8.786,8.788,8.754001,8.783999,166000.0,1457227.0,43.92,0.0,0,0,0
2005-06-28,8.748,8.748,8.684,8.694,263000.0,2291976.0,43.47,0.0,0,0,0
2005-06-29,8.698001,8.748,8.698001,8.734,110500.0,964302.0,43.67,0.0,0,0,0
2005-06-30,8.740001,8.754001,8.68,8.692,228000.0,1986522.0,43.46,0.0,0,0,0
2005-07-01,8.678,8.678,8.524,8.548,1129000.0,9673204.0,42.74,0.0,0,0,0
2005-07-05,8.474,8.474,8.422,8.46,327500.0,2769674.0,42.3,0.0,0,0,0
2005-07-06,8.478,8.478,8.45,8.45,142000.0,1201572.0,42.25,0.0,0,0,0
2005-07-07,8.490001,8.514,8.432,8.476001,513500.0,4357725.0,42.38,0.0,0,0,0
2005-07-08,8.476001,8.478,8.43,8.462001,787500.0,6656753.0,42.31,0.0,0,0,0
