Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2001-02-02,8.572105,8.572105,8.572105,8.572105,11190.366,95925.0,79.9375,0.0,0,0,0
2001-02-05,8.593888,8.593888,8.56708,8.56708,7460.244,64067.0,79.89063,0.0,0,0,0
2001-02-06,8.533568,8.533568,8.533568,8.533568,932.5305,7957.8135,79.57813,0.0,0,0,0
2001-02-07,8.498382,8.498382,8.498382,8.498382,1865.061,15850.0,79.25,0.0,0,0,0
2001-02-08,8.460849,8.460849,8.45656,8.45656,3730.122,31552.0,78.86,0.0,0,0,0
2001-02-09,8.410449,8.410449,8.400797,8.400797,11190.366,94012.0,78.34,0.0,0,0,0
2001-02-12,8.3579035,8.3579035,8.3579035,8.3579035,932.5305,7794.0,77.94,0.0,0,0,0
2001-02-13,8.38364,8.38364,8.38364,8.38364,1865.061,15636.0,78.18,0.0,0,0,0
2001-02-14,8.380423,8.380423,8.380423,8.380423,2797.5916,23445.0,78.15,0.0,0,0,0
2001-02-15,8.391147,8.391147,8.391147,8.391147,932.5305,7825.0,78.25,0.0,0,0,0
2001-02-16,8.391147,8.410449,8.323588,8.410449,4662.653,39080.0,78.43,0.0,0,0,0
2001-02-20,8.364338,8.364338,8.353614,8.353614,1865.061,15581.0,77.9,0.0,0,0,0
2001-02-23,8.21957,8.273188,8.21957,8.273188,187438.64,1550664.0,77.15,0.0,0,0,0
2001-02-26,8.273188,8.316082,8.273188,8.316082,1865.061,15509.0,77.55,0.0,0,0,0
2001-02-27,8.342891,8.394363,8.342891,8.394363,2797.5916,23387.0,78.28,0.0,0,0,0
2001-02-28,8.342891,8.417955,8.342891,8.417955,201426.6,1681598.0,78.5,0.0,0,0,0
2001-03-01,8.43404,8.514467,8.43404,8.514467,23313.264,197311.0,79.4,0.0,0,0,0
2001-03-02,8.578808,8.578808,8.578808,8.578808,932.5305,8000.0,80.0,0.0,0,0,0
2001-03-05,8.600254,8.605617,8.600254,8.605617,27975.916,240699.0,80.25,0.0,0,0,0
2001-03-06,8.570229,8.571301,8.561649,8.561649,29840.977,255500.0,79.84,0.0,0,0,0
2001-03-07,8.590604,8.594893,8.574518,8.574518,33571.098,287987.0,79.96,0.0,0,0,0
2001-03-08,8.592212,8.597037,8.589531,8.591676,3730.122,32050.0,80.12,0.0,0,0,0
2001-03-09,8.565403,8.585241,8.548782,8.578808,50356.65,430594.0,80.0,0.0,0,0,0
2001-03-12,8.561138,8.561138,8.51906,8.51906,278985.7,2376735.0,78.96,0.0,0,0,0
2001-03-13,8.517982,8.524455,8.496404,8.511508,13902.941,118336.0,78.89,0.0,0,0,0
2001-03-14,8.440301,8.440301,8.440301,8.440301,9268.628,78230.0,78.23,0.0,0,0,0
2001-03-16,8.4019985,8.431669,8.376644,8.409012,107516.08,904075.0,77.94,0.0,0,0,0
2001-03-19,8.427353,8.427353,8.427353,8.427353,2780.5884,23433.0,78.11,0.0,0,0,0
2001-03-20,8.541718,8.541718,8.509351,8.509351,13902.941,118312.0,78.87,0.0,0,0,0
2001-03-21,8.458642,8.458642,8.36154,8.36154,237276.88,2004049.0,77.5,0.0,0,0,0
2001-03-22,8.237465,8.248254,8.237465,8.248254,232642.56,1916395.0,76.45,0.0,0,0,0
2001-03-23,8.377724,8.389592,8.353988,8.353988,250252.95,2090812.0,77.43,0.0,0,0,0
2001-03-26,8.359383,8.417643,8.359383,8.417643,324401.97,2730547.0,78.02,0.0,0,0,0
