Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-06-13,17.295235,17.484291,17.295235,17.477287,58696.52,1018063.0,24.96,0.0,0,0,0
2007-06-14,17.897415,17.988443,17.897415,17.967438,31133.434,559063.0,25.66,0.0,0,0,0
2007-06-15,18.030457,18.065466,17.869408,17.897415,32561.572,585597.0,25.56,0.0,0,0,0
2007-06-18,18.04446,18.051462,18.002447,18.023453,16280.786,293689.0,25.74,0.0,0,0,0
2007-06-19,17.97444,18.030457,17.953432,18.01645,50127.684,902305.0,25.73,0.0,0,0,0
2007-06-20,18.184502,18.555614,17.932426,17.960434,53555.22,968272.0,25.65,0.0,0,0,0
2007-06-21,17.87641,19.276834,17.820393,17.820393,51698.637,933612.0,25.45,0.0,0,0,0
2007-06-22,17.827394,17.8484,17.64534,17.694355,54840.543,975041.0,25.27,0.0,0,0,0
2007-06-25,17.666346,17.799387,17.624332,17.624332,67693.8,1198248.0,25.17,0.0,0,0,0
2007-06-26,17.694355,17.701357,17.54731,17.554312,25278.062,445864.0,25.07,0.0,0,0,0
2007-06-27,17.442278,17.582321,17.42127,17.582321,10425.416,182127.0,25.11,0.0,0,0,0
2007-06-28,17.673347,17.890413,17.64534,17.673347,19993.947,354256.0,25.24,0.0,0,0,0
2007-06-29,17.827394,17.890413,17.757374,17.834396,81546.74,1453389.0,25.47,0.0,0,0,0
2007-07-02,17.97444,18.086473,17.97444,18.07947,29562.48,533405.0,25.82,0.0,0,0,0
2007-07-03,18.366558,19.066769,18.296535,18.380562,58696.52,1077715.0,26.25,0.0,0,0,0
2007-07-05,18.191504,18.303537,18.1705,18.289536,99112.86,1804400.0,26.12,0.0,0,0,0
2007-07-06,18.296535,18.415571,18.296535,18.394566,26991.83,495924.0,26.27,0.0,0,0,0
2007-07-09,18.499598,18.534609,18.44358,18.492596,115536.45,2136585.0,26.41,0.0,0,0,0
2007-07-10,18.394566,18.464588,18.282532,18.457586,40987.594,753429.0,26.36,0.0,0,0,0
2007-07-11,18.359554,18.450583,18.331547,18.450583,40844.78,751293.0,26.35,0.0,0,0,0
2007-07-12,18.597628,18.898718,18.450583,18.898718,63695.008,1188781.0,26.99,0.0,0,0,0
2007-07-13,18.744673,18.828697,18.716663,18.828697,62266.867,1167250.0,26.89,0.0,0,0,0
2007-07-16,18.73767,18.856707,18.723665,18.765678,41416.035,777875.0,26.8,0.0,0,0,0
2007-07-17,18.73767,18.765678,18.681654,18.716663,14138.577,265013.0,26.73,0.0,0,0,0
2007-07-18,18.625637,19.255827,18.527605,18.667648,39702.27,739999.0,26.66,0.0,0,0,0
2007-07-19,18.87071,18.87071,18.786684,18.828697,32418.758,610480.0,26.89,0.0,0,0,0
2007-07-20,18.779682,18.779682,18.54161,18.618633,25706.504,479160.0,26.59,0.0,0,0,0
2007-07-23,18.716663,18.912724,18.716663,18.793688,41130.406,774763.0,26.84,0.0,0,0,0
2007-07-24,18.415571,18.415571,18.14249,18.191504,35132.223,642837.0,25.98,0.0,0,0,0
2007-07-25,18.359554,18.380562,18.121483,18.240519,31133.434,567861.0,26.05,0.0,0,0,0
2007-07-26,17.855404,18.20551,17.302235,17.351252,80689.86,1413833.0,24.78,0.0,0,0,0
2007-07-27,17.582321,17.687353,17.463285,17.477287,29134.04,511799.0,24.96,0.0,0,0,0
2007-07-30,17.526304,17.694355,17.526304,17.687353,43986.688,775775.0,25.26,0.0,0,0,0
2007-07-31,17.995445,18.121483,17.799387,17.806389,32847.2,590048.0,25.43,0.0,0,0,0
2007-08-01,17.624332,17.624332,17.41427,17.61733,23135.854,405385.0,25.16,0.0,0,0,0
2007-08-02,17.610329,17.708359,17.568316,17.708359,21564.9,380162.0,25.29,0.0,0,0,0
