Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2002-07-26,46.239902,46.334816,46.139404,46.223156,376308.78,17394180.0,82.79,0.0,0,0,0
2002-07-29,45.983078,46.02216,45.681583,45.681583,89375.58,4082818.0,81.82,0.0,0,0,0
2002-07-30,45.748585,45.849083,45.614586,45.653667,73972.17,3377101.0,81.77,0.0,0,0,0
2002-07-31,45.81,46.105907,45.81,46.072407,58389.656,2690152.0,82.52,0.0,0,0,0
2002-08-01,46.083576,46.28457,46.072407,46.262238,127884.09,5916204.0,82.86,0.0,0,0,0
2002-08-02,46.351566,46.73122,46.28457,46.61956,215468.58,10045050.0,83.5,0.0,0,0,0
2002-08-05,46.72006,46.854053,46.636307,46.854053,285321.22,13368456.0,83.92,0.0,0,0,0
2002-08-06,46.625145,46.625145,46.35715,46.474396,161377.55,7499924.0,83.24,0.0,0,0,0
2002-08-07,46.446484,46.70331,46.396233,46.61956,68240.67,3181350.0,83.5,0.0,0,0,0
2002-08-08,46.524647,46.56373,46.390648,46.457645,255409.97,11865746.0,83.21,0.0,0,0,0
2002-08-09,46.519062,46.83172,46.519062,46.803806,178392.94,8349468.0,83.83,0.0,0,0,0
2002-08-12,46.954548,47.055046,46.8708,46.89872,68240.67,3200400.0,84.0,0.0,0,0,0
2002-08-13,47.07738,47.311874,46.932217,47.27279,195408.33,9237497.0,84.67,0.0,0,0,0
2002-08-14,47.451454,47.585453,47.099712,47.133213,261678.8,12333762.0,84.42,0.0,0,0,0
2002-08-15,46.89872,47.082966,46.75914,46.85964,108361.17,5077765.0,83.93,0.0,0,0,0
2002-08-16,47.0383,47.04946,46.491146,46.55256,99943.03,4652604.0,83.38,0.0,0,0,0
2002-08-19,46.625145,46.625145,46.41298,46.597225,74509.5,3471936.0,83.46,0.0,0,0,0
2002-08-20,46.787056,47.027134,46.73122,47.027134,101913.234,4792687.0,84.23,0.0,0,0,0
2002-08-21,46.775887,46.92105,46.73122,46.90988,67882.45,3184358.0,84.02,0.0,0,0,0
2002-08-22,46.787056,46.787056,46.61956,46.65864,78091.69,3643652.0,83.57,0.0,0,0,0
2002-08-23,46.74239,46.89872,46.708893,46.8708,47463.984,2224675.0,83.95,0.0,0,0,0
2002-08-26,46.854053,47.01038,46.826138,46.893135,49792.406,2334922.0,83.99,0.0,0,0,0
2002-08-27,46.75914,46.85964,46.65864,46.753555,69494.44,3249112.0,83.74,0.0,0,0,0
2002-08-28,46.948967,46.993633,46.89872,46.926636,72001.97,3378810.0,84.05,0.0,0,0,0
2002-08-29,47.21696,47.228123,47.082966,47.14438,181796.02,8570660.0,84.44,0.0,0,0,0
2002-08-30,47.222546,47.256042,47.066216,47.233707,51762.61,2444940.0,84.6,0.0,0,0,0
2002-09-03,47.670673,47.956398,47.620255,47.74911,197594.48,9434961.0,85.23,0.0,0,0,0
2002-09-04,47.709896,47.87236,47.665077,47.7323,137977.0,6585960.0,85.2,0.0,0,0,0
2002-09-05,47.956398,47.984413,47.726704,47.922787,103348.875,4952766.0,85.54,0.0,0,0,0
2002-09-06,47.670673,47.760315,47.530617,47.553024,57475.543,2733136.0,84.88,0.0,0,0,0
2002-09-09,47.586643,47.704292,47.480198,47.485798,158503.98,7526688.0,84.76,0.0,0,0,0
2002-09-10,47.457787,47.737904,47.429775,47.65387,38198.03,1820284.0,85.06,0.0,0,0,0
2002-09-11,47.401764,47.480198,47.334534,47.480198,138333.98,6568125.0,84.75,0.0,0,0,0
2002-09-12,47.50821,47.74911,47.50821,47.726704,71219.695,3399081.0,85.19,0.0,0,0,0
2002-09-13,47.833145,47.984413,47.782726,47.950794,224725.8,10775781.0,85.59,0.0,0,0,0
