Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2001-03-19,47.799435,47.799435,47.799435,47.799435,111.6122,5335.0,53.35,0.0,0,0,0
2001-03-20,49.72575,49.75263,46.67053,46.67053,56140.934,2752028.0,52.09,0.0,0,0,0
2001-03-21,47.889034,48.014465,47.010994,47.96071,89847.82,4278969.0,53.53,0.0,0,0,0
2001-03-22,46.679485,49.50176,46.661568,49.50176,348788.12,16327156.0,55.25,0.0,0,0,0
2001-03-23,50.397717,50.8457,49.949738,50.308125,37166.86,1870427.0,56.15,0.0,0,0,0
2001-03-26,50.8009,50.8009,49.50176,49.50176,54466.75,2738211.0,55.25,0.0,0,0,0
2001-03-29,46.455494,46.822838,46.455494,46.545094,669.67316,31212.0,51.95,0.0,0,0,0
2001-03-30,45.51474,45.873123,44.977165,45.873123,31586.252,1436394.0,51.2,0.0,0,0,0
2001-04-02,46.321102,46.321102,44.215595,44.305195,19420.521,877544.0,49.45,0.0,0,0,0
2001-04-03,43.006054,43.006054,41.438126,41.438126,30358.518,1299330.0,46.25,0.0,0,0,0
2001-04-04,41.438126,42.199688,40.730316,40.784073,17969.564,735839.0,45.52,0.0,0,0,0
2001-04-05,43.364437,43.364437,43.364437,43.364437,558.061,24200.0,48.4,0.0,0,0,0
2001-04-09,43.418194,43.418194,42.513275,42.925415,41631.348,1800702.0,47.91,0.0,0,0,0
2001-04-10,45.79249,46.804924,45.79249,46.804924,1674.183,77794.0,52.24,0.0,0,0,0
2001-04-11,49.546555,49.591354,48.337013,48.337013,34599.78,1704104.0,53.95,0.0,0,0,0
2001-04-12,49.860146,49.860146,49.277767,49.68095,38282.984,1886873.0,55.45,0.0,0,0,0
2001-04-16,48.919384,49.412163,48.023426,48.023426,174338.25,8491047.0,53.6,0.0,0,0,0
2001-04-17,49.367363,49.412163,48.157818,48.6058,11384.444,561075.0,54.25,0.0,0,0,0
2001-04-18,51.517666,55.540527,51.517666,54.07115,1951204.4,106633030.0,60.35,0.0,0,0,0
2001-04-19,54.429535,57.654987,54.429535,57.565395,94200.695,5368354.0,64.25,0.0,0,0,0
2001-04-20,57.117413,57.25181,56.445446,57.25181,3683.2024,209032.0,63.9,0.0,0,0,0
2001-04-23,55.549484,55.549484,54.035316,54.205547,47546.797,2605147.0,60.5,0.0,0,0,0
2001-04-24,54.29514,54.339943,52.548023,52.548023,33260.434,1803767.0,58.65,0.0,0,0,0
2001-04-25,52.503223,53.623173,52.503223,53.623173,39175.88,2066133.0,59.85,0.0,0,0,0
2001-04-26,54.429535,54.429535,52.682415,52.73617,70204.07,3719182.0,58.86,0.0,0,0,0
2001-04-27,53.757565,53.802364,53.354385,53.802364,34376.555,1847765.0,60.05,0.0,0,0,0
2001-04-30,55.01191,55.925785,54.438496,54.474335,12723.79,705683.0,60.8,0.0,0,0,0
2001-05-01,54.11595,56.26625,54.11595,56.26625,7254.7925,402988.0,62.8,0.0,0,0,0
2001-05-02,57.789383,58.058174,56.75903,57.341404,6808.3438,388554.0,64.0,0.0,0,0,0
2001-05-03,55.81827,55.81827,55.370293,55.63908,42301.023,2357709.0,62.1,0.0,0,0,0
2001-05-04,55.594284,56.535038,55.594284,56.490242,57815.117,3227062.0,63.05,0.0,0,0,0
2001-05-07,56.848625,57.296608,55.997463,56.275215,9933.485,564268.0,62.81,0.0,0,0,0
2001-05-08,57.072617,57.072617,56.26625,56.80383,4129.6514,233090.0,63.4,0.0,0,0,0
2001-05-09,55.271736,56.17666,55.101505,56.17666,892.8976,49478.0,62.7,0.0,0,0,0
2001-05-10,56.669434,56.669434,54.832718,54.832718,5803.834,318649.0,61.2,0.0,0,0,0
2001-05-14,52.897446,52.897446,52.80785,52.80785,223.2244,11798.0,58.94,0.0,0,0,0
2001-05-16,53.757565,54.653526,53.757565,54.653526,6808.3438,368949.0,61.0,0.0,0,0,0
2001-05-17,55.81827,56.94718,55.81827,56.02434,40403.613,2278105.0,62.53,0.0,0,0,0
2001-05-18,55.90787,56.275215,55.728676,56.275215,892.8976,50138.0,62.81,0.0,0,0,0
2001-05-21,56.445446,59.088524,56.445446,59.088524,6808.3438,396957.0,65.95,0.0,0,0,0
2001-05-22,59.446907,59.751537,58.864532,59.751537,28572.723,1686138.0,66.69,0.0,0,0,0
2001-05-23,58.685345,58.685345,57.834183,57.834183,9821.873,571157.0,64.55,0.0,0,0,0
