Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-06-23,4.649361,4.6986585,4.649361,4.6770906,71403.36,332846.0,15.18,0.0,0,0,0
2005-06-24,4.615469,4.615469,4.563091,4.563091,22070.129,100926.0,14.81,0.0,0,0,0
2005-06-27,4.5507665,4.5507665,4.535361,4.535361,7789.4575,35376.0,14.72,0.0,0,0,0
2005-06-28,4.5877395,4.6277933,4.5877395,4.6277933,7789.4575,35909.0,15.02,0.0,0,0,0
2005-06-29,4.658604,4.658604,4.637037,4.637037,4543.85,21147.0,15.05,0.0,0,0,0
2005-07-01,4.5969825,4.6062255,4.5969825,4.6062255,40894.652,188086.0,14.95,0.0,0,0,0
2005-07-05,4.5908203,4.637037,4.5908203,4.637037,24342.055,111993.0,15.05,0.0,0,0,0
2005-07-06,4.637037,4.6647663,4.637037,4.637037,3245.6074,15068.0,15.05,0.0,0,0,0
2005-07-07,4.649361,4.649361,4.6431985,4.6431985,649.12146,3016.0,15.07,0.0,0,0,0
2005-07-08,4.658604,4.73255,4.658604,4.73255,24666.615,115115.0,15.36,0.0,0,0,0
2005-07-11,4.7356315,4.7787666,4.7356315,4.76028,5842.0933,27779.0,15.45,0.0,0,0,0
2005-07-12,4.8157396,4.8157396,4.8157396,4.8157396,324.56073,1563.0,15.63,0.0,0,0,0
2005-07-13,4.8311453,4.8434696,4.821902,4.8403883,23692.934,114494.0,15.71,0.0,0,0,0
2005-07-14,4.8681183,4.8681183,4.8465505,4.849632,16228.036,78827.0,15.74,0.0,0,0,0
2005-07-15,4.8373075,4.861956,4.8373075,4.861956,4543.85,22042.0,15.78,0.0,0,0,0
2005-07-18,4.8465505,4.8465505,4.821902,4.821902,6491.215,31418.0,15.65,0.0,0,0,0
2005-07-19,4.8434696,4.8804426,4.8311453,4.8804426,105806.8,511386.0,15.84,0.0,0,0,0
2005-07-20,4.883524,4.9174156,4.883524,4.9174156,7464.897,36662.0,15.96,0.0,0,0,0
2005-07-21,4.8896856,4.8896856,4.8588753,4.8588753,7140.336,34809.0,15.77,0.0,0,0,0
2005-07-22,4.8681183,4.8681183,4.8527126,4.8527126,2596.4858,12608.0,15.75,0.0,0,0,0
2005-07-25,4.9081726,4.9081726,4.8588753,4.8681183,9412.261,45929.0,15.8,0.0,0,0,0
2005-07-26,4.8711996,4.8711996,4.8527126,4.855794,1947.3644,9462.0,15.76,0.0,0,0,0
2005-07-27,4.865037,4.898929,4.865037,4.8958483,5517.532,26926.0,15.89,0.0,0,0,0
2005-07-28,4.9174156,4.9174156,4.9174156,4.9174156,2921.0466,14364.0,15.96,0.0,0,0,0
