Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-05-05,38.924595,38.924595,38.924595,38.924595,128.86455,5016.0,50.16,0.0,0,0,0
2006-05-08,38.862514,38.870274,38.862514,38.862514,1030.9164,40064.0,50.08,0.0,0,0,0
2006-05-09,38.769394,38.769394,38.59867,38.64523,2706.1553,104632.0,49.8,0.0,0,0,0
2006-05-10,38.57539,38.57539,38.38915,38.396908,4252.53,163512.0,49.48,0.0,0,0,0
2006-05-11,38.38139,38.38139,38.047703,38.070988,1546.3745,58953.0,49.06,0.0,0,0,0
2006-05-12,37.908024,37.923542,37.76834,37.76834,4639.1235,175740.0,48.67,0.0,0,0,0
2006-05-15,37.78386,38.226185,37.78386,38.063225,2577.2908,98127.0,49.05,0.0,0,0,0
2006-05-16,38.396908,38.435707,38.28827,38.435707,4123.6655,157965.0,49.53,0.0,0,0,0
2006-05-17,38.024426,38.264988,37.63642,37.6985,9149.383,347104.0,48.58,0.0,0,0,0
2006-05-18,37.853703,37.923542,37.66746,37.66746,2963.8845,112131.0,48.54,0.0,0,0,0
2006-05-19,37.41914,37.52778,37.248417,37.248417,773.18726,28941.0,48.0,0.0,0,0,0
2006-05-22,37.481216,37.481216,37.388096,37.450176,36468.664,1366462.0,48.26,0.0,0,0,0
2006-05-23,37.5045,37.5045,37.209618,37.209618,5412.3105,202405.0,47.95,0.0,0,0,0
2006-05-24,37.30274,37.30274,36.860413,37.178574,4639.1235,172036.0,47.91,0.0,0,0,0
2006-05-25,37.357056,37.6209,37.357056,37.6209,3479.3425,130330.0,48.48,0.0,0,0,0
2006-05-26,37.915783,37.954582,37.86146,37.892506,3221.6135,122113.0,48.83,0.0,0,0,0
2006-05-30,37.6985,37.6985,37.51226,37.51226,1288.6454,48504.0,48.34,0.0,0,0,0
2006-05-31,37.442417,37.5045,37.341537,37.5045,2577.2908,96410.0,48.33,0.0,0,0,0
2006-06-01,37.5433,37.939064,37.5433,37.845943,2835.0198,107120.0,48.77,0.0,0,0,0
2006-06-02,38.024426,38.078747,37.86922,38.078747,3221.6135,122193.0,49.07,0.0,0,0,0
2006-06-05,37.977863,37.977863,37.55106,37.55106,2061.8328,77936.0,48.39,0.0,0,0,0
2006-06-06,37.55882,37.55882,37.147533,37.326015,5412.3105,201836.0,48.1,0.0,0,0,0
2006-06-07,37.61314,37.814903,37.535538,37.535538,1030.9164,38851.0,48.37,0.0,0,0,0
2006-06-08,37.45794,37.566578,37.054413,37.566578,25386.314,949701.0,48.41,0.0,0,0,0
2006-06-09,37.58986,37.61314,37.357056,37.357056,10309.163,386836.0,48.14,0.0,0,0,0
2006-06-12,37.318256,37.318256,36.75953,36.75953,3221.6135,118910.0,47.37,0.0,0,0,0
2006-06-13,36.992332,36.992332,36.495686,36.495686,2835.0198,104091.0,47.03,0.0,0,0,0
2006-06-14,36.356007,36.705208,36.356007,36.573288,2963.8845,108415.0,47.13,0.0,0,0,0
2006-06-15,37.023373,37.41914,36.992332,37.41914,3865.9363,143604.0,48.22,0.0,0,0,0
2006-06-16,37.41914,37.41914,37.139774,37.139774,3221.6135,120188.0,47.86,0.0,0,0,0
2006-06-19,37.263935,37.263935,36.953533,36.953533,3092.749,114611.0,47.62,0.0,0,0,0
2006-06-20,37.015614,37.046654,37.015614,37.046654,2190.6973,81118.0,47.74,0.0,0,0,0
2006-06-21,37.046654,37.263935,37.015614,37.038895,5283.4463,196159.0,47.73,0.0,0,0,0
2006-06-22,36.96889,37.046673,36.758884,36.914444,8614.026,318029.0,47.46,0.0,0,0,0
2006-06-23,36.945557,37.16334,36.945557,37.16334,514.2702,19076.0,47.78,0.0,0,0,0
2006-06-26,37.155563,37.155563,37.02334,37.031116,1799.9458,66778.0,47.61,0.0,0,0,0
2006-06-27,36.961113,37.007782,36.51777,36.61888,6942.648,255338.0,47.08,0.0,0,0,0
2006-06-28,36.727776,36.727776,36.478878,36.634438,6685.5127,244466.0,47.1,0.0,0,0,0
2006-06-29,37.085564,37.497795,37.031116,37.497795,4756.9995,177198.0,48.21,0.0,0,0,0
2006-06-30,37.770027,37.832253,37.75447,37.75447,3214.189,121459.0,48.54,0.0,0,0,0
2006-07-03,37.84003,37.894478,37.770027,37.87892,10413.972,393924.0,48.7,0.0,0,0,0
2006-07-05,37.76225,37.76225,37.614468,37.661133,3599.8916,135604.0,48.42,0.0,0,0,0
2006-07-06,37.824474,37.855583,37.68447,37.777805,35741.78,1348325.0,48.57,0.0,0,0,0
2006-07-07,37.808918,37.886696,37.785583,37.801136,17999.457,680790.0,48.6,0.0,0,0,0
2006-07-10,37.72336,37.72336,37.334457,37.40446,4756.9995,178362.0,48.09,0.0,0,0,0
2006-07-11,37.40446,37.56002,37.116676,37.56002,16585.215,621702.0,48.29,0.0,0,0,0
2006-07-12,37.388905,37.388905,37.178898,37.233345,45384.348,1689648.0,47.87,0.0,0,0,0
2006-07-13,36.73555,36.797775,36.556656,36.657772,22756.457,834493.0,47.13,0.0,0,0,0
2006-07-14,36.751106,36.898888,36.439987,36.478878,8485.459,310476.0,46.9,0.0,0,0,0
