Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2000-05-26,33.279533,33.279533,33.279533,33.279533,54913.63,1827500.0,91.375,0.0,0,0,0
2000-05-30,34.372158,34.577026,34.372158,34.577026,143050.0,4928086.0,94.9375,0.0,0,0,0
2000-05-31,34.508736,34.508736,34.508736,34.508736,549.1363,18950.0,94.75,0.0,0,0,0
2000-06-01,34.918472,35.146103,34.918472,35.146103,28005.951,984174.0,96.5,0.0,0,0,0
2000-06-02,36.64846,36.64846,36.46636,36.511883,114769.484,4195971.0,100.25,0.0,0,0,0
2000-06-05,36.307014,36.307014,36.1932,36.238728,180940.4,6556021.0,99.5,0.0,0,0,0
2000-06-06,36.1932,36.46636,36.011097,36.011097,328108.94,11836020.0,98.875,0.0,0,0,0
2000-06-07,35.692413,36.03386,35.692413,35.965572,4118.522,148148.0,98.75,0.0,0,0,0
2000-06-08,36.011097,36.05662,35.80623,35.80623,828372.06,29775888.0,98.3125,0.0,0,0,0
2000-06-09,36.10215,36.307014,36.10215,36.147675,4942.2266,178678.0,99.25,0.0,0,0,0
2000-06-12,36.284252,36.284252,35.533073,35.555836,200709.31,7135246.0,97.625,0.0,0,0,0
2000-06-13,35.73794,35.73794,35.373734,35.624126,283079.75,10086080.0,97.8125,0.0,0,0,0
2000-06-14,36.147675,36.147675,35.692413,35.692413,98295.4,3525831.0,98.0,0.0,0,0,0
2000-06-15,35.692413,36.238728,35.601364,36.238728,618602.0,22192816.0,99.5,0.0,0,0,0
2000-06-16,36.124912,36.32978,36.03386,36.10215,830019.5,30060864.0,99.125,0.0,0,0,0
2000-06-19,36.10215,36.785038,36.05662,36.69399,17023.225,624844.0,100.75,0.0,0,0,0
2000-06-20,36.830566,36.967144,36.602936,36.92162,213064.88,7867913.0,101.375,0.0,0,0,0
2000-06-21,36.809666,36.923557,36.78689,36.832447,276030.75,10168460.0,101.0625,0.0,0,0,0
2000-06-22,36.354103,36.467995,35.830204,35.830204,632181.75,22893442.0,98.3125,0.0,0,0,0
2000-06-23,35.830204,35.898537,35.48853,35.534084,412948.6,14763432.0,97.5,0.0,0,0,0
2000-06-26,35.807423,35.807423,35.579643,35.716312,74632.57,2665175.0,98.0,0.0,0,0,0
2000-06-27,35.807423,35.85298,35.397415,35.48853,133899.61,4768516.0,97.375,0.0,0,0,0
2000-06-28,35.44297,35.898537,35.44297,35.898537,6859.611,246172.0,98.5,0.0,0,0,0
2000-06-29,35.716312,36.080765,35.6252,36.057983,499379.7,17943070.0,98.9375,0.0,0,0,0
2000-06-30,35.3063,35.35186,35.3063,35.35186,11798.531,416593.0,97.0,0.0,0,0,0
2000-07-03,35.35186,35.830204,35.35186,35.830204,144326.22,5171237.0,98.3125,0.0,0,0,0
2000-07-05,35.48853,35.670753,35.397415,35.397415,13719.222,487819.0,97.125,0.0,0,0,0
2000-07-06,35.44297,35.761868,35.35186,35.761868,1118391.0,39755104.0,98.125,0.0,0,0,0
2000-07-07,35.98965,36.308544,35.98965,36.24021,73809.414,2674650.0,99.4375,0.0,0,0,0
2000-07-10,36.51355,36.76411,36.490772,36.718555,280420.9,10298247.0,100.75,0.0,0,0,0
2000-07-11,36.65022,37.083008,36.65022,36.94634,363559.38,13436328.0,101.375,0.0,0,0,0
2000-07-12,37.242455,37.493015,37.174118,37.470238,341059.84,12763024.0,102.8125,0.0,0,0,0
2000-07-13,37.629684,37.629684,37.493015,37.515793,127039.99,4766730.0,102.9375,0.0,0,0,0
2000-07-14,37.67524,37.743576,37.515793,37.743576,219781.94,8269660.0,103.5625,0.0,0,0,0
2000-07-17,37.67524,37.78913,37.629684,37.766354,36493.13,1376331.0,103.625,0.0,0,0,0
2000-07-18,37.629684,37.67524,37.31079,37.31079,468099.84,17561204.0,102.375,0.0,0,0,0
2000-07-19,37.219677,37.379124,36.90078,36.90078,242281.45,8974856.0,101.25,0.0,0,0,0
2000-07-20,37.265232,37.42468,37.265232,37.31079,25517.752,951942.0,102.375,0.0,0,0,0
2000-07-21,36.94634,36.969116,36.809666,36.809666,98229.63,3621964.0,101.0,0.0,0,0,0
2000-07-24,36.855225,36.855225,36.445217,36.490772,141582.38,5190258.0,100.125,0.0,0,0,0
2000-07-25,36.536327,36.536327,36.194656,36.308544,229385.39,8341524.0,99.625,0.0,0,0,0
2000-07-26,36.217434,36.217434,35.761868,36.171875,182465.66,6586678.0,99.25,0.0,0,0,0
2000-07-27,35.898537,35.966873,35.670753,35.761868,91918.79,3287711.0,98.125,0.0,0,0,0
2000-07-28,35.761868,35.761868,35.078518,35.3063,83687.26,2955641.0,96.875,0.0,0,0,0
2000-07-31,35.48853,35.670753,35.48853,35.670753,3018.2288,107481.0,97.875,0.0,0,0,0
2000-08-01,35.85298,35.966873,35.830204,35.830204,10152.225,364195.0,98.3125,0.0,0,0,0
2000-08-02,35.784645,36.354103,35.73909,36.354103,16188.682,581206.0,99.75,0.0,0,0,0
2000-08-03,35.48853,36.12632,35.48853,36.12632,10152.225,361599.0,99.125,0.0,0,0,0
2000-08-04,36.718555,36.809666,36.718555,36.76411,32926.133,1210875.0,100.875,0.0,0,0,0
2000-08-07,37.33357,37.356346,37.265232,37.265232,1646.3066,61435.0,102.25,0.0,0,0,0
2000-08-08,37.31079,37.42468,37.31079,37.4019,20304.45,758827.0,102.625,0.0,0,0,0
2000-08-09,37.53857,37.58413,36.991894,36.991894,178898.66,6632750.0,101.5,0.0,0,0,0
2000-08-10,37.03745,37.083008,36.855225,36.855225,288652.44,10638350.0,101.125,0.0,0,0,0
2000-08-11,36.855225,37.470238,36.76411,37.470238,273561.28,10172879.0,102.8125,0.0,0,0,0
2000-08-14,37.53857,37.857468,37.53857,37.83469,207983.4,7851985.0,103.8125,0.0,0,0,0
2000-08-15,37.606907,37.69802,37.58413,37.58413,423923.97,15935227.0,103.125,0.0,0,0,0
2000-08-16,37.880245,37.880245,37.652462,37.652462,11798.531,446092.0,103.3125,0.0,0,0,0
2000-08-17,37.78913,38.062473,37.766354,38.062473,193166.64,7336926.0,104.4375,0.0,0,0,0
2000-08-18,38.313034,38.35859,38.08525,38.244698,43352.742,1653281.0,104.9375,0.0,0,0,0
2000-08-21,38.35859,38.404144,38.130806,38.244698,29633.52,1133494.0,104.9375,0.0,0,0,0
2000-08-22,38.33581,38.404144,38.244698,38.267475,156673.52,5997284.0,105.0,0.0,0,0,0
2000-08-23,38.199142,38.404144,37.994137,38.404144,333651.47,12759889.0,105.375,0.0,0,0,0
2000-08-24,38.49526,38.74582,38.35859,38.74582,221153.86,8568787.0,106.3125,0.0,0,0,0
2000-08-25,38.72304,38.85971,38.72304,38.836933,63382.805,2461955.0,106.5625,0.0,0,0,0
2000-08-28,38.87101,39.13305,38.87101,39.024807,537244.75,20965898.0,107.078,0.0,0,0,0
2000-08-29,38.88267,39.11592,38.85971,39.11592,929614.5,36229204.0,107.328,0.0,0,0,0
2000-08-30,39.018974,39.184437,39.018974,39.13305,19755.68,773038.0,107.375,0.0,0,0,0
2000-08-31,39.360832,39.759544,39.355003,39.68556,758398.56,30097370.0,108.891,0.0,0,0,0
2000-09-01,39.97603,40.06131,39.85066,40.04418,69419.266,2775007.0,109.875,0.0,0,0,0
2000-09-05,39.953068,39.953068,39.6513,39.656765,75730.1,3003225.0,108.812,0.0,0,0,0
2000-09-06,39.486206,39.577316,39.343704,39.486206,221153.86,8732506.0,108.344,0.0,0,0,0
