Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2000-07-28,12.06703,12.089501,12.044559,12.055794,21138.176,255017.0,67.0625,0.0,0,0,0
2000-07-31,12.033323,12.134443,12.033323,12.134443,12794.159,154790.0,67.5,0.0,0,0,0
2000-08-01,12.314213,12.314213,12.314213,12.314213,7231.4814,89050.0,68.5,0.0,0,0,0
2000-08-02,12.381626,12.392862,12.381626,12.392862,5562.6777,68937.0,68.9375,0.0,0,0,0
2000-08-03,12.269271,12.314213,12.269271,12.314213,31150.996,383146.0,68.5,0.0,0,0,0
2000-08-04,12.359156,12.392862,12.347919,12.392862,7231.4814,89559.0,68.9375,0.0,0,0,0
2000-08-07,12.538925,12.538925,12.538925,12.538925,556.2678,6975.0,69.75,0.0,0,0,0
2000-08-08,12.583867,12.583867,12.583867,12.583867,10012.82,126000.0,70.0,0.0,0,0,0
2000-08-16,12.62881,12.62881,12.6063385,12.6063385,10569.088,133399.0,70.125,0.0,0,0,0
2000-08-18,12.752401,12.752401,12.752401,12.752401,2781.3389,35468.75,70.9375,0.0,0,0,0
2000-08-21,12.763637,12.763637,12.718695,12.718695,239195.16,3048377.0,70.75,0.0,0,0,0
2000-08-22,12.741165,12.774872,12.741165,12.752401,60633.188,773290.0,70.9375,0.0,0,0,0
2000-08-23,12.763637,12.763637,12.763637,12.763637,17800.57,227200.0,71.0,0.0,0,0,0
2000-08-24,12.808579,12.808579,12.808579,12.808579,12794.159,163875.0,71.25,0.0,0,0,0
2000-08-29,12.83105,12.915327,12.83105,12.915327,12237.892,157353.0,71.8438,0.0,0,0,0
2000-08-31,13.036096,13.036096,13.036096,13.036096,3337.6067,43509.36,72.5156,0.0,0,0,0
2000-09-01,13.022056,13.033291,13.022056,13.033291,60076.92,782349.0,72.5,0.0,0,0,0
2000-09-05,13.030486,13.030486,13.030486,13.030486,556.2678,7248.44,72.4844,0.0,0,0,0
2000-09-06,12.949015,12.949015,12.949015,12.949015,57851.85,749124.44,72.0312,0.0,0,0,0
2000-09-07,13.11194,13.128784,13.11194,13.128784,11125.355,145973.0,73.0312,0.0,0,0,0
2000-09-08,13.145647,13.156882,13.145647,13.156882,22250.71,292700.0,73.1875,0.0,0,0,0
2000-09-11,13.123176,13.1961975,13.123176,13.1961975,4450.1426,58506.0,73.4062,0.0,0,0,0
