Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-11-20,21.244762,21.244762,20.989723,21.108742,12233.415,258232.0,24.83,0.0,0,0,0
2009-11-23,21.601818,21.703835,21.448793,21.474298,24584.459,527934.0,25.26,0.0,0,0,0
2009-11-24,21.55081,21.601818,21.22776,21.304272,56226.656,1197868.0,25.06,0.0,0,0,0
2009-11-25,21.533808,21.593315,21.363781,21.584814,40817.26,881033.0,25.39,0.0,0,0,0
2009-11-27,20.751686,20.989723,20.675175,20.89621,41758.293,872590.0,24.58,0.0,0,0,0
2009-11-30,21.253263,21.593315,21.040731,21.202257,38935.195,825514.0,24.94,0.0,0,0,0
2009-12-01,21.669828,21.763342,21.61032,21.720835,51403.87,1116535.0,25.55,0.0,0,0,0
2009-12-02,21.74634,21.74634,21.61032,21.68683,20585.074,446425.0,25.51,0.0,0,0,0
2009-12-03,21.890862,21.890862,21.499804,21.508303,30936.424,665390.0,25.3,0.0,0,0,0
2009-12-04,21.848356,21.933369,21.499804,21.763342,33994.777,739840.0,25.6,0.0,0,0,0
2009-12-07,21.457294,21.457294,21.15975,21.202257,25407.861,538704.0,24.94,0.0,0,0,0
2009-12-08,21.312773,21.321274,21.168251,21.210758,9175.062,194610.0,24.95,0.0,0,0,0
2009-12-09,21.304272,21.448793,21.261765,21.448793,21173.219,454140.0,25.23,0.0,0,0,0
2009-12-10,21.635824,21.67833,21.499804,21.542309,169621.0,3654028.0,25.34,0.0,0,0,0
2009-12-11,21.533808,21.533808,21.253263,21.338278,42111.18,898580.0,25.1,0.0,0,0,0
2009-12-14,21.35528,21.35528,21.210758,21.312773,142919.22,3046005.0,25.07,0.0,0,0,0
2009-12-15,21.108742,21.108742,20.947216,20.998226,37523.65,787930.0,24.7,0.0,0,0,0
2009-12-16,21.057734,21.168251,21.040731,21.057734,15879.914,334395.0,24.77,0.0,0,0,0
2009-12-17,21.015226,21.015226,20.70068,20.717682,26466.523,548325.0,24.37,0.0,0,0,0
2009-12-18,20.649672,20.658173,20.471144,20.63267,42934.582,885855.0,24.27,0.0,0,0,0
2009-12-21,20.683676,20.70068,20.607164,20.64117,85163.39,1757872.0,24.28,0.0,0,0,0
2009-12-22,20.726183,20.845201,20.70068,20.717682,29877.764,618998.0,24.37,0.0,0,0,0
2009-12-23,21.41479,21.41479,21.108742,21.253263,74341.52,1580000.0,25.0,0.0,0,0,0
2009-12-24,21.42329,21.499804,21.42329,21.440292,5528.5625,118534.0,25.22,0.0,0,0,0
2009-12-28,21.75484,21.75484,21.533808,21.584814,33524.26,723615.0,25.39,0.0,0,0,0
2009-12-29,21.669828,21.839855,21.4828,21.576313,17056.203,368010.0,25.38,0.0,0,0,0
2009-12-30,21.703835,21.703835,21.499804,21.593315,16938.574,365760.0,25.4,0.0,0,0,0
2009-12-31,21.75484,21.75484,21.516804,21.516804,19291.154,415084.0,25.31,0.0,0,0,0
2010-01-04,22.00988,22.231764,22.00988,22.213911,40347.92,896285.0,26.13,0.0,0,0,0
2010-01-05,22.443447,22.443447,22.213911,22.358433,63284.4,1414940.0,26.3,0.0,0,0,0
2010-01-06,22.681484,22.681484,22.443447,22.511457,114923.52,2587096.0,26.48,0.0,0,0,0
2010-01-07,22.630476,22.630476,22.494453,22.579468,52109.645,1176608.0,26.56,0.0,0,0,0
