Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-05-05,21.223524,21.3055,21.223524,21.3055,4879.4907,103834.0,51.98,0.0,0,0,0
2006-05-08,21.293205,21.293205,21.198933,21.223524,20493.861,435624.0,51.78,0.0,0,0,0
2006-05-09,21.23992,21.23992,21.182537,21.203032,26349.252,558655.0,51.73,0.0,0,0,0
2006-05-10,21.231722,21.371082,21.227625,21.301403,145164.86,3091965.0,51.97,0.0,0,0,0
2006-05-11,21.289104,21.3055,21.051376,21.063673,27569.123,584377.0,51.39,0.0,0,0,0
2006-05-12,20.924313,20.924313,20.612806,20.612806,10490.905,218170.0,50.29,0.0,0,0,0
2006-05-15,20.514435,20.567719,20.42836,20.55952,7563.211,155290.0,50.16,0.0,0,0,0
2006-05-16,20.567719,20.612806,20.49394,20.526731,12930.651,265563.0,50.08,0.0,0,0,0
2006-05-17,20.215223,20.215223,20.043076,20.043076,87342.89,1757708.0,48.9,0.0,0,0,0
2006-05-18,20.12505,20.133247,19.842234,19.842234,6099.364,122396.0,48.41,0.0,0,0,0
2006-05-19,19.838135,20.043076,19.805344,19.944704,28545.021,568368.0,48.66,0.0,0,0,0
2006-05-22,19.838135,20.071766,19.829937,19.98979,21225.785,422164.0,48.77,0.0,0,0,0
2006-05-23,20.084063,20.108656,19.838135,19.838135,13418.601,268415.0,48.4,0.0,0,0,0
2006-05-24,19.608603,19.764357,19.452848,19.678282,1281110.4,25178702.0,48.01,0.0,0,0,0
2006-05-25,19.760258,19.875025,19.760258,19.772554,7075.2617,139976.0,48.24,0.0,0,0,0
2006-05-26,19.911913,19.911913,19.846333,19.887321,3171.6692,63037.0,48.52,0.0,0,0,0
2006-05-30,19.846333,19.846333,19.629097,19.629097,86854.94,1705930.0,47.89,0.0,0,0,0
2006-05-31,19.694677,19.731565,19.6168,19.731565,9027.059,177541.0,48.14,0.0,0,0,0
2006-06-01,19.735666,20.014383,19.735666,20.014383,7563.211,150322.0,48.83,0.0,0,0,0
2006-06-02,20.116854,20.116854,19.932407,20.002087,4879.4907,97764.0,48.8,0.0,0,0,0
2006-06-05,19.9611,19.9611,19.674183,19.727468,9027.059,179240.0,48.13,0.0,0,0,0
2006-06-06,19.415958,19.415958,19.321688,19.321688,14150.523,273787.0,47.14,0.0,0,0,0
2006-06-07,19.42006,19.608603,19.38317,19.38317,23421.557,454967.0,47.29,0.0,0,0,0
2006-06-08,19.305292,19.338083,18.895412,19.338083,11954.753,228575.0,47.18,0.0,0,0,0
2006-06-09,19.374971,19.440552,19.264305,19.264305,2683.72,52072.0,47.0,0.0,0,0,0
2006-06-12,19.18233,19.18233,18.756054,18.756054,82951.34,1588721.0,45.76,0.0,0,0,0
2006-06-13,18.63719,18.710968,18.440449,18.485535,788037.8,14698373.0,45.1,0.0,0,0,0
2006-06-14,18.526524,18.727364,18.526524,18.727364,4635.5166,86502.0,45.69,0.0,0,0,0
2006-06-15,18.829832,19.346281,18.829832,19.346281,24153.48,463622.0,47.2,0.0,0,0,0
2006-06-16,19.346281,19.387268,19.202822,19.309391,45379.266,876993.0,47.11,0.0,0,0,0
2006-06-19,19.202822,19.202822,19.026573,19.026573,5367.44,102556.0,46.42,0.0,0,0,0
2006-06-20,19.018377,19.092155,18.928204,18.960993,7807.1855,148448.0,46.26,0.0,0,0,0
2006-06-21,18.977388,19.309391,18.977388,19.260206,13418.601,257595.0,46.99,0.0,0,0,0
2006-06-22,19.156494,19.156494,19.053942,19.135984,7313.4473,139801.0,46.65,0.0,0,0,0
2006-06-23,19.000616,19.218023,19.000616,19.135984,8288.573,158581.0,46.65,0.0,0,0,0
2006-06-26,19.053942,19.078554,18.99241,19.078554,18039.836,343671.0,46.51,0.0,0,0,0
2006-06-27,19.115473,19.115473,18.816025,18.861147,6094.539,115199.0,45.98,0.0,0,0,0
2006-06-28,18.816025,18.816025,18.692963,18.791412,4875.6313,91436.0,45.81,0.0,0,0,0
2006-06-29,19.13188,19.295963,19.02933,19.295963,10482.607,200629.0,47.04,0.0,0,0,0
2006-06-30,19.320574,19.349287,19.320574,19.349287,11213.952,216700.0,47.17,0.0,0,0,0
2006-07-03,19.382105,19.43133,19.382105,19.43133,3656.7236,70966.0,47.37,0.0,0,0,0
2006-07-05,19.341085,19.341085,19.205717,19.308268,70209.09,1354841.0,47.07,0.0,0,0,0
2006-07-06,19.394411,19.501064,19.369799,19.406717,725981.5,14110478.0,47.31,0.0,0,0,0
2006-07-07,19.341085,19.423124,19.185207,19.218023,371766.9,7199936.0,46.85,0.0,0,0,0
2006-07-10,19.361595,19.43133,19.242636,19.279554,174791.39,3383064.0,47.0,0.0,0,0,0
2006-07-11,19.300064,19.65694,19.213923,19.63233,81666.83,1583742.0,47.86,0.0,0,0,0
