Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2000-08-04,14.17249,14.197224,14.17249,14.197224,7075.3267,100443.0,71.75,0.0,0,0,0
2000-08-08,14.246692,14.246692,14.246692,14.246692,505.3805,7200.0,72.0,0.0,0,0,0
2000-08-23,14.481663,14.506397,14.481663,14.506397,2021.522,29325.0,73.3125,0.0,0,0,0
2000-08-28,14.524937,14.524937,14.524937,14.524937,4548.4243,66065.58,73.4062,0.0,0,0,0
2000-09-05,14.586792,14.586792,14.543498,14.543498,14150.653,205800.0,73.5,0.0,0,0,0
2000-09-06,14.651712,14.651712,14.626979,14.630066,16172.176,236600.0,73.9375,0.0,0,0,0
2000-09-11,14.84339,14.84339,14.763015,14.763015,3537.6633,52227.0,74.6094,0.0,0,0,0
2000-09-13,14.809397,14.809397,14.741368,14.741368,10612.99,156450.0,74.5,0.0,0,0,0
2000-09-14,14.642433,14.642433,14.639346,14.639346,1010.761,14797.0,73.9844,0.0,0,0,0
2000-09-15,14.694988,14.694988,14.555864,14.555864,12129.132,176550.0,73.5625,0.0,0,0,0
2000-09-19,14.3765335,14.3765335,14.3765335,14.3765335,505.3805,7265.6196,72.6562,0.0,0,0,0
2000-09-26,14.351668,14.351668,14.351668,14.351668,1007.93994,14465.62,72.3281,0.0,0,0,0
2000-09-29,14.649305,14.649305,14.649305,14.649305,1511.9099,22148.43,73.8281,0.0,0,0,0
2000-10-03,14.785723,14.785723,14.785723,14.785723,1007.93994,14903.12,74.5156,0.0,0,0,0
2000-10-04,14.627618,14.655516,14.627618,14.655516,4535.73,66473.0,73.8594,0.0,0,0,0
2000-10-06,14.395083,14.395083,14.395083,14.395083,3023.8198,43528.14,72.5469,0.0,0,0,0
2000-10-09,14.447785,14.447785,14.401275,14.407485,4535.73,65348.0,72.6094,0.0,0,0,0
2000-10-10,14.339268,14.339268,14.339268,14.339268,503.96997,7226.56,72.2656,0.0,0,0,0
2000-10-11,14.159454,14.16255,14.035439,14.035439,5543.67,77808.0,70.7344,0.0,0,0,0
2000-10-12,13.852511,13.892812,13.812211,13.83392,6047.6396,83662.0,69.7188,0.0,0,0,0
2000-10-13,13.96103,14.035439,13.96103,14.035439,12095.279,169762.56,70.7344,0.0,0,0,0
2000-10-16,14.063337,14.066434,14.060242,14.060242,6047.6396,85031.28,70.8594,0.0,0,0,0
2000-10-17,13.976527,13.976527,13.976527,13.976527,2015.8799,28175.0,70.4375,0.0,0,0,0
2000-10-18,13.911424,13.911424,13.911424,13.911424,1007.93994,14021.88,70.1094,0.0,0,0,0
2000-10-19,13.942418,14.072643,13.942418,14.072643,2015.8799,28368.76,70.9219,0.0,0,0,0
2000-10-23,14.187353,14.187353,14.16874,14.16874,5543.67,78547.0,71.4062,0.0,0,0,0
2000-10-25,14.205966,14.205966,14.205966,14.205966,6047.6396,85912.56,71.5938,0.0,0,0,0
2000-10-31,14.804334,14.962439,14.764013,14.943847,589140.9,8804031.0,75.3125,0.0,0,0,0
2000-11-01,14.89424,14.89424,14.878743,14.878743,1007.93994,14997.0,74.9844,0.0,0,0,0
