Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2000-05-31,23.816563,23.816563,23.816563,23.816563,618.2672,14725.0,73.625,0.0,0,0,0
2000-06-01,23.897434,24.48375,23.897434,24.402878,3091.3362,75422.0,75.4375,0.0,0,0,0
2000-06-02,24.867887,25.353115,24.867887,25.332897,6800.9395,170936.0,78.3125,0.0,0,0,0
2000-06-05,25.272243,25.272243,25.070066,25.070066,3709.6033,93306.0,77.5,0.0,0,0,0
2000-06-06,24.38266,24.38266,24.342226,24.38266,2473.0688,60275.0,75.375,0.0,0,0,0
2000-06-07,24.503967,24.908323,24.48375,24.867887,5564.4053,138431.0,76.875,0.0,0,0,0
2000-06-08,24.685928,24.685928,24.443314,24.443314,4018.737,98432.0,75.5625,0.0,0,0,0
2000-06-09,24.625275,24.645493,24.140047,24.140047,4327.8706,104497.0,74.625,0.0,0,0,0
2000-06-12,24.160265,24.2007,24.160265,24.180483,1236.5344,29901.0,74.75,0.0,0,0,0
2000-06-13,24.01874,24.322008,24.01874,24.322008,1545.6681,37301.0,75.1875,0.0,0,0,0
2000-06-14,24.38266,24.706146,24.38266,24.706146,4018.737,98273.0,76.375,0.0,0,0,0
2000-06-15,24.220919,24.220919,23.877216,23.897434,7110.073,170520.0,73.875,0.0,0,0,0
2000-06-16,23.776127,23.776127,23.088722,23.088722,9274.009,217352.0,71.375,0.0,0,0,0
2000-06-19,23.169594,23.675037,23.169594,23.57395,3400.4697,79831.0,72.875,0.0,0,0,0
2000-06-21,23.2909,23.2909,22.967415,23.048286,13601.879,313959.0,71.25,0.0,0,0,0
2000-06-22,22.967415,22.967415,22.805674,22.886543,927.4008,21234.0,70.75,0.0,0,0,0
2000-06-23,23.270681,23.311117,23.048286,23.048286,5873.5386,136165.0,71.25,0.0,0,0,0
2000-06-26,23.189812,23.250463,23.068504,23.250463,6182.6724,143688.0,71.875,0.0,0,0,0
2000-06-27,23.452642,23.493078,23.351553,23.351553,5255.2715,123200.0,72.1875,0.0,0,0,0
2000-06-28,23.614384,23.65482,23.351553,23.351553,2782.2026,65367.0,72.1875,0.0,0,0,0
2000-06-29,23.37177,23.412207,23.37177,23.412207,1236.5344,28944.0,72.375,0.0,0,0,0
2000-06-30,23.169594,23.169594,23.149376,23.169594,927.4008,21481.0,71.625,0.0,0,0,0
2000-07-03,22.846107,23.00785,22.846107,22.967415,6800.9395,156131.0,71.0,0.0,0,0,0
2000-07-05,23.311117,23.57395,23.311117,23.391989,8655.741,202753.0,72.3125,0.0,0,0,0
2000-07-06,23.2909,23.614384,23.2909,23.614384,2782.2026,65672.0,73.0,0.0,0,0,0
2000-07-07,23.978304,24.099611,23.978304,24.099611,3709.6033,89362.0,74.5,0.0,0,0,0
2000-07-10,24.059175,24.180483,24.059175,24.140047,5873.5386,141728.0,74.625,0.0,0,0,0
2000-07-11,24.11983,24.322008,24.11983,24.180483,11128.811,269490.0,74.75,0.0,0,0,0
2000-07-12,24.38266,24.66571,24.38266,24.544403,5255.2715,128934.0,75.875,0.0,0,0,0
2000-07-13,24.503967,24.503967,24.261354,24.342226,7728.3403,188428.0,75.25,0.0,0,0,0
2000-07-14,24.38266,24.74658,24.38266,24.74658,5873.5386,145291.0,76.5,0.0,0,0,0
2000-07-17,24.787016,24.787016,24.322008,24.322008,4637.0044,113476.0,75.1875,0.0,0,0,0
2000-07-18,24.140047,24.140047,24.038958,24.140047,8037.474,193729.0,74.625,0.0,0,0,0
2000-07-19,24.178118,24.198385,24.137585,24.198385,3392.272,81974.0,74.625,0.0,0,0,0
2000-07-20,24.360518,24.846918,24.279451,24.846918,159745.17,3894147.0,76.625,0.0,0,0,0
2000-07-21,24.82665,24.82665,24.64425,24.664518,38548.543,950586.0,76.0625,0.0,0,0,0
2000-07-24,24.684784,24.684784,24.684784,24.684784,925.16504,22837.5,76.125,0.0,0,0,0
2000-07-25,24.705051,24.927984,24.705051,24.927984,5550.99,137835.0,76.875,0.0,0,0,0
2000-07-26,24.846918,24.846918,24.64425,24.684784,5550.99,137196.0,76.125,0.0,0,0,0
