Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2000-06-21,54.815174,54.815174,54.815174,54.815174,148.56744,8143.75,81.4375,0.0,0,0,0
2000-06-22,54.520695,54.520695,54.520695,54.520695,148.56744,8100.0,81.0,0.0,0,0,0
2000-06-23,55.151722,55.362064,55.151722,55.362064,594.2698,32870.0,82.25,0.0,0,0,0
2000-06-26,55.067585,55.067585,55.025517,55.025517,75175.125,4138131.0,81.75,0.0,0,0,0
2000-06-27,55.614475,55.69861,55.53034,55.65654,1485.6744,82615.0,82.6875,0.0,0,0,0
2000-06-28,56.287567,56.287567,55.23586,55.23586,53187.145,2938528.0,82.0625,0.0,0,0,0
2000-06-30,54.731037,54.731037,53.931736,53.931736,1931.3767,105587.0,80.125,0.0,0,0,0
2000-07-06,54.857243,54.857243,54.857243,54.857243,742.8372,40750.0,81.5,0.0,0,0,0
2000-07-07,56.329636,57.00273,56.329636,57.00273,1634.2418,92968.0,84.6875,0.0,0,0,0
2000-07-10,57.128937,57.33928,57.128937,57.33928,891.40466,51001.0,85.1875,0.0,0,0,0
2000-07-11,57.381348,58.09651,57.255142,58.09651,4011.3208,233002.0,86.3125,0.0,0,0,0
2000-07-12,58.222717,58.93788,58.222717,58.348923,10993.99,642929.0,86.6875,0.0,0,0,0
2000-07-13,58.222717,58.222717,57.759964,58.18065,4308.4556,249506.0,86.4375,0.0,0,0,0
2000-07-14,58.43306,59.148224,58.43306,59.148224,1485.6744,87256.0,87.875,0.0,0,0,0
2000-07-17,58.18065,58.18065,58.012375,58.18065,742.8372,43148.0,86.4375,0.0,0,0,0
2000-07-18,57.465485,57.59169,57.465485,57.59169,594.2698,34203.0,85.5625,0.0,0,0,0
2000-07-19,57.56362,57.64784,57.56362,57.64784,1781.0728,102593.0,85.5625,0.0,0,0,0
2000-07-20,59.079563,59.079563,59.079563,59.079563,148.42273,8768.75,87.6875,0.0,0,0,0
2000-07-21,59.79542,59.79542,59.290108,59.416435,2077.9182,123484.0,88.1875,0.0,0,0,0
2000-07-24,59.290108,59.290108,59.20589,59.20589,445.2682,26384.0,87.875,0.0,0,0,0
2000-07-25,59.20589,59.20589,59.20589,59.20589,148.42273,8787.5,87.875,0.0,0,0,0
2000-07-31,57.858387,57.858387,57.858387,57.858387,148.42273,8587.5,85.875,0.0,0,0,0
2000-08-01,58.40581,58.40581,58.195263,58.195263,890.5364,51834.0,86.375,0.0,0,0,0
2000-08-03,59.416435,59.416435,59.416435,59.416435,148.42273,8818.75,88.1875,0.0,0,0,0
2000-08-04,60.76394,61.985115,60.76394,61.985115,1187.3818,73575.0,92.0,0.0,0,0,0
2000-08-07,62.406208,62.616756,61.64824,62.616756,19740.223,1234040.0,92.9375,0.0,0,0,0
2000-08-08,62.364098,62.532536,62.364098,62.532536,445.2682,27839.0,92.8125,0.0,0,0,0
2000-08-09,61.858784,61.858784,61.858784,61.858784,148.42273,9181.25,91.8125,0.0,0,0,0
2000-08-10,62.700974,62.700974,62.153553,62.153553,2374.7637,147650.0,92.25,0.0,0,0,0
2000-08-11,61.985115,62.19566,61.985115,62.19566,6233.755,387043.0,92.3125,0.0,0,0,0
2000-08-14,63.164177,63.7116,62.616756,63.7116,2523.1865,159992.0,94.5625,0.0,0,0,0
2000-08-15,63.374725,63.374725,63.03785,63.03785,3858.991,243831.0,93.5625,0.0,0,0,0
2000-08-16,63.332615,63.332615,61.816677,61.816677,2374.7637,146850.0,91.75,0.0,0,0,0
2000-08-17,62.32199,62.49043,62.32199,62.49043,15435.964,963804.0,92.75,0.0,0,0,0
2000-08-18,62.658863,62.658863,62.616756,62.616756,445.2682,27887.0,92.9375,0.0,0,0,0
2000-08-21,62.574646,62.658863,62.574646,62.658863,6085.332,381174.0,93.0,0.0,0,0,0
2000-08-22,63.164177,63.92215,63.164177,63.7116,2820.032,179639.0,94.5625,0.0,0,0,0
2000-08-23,63.75371,63.75371,63.164177,63.164177,6530.6,412638.0,93.75,0.0,0,0,0
