Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2000-05-26,30.233433,30.233433,30.233433,30.233433,926.1271,28000.0,56.0,0.0,0,0,0
2000-05-30,31.144484,31.144484,31.144484,31.144484,370.45084,11537.5,57.6875,0.0,0,0,0
2000-05-31,31.414425,31.414425,31.110743,31.110743,2963.6067,92456.0,57.625,0.0,0,0,0
2000-06-01,31.313198,32.021793,31.313198,32.021793,4074.959,128856.0,59.3125,0.0,0,0,0
2000-06-02,32.696648,32.696648,32.696648,32.696648,1481.8033,48450.0,60.5625,0.0,0,0,0
2000-06-05,33.23653,33.405243,33.202785,33.202785,1481.8033,49287.0,61.5,0.0,0,0,0
2000-06-06,33.304016,33.708927,33.304016,33.64144,926.1271,31053.0,62.3125,0.0,0,0,0
2000-06-07,33.6077,33.6077,33.540215,33.540215,1111.3525,37340.0,62.125,0.0,0,0,0
2000-06-08,33.675186,33.8439,33.64144,33.708927,2778.381,93671.0,62.4375,0.0,0,0,0
2000-06-09,33.911385,34.01261,33.74267,33.74267,1481.8033,50296.0,62.5,0.0,0,0,0
2000-06-12,34.01261,34.01261,33.47273,33.47273,2963.6067,99700.0,62.0,0.0,0,0,0
2000-06-13,33.50647,34.046352,33.50647,34.046352,1296.5779,43799.0,63.0625,0.0,0,0,0
2000-06-14,34.38378,34.38378,34.11384,34.11384,2037.4795,69921.0,63.1875,0.0,0,0,0
2000-06-15,34.01261,34.01261,33.74267,33.74267,4815.861,163212.0,62.5,0.0,0,0,0
2000-06-16,34.28255,34.28255,33.675186,33.675186,1296.5779,44287.0,62.375,0.0,0,0,0
2000-06-19,33.810154,34.48501,33.74267,34.417522,5186.3115,177625.0,63.75,0.0,0,0,0
2000-06-20,34.21507,34.316296,34.01261,34.147583,6482.8896,221484.0,63.25,0.0,0,0,0
2000-06-21,34.01261,34.01261,34.01261,34.01261,2778.381,94500.0,63.0,0.0,0,0,0
2000-06-22,34.046352,34.350037,33.87764,33.945126,7594.242,257916.0,62.875,0.0,0,0,0
2000-06-23,33.74267,33.74267,33.337757,33.337757,3704.5083,124443.0,61.75,0.0,0,0,0
2000-06-26,33.371502,33.438988,33.00033,33.00033,3148.832,104390.0,61.125,0.0,0,0,0
2000-06-27,33.23653,33.405243,33.135303,33.135303,3889.7336,129440.0,61.375,0.0,0,0,0
2000-06-29,32.392963,32.49419,32.021793,32.49419,2963.6067,95662.0,60.1875,0.0,0,0,0
2000-06-30,32.59542,32.59542,32.392963,32.527935,17040.738,554588.0,60.25,0.0,0,0,0
2000-07-03,32.662903,32.932846,32.662903,32.932846,1296.5779,42678.0,61.0,0.0,0,0,0
2000-07-05,33.47273,33.540215,33.27027,33.27027,5001.086,167234.0,61.625,0.0,0,0,0
2000-07-06,33.405243,33.405243,33.27027,33.27027,2593.1558,86384.0,61.625,0.0,0,0,0
2000-07-07,33.337757,33.540215,33.337757,33.540215,37971.21,1269749.0,62.125,0.0,0,0,0
2000-07-10,33.708927,33.708927,33.47273,33.47273,555.6763,18671.0,62.0,0.0,0,0,0
2000-07-11,33.337757,33.405243,33.10156,33.10156,10743.074,356625.0,61.3125,0.0,0,0,0
2000-07-12,33.405243,33.405243,33.304016,33.405243,2963.6067,98956.0,61.875,0.0,0,0,0
2000-07-13,33.6077,34.01261,33.573956,34.01261,3704.5083,124559.0,63.0,0.0,0,0,0
2000-07-14,34.350037,34.350037,34.01261,34.181324,10557.849,361134.0,63.3125,0.0,0,0,0
2000-07-17,33.708927,33.74267,33.573956,33.573956,4074.959,137160.0,62.1875,0.0,0,0,0
2000-07-18,33.135303,33.405243,33.135303,33.371502,1111.3525,37062.0,61.8125,0.0,0,0,0
2000-07-19,33.405243,33.405243,33.00033,33.00033,4630.6353,153872.0,61.125,0.0,0,0,0
2000-07-20,33.202785,33.202785,32.764133,32.764133,2963.6067,98050.0,60.6875,0.0,0,0,0
2000-07-21,33.128716,33.128716,32.587837,33.061104,4807.008,159006.0,61.125,0.0,0,0,0
2000-07-24,32.11457,32.11457,31.979351,31.979351,554.6548,17762.0,59.125,0.0,0,0,0
2000-07-25,32.24979,32.418816,32.24979,32.317398,1294.1945,41847.0,59.75,0.0,0,0,0
2000-07-26,31.844133,31.844133,31.573694,31.573694,1294.1945,41060.0,58.375,0.0,0,0,0
2000-07-27,31.370865,31.370865,30.49194,30.694769,19782.688,604895.0,56.75,0.0,0,0,0
2000-07-28,30.49194,30.49194,29.410187,29.410187,4067.4683,121145.0,54.375,0.0,0,0,0
2000-07-31,29.917257,30.018673,29.917257,29.984867,2403.504,71942.0,55.4375,0.0,0,0,0
2000-08-01,30.018673,30.255306,30.018673,30.255306,369.76984,11143.0,55.9375,0.0,0,0,0
2000-08-02,30.018673,30.221502,29.883453,29.883453,1294.1945,38697.0,55.25,0.0,0,0,0
2000-08-03,30.018673,30.018673,29.748234,29.748234,2588.389,77009.0,55.0,0.0,0,0,0
2000-08-04,30.289112,30.289112,30.086283,30.086283,1109.3096,33543.0,55.625,0.0,0,0,0
2000-08-07,30.221502,30.289112,30.153893,30.289112,3512.8135,106254.0,56.0,0.0,0,0,0
2000-08-08,30.018673,30.018673,29.274967,29.274967,3512.8135,104890.0,54.125,0.0,0,0,0
2000-08-09,30.018673,30.018673,28.869308,28.903114,4807.008,140296.0,53.4375,0.0,0,0,0
2000-08-10,28.903114,28.903114,28.497456,28.598871,5176.778,148006.0,52.875,0.0,0,0,0
2000-08-11,28.734089,28.801699,28.531261,28.666481,3697.6985,106050.0,53.0,0.0,0,0,0
2000-08-14,28.734089,29.004528,28.734089,29.004528,4252.353,122676.0,53.625,0.0,0,0,0
2000-08-15,29.072138,29.105944,29.004528,29.038334,2033.7341,59057.0,53.6875,0.0,0,0,0
2000-08-16,29.139748,29.173552,28.666481,28.666481,2218.6191,63638.0,53.0,0.0,0,0,0
2000-08-17,28.598871,28.700285,28.598871,28.666481,2403.504,68941.0,53.0,0.0,0,0,0
2000-08-18,28.396042,28.463652,28.227018,28.396042,3143.0437,89009.0,52.5,0.0,0,0,0
2000-08-21,28.801699,28.801699,28.463652,28.598871,3143.0437,89834.0,52.875,0.0,0,0,0
2000-08-22,28.531261,28.531261,28.057993,28.057993,6655.8574,188748.0,51.875,0.0,0,0,0
2000-08-23,27.88897,28.159409,27.787556,28.159409,44742.152,1255149.0,52.0625,0.0,0,0,0
2000-08-24,28.260822,28.463652,28.193213,28.328432,36607.215,1036690.0,52.375,0.0,0,0,0
2000-08-25,28.598871,28.734089,28.598871,28.734089,11277.98,323872.0,53.125,0.0,0,0,0
2000-08-28,29.004528,29.224234,28.936918,29.055262,15160.563,441151.0,53.7188,0.0,0,0,0
