Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-06-23,14.004681,14.152781,13.958399,13.958399,2052.671,28937.0,15.08,0.0,0,0,0
2005-06-24,13.764018,13.764018,13.569637,13.58815,186252.88,2546847.0,14.68,0.0,0,0,0
2005-06-27,13.375257,13.393769,13.375257,13.393769,648.21185,8671.0,14.47,0.0,0,0,0
2005-06-28,13.477076,13.477076,13.467819,13.467819,864.2825,11642.0,14.55,0.0,0,0,0
2005-06-29,13.560381,13.606663,13.560381,13.560381,2376.7769,32262.0,14.65,0.0,0,0,0
2005-06-30,13.532613,13.532613,13.532613,13.532613,324.10593,4386.0,14.62,0.0,0,0,0
2005-07-01,13.430795,13.430795,13.384513,13.393769,864.2825,11582.0,14.47,0.0,0,0,0
2005-07-05,13.477076,13.532613,13.477076,13.532613,11775.849,159262.0,14.62,0.0,0,0,0
2005-07-06,13.569637,13.615919,13.569637,13.615919,16745.473,227642.0,14.71,0.0,0,0,0
2005-07-07,13.486331,13.523356,13.477076,13.5141,12748.167,172348.0,14.6,0.0,0,0,0
2005-07-08,13.5141,13.689968,13.5141,13.689968,7994.613,109038.0,14.79,0.0,0,0,0
2005-07-11,13.912118,14.023192,13.912118,14.023192,11775.849,164874.0,15.15,0.0,0,0,0
2005-07-12,14.087987,14.310136,14.087987,14.310136,9507.107,135331.0,15.46,0.0,0,0,0
2005-07-13,14.374929,14.430468,14.374929,14.430468,1404.459,20241.0,15.59,0.0,0,0,0
2005-07-14,14.64336,14.64336,14.523029,14.541542,4969.624,72547.0,15.71,0.0,0,0,0
2005-07-15,14.476748,14.476748,14.384186,14.4026985,7238.3657,104578.0,15.56,0.0,0,0,0
2005-07-18,14.421211,14.421211,14.384186,14.384186,864.2825,12444.0,15.54,0.0,0,0,0
2005-07-19,14.421211,14.671129,14.421211,14.671129,27224.898,394065.0,15.85,0.0,0,0,0
2005-07-20,14.486004,14.689642,14.448979,14.689642,46563.22,676937.0,15.87,0.0,0,0,0
2005-07-21,14.439724,14.439724,14.291623,14.291623,7994.613,115030.0,15.44,0.0,0,0,0
2005-07-22,14.439724,14.49526,14.365674,14.365674,8750.86,126576.0,15.52,0.0,0,0,0
2005-07-25,14.560054,14.560054,14.504518,14.504518,756.2472,10986.0,15.67,0.0,0,0,0
2005-07-26,14.486004,14.560054,14.486004,14.560054,19014.215,275895.0,15.73,0.0,0,0,0
2005-07-27,14.578567,14.578567,14.486004,14.560054,2376.7769,34598.0,15.73,0.0,0,0,0
2005-07-28,14.661873,14.726666,14.661873,14.71741,3997.3064,58818.0,15.9,0.0,0,0,0
2005-07-29,14.708155,14.754435,14.680386,14.680386,18366.002,270206.0,15.86,0.0,0,0,0
2005-08-01,14.71741,14.726666,14.671129,14.671129,18906.18,278255.0,15.85,0.0,0,0,0
2005-08-02,14.680386,14.735923,14.680386,14.735923,11451.743,168144.0,15.92,0.0,0,0,0
2005-08-03,14.606336,14.606336,14.532286,14.532286,1836.6002,26764.0,15.7,0.0,0,0,0
2005-08-04,14.337905,14.337905,14.152781,14.152781,972.3178,13833.0,15.29,0.0,0,0,0
2005-08-05,14.115755,14.134268,14.115755,14.134268,2268.7415,32051.0,15.27,0.0,0,0,0
2005-08-08,14.060218,14.060218,14.041705,14.041705,2808.918,39484.0,15.17,0.0,0,0,0
2005-08-09,14.143524,14.171293,14.143524,14.171293,324.10593,4587.0,15.31,0.0,0,0,0
2005-08-10,14.199061,14.199061,14.125011,14.125011,5617.836,79368.0,15.26,0.0,0,0,0
2005-08-11,13.9769125,13.9769125,13.9769125,13.9769125,108.03531,1510.0,15.1,0.0,0,0,0
2005-08-12,14.069474,14.069474,13.912118,13.986168,13828.52,192993.0,15.11,0.0,0,0,0
2005-08-15,13.986168,14.032449,13.986168,14.032449,12424.061,174014.0,15.16,0.0,0,0,0
2005-08-16,13.88435,13.88435,13.88435,13.88435,432.14124,6000.0,15.0,0.0,0,0,0
2005-08-17,13.986168,13.986168,13.902863,13.921374,8966.931,125041.0,15.04,0.0,0,0,0
2005-08-19,13.921374,13.930631,13.921374,13.921374,16745.473,233270.0,15.04,0.0,0,0,0
2005-08-22,14.013937,14.013937,13.986168,13.986168,38460.57,538770.0,15.11,0.0,0,0,0
2005-08-23,14.060218,14.069474,14.041705,14.041705,3457.13,48608.0,15.17,0.0,0,0,0
2005-08-24,14.125011,14.125011,14.0509615,14.0509615,5941.942,83729.0,15.18,0.0,0,0,0
2005-08-26,14.087987,14.087987,14.087987,14.087987,108.03531,1522.0,15.22,0.0,0,0,0
2005-08-29,14.004681,14.004681,13.958399,13.958399,648.21185,9073.0,15.08,0.0,0,0,0
2005-08-30,14.134268,14.143524,14.134268,14.143524,5509.801,77926.0,15.28,0.0,0,0,0
2005-09-01,14.217573,14.217573,14.217573,14.217573,1080.3531,15360.0,15.36,0.0,0,0,0
2005-09-02,14.115755,14.115755,14.115755,14.115755,108.03531,1525.0,15.25,0.0,0,0,0
2005-09-06,14.3008795,14.356418,14.3008795,14.356418,1836.6002,26354.0,15.51,0.0,0,0,0
2005-09-07,14.439724,14.587823,14.439724,14.578567,4753.5537,69138.0,15.75,0.0,0,0,0
2005-09-08,14.550798,14.550798,14.550798,14.550798,108.03531,1572.0,15.72,0.0,0,0,0
2005-09-09,14.624848,14.671129,14.606336,14.671129,1404.459,20586.0,15.85,0.0,0,0,0
2005-09-12,14.745179,14.800716,14.745179,14.800716,33490.945,493938.0,15.99,0.0,0,0,0
2005-09-13,14.754435,14.772948,14.754435,14.772948,2268.7415,33497.0,15.96,0.0,0,0,0
2005-09-14,14.800716,14.800716,14.6526165,14.6526165,10695.496,157382.0,15.83,0.0,0,0,0
2005-09-15,14.578567,14.578567,14.486004,14.486004,27981.145,407285.0,15.65,0.0,0,0,0
2005-09-16,14.550798,14.634105,14.532286,14.634105,6266.048,91185.0,15.81,0.0,0,0,0
2005-09-19,14.421211,14.421211,14.421211,14.421211,540.1766,7790.0,15.58,0.0,0,0,0
2005-09-20,14.615592,14.708155,14.59708,14.59708,43862.336,642551.0,15.77,0.0,0,0,0
2005-09-21,14.476748,14.476748,14.384186,14.384186,24740.086,358119.0,15.54,0.0,0,0,0
2005-09-22,14.374929,14.439724,14.236087,14.430468,5941.942,85116.0,15.59,0.0,0,0,0
2005-09-23,14.365674,14.56931,14.365674,14.532286,8966.931,129425.0,15.7,0.0,0,0,0
2005-09-26,14.661873,14.661873,14.49526,14.504518,5185.695,75355.0,15.67,0.0,0,0,0
2005-09-27,14.458236,14.59708,14.458236,14.560054,4861.589,70774.0,15.73,0.0,0,0,0
2005-09-28,14.56931,14.680386,14.532286,14.6526165,17501.72,256465.0,15.83,0.0,0,0,0
2005-09-29,14.6526165,14.754435,14.587823,14.71741,88588.95,1303816.0,15.9,0.0,0,0,0
2005-09-30,14.71741,14.911792,14.71741,14.86551,44186.44,657594.0,16.06,0.0,0,0,0
2005-10-03,14.884023,14.93956,14.884023,14.884023,48075.715,717099.0,16.08,0.0,0,0,0
2005-10-04,14.958073,15.059892,14.874766,14.874766,25172.227,376507.0,16.07,0.0,0,0,0
2005-10-05,14.59708,14.6526165,14.550798,14.550798,22903.486,333993.0,15.72,0.0,0,0,0
2005-10-06,14.541542,14.541542,14.310136,14.319392,67522.07,970756.0,15.47,0.0,0,0,0
2005-10-07,14.411955,14.458236,14.4026985,14.430468,31330.24,451419.0,15.59,0.0,0,0,0
2005-10-10,14.421211,14.421211,14.236087,14.236087,23983.838,343016.0,15.38,0.0,0,0,0
2005-10-11,14.282368,14.282368,14.023192,14.041705,22795.451,321116.0,15.17,0.0,0,0,0
2005-10-12,13.912118,13.912118,13.726994,13.8010435,38136.465,526990.0,14.91,0.0,0,0,0
2005-10-13,13.773274,13.819556,13.680712,13.819556,16421.367,224946.0,14.93,0.0,0,0,0
2005-10-14,13.967656,13.967656,13.819556,13.912118,8750.86,121934.0,15.03,0.0,0,0,0
2005-10-17,13.921374,13.921374,13.847324,13.88435,4213.377,58510.0,15.0,0.0,0,0,0
2005-10-18,13.875093,13.875093,13.708482,13.708482,16421.367,225748.0,14.81,0.0,0,0,0
2005-10-19,13.634431,13.88435,13.597405,13.88435,12207.99,167689.0,15.0,0.0,0,0,0
2005-10-20,14.0509615,14.106499,13.912118,13.912118,28521.322,401116.0,15.03,0.0,0,0,0
2005-10-21,14.041705,14.041705,13.949142,13.949142,20202.604,282596.0,15.07,0.0,0,0,0
2005-10-24,14.023192,14.152781,14.023192,14.152781,15449.05,217607.0,15.29,0.0,0,0,0
2005-10-25,14.097242,14.097242,14.013937,14.060218,1512.4944,21253.0,15.19,0.0,0,0,0
2005-10-26,14.125011,14.199061,13.995424,13.995424,60391.74,850060.0,15.12,0.0,0,0,0
2005-10-27,13.921374,13.921374,13.606663,13.606663,24199.91,331472.0,14.7,0.0,0,0,0
2005-10-28,13.58815,13.643687,13.486331,13.643687,7670.507,103716.0,14.74,0.0,0,0,0
2005-10-31,13.754762,14.032449,13.754762,13.995424,23119.557,322211.0,15.12,0.0,0,0,0
2005-11-01,13.939887,13.939887,13.88435,13.893606,3024.9888,42059.0,15.01,0.0,0,0,0
2005-11-02,13.912118,14.004681,13.875093,13.986168,4861.589,67863.0,15.11,0.0,0,0,0
2005-11-03,14.263855,14.291623,14.189805,14.189805,28413.287,405306.0,15.33,0.0,0,0,0
2005-11-04,14.282368,14.282368,14.180549,14.254599,6266.048,89057.0,15.4,0.0,0,0,0
2005-11-07,14.254599,14.310136,14.208318,14.263855,8642.825,123316.0,15.41,0.0,0,0,0
2005-11-08,14.152781,14.22683,14.152781,14.180549,4321.4126,61326.0,15.32,0.0,0,0,0
2005-11-09,14.180549,14.347161,14.162037,14.319392,1728.565,24671.0,15.47,0.0,0,0,0
2005-11-10,14.282368,14.365674,14.189805,14.365674,36191.83,517059.0,15.52,0.0,0,0,0
2005-11-11,14.347161,14.393442,14.347161,14.374929,11127.637,159840.0,15.53,0.0,0,0,0
2005-11-14,14.430468,14.439724,14.328649,14.374929,5725.8716,82433.0,15.53,0.0,0,0,0
2005-11-15,14.365674,14.365674,14.236087,14.236087,14152.626,202760.0,15.38,0.0,0,0,0
2005-11-16,14.236087,14.236087,14.143524,14.217573,16529.402,234071.0,15.36,0.0,0,0,0
2005-11-17,14.310136,14.541542,14.310136,14.532286,6590.154,94834.0,15.7,0.0,0,0,0
2005-11-18,14.71741,14.71741,14.587823,14.615592,20526.709,300211.0,15.79,0.0,0,0,0
2005-11-21,14.6526165,14.763691,14.624848,14.735923,50236.418,736783.0,15.92,0.0,0,0,0
2005-11-22,14.809973,14.884023,14.809973,14.846998,3565.1653,52906.0,16.04,0.0,0,0,0
2005-11-23,14.93956,15.032123,14.93956,14.958073,8858.8955,132571.0,16.16,0.0,0,0,0
