Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2011-08-17,7.321678,7.7609787,7.2923913,7.312892,67607.45,495409.0,24.97,0.0,0,0,0
2011-08-18,7.3480363,7.3480363,7.028811,7.0639553,184383.95,1315623.0,24.12,0.0,0,0,0
2011-08-19,7.0229535,7.099099,6.940951,6.940951,142726.84,1002522.0,23.7,0.0,0,0,0
2011-08-22,7.028811,7.055169,6.8823776,6.9702373,61461.32,428103.0,23.8,0.0,0,0,0
2011-08-23,7.3187494,7.3187494,6.973166,7.116671,72387.77,513606.0,24.3,0.0,0,0,0
2011-08-24,7.2279606,7.2279606,6.981952,7.0493116,62144.223,437122.0,24.07,0.0,0,0,0
2011-08-25,6.955594,6.955594,6.8296614,6.8296614,55656.64,382458.0,23.32,0.0,0,0,0
2011-08-26,6.8677344,6.9350934,6.8033032,6.911664,18096.943,124751.0,23.6,0.0,0,0,0
2011-08-29,7.058098,7.081527,7.0346684,7.081527,51900.67,366391.0,24.18,0.0,0,0,0
2011-08-30,7.058098,7.1898875,7.058098,7.1898875,20487.107,146179.0,24.55,0.0,0,0,0
2011-08-31,7.178173,7.178173,7.1342435,7.1518154,10585.005,75750.0,24.42,0.0,0,0,0
2011-09-01,7.0873847,7.102028,6.9204497,6.946808,23901.625,167227.0,23.72,0.0,0,0,0
2011-09-02,6.8091607,6.8735914,6.7476587,6.8120894,116776.51,797420.0,23.26,0.0,0,0,0
2011-09-06,6.67737,6.8033032,6.662727,6.7740164,21511.463,144300.0,23.13,0.0,0,0,0
2011-09-07,6.8823776,6.926307,6.8823776,6.9233785,8877.746,61355.0,23.64,0.0,0,0,0
2011-09-08,6.9643803,6.9643803,6.853091,6.8706627,35510.984,244885.0,23.46,0.0,0,0,0
2011-09-09,6.891164,6.891164,6.823804,6.823804,7511.939,51623.0,23.3,0.0,0,0,0
2011-09-12,6.8033032,6.850162,6.779874,6.850162,12975.168,88142.0,23.39,0.0,0,0,0
2011-09-13,6.806232,6.929236,6.806232,6.929236,15023.878,103210.0,23.66,0.0,0,0,0
2011-09-14,6.9526653,7.020025,6.9526653,7.020025,2731.6143,19058.0,23.97,0.0,0,0,0
2011-09-15,7.058098,7.072741,7.0522404,7.072741,10243.554,72356.0,24.15,0.0,0,0,0
2011-09-16,7.1401,7.154744,7.081527,7.1196,21852.914,155621.0,24.31,0.0,0,0,0
2011-09-19,7.084456,7.116671,7.0639553,7.113743,14682.427,104110.0,24.29,0.0,0,0,0
2011-09-20,7.113743,7.113743,7.081527,7.084456,20487.107,145439.0,24.19,0.0,0,0,0
2011-09-21,7.028811,7.028811,6.858948,6.8853064,22194.365,153725.0,23.51,0.0,0,0,0
2011-09-22,6.7740164,6.797446,6.5895104,6.706657,27657.594,185336.0,22.9,0.0,0,0,0
2011-09-23,6.8091607,6.8091607,6.671513,6.7681594,11267.908,76234.0,23.11,0.0,0,0,0
2011-09-26,6.791589,6.791589,6.750587,6.771088,6146.132,41639.0,23.12,0.0,0,0,0
2011-09-27,6.8472333,6.899949,6.8413763,6.8413763,10243.554,70164.0,23.36,0.0,0,0,0
2011-09-28,6.8940926,6.8940926,6.7945175,6.7945175,1707.2589,11690.0,23.2,0.0,0,0,0
2011-09-29,6.9321647,6.9321647,6.78866,6.806232,7170.4873,49352.0,23.24,0.0,0,0,0
2011-09-30,6.791589,6.791589,6.706657,6.706657,22194.365,149839.0,22.9,0.0,0,0,0
2011-10-03,6.7308035,6.8394623,6.256931,6.2720227,52347.39,336546.0,20.78,0.0,0,0,0
2011-10-04,6.06376,6.3384247,5.985284,6.3384247,54335.266,332869.0,21.0,0.0,0,0,0
2011-10-05,6.368608,6.4531198,6.308242,6.4531198,16896.943,107333.0,21.38,0.0,0,0,0
2011-10-06,6.4591565,6.6402545,6.4591565,6.6402545,25511.07,167803.0,22.0,0.0,0,0,0
2011-10-07,6.733822,6.733822,6.431992,6.4591565,51022.14,334686.0,21.4,0.0,0,0,0
2011-10-10,6.5979986,6.6161084,6.5587606,6.5708337,19216.13,126730.0,21.77,0.0,0,0,0
2011-10-11,6.6070533,6.664401,6.6070533,6.664401,5632.314,37325.0,22.08,0.0,0,0,0
2011-10-12,6.6915655,6.706657,6.6342177,6.652328,29486.82,196617.0,22.04,0.0,0,0,0
2011-10-13,6.6342177,6.6342177,6.5768704,6.6100717,23523.195,155568.0,21.9,0.0,0,0,0
2011-10-14,6.6825104,6.721749,6.6764746,6.721749,30480.76,203688.0,22.27,0.0,0,0,0
2011-10-17,6.6613827,6.6764746,6.622145,6.6764746,19878.756,132580.0,22.12,0.0,0,0,0
2011-10-18,6.757968,6.757968,6.6462913,6.7277856,34125.2,228351.0,22.29,0.0,0,0,0
2011-10-19,6.757968,6.77306,6.7308035,6.7308035,35781.76,241745.0,22.3,0.0,0,0,0
2011-10-20,6.7277856,6.7277856,6.673456,6.706657,15903.005,106759.0,22.22,0.0,0,0,0
2011-10-21,6.8575716,6.8575716,6.6915655,6.7398586,61624.145,414456.0,22.33,0.0,0,0,0
2011-10-24,6.7640047,6.933029,6.7640047,6.933029,18553.506,126546.0,22.97,0.0,0,0,0
2011-10-25,6.7006207,6.981322,6.7006207,6.9511395,9276.753,64124.0,23.03,0.0,0,0,0
2011-10-26,6.9511395,6.960194,6.8937917,6.9360476,63943.332,442935.0,22.98,0.0,0,0,0
2011-10-27,7.017542,7.077908,7.0024505,7.059798,43070.637,302633.0,23.39,0.0,0,0,0
2011-10-28,7.0929995,7.1533656,7.0929995,7.111109,50359.516,358768.0,23.56,0.0,0,0,0
2011-10-31,7.0567794,7.096018,7.0477247,7.0477247,28492.883,201123.0,23.35,0.0,0,0,0
2011-11-01,7.0054684,7.0054684,6.8937917,6.8937917,17559.568,121642.0,22.84,0.0,0,0,0
2011-11-02,6.908883,6.908883,6.8937917,6.89681,6626.252,45715.0,22.85,0.0,0,0,0
2011-11-03,6.89681,6.98434,6.86059,6.98434,25511.07,177445.0,23.14,0.0,0,0,0
2011-11-04,6.9511395,6.9511395,6.939066,6.939066,2650.5007,18419.0,22.99,0.0,0,0,0
2011-11-07,7.0929995,7.0929995,6.930011,6.966231,50359.516,349209.0,23.08,0.0,0,0,0
2011-11-08,7.026597,7.059798,6.9873586,7.035651,49034.266,344147.0,23.31,0.0,0,0,0
2011-11-09,6.9873586,7.011505,6.8937917,6.902847,164993.67,1143751.0,22.87,0.0,0,0,0
2011-11-10,7.425012,7.425012,6.830407,6.830407,31806.01,218866.0,22.63,0.0,0,0,0
2011-11-11,6.939066,6.939066,6.8937917,6.8937917,22860.568,157989.0,22.84,0.0,0,0,0
2011-11-14,6.8545537,6.8666267,6.824371,6.836444,24185.82,165313.0,22.65,0.0,0,0,0
2011-11-15,6.851536,6.9451027,6.8122973,6.9451027,14909.066,102923.0,23.01,0.0,0,0,0
2011-11-16,6.8998284,6.9571757,6.8998284,6.9511395,12589.879,87445.0,23.03,0.0,0,0,0
2011-11-17,6.8666267,6.875682,6.845499,6.845499,32468.635,222960.0,22.68,0.0,0,0,0
2011-11-18,6.9451027,6.9451027,6.86059,6.8636084,5632.314,38774.0,22.74,0.0,0,0,0
2011-11-21,6.7911696,6.7911696,6.7398586,6.7881513,37107.01,251451.0,22.49,0.0,0,0,0
2011-11-22,6.724767,6.776078,6.724767,6.7489133,5963.627,40360.0,22.36,0.0,0,0,0
2011-11-23,6.670438,6.6825104,6.6311994,6.643273,20210.068,134556.0,22.01,0.0,0,0,0
2011-11-25,6.6311994,6.6311994,6.601017,6.601017,993.9378,6572.0,21.87,0.0,0,0,0
2011-11-28,6.733822,6.7489133,6.7036386,6.7489133,52016.08,349040.0,22.36,0.0,0,0,0
2011-11-29,6.643273,6.7368402,6.643273,6.7126937,4638.3765,31114.0,22.24,0.0,0,0,0
2011-11-30,6.7911696,6.8847365,6.7911696,6.8847365,7951.5024,54462.0,22.81,0.0,0,0,0
2011-12-01,6.908883,6.908883,6.8847365,6.8847365,1987.8756,13694.0,22.81,0.0,0,0,0
2011-12-02,6.926993,6.9420843,6.908883,6.908883,29486.82,204134.0,22.89,0.0,0,0,0
2011-12-05,6.9209566,7.0054684,6.9209566,6.975286,27830.258,193640.0,23.11,0.0,0,0,0
2011-12-06,7.0054684,7.0658345,6.98434,7.062816,39757.51,279189.0,23.4,0.0,0,0,0
2011-12-07,7.0447063,7.0748897,7.017542,7.0386696,9608.065,67633.0,23.32,0.0,0,0,0
2011-12-08,7.0929995,7.0929995,6.926993,6.926993,11927.254,83761.0,22.95,0.0,0,0,0
2011-12-09,6.9119015,6.9873586,6.881718,6.9873586,27167.633,188700.0,23.15,0.0,0,0,0
2011-12-12,6.9511395,6.9632125,6.9451027,6.9632125,15903.005,110585.0,23.07,0.0,0,0,0
2011-12-13,7.0477247,7.050743,6.9451027,6.9722676,46383.76,324697.0,23.1,0.0,0,0,0
2011-12-14,6.926993,6.9933953,6.91492,6.98434,50690.83,352793.0,23.14,0.0,0,0,0
2011-12-15,6.9873586,7.035651,6.9571757,7.0054684,91442.27,637686.0,23.21,0.0,0,0,0
2011-12-16,7.0145235,7.0235786,6.9783044,7.0235786,24517.133,171714.0,23.27,0.0,0,0,0
2011-12-19,7.1080904,7.1080904,6.9873586,6.9873586,1510122.9,10658381.0,23.15,0.0,0,0,0
2011-12-20,7.0477247,7.1352553,7.0477247,7.1050725,11264.628,79697.0,23.54,0.0,0,0,0
2011-12-21,7.1684566,7.2076945,7.114127,7.1744933,45058.51,322200.0,23.77,0.0,0,0,0
2011-12-22,7.2076945,7.2408957,7.1865664,7.1895847,66593.83,480840.0,23.82,0.0,0,0,0
2011-12-23,7.234859,7.2378774,7.1684566,7.2016582,75207.96,541347.0,23.86,0.0,0,0,0
2011-12-27,7.234859,7.234859,7.183548,7.2076945,69575.65,501757.0,23.88,0.0,0,0,0
2011-12-28,7.2262874,7.2262874,7.1023374,7.1209297,161678.05,1158367.0,22.98,0.0,0,0,0
2011-12-29,7.1519175,7.161214,7.1023374,7.111634,58410.63,415986.0,22.95,0.0,0,0,0
2011-12-30,7.111634,7.127127,7.0744486,7.0744486,61315.027,436262.0,22.83,0.0,0,0,0
2012-01-03,7.127127,7.201497,7.127127,7.1364236,212020.9,1517932.0,23.03,0.0,0,0,0
2012-01-04,7.1860037,7.1983986,7.142621,7.158115,85195.62,611268.0,23.1,0.0,0,0,0
2012-01-05,7.17051,7.1860037,7.1395226,7.1457195,84550.195,604845.0,23.06,0.0,0,0,0
2012-01-06,7.204596,7.229386,7.204596,7.204596,71319.055,514755.0,23.25,0.0,0,0,0
2012-01-09,7.1983986,7.232485,7.1922007,7.2200894,20330.771,146466.0,23.3,0.0,0,0,0
2012-01-10,7.254176,7.282065,7.254176,7.2634726,89713.56,652955.0,23.44,0.0,0,0,0
2012-01-11,7.257275,7.303756,7.2386827,7.282065,25171.432,182993.0,23.5,0.0,0,0,0
2012-01-12,7.375027,7.375027,7.2603736,7.3068547,51956.418,378359.0,23.58,0.0,0,0,0
2012-01-13,7.2882624,7.316151,7.254176,7.316151,38725.28,281424.0,23.61,0.0,0,0,0
2012-01-17,7.2944603,7.371929,7.2944603,7.3502374,30012.092,220734.0,23.72,0.0,0,0,0
2012-01-18,7.3626323,7.371929,7.359534,7.3626323,29043.959,213903.0,23.76,0.0,0,0,0
2012-01-19,7.378126,7.406015,7.36883,7.406015,29043.959,214774.0,23.9,0.0,0,0,0
2012-01-20,7.406015,7.4989777,7.406015,7.4958787,43565.94,326176.0,24.19,0.0,0,0,0
2012-01-23,7.5051746,7.5237675,7.471089,7.514471,15490.112,116208.0,24.25,0.0,0,0,0
2012-01-24,7.4989777,7.5392613,7.4989777,7.5330634,18717.219,140976.0,24.31,0.0,0,0,0
2012-01-25,7.5237675,7.5857425,7.483484,7.5857425,16780.955,126474.0,24.48,0.0,0,0,0
2012-01-26,7.629125,7.644619,7.6105323,7.6260266,28398.54,216801.0,24.61,0.0,0,0,0
2012-01-27,7.5764465,7.6260266,7.5733476,7.6198287,17426.375,132511.0,24.59,0.0,0,0,0
2012-01-30,7.6570134,7.6570134,7.5702486,7.5702486,26784.984,203462.0,24.43,0.0,0,0,0
2012-01-31,7.59194,7.6539154,7.59194,7.629125,52601.84,401627.0,24.62,0.0,0,0,0
2012-02-01,7.6941986,7.6941986,7.638421,7.669409,40016.12,306567.0,24.75,0.0,0,0,0
2012-02-02,7.7003965,7.71589,7.6911,7.712791,23880.59,184099.0,24.89,0.0,0,0,0
2012-02-03,7.8708277,7.8708277,7.7251863,7.762371,14199.27,110101.0,25.05,0.0,0,0,0
2012-02-06,7.83984,7.83984,7.7220874,7.731384,59056.05,458012.0,24.95,0.0,0,0,0
2012-02-07,7.756174,7.7592726,7.7375813,7.7406797,27107.695,210043.0,24.98,0.0,0,0,0
