Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-06-21,202.68103,202.68103,202.68103,202.68103,67.820854,13746.001,68.73,0.0,0,0,0
2006-06-22,204.27345,205.39406,204.27345,204.89275,949.49194,194783.0,69.48,0.0,0,0,0
2006-06-23,203.5952,203.5952,202.88747,202.88747,2238.0881,454404.0,68.8,0.0,0,0,0
2006-06-26,202.44511,203.47723,202.35664,202.35664,7222.921,1464362.0,68.62,0.0,0,0,0
2006-06-27,201.56042,204.24397,201.56042,204.18498,16616.11,3367828.0,69.24,0.0,0,0,0
2006-06-28,203.77213,205.54149,203.6247,204.21448,19837.6,4065112.0,69.25,0.0,0,0,0
2006-06-29,202.56308,202.56308,199.05382,199.49617,7799.398,1566299.0,67.65,0.0,0,0,0
2006-06-30,197.57935,198.37555,196.48824,196.69466,21092.285,4160682.0,66.7,0.0,0,0,0
2006-07-03,197.28445,197.4319,196.10487,196.10487,3797.9678,748044.0,66.5,0.0,0,0,0
2006-07-05,197.54985,200.17441,197.54985,199.08331,14344.11,2857707.0,67.51,0.0,0,0,0
2006-07-06,197.9627,198.93587,197.4319,198.40504,5696.9517,1128597.0,67.28,0.0,0,0,0
2006-07-07,198.90637,200.79369,198.49352,200.11545,22380.88,4471031.0,67.86,0.0,0,0,0
2006-07-10,201.11807,201.70789,199.17178,201.413,358941.88,72078870.0,68.3,0.0,0,0,0
2006-07-11,201.413,202.59254,200.02698,200.4988,124485.17,25145468.0,67.99,0.0,0,0,0
2006-07-12,199.43718,203.0349,199.43718,202.88747,30688.936,6166443.0,68.8,0.0,0,0,0
2006-07-13,204.21448,206.07231,202.94643,205.80692,92846.75,18984716.0,69.79,0.0,0,0,0
2006-07-14,207.16342,209.22768,206.24925,207.84169,98848.89,20519616.0,70.48,0.0,0,0,0
2006-07-17,207.60577,209.28667,206.80954,208.6084,27806.549,5779302.0,70.74,0.0,0,0,0
2006-07-18,207.31088,211.35092,207.31088,208.87381,119330.79,25034340.0,70.83,0.0,0,0,0
2006-07-19,208.343,208.343,203.30031,203.77213,84301.32,17280608.0,69.1,0.0,0,0,0
2006-07-20,203.18236,208.72636,202.88747,208.72636,88947.05,18366008.0,70.78,0.0,0,0,0
2006-07-21,210.11237,212.32408,209.67003,211.61633,115261.54,24316412.0,71.76,0.0,0,0,0
2006-07-24,209.37514,210.02391,207.16342,207.16342,67108.734,14012349.0,70.25,0.0,0,0,0
2006-07-25,207.16342,207.5173,203.47723,204.4209,45745.164,9409328.0,69.32,0.0,0,0,0
2006-07-26,204.21448,206.80954,203.65417,204.98122,30010.727,6151458.0,69.51,0.0,0,0,0
2006-07-27,203.53621,207.54678,202.88747,207.04546,72195.3,14849051.0,70.21,0.0,0,0,0
2006-07-28,206.4262,206.4262,203.12335,203.77213,32825.293,6716342.0,69.1,0.0,0,0,0
2006-07-31,203.77213,204.3914,202.59254,203.35928,24483.328,4983742.0,68.96,0.0,0,0,0
2006-08-01,204.80426,206.78008,203.47723,205.09917,25025.895,5152088.0,69.55,0.0,0,0,0
