Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-07-13,2987.0535,3051.838,2987.0535,3043.2273,829.2118,2507139.0,74.22,0.0,0,0,0
2006-07-14,3060.8584,3135.0735,3060.8584,3101.8613,1507.2145,4657723.0,75.65,0.0,0,0,0
2006-07-17,3108.0117,3149.0146,3080.9497,3128.5132,1068.22,3316654.0,76.3,0.0,0,0,0
2006-07-18,3103.9114,3218.7192,3092.4304,3135.8938,2282.7712,7232668.0,76.48,0.0,0,0,0
2006-07-19,3126.873,3126.873,2968.6023,2992.384,2377.8867,7192779.0,72.98,0.0,0,0,0
2006-07-20,2978.853,3121.5425,2973.5225,3116.6223,1455.9984,4444629.0,76.01,0.0,0,0,0
2006-07-21,3135.8938,3239.2207,3131.3833,3221.5894,3141.2495,10072134.0,78.57,0.0,0,0,0
2006-07-24,3163.3655,3172.3862,3075.6196,3075.6196,2868.0974,8959967.0,75.01,0.0,0,0,0
2006-07-25,3069.0588,3089.5603,2990.744,3002.6345,3836.324,11697583.0,73.23,0.0,0,0,0
2006-07-26,3034.2065,3071.5193,2978.4429,3007.9648,3085.1558,9309868.0,73.36,0.0,0,0,0
2006-07-27,2980.9028,3082.18,2955.4814,3060.8584,2473.0022,7503660.0,74.65,0.0,0,0,0
2006-07-28,3026.006,3049.7876,2963.2717,2970.2424,1712.0785,5137257.0,72.44,0.0,0,0,0
2006-07-31,2997.304,2998.5342,2953.4312,2965.322,1824.266,5432088.0,72.32,0.0,0,0,0
2006-08-01,3013.7053,3059.6284,2997.714,3016.5754,2499.8298,7569532.0,73.57,0.0,0,0,0
2006-08-02,2976.8027,3004.2744,2939.08,2978.853,1334.0555,3959809.0,72.65,0.0,0,0,0
2006-08-03,3020.6755,3022.3157,2915.2986,2937.44,1868.1654,5579467.0,71.64,0.0,0,0,0
2006-08-04,2882.4963,2998.5342,2855.8445,2954.2512,2065.713,6010557.0,72.05,0.0,0,0,0
2006-08-07,2989.1035,3022.7258,2972.2922,3000.5845,1638.9127,4914497.0,73.18,0.0,0,0,0
2006-08-08,2985.0034,3074.7993,2962.8618,3057.9883,2148.634,6490406.0,74.58,0.0,0,0,0
2006-08-09,3004.2744,3107.1917,2995.2542,3105.5515,4304.585,13110490.0,75.74,0.0,0,0,0
2006-08-10,3134.2537,3153.525,3049.3777,3058.8083,2980.285,9268650.0,74.6,0.0,0,0,0
2006-08-11,3085.4602,3143.2742,3081.3599,3110.882,1763.2946,5496311.0,75.87,0.0,0,0,0
2006-08-14,3083.41,3129.7432,3044.8674,3108.0117,2836.392,8757750.0,75.8,0.0,0,0,0
2006-08-15,3037.4868,3065.369,2998.5342,3002.2246,2924.1912,8871113.0,73.22,0.0,0,0,0
2006-08-16,2976.3926,2980.9028,2909.148,2911.1982,2614.456,7727265.0,71.0,0.0,0,0,0
2006-08-17,2927.1892,2937.85,2889.4668,2922.2688,2038.8855,5935633.0,71.27,0.0,0,0,0
2006-08-18,2918.5789,2960.4014,2899.7175,2902.5876,2019.3746,5913642.0,70.79,0.0,0,0,0
2006-08-21,2931.6997,2976.3926,2931.6997,2959.1714,1341.3721,3960819.0,72.17,0.0,0,0,0
2006-08-22,2969.8323,2978.853,2942.3604,2954.6611,2146.1953,6351945.0,72.06,0.0,0,0,0
2006-08-23,2944.0007,3040.3572,2936.62,3032.9766,2702.255,8106172.0,73.97,0.0,0,0,0
2006-08-24,3013.7053,3071.1091,3004.2744,3041.5872,2931.5076,8908502.0,74.18,0.0,0,0,0
2006-08-25,3041.5872,3053.8882,2996.074,3044.047,2085.2239,6309677.0,74.24,0.0,0,0,0
2006-08-28,3036.6667,3044.4573,2978.4429,2987.0535,2031.569,6092153.0,72.85,0.0,0,0,0
2006-08-29,2973.5225,3032.1562,2952.2012,2954.6611,1907.1871,5712666.0,72.06,0.0,0,0,0
2006-08-30,2946.0505,2975.9827,2936.62,2946.4607,2148.634,6340662.0,71.86,0.0,0,0,0
2006-08-31,2931.6997,2946.8708,2907.508,2924.319,1648.6682,4827762.0,71.32,0.0,0,0,0
2006-09-01,2903.4077,2935.3896,2882.4963,2898.0774,3163.1992,9194731.0,70.68,0.0,0,0,0
2006-09-05,2905.0479,2911.1982,2870.1956,2871.0154,3987.5332,11507457.0,70.02,0.0,0,0,0
2006-09-06,2918.9888,2982.1333,2918.5789,2971.0623,3029.062,8939419.0,72.46,0.0,0,0,0
2006-09-07,3009.605,3046.0974,2969.422,3011.245,5926.426,17843780.0,73.44,0.0,0,0,0
2006-09-08,3015.3455,3025.5962,2989.1035,3010.835,1477.9481,4448549.0,73.43,0.0,0,0,0
2006-09-11,3055.1182,3079.7197,2986.6433,3013.7053,3960.7058,12013929.0,73.5,0.0,0,0,0
2006-09-12,3011.655,3029.2861,2911.6084,2918.9888,4197.275,12457217.0,71.19,0.0,0,0,0
2006-09-13,2925.549,2932.9297,2866.0952,2875.116,3131.4941,9042955.0,70.12,0.0,0,0,0
2006-09-14,2887.4165,2924.7292,2880.0361,2901.7676,2897.3635,8409115.0,70.77,0.0,0,0,0
2006-09-15,2870.1956,2930.4697,2870.1956,2913.6582,2812.0037,8168624.0,71.06,0.0,0,0,0
2006-09-18,2945.6404,2997.304,2891.5168,2914.0684,3038.8174,8875856.0,71.07,0.0,0,0,0
2006-09-19,2916.9387,2999.3542,2914.8884,2939.9001,3787.5469,11198154.0,71.7,0.0,0,0,0
2006-09-20,2908.7383,2927.5994,2875.5256,2891.927,2736.399,7931664.0,70.53,0.0,0,0,0
2006-09-21,2890.6968,2958.3516,2884.5464,2948.511,2794.9316,8187253.0,71.91,0.0,0,0,0
2006-09-22,2971.8826,3023.546,2968.6023,2990.3337,4472.866,13437277.0,72.93,0.0,0,0,0
2006-09-25,2987.8735,3044.4573,2929.6494,2935.7998,4263.1245,12725911.0,71.6,0.0,0,0,0
2006-09-26,2939.9001,2952.611,2885.7764,2885.7764,4185.081,12182604.0,70.38,0.0,0,0,0
2006-09-27,2892.337,2896.4373,2857.8945,2873.0657,5004.537,14378466.0,70.07,0.0,0,0,0
2006-09-28,2868.5554,2901.7676,2840.6733,2870.6055,2716.8882,7805742.0,70.01,0.0,0,0,0
2006-09-29,2868.9653,2912.8384,2857.8945,2902.1775,2980.285,8600362.0,70.78,0.0,0,0,0
2006-10-02,2916.5286,2957.9414,2888.2368,2946.0505,2672.9888,7824190.0,71.85,0.0,0,0,0
2006-10-03,2970.2424,2992.7937,2921.8591,2964.0918,3789.9858,11204604.0,72.29,0.0,0,0,0
