Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-12-08,72741.08,75204.67,70462.71,71111.02,111.02222,7924825.0,38.39,0.0,0,0,0
2010-12-09,72574.37,72718.84,70870.22,71685.25,227.52942,16257187.0,38.7,0.0,0,0,0
2010-12-10,71425.92,72666.98,69925.53,72259.46,159.07516,11340874.0,39.01,0.0,0,0,0
2010-12-13,74593.41,75426.96,73185.63,73389.39,53.39216,3979874.0,39.62,0.0,0,0,0
2010-12-14,73982.13,74686.02,72815.17,73500.53,41.35328,3051989.0,39.68,0.0,0,0,0
2010-12-15,72259.46,73315.3,70629.414,70870.22,36.11664,2607240.0,38.26,0.0,0,0,0
2010-12-16,70444.18,70444.18,67369.31,68684.47,38.54601,2627955.0,37.08,0.0,0,0,0
2010-12-17,69129.02,69425.4,67202.6,68721.51,8.583775,587730.0,37.1,0.0,0,0,0
2010-12-20,69962.58,70388.61,68221.39,69888.484,19.86685,1378844.0,37.73,0.0,0,0,0
2010-12-21,70258.95,70258.95,68684.47,69666.2,9.447551,654792.0,37.61,0.0,0,0,0
2010-12-22,69721.77,69721.77,68054.68,68110.24,17.113564,1181554.0,36.77,0.0,0,0,0
2010-12-23,67610.12,69981.09,67258.17,69110.51,11.7689495,809944.0,37.31,0.0,0,0,0
2010-12-27,68999.37,68999.37,67072.94,68239.91,13.226571,900722.0,36.84,0.0,0,0,0
2010-12-28,70944.31,72055.71,69703.25,71814.91,18.949087,1348085.0,38.77,0.0,0,0,0
2010-12-29,72574.37,72963.35,71722.3,72259.46,6.1544046,445105.0,39.01,0.0,0,0,0
2010-12-30,72629.93,72796.64,70796.125,71222.164,14.090347,1007433.0,38.45,0.0,0,0,0
2010-12-31,71870.48,73241.2,71574.1,72611.414,26.6151,1932880.0,39.2,0.0,0,0,0
2011-01-03,73593.15,73908.05,70147.805,70851.695,30.610065,2200816.0,38.25,0.0,0,0,0
