Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-01-08,43.69,45.0,43.17,43.17,294943.0,12830757.0,43.17,0.0,0,0,0
2010-01-11,43.65,43.74,43.15,43.7,338794.0,14699865.0,43.7,0.0,0,0,0
2010-01-12,43.62,43.84,42.3,42.3,340870.0,14788815.0,42.3,0.0,0,0,0
2010-01-13,42.4,42.71,41.69,42.66,1011447.0,42814250.0,42.66,0.0,0,0,0
2010-01-14,43.93,45.02,43.86,44.84,364628.0,16199510.0,44.84,0.0,0,0,0
2010-01-15,45.18,45.76,44.4,45.76,442300.0,20019382.0,45.76,0.0,0,0,0
2010-01-19,46.01,47.08,45.7,46.94,629200.0,29198844.0,46.94,0.0,0,0,0
2010-01-20,46.59,47.31,45.17,47.05,643200.0,29677440.0,47.05,0.0,0,0,0
2010-01-21,46.6,46.98,45.07,45.3,388500.0,17870224.0,45.3,0.0,0,0,0
2010-01-22,43.7,44.39,42.6,43.3,343600.0,14922273.0,43.3,0.0,0,0,0
2010-01-25,43.68,44.42,43.43,44.36,184581.0,8117337.0,44.36,0.0,0,0,0
2010-01-26,42.77,43.1,42.38,42.75,338317.0,14472152.0,42.75,0.0,0,0,0
2010-01-27,42.24,42.44,40.93,41.34,419800.0,17551418.0,41.34,0.0,0,0,0
2010-01-28,42.61,42.63,40.85,42.16,281800.0,11818212.0,42.16,0.0,0,0,0
2010-01-29,41.95,42.21,41.15,41.7,170000.0,7082404.0,41.7,0.0,0,0,0
2010-02-01,42.49,43.28,42.13,43.2494,190215.0,8120715.0,43.2494,0.0,0,0,0
2010-02-02,44.1,44.45,43.81,44.3,308300.0,13583852.0,44.3,0.0,0,0,0
2010-02-03,44.36,44.56,43.48,43.86,120200.0,5285218.0,43.86,0.0,0,0,0
2010-02-04,42.57,42.57,40.44,40.85,407312.0,16806670.0,40.85,0.0,0,0,0
2010-02-05,39.63,40.55,38.49,40.09,544700.0,21423268.0,40.09,0.0,0,0,0
2010-02-08,40.35,40.82,40.0,40.68,56300.0,2281760.0,40.68,0.0,0,0,0
2010-02-09,41.37,41.95,41.33,41.91,245500.0,10225836.0,41.91,0.0,0,0,0
2010-02-10,41.71,41.73,40.71,41.36,92800.0,3821244.0,41.36,0.0,0,0,0
2010-02-11,41.67,42.21,41.22,42.08,173400.0,7265512.0,42.08,0.0,0,0,0
2010-02-12,41.52,41.98,40.99,41.72,122200.0,5085768.0,41.72,0.0,0,0,0
2010-02-16,43.24,43.44,43.05,43.32,115200.0,4984750.0,43.32,0.0,0,0,0
2010-02-17,44.0,44.1,43.51,43.79,97252.0,4264889.0,43.79,0.0,0,0,0
2010-02-18,43.8,43.91,43.24,43.91,67700.0,2957210.0,43.91,0.0,0,0,0
2010-02-19,43.25,44.83,43.18,43.86,104000.0,4574273.0,43.86,0.0,0,0,0
2010-02-22,44.15,44.26,43.5,44.18,61500.0,2707353.0,44.18,0.0,0,0,0
2010-02-23,43.88,44.18,43.0,43.05,78300.0,3405862.0,43.05,0.0,0,0,0
2010-02-24,42.89,43.02,42.0,42.15,144600.0,6136983.0,42.15,0.0,0,0,0
2010-02-25,41.74,42.51,41.6,42.19,134500.0,5652416.0,42.19,0.0,0,0,0
2010-02-26,42.93,43.3,42.8,43.23,93800.0,4044609.0,43.23,0.0,0,0,0
2010-03-01,43.7,43.75,43.26,43.26,293200.0,12750681.0,43.26,0.0,0,0,0
2010-03-02,44.11,44.45,43.96,44.14,302600.0,13397887.0,44.14,0.0,0,0,0
2010-03-03,44.44,45.2385,44.258,44.9,140199.0,6278700.0,44.9,0.0,0,0,0
2010-03-04,45.6,46.45,45.0,46.29,478100.0,21871162.0,46.29,0.0,0,0,0
2010-03-05,46.72,47.78,46.62,47.74,214832.0,10170748.0,47.74,0.0,0,0,0
2010-03-08,47.65,47.65,46.8,47.05,183300.0,8664297.0,47.05,0.0,0,0,0
2010-03-09,46.32,47.28,46.3,46.79,85200.0,3974469.0,46.79,0.0,0,0,0
2010-03-10,46.95,47.59,45.86,46.25,168000.0,7861980.0,46.25,0.0,0,0,0
2010-03-11,45.11,46.22,45.0,46.01,195000.0,8883634.0,46.01,0.0,0,0,0
2010-03-12,46.27,46.68,46.05,46.31,116100.0,5390906.0,46.31,0.0,0,0,0
2010-03-15,46.11,46.5,45.74,46.33,95000.0,4378882.0,46.33,0.0,0,0,0
2010-03-16,46.8,47.49,46.56,47.24,88800.0,4176512.0,47.24,0.0,0,0,0
2010-03-17,47.52,48.28,47.3,47.86,168900.0,8070785.0,47.86,0.0,0,0,0
2010-03-18,47.55,47.93,47.46,47.81,111625.0,5323965.0,47.81,0.0,0,0,0
2010-03-19,47.86,47.86,46.5,46.77,148500.0,6976099.0,46.77,0.0,0,0,0
2010-03-22,45.31,46.21,45.15,45.7,103800.0,4725578.0,45.7,0.0,0,0,0
2010-03-23,45.66,46.67,45.35,46.48,143500.0,6626600.0,46.48,0.0,0,0,0
2010-03-24,45.27,45.64,44.02,44.54,365900.0,16488222.0,44.54,0.0,0,0,0
2010-03-25,44.92,45.35,44.68,45.19,158200.0,7129441.0,45.19,0.0,0,0,0
2010-03-26,45.61,46.04,45.34,45.58,98700.0,4500858.0,45.58,0.0,0,0,0
2010-03-29,47.43,47.6001,47.1,47.41,164133.0,7782136.0,47.41,0.0,0,0,0
2010-03-30,47.23,47.25,46.83,47.18,64800.0,3050058.0,47.18,0.0,0,0,0
2010-03-31,48.0,48.59,47.63,47.85,110800.0,5320682.0,47.85,0.0,0,0,0
2010-04-01,49.19,49.32,48.77,48.92,135300.0,6639441.0,48.92,0.0,0,0,0
2010-04-05,49.21,50.98,49.11,50.38,191549.0,9581798.0,50.38,0.0,0,0,0
2010-04-06,50.52,51.1,50.31,50.81,227000.0,11503452.0,50.81,0.0,0,0,0
2010-04-07,51.06,51.23,50.51,50.89,483800.0,24608100.0,50.89,0.0,0,0,0
2010-04-08,50.18,50.63,50.08,50.56,382600.0,19281394.0,50.56,0.0,0,0,0
2010-04-09,50.9,51.38,50.8,51.32,192900.0,9877405.0,51.32,0.0,0,0,0
2010-04-12,51.61,52.46,51.56,51.94,173820.0,9040239.0,51.94,0.0,0,0,0
2010-04-13,51.92,52.95,51.4,52.92,365700.0,19111116.0,52.92,0.0,0,0,0
2010-04-14,54.41,55.0,54.16,54.74,373814.0,20434244.0,54.74,0.0,0,0,0
2010-04-15,54.44,54.92,54.26,54.48,221000.0,12069141.0,54.48,0.0,0,0,0
2010-04-16,53.56,53.91,52.41,53.09,509000.0,27015276.0,53.09,0.0,0,0,0
2010-04-19,52.47,53.78,52.37,53.78,157512.0,8348892.0,53.78,0.0,0,0,0
2010-04-20,54.34,55.35,54.21,55.23,235400.0,12939961.0,55.23,0.0,0,0,0
2010-04-21,56.48,57.05,56.18,56.5,268473.0,15181960.0,56.5,0.0,0,0,0
2010-04-22,55.86,56.61,55.1401,56.59,242906.0,13573077.0,56.59,0.0,0,0,0
2010-04-23,55.48,56.5099,55.25,56.26,163486.0,9157374.0,56.26,0.0,0,0,0
2010-04-26,57.01,57.11,56.13,56.5,180300.0,10238858.0,56.5,0.0,0,0,0
2010-04-27,55.5,56.47,54.5,54.77,306900.0,16957760.0,54.77,0.0,0,0,0
2010-04-28,54.49,54.58,53.41,53.87,258300.0,13949775.0,53.87,0.0,0,0,0
2010-04-29,54.47,55.22,54.36,55.0,209200.0,11487067.0,55.0,0.0,0,0,0
2010-04-30,55.38,55.48,54.59,54.8,284900.0,15724485.0,54.8,0.0,0,0,0
2010-05-03,54.7,54.75,53.93,54.16,174352.0,9496168.0,54.16,0.0,0,0,0
2010-05-04,52.55,52.64,51.07,51.64,510100.0,26434810.0,51.64,0.0,0,0,0
2010-05-05,48.86,51.85,48.3,50.07,704000.0,35357836.0,50.07,0.0,0,0,0
2010-05-06,50.4,51.59,49.55,50.27,175267.0,8904369.0,50.27,0.0,0,0,0
2010-05-07,50.37,52.21,49.37,51.3,463100.0,23501908.0,51.3,0.0,0,0,0
2010-05-10,52.72,53.14,51.64,53.02,298000.0,15641215.0,53.02,0.0,0,0,0
2010-05-11,52.39,53.32,52.0,53.32,240400.0,12699490.0,53.32,0.0,0,0,0
2010-05-12,54.13,54.9,53.98,54.22,378141.0,20591328.0,54.22,0.0,0,0,0
2010-05-13,54.23,54.98,54.0,54.15,134300.0,7301635.0,54.15,0.0,0,0,0
2010-05-14,53.6,53.6,52.0,52.67,269600.0,14201018.0,52.67,0.0,0,0,0
2010-05-17,51.87,52.02,49.38,50.52,689500.0,34918900.0,50.52,0.0,0,0,0
2010-05-18,50.75,50.9599,49.5,49.69,126867.0,6386357.0,49.69,0.0,0,0,0
2010-05-19,47.48,47.82,45.0,45.92,809300.0,37577496.0,45.92,0.0,0,0,0
2010-05-20,41.95,42.92,40.7,41.86,1110579.0,46567464.0,41.86,0.0,0,0,0
2010-05-21,43.18,44.68,42.58,43.34,542500.0,23589580.0,43.34,0.0,0,0,0
2010-05-24,45.0,45.55,44.4,44.86,215591.0,9715867.0,44.86,0.0,0,0,0
2010-05-25,43.06,44.14,42.69,44.12,422600.0,18271492.0,44.12,0.0,0,0,0
2010-05-26,44.69,45.03,44.17,44.29,194411.0,8681792.0,44.29,0.0,0,0,0
2010-05-27,45.28,46.3755,45.26,46.3101,185722.0,8543954.0,46.3101,0.0,0,0,0
2010-05-28,46.77,47.13,45.17,45.92,205100.0,9501360.0,45.92,0.0,0,0,0
2010-06-01,45.58,46.41,45.58,45.65,62800.0,2890910.0,45.65,0.0,0,0,0
2010-06-02,44.9,45.84,44.47,45.76,101900.0,4597891.0,45.76,0.0,0,0,0
2010-06-03,46.18,46.18,44.44,44.86,77801.0,3507984.0,44.86,0.0,0,0,0
2010-06-04,43.85,44.1,42.44,42.65,418701.0,17981408.0,42.65,0.0,0,0,0
2010-06-07,42.18,43.25,42.09,43.0301,141530.0,6018435.0,43.0301,0.0,0,0,0
2010-06-08,43.2,44.22,43.2,43.9201,140994.0,6179823.0,43.9201,0.0,0,0,0
2010-06-09,45.39,45.6585,44.62,44.79,180377.0,8153329.0,44.79,0.0,0,0,0
2010-06-10,44.99,45.51,44.61,45.22,183100.0,8232047.0,45.22,0.0,0,0,0
2010-06-11,45.04,45.22,44.47,44.65,47200.0,2114201.0,44.65,0.0,0,0,0
2010-06-14,45.75,46.15,45.45,45.73,114500.0,5248714.0,45.73,0.0,0,0,0
2010-06-15,46.09,47.5,46.06,47.21,150700.0,7064167.0,47.21,0.0,0,0,0
2010-06-16,47.14,47.39,46.82,47.29,58000.0,2736938.0,47.29,0.0,0,0,0
2010-06-17,48.02,48.23,47.33,48.23,144600.0,6935131.0,48.23,0.0,0,0,0
2010-06-18,48.33,49.14,48.15,48.82,105100.0,5122815.0,48.82,0.0,0,0,0
2010-06-21,50.45,50.45,48.94,49.19,226100.0,11224553.0,49.19,0.0,0,0,0
2010-06-22,49.02,49.07,48.21,48.43,105000.0,5112072.0,48.43,0.0,0,0,0
2010-06-23,48.28,48.28,47.0,47.26,137500.0,6524168.0,47.26,0.0,0,0,0
