Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-06-23,11.579503,11.579503,11.44853,11.44853,31930.385,368537.0,14.86,0.0,0,0,0
2005-06-24,11.440827,11.440827,11.317558,11.332967,13239.428,150601.0,14.71,0.0,0,0,0
2005-06-27,11.317558,11.340672,11.3098545,11.332967,3504.5544,39684.0,14.71,0.0,0,0,0
2005-06-28,11.332967,11.417713,11.332967,11.41001,7268.7056,82854.0,14.81,0.0,0,0,0
2005-06-29,11.41001,11.41001,11.371489,11.379193,8307.092,94567.0,14.77,0.0,0,0,0
2005-06-30,11.35608,11.417713,11.35608,11.41001,8826.285,100667.0,14.81,0.0,0,0,0
2005-07-01,11.41001,11.41001,11.363784,11.371489,1946.9747,22147.0,14.76,0.0,0,0,0
2005-07-05,11.340672,11.440827,11.340672,11.440827,18820.756,214760.0,14.85,0.0,0,0,0
2005-07-06,11.440827,11.440827,11.440827,11.440827,1297.9832,14850.0,14.85,0.0,0,0,0
2005-07-07,11.263629,11.394601,11.263629,11.394601,1168.1848,13223.0,14.79,0.0,0,0,0
2005-07-08,11.471643,11.548686,11.471643,11.548686,1687.378,19397.0,14.99,0.0,0,0,0
2005-07-11,11.556391,11.61032,11.556391,11.602616,2336.3696,27072.0,15.06,0.0,0,0,0
2005-07-12,11.618025,11.618025,11.602616,11.602616,778.78986,9043.0,15.06,0.0,0,0,0
2005-07-13,11.625729,11.641137,11.625729,11.641137,1297.9832,15094.0,15.11,0.0,0,0,0
2005-07-14,11.671954,11.687363,11.594912,11.594912,51140.535,596275.0,15.05,0.0,0,0,0
2005-07-15,11.625729,11.702771,11.625729,11.702771,3374.756,39360.0,15.19,0.0,0,0,0
2005-07-18,11.695067,11.695067,11.648842,11.66425,8696.487,101354.0,15.14,0.0,0,0,0
2005-07-19,11.702771,11.741293,11.702771,11.71818,50621.344,592710.0,15.21,0.0,0,0,0
2005-07-20,11.71818,11.71818,11.648842,11.71818,6230.319,72743.0,15.21,0.0,0,0,0
2005-07-21,11.679659,11.702771,11.618025,11.633433,8436.891,98475.0,15.1,0.0,0,0,0
2005-07-22,11.618025,11.641137,11.594912,11.641137,8436.891,97990.0,15.11,0.0,0,0,0
2005-07-25,11.66425,11.66425,11.618025,11.618025,259.59662,3022.0,15.08,0.0,0,0,0
2005-07-26,11.618025,11.618025,11.579503,11.594912,2336.3696,27100.0,15.05,0.0,0,0,0
2005-07-27,11.579503,11.579503,11.540981,11.571799,6619.714,76512.0,15.02,0.0,0,0,0
2005-07-28,11.579503,11.61032,11.579503,11.61032,778.78986,9022.0,15.07,0.0,0,0,0
2005-07-29,11.671954,11.671954,11.671954,11.671954,1297.9832,15150.0,15.15,0.0,0,0,0
2005-08-01,11.687363,11.687363,11.648842,11.648842,7528.3022,87720.0,15.12,0.0,0,0,0
2005-08-02,11.641137,11.66425,11.641137,11.66425,2595.9663,30255.0,15.14,0.0,0,0,0
2005-08-03,11.602616,11.625729,11.602616,11.625729,1557.5797,18078.0,15.09,0.0,0,0,0
2005-08-04,11.525574,11.525574,11.479347,11.494757,2595.9663,29876.0,14.92,0.0,0,0,0
2005-08-05,11.440827,11.440827,11.41001,11.41001,519.19324,5936.0,14.81,0.0,0,0,0
2005-08-08,11.332967,11.332967,11.279037,11.279037,2206.5713,24973.0,14.64,0.0,0,0,0
2005-08-09,11.332967,11.332967,11.332967,11.332967,259.59662,2942.0,14.71,0.0,0,0,0
2005-08-10,11.402306,11.402306,11.30215,11.340672,1817.1764,20616.0,14.72,0.0,0,0,0
2005-08-11,11.348375,11.348375,11.3098545,11.3098545,1557.5797,17640.0,14.68,0.0,0,0,0
2005-08-12,11.24822,11.24822,11.240516,11.240516,908.5882,10216.0,14.59,0.0,0,0,0
2005-08-15,11.209699,11.30215,11.186586,11.30215,3893.9495,43668.0,14.67,0.0,0,0,0
2005-08-16,11.171178,11.171178,11.155768,11.155768,1687.378,18844.0,14.48,0.0,0,0,0
2005-08-18,11.155768,11.171178,11.155768,11.155768,6749.512,75298.0,14.48,0.0,0,0,0
2005-08-19,11.178882,11.178882,11.140361,11.140361,7528.3022,84095.0,14.46,0.0,0,0,0
2005-08-23,11.155768,11.155768,11.140361,11.140361,648.9916,7232.0,14.46,0.0,0,0,0
2005-08-24,11.094134,11.094134,11.094134,11.094134,908.5882,10080.0,14.4,0.0,0,0,0
2005-08-25,11.078727,11.101839,11.078727,11.094134,3634.3528,40299.0,14.4,0.0,0,0,0
2005-08-26,11.078727,11.078727,11.0556135,11.0556135,1297.9832,14367.0,14.35,0.0,0,0,0
2005-08-29,11.009388,11.124951,11.009388,11.124951,4542.941,50494.0,14.44,0.0,0,0,0
2005-08-30,11.078727,11.078727,10.970866,10.970866,389.39493,4286.0,14.24,0.0,0,0,0
2005-08-31,11.071022,11.071022,11.071022,11.071022,129.79831,1437.0,14.37,0.0,0,0,0
2005-09-01,11.148065,11.178882,11.109544,11.109544,10124.269,113061.0,14.42,0.0,0,0,0
2005-09-02,11.101839,11.101839,11.101839,11.101839,129.79831,1441.0,14.41,0.0,0,0,0
2005-09-06,11.163473,11.186586,11.163473,11.186586,1427.7815,15953.0,14.52,0.0,0,0,0
2005-09-07,11.217403,11.24822,11.209699,11.24822,7268.7056,81642.0,14.6,0.0,0,0,0
2005-09-08,11.232812,11.232812,11.124951,11.171178,8436.891,94313.0,14.5,0.0,0,0,0
2005-09-09,11.186586,11.225107,11.178882,11.225107,10513.663,117917.0,14.57,0.0,0,0,0
2005-09-12,11.201995,11.209699,11.201995,11.209699,1557.5797,17457.0,14.55,0.0,0,0,0
2005-09-13,11.155768,11.155768,11.086431,11.155768,5191.9326,57730.0,14.48,0.0,0,0,0
2005-09-14,11.109544,11.117248,11.0556135,11.0556135,1817.1764,20120.0,14.35,0.0,0,0,0
2005-09-15,11.063317,11.109544,11.063317,11.086431,1557.5797,17256.0,14.39,0.0,0,0,0
2005-09-16,11.167983,11.175713,11.152527,11.152527,1682.0404,18776.0,14.43,0.0,0,0,0
2005-09-19,11.12934,11.12934,11.090697,11.090697,776.32635,8614.0,14.35,0.0,0,0,0
2005-09-20,11.113883,11.121612,10.9979515,10.9979515,2587.7544,28571.0,14.23,0.0,0,0,0
2005-09-21,10.866565,10.866565,10.7815485,10.7815485,9962.8545,107854.0,13.95,0.0,0,0,0
2005-09-22,10.7815485,10.8356495,10.742905,10.8356495,3364.0808,36246.0,14.02,0.0,0,0,0
2005-09-26,10.920665,10.990224,10.912936,10.936122,5434.2847,59584.0,14.15,0.0,0,0,0
2005-09-27,10.95158,11.036595,10.9438505,11.036595,13456.323,148092.0,14.28,0.0,0,0,0
2005-09-28,11.090697,11.1061535,11.044324,11.067511,18114.281,200775.0,14.32,0.0,0,0,0
2005-09-29,11.090697,11.137069,10.990224,11.137069,13585.711,150532.0,14.41,0.0,0,0,0
2005-09-30,11.19117,11.214356,11.175713,11.214356,11127.345,124430.0,14.51,0.0,0,0,0
2005-10-03,11.198898,11.260728,11.198898,11.214356,9057.141,101651.0,14.51,0.0,0,0,0
2005-10-04,11.245271,11.291643,11.214356,11.214356,8280.814,93235.0,14.51,0.0,0,0,0
2005-10-05,11.214356,11.214356,11.075239,11.075239,7633.876,85198.0,14.33,0.0,0,0,0
2005-10-06,11.113883,11.113883,11.1061535,11.113883,10221.63,113541.0,14.38,0.0,0,0,0
2005-10-07,11.152527,11.152527,11.113883,11.121612,646.9386,7198.0,14.39,0.0,0,0,0
2005-10-10,11.121612,11.121612,11.052053,11.052053,125635.484,1394754.0,14.3,0.0,0,0,0
2005-10-11,11.052053,11.075239,11.021138,11.021138,11386.12,125979.0,14.26,0.0,0,0,0
2005-10-12,11.052053,11.052053,10.990224,10.990224,905.71405,9978.0,14.22,0.0,0,0,0
2005-10-13,10.974766,11.021138,10.974766,11.021138,388.16318,4265.0,14.26,0.0,0,0,0
2005-10-14,11.059782,11.059782,11.052053,11.052053,3493.4685,38627.0,14.3,0.0,0,0,0
2005-10-17,11.052053,11.121612,11.052053,11.090697,9186.528,101865.0,14.35,0.0,0,0,0
2005-10-18,11.121612,11.152527,11.121612,11.121612,7763.2637,86367.0,14.39,0.0,0,0,0
2005-10-19,11.075239,11.113883,11.021138,11.113883,15914.69,175871.0,14.38,0.0,0,0,0
2005-10-20,11.198898,11.198898,11.044324,11.052053,3234.693,36045.0,14.3,0.0,0,0,0
2005-10-21,11.090697,11.113883,11.059782,11.067511,1423.265,15782.0,14.32,0.0,0,0,0
2005-10-24,11.121612,11.214356,11.121612,11.206627,8927.753,99716.0,14.5,0.0,0,0,0
2005-10-25,11.19117,11.19117,11.1602545,11.1602545,1552.6527,17367.0,14.44,0.0,0,0,0
