Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2011-09-15,17.54744,17.575937,17.54744,17.575937,59092.55,1038569.0,24.67,0.0,0,0,0
2011-09-16,17.604435,17.625809,17.604435,17.625809,1543.9858,27198.0,24.74,0.0,0,0,0
2011-09-19,17.704178,17.704178,17.704178,17.704178,982.5365,17395.0,24.85,0.0,0,0,0
2011-09-20,17.72555,17.7398,17.72555,17.72555,4491.595,79635.0,24.88,0.0,0,0,0
2011-09-21,17.746923,17.761173,17.746923,17.754047,86463.21,1535072.0,24.92,0.0,0,0,0
2011-09-22,17.789669,17.90366,17.768297,17.803919,12632.612,225494.0,24.99,0.0,0,0,0
2011-09-23,17.746923,17.925034,17.704178,17.711302,17404.932,309253.0,24.86,0.0,0,0,0
2011-09-26,17.711302,22.691269,17.640059,17.682804,8421.741,150323.0,24.82,0.0,0,0,0
2011-09-27,17.746923,17.782545,17.668554,17.67568,13334.424,235778.0,24.81,0.0,0,0,0
2011-09-28,17.54744,17.54744,17.490444,17.490444,1543.9858,27069.0,24.55,0.0,0,0,0
2011-09-29,17.533192,17.575937,17.533192,17.533192,3789.7834,66486.0,24.61,0.0,0,0,0
2011-09-30,17.575937,17.575937,17.454823,17.554564,2947.6094,51691.0,24.64,0.0,0,0,0
2011-10-03,17.469072,17.618685,17.469072,17.611559,7579.567,133429.0,24.72,0.0,0,0,0
2011-10-04,17.533192,17.640059,17.533192,17.640059,1965.073,34483.0,24.76,0.0,0,0,0
2011-10-05,17.54744,17.54744,17.54744,17.54744,140.36235,2463.0,24.63,0.0,0,0,0
2011-10-06,17.504694,17.504694,17.497568,17.497568,12913.337,226032.0,24.56,0.0,0,0,0
2011-10-07,17.476196,17.476196,17.447699,17.454823,13194.062,230448.0,24.5,0.0,0,0,0
2011-10-10,17.362206,17.362206,17.298086,17.362206,1403.6235,24334.0,24.37,0.0,0,0,0
2011-10-11,17.404951,17.433449,17.376453,17.433449,2947.6094,51310.0,24.47,0.0,0,0,0
2011-10-12,17.440573,17.476196,17.404951,17.476196,17264.57,301191.0,24.53,0.0,0,0,0
2011-10-14,17.440573,17.476196,17.440573,17.469072,6316.306,110309.0,24.52,0.0,0,0,0
2011-10-17,17.511818,17.590187,17.511818,17.568813,8562.104,150356.0,24.66,0.0,0,0,0
2011-10-18,17.611559,17.7398,17.611559,17.611559,2666.8848,47197.0,24.72,0.0,0,0,0
2011-10-19,17.654306,17.832417,17.654306,17.832417,2386.16,42474.0,25.03,0.0,0,0,0
2011-10-20,17.625809,17.625809,17.625809,17.625809,982.5365,17318.0,24.74,0.0,0,0,0
2011-10-21,17.689928,17.689928,17.689928,17.689928,561.4494,9932.0,24.83,0.0,0,0,0
2011-10-24,17.689928,17.839542,17.647182,17.832417,26388.123,469746.0,25.03,0.0,0,0,0
2011-10-25,17.718428,17.953533,17.718428,17.953533,13053.699,232971.0,25.2,0.0,0,0,0
2011-10-27,18.017653,18.074648,18.017653,18.074648,4912.6826,88539.0,25.37,0.0,0,0,0
2011-10-28,18.060398,18.067524,17.989155,17.989155,1824.7106,32938.0,25.25,0.0,0,0,0
2011-10-31,17.882288,18.039024,17.882288,18.039024,5754.8564,103335.0,25.32,0.0,0,0,0
2011-11-01,18.017653,18.601854,18.017653,18.324001,3509.0588,64779.0,25.72,0.0,0,0,0
2011-11-02,18.16014,18.174389,18.16014,18.174389,3087.9717,56090.0,25.51,0.0,0,0,0
2011-11-03,18.117393,18.124517,18.09602,18.09602,8421.741,152521.0,25.4,0.0,0,0,0
2011-11-04,18.188639,18.195763,18.060398,18.195763,1403.6235,25491.0,25.54,0.0,0,0,0
2011-11-07,18.060398,18.060398,18.017653,18.0319,1263.2612,22783.0,25.31,0.0,0,0,0
2011-11-08,18.074648,18.074648,18.0319,18.0319,1403.6235,25343.0,25.31,0.0,0,0,0
2011-11-09,18.088896,18.088896,17.953533,17.953533,12492.249,224389.0,25.2,0.0,0,0,0
2011-11-10,17.91791,17.91791,17.91791,17.91791,280.7247,5030.0,25.15,0.0,0,0,0
2011-11-14,17.953533,17.960655,17.953533,17.960655,4491.595,80640.0,25.21,0.0,0,0,0
2011-11-15,17.93421,17.962801,17.912766,17.912766,9932.916,177944.0,25.06,0.0,0,0,0
2011-11-16,17.819843,17.819843,17.669735,17.819843,5036.408,89453.0,24.93,0.0,0,0,0
2011-11-17,17.927061,17.927061,17.89847,17.912766,12870.821,230553.0,25.06,0.0,0,0,0
