Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-06-13,4.823294,4.860914,4.777754,4.8589344,120302.68,584543.0,24.54,0.0,0,0,0
2008-06-16,4.9302144,4.9480343,4.9084344,4.9381347,19191.863,94772.0,24.94,0.0,0,0,0
2008-06-17,4.9381347,4.9638743,4.910414,4.9527864,16318.134,80820.0,25.014,0.0,0,0,0
2008-06-18,4.900514,4.900514,4.845074,4.8866544,17661.564,86306.0,24.68,0.0,0,0,0
2008-06-19,4.8807144,4.9519944,4.8490343,4.9460545,39828.168,196992.0,24.98,0.0,0,0,0
2008-06-20,4.9143744,4.9143744,4.7797337,4.793594,88100.75,422319.0,24.21,0.0,0,0,0
2008-06-23,4.8094344,4.8094344,4.744094,4.781714,24242.354,115920.0,24.15,0.0,0,0,0
2008-06-24,4.706474,4.7143936,4.6233134,4.660934,29797.893,138886.0,23.54,0.0,0,0,0
2008-06-25,4.6866736,4.789634,4.6866736,4.757954,39393.824,187434.0,24.03,0.0,0,0,0
2008-06-26,4.6827135,4.6827135,4.5995536,4.5995536,31818.088,146349.0,23.23,0.0,0,0,0
2008-06-27,4.5955935,4.5955935,4.506493,4.514413,44949.363,202920.0,22.8,0.0,0,0,0
2008-06-30,4.5401535,4.5579734,4.490653,4.490653,14646.422,65772.0,22.68,0.0,0,0,0
2008-07-01,4.4272933,4.484713,4.399573,4.4827332,37373.63,167536.0,22.64,0.0,0,0,0
2008-07-02,4.530253,4.530253,4.4173927,4.4173927,15151.471,66930.0,22.31,0.0,0,0,0
2008-07-03,4.433233,4.433233,4.375813,4.423333,8080.784,35744.0,22.34,0.0,0,0,0
2008-07-07,4.449073,4.466893,4.3421526,4.421353,71716.96,317086.0,22.33,0.0,0,0,0
2008-07-08,4.399573,4.488673,4.387693,4.484713,36868.58,165345.0,22.65,0.0,0,0,0
2008-07-10,4.460953,4.4926333,4.383733,4.419373,42929.168,189720.0,22.32,0.0,0,0,0
2008-07-11,4.363933,4.435213,4.3322525,4.391653,20707.01,90938.0,22.18,0.0,0,0,0
2008-07-14,4.290673,4.2926526,4.278793,4.2926526,4040.392,17344.0,21.68,0.0,0,0,0
2008-07-15,4.156032,4.3025527,4.1144524,4.2669125,33838.285,144385.0,21.55,0.0,0,0,0
2008-07-16,4.3025527,4.484713,4.290673,4.4767933,28282.746,126616.0,22.61,0.0,0,0,0
