Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-10-26,11.152301,11.520571,11.124508,11.15925,137871.98,1557411.0,16.06,0.0,0,0,0
2005-10-27,11.25653,11.25653,10.832672,10.832672,113406.19,1247829.0,15.59,0.0,0,0,0
2005-10-28,10.874363,11.138406,10.70065,11.124508,51090.35,561006.0,16.01,0.0,0,0,0
2005-10-31,11.305168,11.451086,11.228735,11.3399105,83039.805,940331.0,16.32,0.0,0,0,0
2005-11-01,11.2217865,11.367705,11.2217865,11.332962,33244.707,376051.0,16.31,0.0,0,0,0
2005-11-02,11.3399105,11.499725,11.319066,11.492778,26048.883,297372.0,16.54,0.0,0,0,0
2005-11-03,11.617849,11.770717,11.610901,11.70818,58286.17,681821.0,16.85,0.0,0,0,0
2005-11-04,11.638695,11.638695,11.235683,11.270426,30654.209,349959.0,16.22,0.0,0,0,0
2005-11-07,11.173147,11.173147,10.957745,10.992487,26624.549,293844.0,15.82,0.0,0,0,0
2005-11-08,10.964693,11.15925,10.909105,11.082817,13528.149,149575.0,15.95,0.0,0,0,0
2005-11-09,11.089766,11.270426,10.909105,11.006384,87213.38,964109.0,15.84,0.0,0,0,0
2005-11-10,10.909105,10.909105,10.533888,10.589476,21875.305,232072.0,15.24,0.0,0,0,0
2005-11-11,10.624218,10.770136,10.575579,10.770136,34827.79,371864.0,15.5,0.0,0,0,0
2005-11-14,10.867414,10.874363,10.70065,10.784033,55551.76,597311.0,15.52,0.0,0,0,0
2005-11-15,10.790981,11.110611,10.777084,10.832672,52961.266,576994.0,15.59,0.0,0,0,0
2005-11-16,10.950796,11.138406,10.853518,11.1036625,30078.545,332556.0,15.98,0.0,0,0,0
2005-11-17,11.207889,11.277374,11.082817,11.138406,36698.703,410833.0,16.03,0.0,0,0,0
2005-11-18,11.180096,11.180096,11.013332,11.117559,27488.047,304809.0,16.0,0.0,0,0,0
2005-11-21,11.193993,11.409395,11.173147,11.402447,101029.37,1140560.0,16.41,0.0,0,0,0
2005-11-22,11.506674,11.673437,11.499725,11.659541,120889.84,1401355.0,16.78,0.0,0,0,0
2005-11-23,11.562262,11.638695,11.471931,11.520571,111391.35,1284886.0,16.58,0.0,0,0,0
2005-11-25,11.520571,11.631746,11.520571,11.603953,57134.844,662414.0,16.7,0.0,0,0,0
2005-11-28,11.402447,11.402447,11.110611,11.131456,131395.75,1474303.0,16.02,0.0,0,0,0
2005-11-29,11.193993,11.277374,11.193993,11.2217865,142045.56,1595830.0,16.15,0.0,0,0,0
2005-11-30,11.228735,11.367705,11.228735,11.29822,120458.09,1363004.0,16.26,0.0,0,0,0
2005-12-01,11.395498,11.652593,11.395498,11.652593,26192.799,301952.0,16.77,0.0,0,0,0
2005-12-02,11.722077,11.722077,11.562262,11.687334,37993.95,443163.0,16.82,0.0,0,0,0
2005-12-05,11.79851,11.965273,11.79851,11.854097,137440.23,1632658.0,17.06,0.0,0,0,0
2005-12-06,11.867994,12.000016,11.79851,11.930531,174714.61,2086076.0,17.17,0.0,0,0,0
2005-12-07,12.034758,12.125089,11.833253,11.888841,204361.4,2445779.0,17.11,0.0,0,0,0
2005-12-08,11.93748,12.125089,11.888841,12.125089,114701.43,1376674.0,17.45,0.0,0,0,0
2005-12-09,12.090345,12.090345,11.881892,11.93748,81744.56,977499.0,17.18,0.0,0,0,0
2005-12-12,12.187625,12.201521,12.076448,12.180676,88652.55,1076213.0,17.53,0.0,0,0,0
2005-12-13,12.312696,12.451667,12.264057,12.277955,130532.24,1614333.0,17.67,0.0,0,0,0
2005-12-14,12.222367,12.368284,12.187625,12.368284,62171.918,763767.0,17.8,0.0,0,0,0
2005-12-15,12.34744,12.34744,12.125089,12.187625,209110.64,2553720.0,17.54,0.0,0,0,0
2005-12-16,12.185407,12.185407,11.858515,11.86547,151973.92,1812501.0,17.06,0.0,0,0,0
2005-12-19,11.921111,11.955888,11.802874,11.844605,124080.88,1478077.0,17.03,0.0,0,0,0
2005-12-20,11.83765,11.969797,11.83765,11.941977,86267.125,1029024.0,17.17,0.0,0,0,0
2005-12-21,11.983707,12.060214,11.928066,11.976752,85979.57,1033445.0,17.22,0.0,0,0,0
2005-12-22,12.046304,12.067169,11.948932,11.990663,185186.77,2224736.0,17.24,0.0,0,0,0
2005-12-23,11.921111,11.921111,11.733323,11.914156,266709.2,3150235.0,17.13,0.0,0,0,0
2005-12-27,11.782009,11.782009,11.4690275,11.552489,220124.95,2562603.0,16.61,0.0,0,0,0
2005-12-28,11.60813,11.795918,11.580309,11.740277,83104.0,969733.0,16.88,0.0,0,0,0
2005-12-29,11.719413,11.858515,11.642905,11.6568165,101507.65,1190188.0,16.76,0.0,0,0,0
2005-12-30,11.559444,11.733323,11.559444,11.6568165,90580.484,1052748.0,16.76,0.0,0,0,0
2006-01-03,11.719413,12.192363,11.719413,12.192363,212936.02,2558960.0,17.53,0.0,0,0,0
2006-01-04,12.192363,12.282779,12.053259,12.275824,202583.97,2470005.0,17.65,0.0,0,0,0
2006-01-05,12.248003,12.248003,11.928066,12.088035,246005.08,2975463.0,17.38,0.0,0,0,0
2006-01-06,12.199318,12.449702,12.199318,12.38015,233927.69,2895376.0,17.8,0.0,0,0,0
2006-01-09,12.401016,12.456657,12.310599,12.407971,184467.88,2288512.0,17.84,0.0,0,0,0
2006-01-10,12.407971,12.62358,12.401016,12.526209,174690.92,2189648.0,18.01,0.0,0,0,0
2006-01-11,12.519254,12.560984,12.3175535,12.5053425,236084.36,2938572.0,17.98,0.0,0,0,0
2006-01-12,12.60967,13.388646,12.289734,12.449702,283387.5,3567983.0,17.9,0.0,0,0,0
2006-01-13,12.477523,12.679221,12.463613,12.679221,271166.3,3405851.0,18.23,0.0,0,0,0
2006-01-17,12.880921,12.992204,12.82528,12.992204,269153.44,3467580.0,18.68,0.0,0,0,0
2006-01-18,12.943518,12.957427,12.574895,12.769639,169227.34,2168045.0,18.36,0.0,0,0,0
2006-01-19,12.769639,13.08262,12.755729,13.0756645,273323.0,3521963.0,18.8,0.0,0,0,0
2006-01-20,13.145216,13.346915,13.006114,13.103485,380294.25,5011693.0,18.84,0.0,0,0,0
2006-01-23,13.0756645,13.221723,13.020023,13.186946,225157.19,2958127.0,18.96,0.0,0,0,0
2006-01-24,13.117396,13.284319,13.09653,13.173038,278355.25,3671236.0,18.94,0.0,0,0,0
2006-01-25,13.214767,13.242589,12.727907,12.873966,454340.2,5881076.0,18.51,0.0,0,0,0
2006-01-26,12.915696,12.915696,12.58185,12.894832,471162.28,6010837.0,18.54,0.0,0,0,0
2006-01-27,13.061755,13.193902,13.006114,13.0756645,590210.94,7721299.0,18.8,0.0,0,0,0
2006-01-30,13.346915,13.548614,13.3121395,13.444287,415376.22,5576203.0,19.33,0.0,0,0,0
2006-01-31,13.395601,13.604255,13.353871,13.562525,225732.31,3037117.0,19.5,0.0,0,0,0
