Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-10-12,20.399307,20.585121,20.366991,20.585121,12749.208,262444.0,25.48,0.0,0,0,0
2006-10-16,21.061779,21.12641,21.04562,21.12641,2351.7957,49685.0,26.15,0.0,0,0,0
2006-10-17,20.82749,20.82749,20.82749,20.82749,371.33615,7734.0,25.78,0.0,0,0,0
2006-10-18,21.182962,21.182962,20.859806,20.859806,1609.1233,33566.0,25.82,0.0,0,0,0
2006-10-20,20.97291,20.997149,20.956753,20.956753,371.33615,7782.0,25.94,0.0,0,0,0
2006-10-24,21.182962,21.263752,21.166805,21.263752,6436.493,136864.0,26.32,0.0,0,0,0
2006-10-25,21.425331,21.481884,21.425331,21.457647,19309.48,414336.0,26.56,0.0,0,0,0
2006-10-26,21.3607,21.449568,21.3607,21.449568,866.451,18585.0,26.55,0.0,0,0,0
2006-10-27,21.457647,21.570753,21.44149,21.570753,1856.6808,40050.0,26.7,0.0,0,0,0
2006-10-30,21.312225,21.312225,21.312225,21.312225,247.55743,5276.0,26.38,0.0,0,0,0
2006-10-31,21.384935,21.384935,21.28799,21.28799,495.11487,10540.0,26.35,0.0,0,0,0
2006-11-01,21.409174,21.409174,21.150648,21.150648,1732.902,36652.0,26.18,0.0,0,0,0
2006-11-02,21.247595,21.247595,21.247595,21.247595,123.77872,2630.0,26.3,0.0,0,0,0
2006-11-03,21.255672,21.255672,21.110252,21.150648,5198.706,109956.0,26.18,0.0,0,0,0
2006-11-06,21.489964,21.50612,21.489964,21.498043,4579.8125,98457.0,26.61,0.0,0,0,0
2006-11-08,21.279911,21.546515,21.279911,21.546515,618.89355,13335.0,26.67,0.0,0,0,0
2006-11-10,21.514198,21.514198,21.328384,21.328384,990.22974,21120.0,26.4,0.0,0,0,0
2006-11-14,21.465725,21.627304,21.44149,21.627304,1856.6808,40155.0,26.77,0.0,0,0,0
2006-11-15,21.772726,21.772726,21.772726,21.772726,2228.0168,48510.0,26.95,0.0,0,0,0
2006-11-16,21.643463,21.643463,21.594988,21.594988,1609.1233,34749.0,26.73,0.0,0,0,0
2006-11-17,21.57883,21.627304,21.57883,21.627304,618.89355,13385.0,26.77,0.0,0,0,0
2006-11-20,22.079725,22.079725,21.88583,21.88583,5817.5996,127323.0,27.09,0.0,0,0,0
2006-11-21,21.974699,22.031252,21.974699,22.031252,371.33615,8181.0,27.27,0.0,0,0,0
2006-11-22,22.273619,22.281698,22.217066,22.281698,1114.0084,24822.0,27.58,0.0,0,0,0
2006-11-24,22.257462,22.305935,22.257462,22.305935,495.11487,11044.0,27.61,0.0,0,0,0
2006-11-27,22.305935,22.305935,21.853514,21.88583,1485.3446,32508.0,27.09,0.0,0,0,0
2006-11-28,21.926224,21.926224,21.756567,21.869673,990.22974,21656.0,27.07,0.0,0,0,0
2006-11-29,22.015093,22.217066,22.015093,22.217066,2475.5742,55000.0,27.5,0.0,0,0,0
2006-11-30,22.297857,22.354408,22.233225,22.354408,2104.2383,47039.0,27.67,0.0,0,0,0
2006-12-01,22.338251,22.338251,22.103962,22.103962,990.22974,21888.0,27.36,0.0,0,0,0
2006-12-04,22.56446,22.58062,22.540224,22.540224,38618.96,870480.0,27.9,0.0,0,0,0
2006-12-05,22.71796,22.766434,22.669487,22.766434,2104.2383,47906.0,28.18,0.0,0,0,0
2006-12-06,22.677567,22.822987,22.677567,22.766434,1361.5659,30998.0,28.18,0.0,0,0,0
2006-12-07,22.847223,22.903776,22.774513,22.86338,39114.074,894280.0,28.3,0.0,0,0,0
2006-12-08,22.814907,22.86338,22.814907,22.855303,990.22974,22632.0,28.29,0.0,0,0,0
2006-12-11,22.782593,22.87954,22.782593,22.814907,2846.9104,64952.0,28.24,0.0,0,0,0
2006-12-12,22.386724,22.467514,22.386724,22.467514,186163.19,4182624.0,27.81,0.0,0,0,0
2006-12-13,22.50791,22.588697,22.50791,22.588697,6312.7144,142596.0,27.96,0.0,0,0,0
2006-12-14,22.782593,22.782593,22.709883,22.709883,7302.9443,165849.0,28.11,0.0,0,0,0
2006-12-15,22.725117,22.83074,22.676367,22.806364,137603.08,3138226.0,28.07,0.0,0,0,0
2006-12-18,22.822615,22.822615,22.497622,22.497622,984.6374,22152.0,27.69,0.0,0,0,0
2006-12-19,22.59512,22.660118,22.51387,22.660118,1723.1155,39046.0,27.89,0.0,0,0,0
2006-12-20,22.668243,22.676367,22.59512,22.59512,2215.434,50058.0,27.81,0.0,0,0,0
2006-12-21,22.448872,22.448872,22.302626,22.302626,2092.3545,46665.0,27.45,0.0,0,0,0
2006-12-22,22.164505,22.164505,22.164505,22.164505,123.07967,2728.0,27.28,0.0,0,0,0
2006-12-26,22.310751,22.400124,22.310751,22.400124,492.3187,11028.0,27.57,0.0,0,0,0
2006-12-27,22.651993,22.716991,22.651993,22.716991,2338.514,53124.0,27.96,0.0,0,0,0
2006-12-29,22.619493,22.619493,22.497622,22.497622,3076.992,69225.0,27.69,0.0,0,0,0
2007-01-03,22.57887,22.57887,22.546371,22.546371,1230.7968,27750.0,27.75,0.0,0,0,0
2007-01-05,22.099506,22.099506,22.018257,22.026382,492.3187,10844.0,27.11,0.0,0,0,0
2007-01-08,22.026382,22.10763,22.002008,22.10763,12800.286,282984.0,27.21,0.0,0,0,0
2007-01-09,21.847635,22.050756,21.847635,22.050756,738.4781,16284.0,27.14,0.0,0,0,0
2007-01-10,22.034508,22.14013,22.034508,22.132004,2092.3545,46308.0,27.24,0.0,0,0,0
2007-01-16,22.708868,22.716991,22.668243,22.668243,2338.514,53010.0,27.9,0.0,0,0,0
2007-01-17,22.708868,22.798239,22.708868,22.765741,4553.948,103674.0,28.02,0.0,0,0,0
2007-01-18,22.708868,22.708868,22.554495,22.611368,1107.717,25047.0,27.83,0.0,0,0,0
2007-01-19,22.64387,22.78199,22.64387,22.78199,861.55774,19628.0,28.04,0.0,0,0,0
2007-01-22,22.635744,22.635744,22.603245,22.603245,615.3984,13910.0,27.82,0.0,0,0,0
2007-01-23,22.773867,23.025736,22.773867,22.976986,1969.2748,45248.0,28.28,0.0,0,0,0
2007-01-24,23.090733,23.326353,23.074484,23.326353,14892.641,347391.0,28.71,0.0,0,0,0
2007-01-25,23.464474,23.48885,23.366978,23.366978,7384.781,172560.0,28.76,0.0,0,0,0
2007-01-26,23.310104,23.310104,23.310104,23.310104,246.15935,5738.0,28.69,0.0,0,0,0
2007-01-29,23.415726,23.448225,23.415726,23.448225,1230.7968,28860.0,28.86,0.0,0,0,0
2007-01-30,23.545723,23.626972,23.480724,23.602596,18585.031,438655.0,29.05,0.0,0,0,0
2007-01-31,23.626972,23.935713,23.626972,23.919466,4184.709,100096.0,29.44,0.0,0,0,0
2007-02-01,24.08196,24.179459,24.049461,24.14696,17969.633,433912.0,29.72,0.0,0,0,0
2007-02-02,24.14696,24.14696,24.008837,24.090086,6153.984,148250.0,29.65,0.0,0,0,0
2007-02-05,24.008837,24.008837,23.951963,23.960089,3446.231,82572.0,29.49,0.0,0,0,0
2007-02-06,24.016962,24.14696,24.008837,24.14696,10954.091,264508.0,29.72,0.0,0,0,0
2007-02-07,24.171333,24.236332,24.041338,24.14696,8738.657,211012.0,29.72,0.0,0,0,0
2007-02-08,24.049461,24.090086,23.968214,24.041338,53047.34,1275329.0,29.59,0.0,0,0,0
2007-02-09,24.16321,24.16321,23.838217,23.862593,14031.083,334818.0,29.37,0.0,0,0,0
2007-02-12,23.943838,23.943838,23.903215,23.903215,2953.9124,70608.0,29.42,0.0,0,0,0
2007-02-13,24.293205,24.341955,24.276957,24.325706,1969.2748,47904.0,29.94,0.0,0,0,0
2007-02-14,24.504452,24.577576,24.471952,24.480076,7261.701,177767.0,30.13,0.0,0,0,0
2007-02-15,24.561325,24.650698,24.512577,24.650698,3076.992,75850.0,30.34,0.0,0,0,0
2007-02-16,24.626324,24.650698,24.577576,24.618198,9107.896,224220.0,30.3,0.0,0,0,0
2007-02-20,24.577576,24.837568,24.528826,24.82132,10092.533,250510.0,30.55,0.0,0,0,0
2007-02-21,24.77257,25.138187,24.764446,25.105688,8861.736,222480.0,30.9,0.0,0,0,0
2007-02-22,25.268185,25.292559,24.983816,25.089437,10954.091,274832.0,30.88,0.0,0,0,0
2007-02-23,25.130062,25.19506,25.05694,25.19506,10707.932,269787.0,31.01,0.0,0,0,0
2007-02-26,25.503803,25.520054,25.178812,25.27631,16615.756,419985.0,31.11,0.0,0,0,0
2007-02-27,24.480076,24.683197,23.797594,24.065712,24246.697,583514.0,29.62,0.0,0,0,0
2007-02-28,24.065712,24.236332,23.830091,24.155085,7877.099,190272.0,29.73,0.0,0,0,0
2007-03-01,23.740719,24.276957,23.537598,24.138834,19200.43,463476.0,29.71,0.0,0,0,0
2007-03-02,24.016962,24.016962,23.610722,23.740719,9846.374,233760.0,29.22,0.0,0,0,0
2007-03-05,23.334476,23.570097,23.212605,23.228855,18461.951,428850.0,28.59,0.0,0,0,0
2007-03-06,23.440102,23.805717,23.440102,23.797594,13538.765,322190.0,29.29,0.0,0,0,0
2007-03-07,23.789469,23.935713,23.765093,23.765093,10707.932,254475.0,29.25,0.0,0,0,0
2007-03-08,24.14696,24.187584,24.008837,24.106337,3076.992,74175.0,29.67,0.0,0,0,0
2007-03-09,24.333832,24.333832,24.16321,24.268833,1353.8765,32857.0,29.87,0.0,0,0,0
2007-03-12,24.293205,24.496326,24.293205,24.496326,3076.992,75375.0,30.15,0.0,0,0,0
2007-03-13,24.211958,24.211958,23.765093,23.765093,3569.3105,84825.0,29.25,0.0,0,0,0
2007-03-14,23.821966,24.008837,23.700094,24.008837,3076.992,73875.0,29.55,0.0,0,0,0
