Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-05-09,24.84053,24.927816,24.84053,24.927816,2921.435,72610.0,48.55,0.0,0,0,0
2008-05-12,25.004833,25.102388,25.004833,25.102388,8180.0186,204854.0,48.89,0.0,0,0,0
2008-05-13,25.133196,25.133196,24.948355,25.056177,11637.05,291468.0,48.8,0.0,0,0,0
2008-05-14,26.2217,26.2217,25.307768,25.41559,8631.867,219358.0,49.5,0.0,0,0,0
2008-05-15,26.550306,26.550306,25.36024,25.389868,3051.926,77914.0,49.4499,0.0,0,0,0
2008-05-16,26.514364,26.514364,25.466934,25.569624,8374.781,214504.0,49.8,0.0,0,0,0
2008-05-19,26.647861,26.647861,25.41559,25.466934,11685.74,297760.0,49.6,0.0,0,0,0
2008-05-20,25.410458,25.410458,25.261557,25.261557,4450.32,112666.0,49.2,0.0,0,0,0
2008-05-21,25.056177,25.056177,25.056177,25.056177,7011.4443,175680.0,48.8,0.0,0,0,0
2008-05-22,24.640287,24.64542,24.604345,24.61975,4479.534,110296.0,47.95,0.0,0,0,0
2008-05-23,24.640287,24.640287,24.568403,24.568403,2531.9104,62274.0,47.85,0.0,0,0,0
2008-05-27,24.440042,24.440042,24.440042,24.440042,9932.88,242760.0,47.6,0.0,0,0,0
2008-05-28,24.61975,24.61975,24.558136,24.594078,11685.74,287485.0,47.9,0.0,0,0,0
2008-05-29,24.48112,24.61975,24.48112,24.61975,5842.87,143329.0,47.95,0.0,0,0,0
2008-05-30,24.763514,24.763514,24.568403,24.73784,2531.9104,62431.0,48.18,0.0,0,0,0
2008-06-02,25.759598,25.759598,24.491388,24.491388,973.8117,24119.0,47.7,0.0,0,0,0
2008-06-03,25.52855,25.52855,24.31168,24.36816,3116.1975,76223.0,47.46,0.0,0,0,0
2008-06-04,24.440042,24.465715,24.440042,24.465715,9153.83,223735.0,47.65,0.0,0,0,0
2008-06-05,24.491388,24.527328,24.491388,24.527328,584.28705,14322.0,47.77,0.0,0,0,0
2008-06-06,24.388699,24.542732,24.388699,24.465715,6427.157,157679.0,47.65,0.0,0,0,0
2008-06-09,24.208992,24.440042,23.875252,23.875252,8569.543,207424.0,46.5,0.0,0,0,0
2008-06-10,23.248846,23.259115,23.233444,23.233444,1168.5741,27168.0,45.25,0.0,0,0,0
2008-06-12,22.966452,22.966452,22.735401,22.735401,973.8117,22275.0,44.28,0.0,0,0,0
2008-06-13,22.961317,22.961317,22.381123,22.961317,29603.877,673971.0,44.72,0.0,0,0,0
2008-06-16,23.233444,23.233444,23.233444,23.233444,973.8117,22625.0,45.25,0.0,0,0,0
2008-06-17,23.56205,23.56205,23.243713,23.243713,7206.2065,168294.0,45.27,0.0,0,0,0
2008-06-18,23.053738,23.053738,22.961317,22.97672,8374.781,192488.0,44.75,0.0,0,0,0
2008-06-19,22.848358,22.899702,22.848358,22.899702,4869.0586,111489.0,44.6,0.0,0,0,0
2008-06-20,23.053738,23.053738,22.69946,22.69946,4869.0586,111393.0,44.21,0.0,0,0,0
2008-06-23,22.591637,22.591637,22.006308,22.129534,15970.513,357886.0,43.1,0.0,0,0,0
2008-06-24,22.28357,22.41193,21.395306,22.026846,25903.393,571691.0,42.9,0.0,0,0,0
2008-06-25,22.211685,22.463274,22.144938,22.463274,5258.5835,117297.0,43.75,0.0,0,0,0
2008-06-26,22.20655,22.20655,21.924156,21.924156,2531.9104,56059.0,42.7,0.0,0,0,0
2008-06-27,21.800928,21.800928,21.800928,21.800928,194.76234,4246.0,42.46,0.0,0,0,0
2008-06-30,21.795795,21.84714,21.795795,21.84714,4284.7715,93549.0,42.55,0.0,0,0,0
2008-07-01,21.333693,21.41071,21.333693,21.405575,4479.534,95879.0,41.69,0.0,0,0,0
2008-07-02,21.482592,21.482592,21.287481,21.287481,3116.1975,66704.0,41.46,0.0,0,0,0
2008-07-03,21.359364,21.359364,21.359364,21.359364,584.28705,12480.0,41.6,0.0,0,0,0
2008-07-08,20.897264,21.390171,20.881859,21.390171,2337.1482,49317.0,41.66,0.0,0,0,0
2008-07-09,21.667433,21.667433,21.20533,21.20533,4869.0586,105000.0,41.3,0.0,0,0,0
2008-07-11,20.948608,20.948608,20.948608,20.948608,194.76234,4080.0,40.8,0.0,0,0,0
2008-07-14,20.768902,20.768902,20.768902,20.768902,389.5247,8090.0,40.45,0.0,0,0,0
2008-07-15,19.772816,20.306799,19.772816,20.188707,4869.0586,98223.0,39.32,0.0,0,0,0
2008-07-16,19.97306,20.183573,19.97306,20.183573,1947.6234,39181.0,39.31,0.0,0,0,0
2008-07-17,20.999954,20.999954,20.999954,20.999954,389.5247,8180.0005,40.9,0.0,0,0,0
2008-07-18,21.333693,21.333693,21.328558,21.333693,5453.3457,116329.0,41.55,0.0,0,0,0
2008-07-21,22.257895,22.257895,21.718777,21.785526,7206.2065,158566.0,42.43,0.0,0,0,0
2008-07-22,21.641762,21.641762,21.641762,21.641762,389.5247,8430.0,42.15,0.0,0,0,0
2008-07-23,21.564743,22.694326,21.564743,22.694326,4090.0093,91497.0,44.2,0.0,0,0,0
2008-07-24,23.485033,23.485033,22.514618,22.514618,5453.3457,123382.0,43.85,0.0,0,0,0
2008-07-29,21.564743,21.729046,21.564743,21.729046,2142.3857,46318.0,42.32,0.0,0,0,0
2008-07-30,22.07819,22.07819,21.87281,21.87281,1752.8611,38435.0,42.6,0.0,0,0,0
2008-07-31,21.898485,21.924156,21.88308,21.924156,4674.2964,102348.0,42.7,0.0,0,0,0
2008-08-01,21.693106,21.693106,21.693106,21.693106,2142.3857,46475.0,42.25,0.0,0,0,0
2008-08-05,21.898485,21.898485,21.84714,21.84714,389.5247,8520.0,42.55,0.0,0,0,0
