Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-10-28,164.0087,164.0087,156.08829,156.08829,274097.97,43927510.0,19.51,0.0,0,0,0
2010-10-29,161.44856,165.36877,160.0885,164.88875,211151.3,34531150.0,20.61,0.0,0,0,0
2010-11-01,169.04897,169.20897,162.40862,164.0087,117056.29,19457192.0,20.5,0.0,0,0,0
2010-11-02,166.32883,166.32883,162.00859,163.60869,110869.12,18126112.0,20.45,0.0,0,0,0
2010-11-03,164.16872,164.16872,160.2485,162.40862,68921.34,11178918.0,20.3,0.0,0,0,0
2010-11-04,167.68889,169.52899,165.68878,169.52899,110719.125,18609948.0,21.19,0.0,0,0,0
2010-11-05,170.40903,170.40903,168.00891,169.12897,77620.88,13105646.0,21.14,0.0,0,0,0
2010-11-08,170.08902,170.72906,167.36888,168.80896,66396.48,11214853.0,21.1,0.0,0,0,0
2010-11-09,171.5291,171.8491,165.36877,166.32883,76470.945,12999587.0,20.79,0.0,0,0,0
2010-11-10,168.72896,173.20918,165.52878,170.16904,42135.266,7083212.0,21.27,0.0,0,0,0
2010-11-11,172.40913,175.76932,168.56894,170.40903,36185.582,6163281.0,21.3,0.0,0,0,0
2010-11-12,168.32893,168.96896,164.56873,165.28877,65209.04,10891948.0,20.66,0.0,0,0,0
2010-11-15,167.04886,167.92891,162.88864,163.04865,36248.08,5972086.0,20.38,0.0,0,0,0
2010-11-16,160.1685,160.1685,154.00816,155.44824,93332.55,14602689.0,19.43,0.0,0,0,0
2010-11-17,154.72821,156.3283,154.16818,154.80821,25023.672,3893269.0,19.35,0.0,0,0,0
2010-11-18,160.56851,161.52858,159.44846,159.52847,33435.727,5368270.0,19.94,0.0,0,0,0
2010-11-19,159.92848,160.56851,156.80832,160.56851,23186.27,3694084.0,20.07,0.0,0,0,0
2010-11-22,160.56851,162.48862,158.80843,162.40862,23211.27,3732347.0,20.3,0.0,0,0,0
2010-11-23,159.04843,159.60847,156.00827,156.96834,21761.346,3419915.0,19.62,0.0,0,0,0
2010-11-24,158.80843,169.60901,158.80843,160.88853,22073.828,3548441.0,20.11,0.0,0,0,0
2010-11-26,161.20854,162.00859,160.00848,161.36856,10874.423,1751405.0,20.17,0.0,0,0,0
2010-11-29,161.60858,161.76857,159.04843,161.36856,26211.11,4201675.0,20.17,0.0,0,0,0
2010-11-30,158.96844,160.1685,158.1684,159.52847,32073.299,5109444.0,19.94,0.0,0,0,0
2010-12-01,165.28877,165.28877,162.72864,164.80875,14749.218,2422622.0,20.6,0.0,0,0,0
2010-12-02,165.52878,167.6089,164.96875,166.88885,35098.137,5854680.0,20.86,0.0,0,0,0
2010-12-03,165.9288,166.96886,164.80875,166.96886,21111.38,3504725.0,20.87,0.0,0,0,0
2010-12-06,167.20886,169.20897,159.52847,168.08891,56584.5,9376412.0,21.01,0.0,0,0,0
2010-12-07,171.8491,171.8491,167.36888,167.76889,32748.264,5557675.0,20.97,0.0,0,0,0
2010-12-08,167.52888,167.52888,162.80864,163.36867,19061.488,3131663.0,20.42,0.0,0,0,0
2010-12-09,165.04875,165.9288,162.88864,163.8487,10636.936,1742873.0,20.48,0.0,0,0,0
2010-12-10,164.40872,164.72874,163.20865,164.40872,10386.949,1705718.0,20.55,0.0,0,0,0
2010-12-13,168.00891,169.20897,166.72885,168.08891,31323.338,5278112.0,21.01,0.0,0,0,0
2010-12-14,168.40892,168.56894,166.48883,167.04886,19186.482,3220291.0,20.88,0.0,0,0,0
2010-12-15,166.40881,167.68889,165.6088,166.0888,37760.496,6299691.0,20.76,0.0,0,0,0
2010-12-16,166.0088,166.40881,163.68867,166.0888,16049.148,2646131.0,20.76,0.0,0,0,0
2010-12-17,166.16882,166.40881,164.40872,165.44878,18211.533,3015800.0,20.68,0.0,0,0,0
2010-12-20,167.8489,167.92891,164.64873,165.36877,22973.781,3810100.0,20.67,0.0,0,0,0
2010-12-21,167.44888,170.64905,166.0888,170.64905,34285.68,5794148.0,21.33,0.0,0,0,0
2010-12-22,171.60912,172.00912,170.24904,170.56905,23473.754,4018844.0,21.32,0.0,0,0,0
2010-12-23,170.64905,171.7691,169.689,171.3691,18399.023,3150477.0,21.42,0.0,0,0,0
2010-12-27,171.3691,173.4492,170.00902,172.88918,25236.162,4340749.0,21.61,0.0,0,0,0
2010-12-28,176.00934,186.16988,175.36931,178.16945,137605.2,24893550.0,22.27,0.0,0,0,0
2010-12-29,184.40977,191.37015,182.64969,190.89014,259198.75,48666212.0,23.86,0.0,0,0,0
2010-12-30,194.49031,198.73055,192.4102,196.01039,238149.86,46431780.0,24.5,0.0,0,0,0
2010-12-31,192.2502,194.97035,190.89014,192.0102,112856.516,21756368.0,24.0,0.0,0,0,0
2011-01-03,194.81033,207.451,192.0102,205.05087,266610.84,54291036.0,25.63,0.0,0,0,0
2011-01-04,209.13109,217.53154,196.41042,200.25063,233675.11,47491280.0,25.03,0.0,0,0,0
2011-01-05,196.41042,198.09052,194.41031,196.57042,87032.88,17121112.0,24.57,0.0,0,0,0
2011-01-06,194.49031,194.89035,181.92964,184.7298,182915.3,34224096.0,23.09,0.0,0,0,0
2011-01-07,184.00977,186.96992,181.04959,185.92986,69608.805,12843784.0,23.24,0.0,0,0,0
2011-01-10,189.05002,189.05002,185.68985,188.16998,59709.332,11221220.0,23.52,0.0,0,0,0
2011-01-11,188.81001,190.81012,187.76996,188.16998,96482.38,18255048.0,23.52,0.0,0,0,0
2011-01-12,192.4102,194.97035,192.0102,193.85028,122331.01,23683854.0,24.23,0.0,0,0,0
