Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-01-25,185.1426,187.13824,184.87651,187.13824,826.80054,153118.0,70.33,0.0,0,0,0
2007-01-26,187.37772,187.51076,187.29788,187.43094,4810.476,901555.0,70.44,0.0,0,0,0
2007-01-29,186.0739,186.0739,184.5306,185.54173,1465.6919,271865.0,69.73,0.0,0,0,0
2007-01-30,183.59929,183.62592,183.59929,183.62592,75.16369,13801.0,69.01,0.0,0,0,0
2007-01-31,184.2113,184.2113,182.61478,182.61478,1803.9285,331940.0,68.63,0.0,0,0,0
2007-02-01,182.10922,182.42851,181.09808,181.444,5411.7856,981603.0,68.19,0.0,0,0,0
2007-02-02,181.49721,181.63026,180.88522,180.88522,1916.6741,347737.0,67.98,0.0,0,0,0
2007-02-05,180.99164,181.65686,180.88522,181.65686,3683.0208,666795.0,68.27,0.0,0,0,0
2007-02-06,182.32207,182.32207,182.32207,182.32207,37.581844,6851.9995,68.52,0.0,0,0,0
2007-02-07,181.1513,181.1513,179.58139,179.58139,864.3824,155546.0,67.49,0.0,0,0,0
2007-02-08,179.98053,180.40627,179.98053,180.00714,112.74553,20309.0,67.65,0.0,0,0,0
2007-02-09,179.79427,182.50833,179.76765,181.68347,4021.2573,725288.0,68.28,0.0,0,0,0
2007-02-12,182.13582,182.98729,182.13582,182.16243,1879.0922,343019.0,68.46,0.0,0,0,0
2007-02-13,181.49721,181.49721,181.1247,181.1247,338.2366,61361.0,68.07,0.0,0,0,0
2007-02-14,179.42175,179.42175,179.42175,179.42175,112.74553,20229.0,67.43,0.0,0,0,0
2007-02-15,180.64574,180.64574,179.87408,179.87408,263.0729,47378.0,67.6,0.0,0,0,0
2007-02-16,181.1513,181.1513,179.66121,179.66121,75.16369,13560.0,67.52,0.0,0,0,0
2007-02-20,178.01149,178.01149,178.01149,178.01149,150.32738,26760.0,66.9,0.0,0,0,0
2007-02-21,178.27757,178.27757,177.90506,177.90506,488.56396,87013.0,66.86,0.0,0,0,0
2007-02-22,177.53253,178.49045,177.45271,178.49045,676.4732,120197.0,67.08,0.0,0,0,0
2007-02-23,177.79861,177.79861,177.79861,177.79861,150.32738,26728.0,66.82,0.0,0,0,0
2007-02-26,178.9428,178.9428,178.9428,178.9428,37.581844,6725.0,67.25,0.0,0,0,0
2007-02-27,182.40192,186.28677,181.92296,185.38206,7065.3867,1302484.0,69.67,0.0,0,0,0
2007-02-28,186.7391,187.13824,184.63702,185.16919,2517.9836,467802.0,69.59,0.0,0,0,0
2007-03-01,189.58623,189.58623,184.71686,185.88763,6313.7495,1184667.0,69.86,0.0,0,0,0
2007-03-02,187.6172,189.71928,186.89876,189.69267,6877.4775,1298760.0,71.29,0.0,0,0,0
2007-03-05,192.38014,193.76378,189.10727,193.76378,14769.665,2828876.0,72.82,0.0,0,0,0
2007-03-06,191.20935,191.52867,188.52188,188.78796,3795.766,722520.0,70.95,0.0,0,0,0
2007-03-07,189.45317,190.17162,188.52188,189.90553,4434.6577,842162.0,71.37,0.0,0,0,0
2007-03-08,187.75023,189.34676,187.48415,189.32014,3758.1843,709625.0,71.15,0.0,0,0,0
2007-03-09,187.53737,189.16048,187.37772,187.72363,10973.898,2063385.0,70.55,0.0,0,0,0
2007-03-12,187.9631,188.04292,186.92537,186.92537,1728.7648,324534.0,70.25,0.0,0,0,0
2007-03-13,188.38885,191.981,188.17598,191.82133,6313.7495,1200170.0,72.09,0.0,0,0,0
2007-03-14,191.44882,193.65733,189.8257,190.06519,13454.3,2580725.0,71.43,0.0,0,0,0
2007-03-15,189.55962,189.55962,188.22919,188.22919,3232.0386,610074.0,70.74,0.0,0,0,0
2007-03-16,188.36223,189.69267,188.36223,189.69267,901.96423,170495.0,71.29,0.0,0,0,0
2007-03-19,188.09616,188.20259,187.00519,187.9099,939.5461,176070.0,70.62,0.0,0,0,0
2007-03-20,187.45753,187.75023,185.86102,186.02069,12477.172,2326167.0,69.91,0.0,0,0,0
2007-03-21,185.91425,186.15372,182.16243,182.29549,16272.938,2986937.0,68.51,0.0,0,0,0
2007-03-22,182.13582,183.3066,182.13582,182.50833,1390.5282,254104.0,68.59,0.0,0,0,0
2007-03-23,182.50833,182.58818,182.08261,182.08261,2217.3289,404260.0,68.43,0.0,0,0,0
2007-03-26,182.26886,183.99843,182.18904,182.3487,6351.3315,1165016.0,68.53,0.0,0,0,0
2007-03-27,183.25339,184.29112,183.25339,183.70573,4246.7485,780935.0,69.04,0.0,0,0,0
2007-03-28,184.9031,185.70137,184.31772,184.92972,3194.4568,590785.0,69.5,0.0,0,0,0
2007-03-29,183.97182,186.28677,183.97182,184.8499,9320.297,1727124.0,69.47,0.0,0,0,0
2007-03-30,184.1847,185.70137,183.54608,184.63702,2367.6562,437312.0,69.39,0.0,0,0,0
2007-04-02,184.50398,184.8499,184.13145,184.13145,3419.9478,631053.0,69.2,0.0,0,0,0
2007-04-03,182.08261,182.18904,181.65686,181.68347,2292.4924,417180.0,68.28,0.0,0,0,0
2007-04-04,182.29549,182.29549,182.29549,182.29549,977.1279,178126.0,68.51,0.0,0,0,0
2007-04-05,182.53494,182.56155,181.63026,181.76329,1428.1101,259821.0,68.31,0.0,0,0,0
2007-04-09,182.668,182.668,182.16243,182.18904,1277.7827,233241.0,68.47,0.0,0,0,0
2007-04-10,181.28435,181.7367,181.1779,181.63026,263.0729,47757.0,68.26,0.0,0,0,0
2007-04-11,182.21565,183.49286,182.21565,183.09372,1240.2008,226985.0,68.81,0.0,0,0,0
2007-04-12,183.41304,184.34433,181.86974,181.86974,2367.6562,434243.0,68.35,0.0,0,0,0
2007-04-13,181.7367,181.97617,180.69897,180.88522,2593.1472,471071.0,67.98,0.0,0,0,0
2007-04-16,179.07584,179.39513,178.14453,178.14453,2818.6382,503597.0,66.95,0.0,0,0,0
2007-04-17,178.49045,179.42175,178.49045,178.67671,939.5461,167948.0,67.15,0.0,0,0,0
2007-04-18,179.3153,179.608,179.3153,179.34192,526.1458,94385.0,67.4,0.0,0,0,0
2007-04-19,181.92296,181.92296,180.14017,181.28435,5111.131,926135.0,68.13,0.0,0,0,0
2007-04-20,178.9428,180.00714,178.83635,179.20888,8718.987,1566250.0,67.35,0.0,0,0,0
2007-04-23,178.88959,179.42175,178.88959,179.42175,864.3824,154793.0,67.43,0.0,0,0,0
2007-04-24,179.15567,180.40627,178.91618,179.2887,2367.6562,425107.0,67.38,0.0,0,0,0
2007-04-25,179.04922,179.04922,177.79861,178.35739,3419.9478,609650.0,67.03,0.0,0,0,0
2007-04-26,178.80974,179.608,178.01149,178.01149,4058.839,725882.0,66.9,0.0,0,0,0
2007-04-27,178.9694,179.39513,178.70332,178.70332,1202.619,215294.0,67.16,0.0,0,0,0
2007-04-30,179.79427,182.48174,179.79427,182.48174,714.05505,129458.0,68.58,0.0,0,0,0
2007-05-01,182.16243,183.86537,182.13582,182.3753,29276.256,5375357.0,68.54,0.0,0,0,0
