Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-12-19,25.937185,26.170233,25.937185,26.170233,118405.67,3090737.0,60.64,0.0,0,0,0
2006-12-20,26.28244,26.31265,26.21339,26.22202,255116.72,6704495.0,60.76,0.0,0,0,0
2006-12-21,26.304018,26.338543,26.226337,26.252232,819802.9,21554274.0,60.83,0.0,0,0,0
2006-12-22,26.619062,26.636326,26.411911,26.498224,393449.78,10425533.0,61.4,0.0,0,0,0
2006-12-26,26.476645,26.588854,26.474487,26.584536,423340.84,11236780.0,61.6,0.0,0,0,0
2006-12-27,26.787374,26.908213,26.778742,26.778742,276666.1,7430512.0,62.05,0.0,0,0,0
2006-12-28,27.188732,27.197363,27.08084,27.162836,454622.16,12335623.0,62.94,0.0,0,0,0
2006-12-29,27.275045,27.300938,27.257782,27.300938,238433.34,6503938.0,63.26,0.0,0,0,0
2007-01-03,27.620298,27.620298,27.249151,27.275045,613809.44,16796514.0,63.2,0.0,0,0,0
2007-01-04,27.188732,27.188732,27.02042,27.072208,544758.75,14754852.0,62.73,0.0,0,0,0
2007-01-05,26.865055,26.865055,26.627695,26.735586,383022.66,10233937.0,61.95,0.0,0,0,0
2007-01-08,26.519802,26.649273,26.493908,26.644957,346411.9,9199661.0,61.74,0.0,0,0,0
2007-01-09,26.783058,26.817583,26.524117,26.688114,345021.62,9202630.0,61.84,0.0,0,0,0
2007-01-10,26.455067,26.627695,26.368753,26.537066,389047.22,10302663.0,61.49,0.0,0,0,0
2007-01-11,26.515486,27.016104,26.411911,26.623377,252104.44,6722980.0,61.69,0.0,0,0,0
2007-01-12,26.649273,26.813269,26.610432,26.80032,86660.91,2315665.0,62.1,0.0,0,0,0
2007-01-16,26.886635,26.886635,26.80032,26.869371,305398.6,8202045.0,62.26,0.0,0,0,0
2007-01-17,27.02042,27.067892,26.994526,27.059261,516026.28,13953446.0,62.7,0.0,0,0,0
2007-01-18,27.167152,27.167152,26.972948,27.029053,467829.84,12669931.0,62.63,0.0,0,0,0
2007-01-19,27.162836,27.326832,27.11968,27.292309,448365.9,12224594.0,63.24,0.0,0,0,0
2007-01-22,27.59872,27.620298,27.55988,27.572826,206688.58,5701574.0,63.89,0.0,0,0,0
2007-01-23,27.69798,27.827452,27.659138,27.77998,853864.75,23697904.0,64.37,0.0,0,0,0
2007-01-24,27.792927,27.805872,27.745453,27.805872,693750.6,19270640.0,64.43,0.0,0,0,0
2007-01-25,27.771347,27.771347,27.641878,27.641878,650883.6,18048190.0,64.05,0.0,0,0,0
2007-01-26,27.473566,27.473566,27.05063,27.46925,296825.2,8126907.0,63.65,0.0,0,0,0
2007-01-29,27.74977,27.771347,27.577185,27.637562,291727.47,8074029.0,64.04,0.0,0,0,0
2007-01-30,27.685034,27.74977,27.577185,27.74977,571405.9,15833569.0,64.3,0.0,0,0,0
2007-01-31,27.551249,27.74977,27.533985,27.74977,353595.03,9779950.0,64.3,0.0,0,0,0
2007-02-01,28.073444,28.094978,28.004393,28.064812,413840.56,11609857.0,65.03,0.0,0,0,0
2007-02-02,28.267649,28.414381,28.224493,28.375542,627712.25,17799132.0,65.75,0.0,0,0,0
2007-02-05,28.293543,28.474802,28.293543,28.461853,882133.9,25064526.0,65.95,0.0,0,0,0
2007-02-06,28.656061,28.768269,28.634481,28.75532,560978.75,16104661.0,66.63,0.0,0,0,0
2007-02-07,28.850264,28.919317,28.828688,28.871843,689116.4,19901352.0,66.9,0.0,0,0,0
2007-02-08,28.781216,28.871843,28.71648,28.85458,376766.38,10849078.0,66.86,0.0,0,0,0
2007-02-09,28.707846,28.936579,28.699217,28.871843,564454.44,16273771.0,66.9,0.0,0,0,0
2007-02-12,28.742373,28.746689,28.509325,28.634481,440325.44,12613621.0,66.35,0.0,0,0,0
2007-02-13,28.569744,29.562351,28.569744,28.867527,266586.56,7663135.0,66.89,0.0,0,0,0
2007-02-14,29.040155,29.411303,29.040155,29.346567,599545.1,17573892.0,68.0,0.0,0,0,0
2007-02-15,29.428566,29.432878,29.346567,29.432878,307715.72,9042352.0,68.2,0.0,0,0,0
2007-02-16,29.454458,29.458775,29.359514,29.411303,920830.0,27084200.0,68.15,0.0,0,0,0
2007-02-20,29.411303,29.583931,29.346567,29.467405,391132.62,11508378.0,68.28,0.0,0,0,0
2007-02-21,28.744532,29.605507,28.647427,29.562351,421023.7,12425899.0,68.5,0.0,0,0,0
2007-02-22,29.734978,29.756554,29.605507,29.747925,363327.0,10804962.0,68.93,0.0,0,0,0
2007-02-23,29.890343,29.950762,29.778133,29.950762,451146.47,13496662.0,69.4,0.0,0,0,0
2007-02-26,29.778133,29.821291,29.648663,29.709082,419169.97,12472711.0,68.84,0.0,0,0,0
2007-02-27,29.303411,29.648663,28.043236,28.612904,680311.25,19646656.0,66.3,0.0,0,0,0
2007-02-28,28.418697,28.548168,28.310804,28.453222,250945.88,7140868.0,65.93,0.0,0,0,0
2007-03-01,27.853346,28.353962,27.188732,28.107967,413956.44,11622022.0,65.13,0.0,0,0,0
2007-03-02,27.874922,28.030287,27.404514,27.577143,390437.5,10832460.0,63.9,0.0,0,0,0
2007-03-05,26.545696,27.162836,26.239283,26.947054,501891.75,13478779.0,62.44,0.0,0,0,0
2007-03-06,27.533985,27.72819,27.382936,27.70661,388352.06,10723718.0,64.2,0.0,0,0,0
2007-03-07,27.814503,28.138178,27.236204,28.034603,268324.4,7511008.0,64.96,0.0,0,0,0
2007-03-08,28.095022,28.181337,28.030287,28.138178,338301.9,9511476.0,65.2,0.0,0,0,0
2007-03-09,28.414381,28.461853,28.289228,28.453222,228701.36,6497519.0,65.93,0.0,0,0,0
2007-03-12,28.612904,28.669006,28.530905,28.656061,218042.55,6243694.0,66.4,0.0,0,0,0
2007-03-13,28.587008,28.634481,28.051865,28.107967,256043.58,7250998.0,65.13,0.0,0,0,0
2007-03-14,27.404514,28.051865,27.231888,27.555563,326484.53,8973723.0,63.85,0.0,0,0,0
2007-03-15,27.792927,28.051865,27.72819,27.879238,161504.4,4500535.0,64.6,0.0,0,0,0
2007-03-16,27.847702,27.934319,27.674465,27.782738,167401.61,4649055.0,64.15,0.0,0,0,0
2007-03-19,28.37174,28.37607,28.150864,28.3241,198572.95,5620005.0,65.4,0.0,0,0,0
2007-03-20,28.627262,28.75719,28.562298,28.75286,240596.53,6895309.0,66.39,0.0,0,0,0
2007-03-21,28.865463,29.406826,28.735535,29.406826,679766.0,19729510.0,67.9,0.0,0,0,0
2007-03-22,29.341862,29.363518,29.120985,29.23359,234131.36,6842350.0,67.5,0.0,0,0,0
2007-03-23,29.125317,29.276897,29.017044,29.220596,741185.06,21644420.0,67.47,0.0,0,0,0
2007-03-26,29.125317,29.133978,28.930428,29.120985,199265.64,5787295.0,67.24,0.0,0,0,0
2007-03-27,28.882788,28.930428,28.778843,28.930428,236671.25,6838943.0,66.8,0.0,0,0,0
2007-03-28,28.583954,28.75719,28.583954,28.713882,225819.0,6485049.0,66.3,0.0,0,0,0
2007-03-29,29.017044,29.0387,28.800499,28.95208,533376.2,15437683.0,66.85,0.0,0,0,0
2007-03-30,29.017044,29.341862,29.017044,29.320206,322565.6,9431342.0,67.7,0.0,0,0,0
2007-04-02,29.341862,29.476118,29.19028,29.476118,145004.44,4257965.0,68.06,0.0,0,0,0
2007-04-03,29.476118,29.66668,29.406826,29.645023,353275.12,10450527.0,68.45,0.0,0,0,0
2007-04-04,29.623371,29.883224,29.450134,29.61904,186335.31,5509469.0,68.39,0.0,0,0,0
2007-04-05,29.532423,29.753296,29.493443,29.748968,228127.98,6764233.0,68.69,0.0,0,0,0
2007-04-09,29.839916,29.861568,29.753296,29.753296,278002.12,8294416.0,68.7,0.0,0,0,0
2007-04-10,29.783613,29.991497,29.783613,29.935196,287007.2,8577296.0,69.12,0.0,0,0,0
2007-04-11,29.935196,29.939526,29.549746,29.601715,680458.7,20228356.0,68.35,0.0,0,0,0
2007-04-12,29.497774,29.796608,29.450134,29.76629,470109.9,13916772.0,68.73,0.0,0,0,0
2007-04-13,29.5714,30.060793,29.428478,29.66668,484887.44,14328111.0,68.5,0.0,0,0,0
2007-04-16,29.991497,30.169065,29.939526,30.134418,452561.6,13597029.0,69.58,0.0,0,0,0
2007-04-17,29.969841,30.034805,29.883224,29.969841,244752.7,7338963.0,69.2,0.0,0,0,0
2007-04-18,29.805267,29.948189,29.787945,29.917873,857327.2,25618176.0,69.08,0.0,0,0,0
2007-04-19,29.662348,29.8096,29.580063,29.805267,644438.5,19160576.0,68.82,0.0,0,0,0
2007-04-20,29.878893,29.991497,29.878893,29.991497,962617.0,28815628.0,69.25,0.0,0,0,0
2007-04-23,29.965513,29.969841,29.839916,29.926533,231822.38,6939577.0,69.1,0.0,0,0,0
2007-04-24,29.77062,29.774952,29.580063,29.709988,749266.56,22267384.0,68.6,0.0,0,0,0
2007-04-25,29.709988,30.021812,29.709988,29.982836,307557.16,9188602.0,69.23,0.0,0,0,0
