Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-01-25,6.5228763,6.5376024,6.5228763,6.5376024,86918.71,567600.0,71.03,0.0,0,0,0
2007-01-26,6.3930993,6.4105873,6.3930993,6.4105873,70621.45,452140.0,69.65,0.0,0,0,0
2007-01-30,6.6112347,6.6112347,6.5836225,6.5836225,6518.904,42948.0,71.53,0.0,0,0,0
2007-01-31,6.567055,6.734568,6.567055,6.722603,45632.324,303042.0,73.04,0.0,0,0,0
2007-02-01,6.764941,6.8477774,6.7502146,6.8477774,118426.75,807257.0,74.4,0.0,0,0,0
2007-02-02,6.8615837,6.8615837,6.8385735,6.8385735,3259.452,22314.0,74.3,0.0,0,0,0
2007-02-05,6.852379,6.871708,6.8155637,6.8155637,236853.5,1625203.0,74.05,0.0,0,0,0
2007-02-06,6.806359,6.8790708,6.797155,6.8790708,228161.62,1562015.0,74.74,0.0,0,0,0
2007-02-07,6.8827524,6.9665093,6.87723,6.9655886,77140.36,532808.0,75.68,0.0,0,0,0
2007-02-08,6.8928766,6.964668,6.8928766,6.941658,132551.05,917231.0,75.42,0.0,0,0,0
2007-02-09,6.941658,6.941658,6.7511353,6.7870307,40199.906,275385.0,73.74,0.0,0,0,0
2007-02-12,6.748374,6.7557373,6.7410107,6.7557373,14124.291,95236.0,73.4,0.0,0,0,0
2007-02-13,6.8385735,6.867106,6.802678,6.867106,149934.78,1022040.0,74.61,0.0,0,0,0
2007-02-14,6.859742,6.9683495,6.852379,6.914966,147761.81,1018967.0,75.13,0.0,0,0,0
2007-02-15,6.9030013,6.9628277,6.879991,6.9370565,49978.26,345270.0,75.37,0.0,0,0,0
2007-02-16,6.9278517,6.9775534,6.886434,6.963748,97783.555,677033.0,75.66,0.0,0,0,0
2007-02-20,6.933375,7.127579,6.8919563,7.1238976,88005.195,622042.0,77.4,0.0,0,0,0
2007-02-21,7.104569,7.145987,7.0898423,7.139544,217296.78,1544078.0,77.57,0.0,0,0,0
2007-02-22,7.134942,7.168997,7.134942,7.168997,14124.291,100829.0,77.89,0.0,0,0,0
2007-02-23,7.0916834,7.1156135,7.0714345,7.1156135,32594.518,230989.0,77.31,0.0,0,0,0
2007-02-26,7.1423054,7.1423054,7.0548673,7.0548673,78226.84,553219.0,76.65,0.0,0,0,0
2007-02-27,6.8385735,6.8385735,6.498025,6.498025,36940.453,245623.0,70.6,0.0,0,0,0
2007-02-28,6.498025,6.6406875,6.4161096,6.5633736,111907.84,731522.0,71.31,0.0,0,0,0
2007-03-01,6.336955,6.590065,6.225587,6.5376024,26075.615,166529.0,71.03,0.0,0,0,0
2007-03-02,6.4740944,6.4740944,6.3047414,6.3047414,34767.484,221379.0,68.5,0.0,0,0,0
2007-03-05,6.1666813,6.2633233,6.017576,6.028621,299869.56,1847872.0,65.5,0.0,0,0,0
2007-03-06,6.244915,6.3185472,6.175885,6.3185472,55410.68,346759.0,68.65,0.0,0,0,0
2007-03-07,6.3231487,6.3691688,6.271607,6.2872534,99956.52,630705.0,68.31,0.0,0,0,0
2007-03-08,6.44004,6.44004,6.3903384,6.3903384,41286.39,265697.0,69.43,0.0,0,0,0
2007-03-09,6.402303,6.486981,6.385736,6.4556866,104302.46,671052.0,70.14,0.0,0,0,0
2007-03-12,6.4731746,6.5173535,6.450165,6.4823785,40199.906,260110.0,70.43,0.0,0,0,0
2007-03-13,6.415189,6.415189,6.2292686,6.2292686,214037.33,1359534.0,67.68,0.0,0,0,0
2007-03-14,6.2403135,6.317627,6.093049,6.2946167,148848.3,924222.0,68.39,0.0,0,0,0
2007-03-15,6.3691688,6.4179506,6.3516817,6.4069057,68448.484,438292.0,69.61,0.0,0,0,0
2007-03-16,6.359965,6.428995,6.330512,6.3535223,118426.75,756429.0,69.03,0.0,0,0,0
2007-03-19,6.466732,6.5293193,6.466732,6.515513,10864.839,70727.0,70.79,0.0,0,0,0
2007-03-20,6.572578,6.596508,6.560612,6.596508,13037.808,85821.0,71.67,0.0,0,0,0
2007-03-21,6.6084733,6.811882,6.598349,6.78427,372664.0,2485628.0,73.71,0.0,0,0,0
2007-03-22,6.8450165,6.8450165,6.7815084,6.840414,204258.98,1387990.0,74.32,0.0,0,0,0
2007-03-23,6.8569813,6.903922,6.8569813,6.8937974,22816.162,156734.0,74.9,0.0,0,0,0
2007-03-26,6.886434,6.886434,6.737329,6.871708,112994.33,768166.0,74.66,0.0,0,0,0
2007-03-27,6.7925534,6.7925534,6.7465334,6.7704635,21729.678,147375.0,73.56,0.0,0,0,0
2007-03-28,6.688548,6.7041945,6.6498914,6.7041945,8691.871,58118.0,72.84,0.0,0,0,0
2007-03-29,6.783349,6.783349,6.637926,6.7419314,16297.259,109803.0,73.25,0.0,0,0,0
2007-03-30,6.8017573,6.8017573,6.6756625,6.753896,58670.133,394400.0,73.38,0.0,0,0,0
2007-04-02,6.7419314,6.7989964,6.7419314,6.7989964,6518.904,44011.0,73.87,0.0,0,0,0
2007-04-03,6.8477774,6.940738,6.8477774,6.936136,35853.97,248252.0,75.36,0.0,0,0,0
2007-04-04,6.9131255,6.917728,6.879991,6.914966,98870.04,682481.0,75.13,0.0,0,0,0
2007-04-05,6.9011607,6.953624,6.9011607,6.951782,7605.3877,52734.0,75.53,0.0,0,0,0
2007-04-09,6.933375,6.944419,6.8901157,6.943499,14124.291,97683.0,75.44,0.0,0,0,0
2007-04-10,6.9306135,6.987678,6.9306135,6.9766335,99956.52,696180.0,75.8,0.0,0,0,0
2007-04-11,6.9195685,6.9287724,6.8082004,6.8763094,141242.9,972289.0,74.71,0.0,0,0,0
2007-04-12,6.8100405,6.971111,6.8100405,6.971111,28248.582,194974.0,75.74,0.0,0,0,0
2007-04-13,6.909444,7.0226536,6.909444,7.0226536,51064.746,354915.0,76.3,0.0,0,0,0
2007-04-16,7.1340218,7.228823,7.1340218,7.228823,20643.195,148163.0,78.54,0.0,0,0,0
2007-04-17,7.197529,7.2159376,7.174519,7.174519,11951.323,85932.0,77.95,0.0,0,0,0
2007-04-18,7.1377034,7.147828,7.0898423,7.0898423,34767.484,247780.0,77.03,0.0,0,0,0
2007-04-19,6.9582253,7.099967,6.9398174,7.0254145,47805.293,335990.0,76.33,0.0,0,0,0
2007-04-20,7.1818824,7.2076535,7.1515093,7.1892457,98870.04,711375.0,78.11,0.0,0,0,0
2007-04-23,7.186485,7.215017,7.1699176,7.1735992,16297.259,117202.0,77.94,0.0,0,0,0
2007-04-24,7.201211,7.201211,7.075116,7.166236,156453.69,1111178.0,77.86,0.0,0,0,0
2007-04-25,7.2444696,7.309818,7.1818824,7.309818,463928.62,3347573.0,79.42,0.0,0,0,0
2007-04-26,7.249992,7.335589,7.2067337,7.3254647,38026.938,275130.0,79.59,0.0,0,0,0
2007-04-27,7.2564344,7.26748,7.2453904,7.262878,8691.871,63103.0,78.91,0.0,0,0,0
2007-04-30,7.2297435,7.2463107,6.998723,7.0116086,119513.234,849066.0,76.18,0.0,0,0,0
2007-05-01,6.9803147,7.082479,6.9085236,7.0576286,291177.7,2038118.0,76.68,0.0,0,0,0
2007-05-02,7.08432,7.315341,7.08432,7.315341,53237.71,385290.0,79.48,0.0,0,0,0
2007-05-03,7.2684,7.31442,7.2251415,7.3079777,18470.227,134248.0,79.4,0.0,0,0,0
2007-05-04,7.327306,7.363201,7.284047,7.363201,20643.195,151088.0,80.0,0.0,0,0,0
2007-05-07,7.3567586,7.3659625,7.346634,7.3659625,46718.81,343732.0,80.03,0.0,0,0,0
2007-05-08,7.2269816,7.3401914,7.22238,7.3401914,65189.035,475555.0,79.75,0.0,0,0,0
2007-05-09,7.298774,7.447878,7.298774,7.373326,91264.65,676844.0,80.11,0.0,0,0,0
2007-05-10,7.318102,7.318102,7.136783,7.180042,47805.293,343378.0,78.01,0.0,0,0,0
2007-05-11,7.217778,7.318102,7.201211,7.318102,69534.97,503339.0,79.51,0.0,0,0,0
2007-05-15,7.2021313,7.287729,7.063151,7.063151,57583.65,414445.0,76.74,0.0,0,0,0
2007-05-16,7.0962853,7.1818824,7.039221,7.1818824,14124.291,100311.0,78.03,0.0,0,0,0
2007-05-17,7.0880017,7.1607137,7.0880017,7.116534,17383.742,123682.0,77.32,0.0,0,0,0
2007-05-18,7.1146936,7.249992,7.1036487,7.2269816,17383.742,124541.0,78.52,0.0,0,0,0
2007-05-21,7.1929274,7.4221067,7.1929274,7.373326,52151.23,380504.0,80.11,0.0,0,0,0
2007-05-22,7.4000177,7.499421,7.373326,7.482854,73880.91,550082.0,81.3,0.0,0,0,0
2007-05-23,7.5242715,7.5840974,7.4129033,7.4395947,55410.68,417296.0,80.83,0.0,0,0,0
2007-05-24,7.390814,7.509545,7.157952,7.223301,96697.07,712307.0,78.48,0.0,0,0,0
2007-05-25,7.274843,7.334669,7.2591963,7.3282266,52151.23,381135.0,79.62,0.0,0,0,0
2007-05-29,7.3475547,7.454321,7.3475547,7.454321,42372.875,313237.0,80.99,0.0,0,0,0
2007-05-30,7.335589,7.565689,7.332828,7.565689,185788.75,1386890.0,82.2,0.0,0,0,0
2007-05-31,7.565689,7.638401,7.5592465,7.6347194,63016.066,478782.0,82.95,0.0,0,0,0
2007-06-01,7.679819,7.778302,7.679819,7.7111125,182529.3,1412159.0,83.78,0.0,0,0,0
2007-06-04,7.677978,7.7451677,7.669695,7.7451677,33681.0,259182.0,84.15,0.0,0,0,0
2007-06-05,7.611709,7.652207,7.576734,7.652207,14124.291,107419.0,83.14,0.0,0,0,0
2007-06-06,7.5380774,7.5380774,7.415664,7.4690475,34767.484,259312.0,81.15,0.0,0,0,0
2007-06-07,7.398176,7.415664,7.1809616,7.1883254,262929.12,1927575.0,78.1,0.0,0,0,0
2007-06-08,7.1699176,7.346634,7.125738,7.346634,81486.3,586644.0,79.82,0.0,0,0,0
2007-06-11,7.280365,7.378848,7.22146,7.331908,21729.678,158791.0,79.66,0.0,0,0,0
2007-06-12,7.2297435,7.2711616,7.1321807,7.1321807,63016.066,452995.0,77.49,0.0,0,0,0
2007-06-13,7.185564,7.3401914,7.185564,7.289569,140156.42,1018117.0,79.2,0.0,0,0,0
2007-06-14,7.358599,7.4902163,7.358599,7.4414353,47805.293,355255.0,80.85,0.0,0,0,0
2007-06-15,7.603426,7.6439238,7.5822563,7.615391,80399.81,611393.0,82.74,0.0,0,0,0
2007-06-18,7.608028,7.608028,7.4948187,7.5702915,363972.12,2753063.0,82.25,0.0,0,0,0
2007-06-19,7.4957395,7.6374807,7.446038,7.6374807,51064.746,386013.0,82.98,0.0,0,0,0
2007-06-20,7.6558886,7.6558886,7.480092,7.480092,46718.81,353566.0,81.27,0.0,0,0,0
2007-06-21,7.316261,7.550963,7.2684,7.511386,103215.98,757317.0,81.61,0.0,0,0,0
2007-06-22,7.380689,7.381609,7.249072,7.381609,8691.871,63644.0,80.2,0.0,0,0,0
2007-06-25,7.2849674,7.381609,7.1533504,7.216858,116253.78,842743.0,78.41,0.0,0,0,0
2007-06-26,7.2723756,7.276075,7.113315,7.113315,57311.67,413926.0,76.92,0.0,0,0,0
2007-06-27,7.0754004,7.385197,7.0754004,7.385197,211945.05,1518831.0,79.86,0.0,0,0,0
2007-06-28,7.43606,7.5063415,7.39352,7.39352,36765.977,272977.0,79.95,0.0,0,0,0
2007-06-29,7.4675016,7.4887714,7.283473,7.326937,45416.797,336244.0,79.23,0.0,0,0,0
