Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-01-25,161.70065,161.70065,161.70065,161.70065,1288.863,208410.0,69.47,0.0,0,0,0
2007-01-29,162.86447,162.86447,162.60843,162.7481,128.8863,20975.0,69.92,0.0,0,0,0
2007-01-30,161.09547,161.09547,161.09547,161.09547,42.9621,6921.0,69.21,0.0,0,0,0
2007-02-01,157.5342,157.5342,157.5342,157.5342,1718.484,270720.0,67.68,0.0,0,0,0
2007-02-05,158.13939,158.13939,158.13939,158.13939,1718.484,271760.0,67.94,0.0,0,0,0
2007-02-06,158.88423,158.88423,158.79112,158.79112,2362.9155,375389.0,68.22,0.0,0,0,0
2007-02-07,158.06956,158.06956,157.37126,157.37126,300.7347,47358.0,67.61,0.0,0,0,0
2007-02-09,158.95406,158.95406,158.95406,158.95406,42.9621,6829.0,68.29,0.0,0,0,0
2007-02-12,159.23337,159.67561,159.23337,159.67561,515.5452,82206.0,68.6,0.0,0,0,0
2007-02-13,159.32646,159.32646,158.27904,158.27904,773.3178,122864.0,68.0,0.0,0,0,0
2007-02-14,158.13939,158.13939,157.88335,157.88335,429.621,67885.0,67.83,0.0,0,0,0
2007-02-15,157.67384,157.67384,157.67384,157.67384,85.9242,13548.0,67.74,0.0,0,0,0
2007-02-23,155.76518,155.76518,155.76518,155.76518,42.9621,6692.0,66.92,0.0,0,0,0
2007-02-27,159.44286,162.81792,158.86095,162.81792,1417.7494,226776.0,69.95,0.0,0,0,0
2007-02-28,161.09547,161.72394,161.09547,161.1653,386.6589,62374.0,69.24,0.0,0,0,0
2007-03-01,164.21451,165.68091,161.02565,162.0498,8076.875,1322106.0,69.62,0.0,0,0,0
2007-03-02,163.84207,165.12228,163.26018,164.51709,15938.939,2615776.0,70.68,0.0,0,0,0
2007-03-05,167.24042,167.40335,164.74985,167.10077,5413.2246,905320.0,71.79,0.0,0,0,0
2007-03-06,165.96024,166.65851,164.49382,165.07571,773.3178,128106.0,70.92,0.0,0,0,0
2007-03-07,164.84296,165.77402,164.21451,164.23778,4768.7935,783768.0,70.56,0.0,0,0,0
2007-03-08,163.70242,164.02829,163.26018,164.02829,4511.0205,736615.0,70.47,0.0,0,0,0
2007-03-09,163.49294,164.16795,163.37656,163.37656,2921.4229,478214.0,70.19,0.0,0,0,0
2007-03-13,164.09811,166.91455,163.70242,166.91455,2276.9915,374348.0,71.71,0.0,0,0,0
2007-03-14,166.7749,167.3801,165.5878,165.5878,2749.5745,457232.0,71.14,0.0,0,0,0
